gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A1CF,0,0.0668026578,0.012325558515391471,0.06539504,0.074656315,0.081593044,0.04912159,0.0632473,False,False,True,False,False
A2M,0,0.0774589792,0.02209523541593511,0.06527289,0.07006804,0.1143221,0.07980176,0.057830106,False,False,True,False,False
A4GALT,0,0.0702906768,0.009398827450767392,0.07365315,0.082217194,0.070390075,0.056217115,0.06897585,False,False,True,False,False
ABCA1,0,0.08229842699999998,0.018948778117313266,0.090039805,0.09290346,0.10388867,0.06199667,0.06266353,False,False,False,True,False
ABCB1,0,0.066802666,0.012325582135795557,0.065395065,0.07465634,0.08159307,0.049121555,0.0632473,False,False,False,False,True
ABCC4,0,0.0695921292,0.010928683113598963,0.07420076,0.08297666,0.06970452,0.053008046,0.06807066,False,False,True,False,False
ABCG2,0,0.075480159,0.012523874694263155,0.07155058,0.077250615,0.09584454,0.06260991,0.07014515,False,True,False,False,False
ABHD17C,0,0.1016532118,0.01638362902940878,0.11539845,0.097059675,0.1186609,0.09934948,0.077797554,False,False,True,False,False
ABTB2,0,0.05069356220000001,0.01357686677348151,0.057409078,0.03159891,0.041567806,0.058885567,0.06400645,False,False,False,True,False
ACO1,0,0.09049139240000001,0.0486539817369813,0.17200659,0.07449127,0.05645656,0.053370956,0.096131586,False,False,False,False,True
ACSL3,0,0.153519088,0.019269144681926597,0.16016403,0.17979836,0.12707533,0.15416305,0.14639467,False,False,True,False,False
ACSL5,0,0.054871617000000004,0.01311324178304629,0.07190417,0.06456786,0.051407013,0.046486724,0.039992318,False,False,False,True,False
ACTA2,0,0.12614387100000002,0.035323760535443845,0.104332365,0.09902185,0.17614135,0.10031948,0.15090431,False,False,False,False,True
ACTB,1,0.08547750600000001,0.032075246983640365,0.07973771,0.13245307,0.04248518,0.08994425,0.08276732,False,False,True,False,False
ACTG1,0,0.0454540998,0.012325967837983766,0.043322936,0.05259154,0.038090095,0.030897256,0.062368672,True,False,False,False,False
ACTR3C,0,0.0812899726,0.033836503785817894,0.06268323,0.034321673,0.11271288,0.11347929,0.08325279,False,False,False,False,True
ACVR1,0,0.12201166999999999,0.018331240771974493,0.13026592,0.14096464,0.13287614,0.10905967,0.09689198,False,False,False,True,False
ACVR1C,0,0.12840001800000003,0.013970037532063757,0.13772433,0.13429558,0.10363385,0.13307723,0.1332691,True,False,False,False,False
ADAM12,0,0.089044307,0.01670932889628336,0.09886713,0.060049765,0.09340569,0.09140266,0.10149629,True,False,False,False,False
ADAM28,0,0.056393777,0.00861361416291646,0.058479045,0.06444782,0.06427039,0.04611427,0.04865736,False,False,False,False,True
ADAMTS12,0,0.0694710142,0.01851960169723175,0.062342394,0.06413028,0.09770336,0.07521414,0.047964897,True,False,False,False,False
ADAMTS18,0,0.077899885,0.018570512015215142,0.07277317,0.07032826,0.10121899,0.09123973,0.053939275,True,False,False,False,False
ADAMTS19,0,0.039588811,0.023527290397379275,0.01048256,0.039687052,0.050696943,0.071812734,0.025264766,False,True,False,False,False
ADAMTS5,0,0.112353686,0.02999220341935768,0.14272249,0.1333609,0.06552472,0.11403439,0.10612593,False,False,False,False,True
ADARB1,0,0.09405836520000001,0.025095945001866394,0.111186765,0.102263145,0.11889692,0.080867246,0.05707775,True,False,False,False,False
ADD3-AS1,0,0.14714660699999998,0.03046461050344432,0.16189957,0.15515715,0.18615401,0.11550248,0.117019825,False,False,False,True,False
ADGRA2,0,0.07544980459999999,0.020911191815215023,0.055664863,0.09053019,0.099353,0.07953612,0.05216485,False,False,False,False,True
ADGRG6,0,0.066802665,0.01232555942823692,0.06539503,0.074656315,0.08159307,0.04912161,0.0632473,False,True,False,False,False
ADGRL2,0,0.140416882,0.016776515791011852,0.14279659,0.16063014,0.15129313,0.12775537,0.11960918,False,False,False,True,False
ADGRL3,0,0.151143918,0.01916458575446049,0.15469675,0.17879651,0.12588826,0.15242866,0.14390941,False,False,True,False,False
ADIPOR2,0,0.0940583418,0.025095917492521196,0.111186594,0.102263175,0.11889692,0.08086728,0.05707774,False,True,False,False,False
ADNP,1,0.142937836,0.015299059324572206,0.15028383,0.16646355,0.13032766,0.13504475,0.13256939,False,False,True,False,False
ADNP2,0,0.13418601800000002,0.016572291313434,0.14458404,0.1577281,0.12153207,0.12852,0.11856588,False,False,False,True,False
AFF1,0,0.0668026538,0.012325555785663266,0.06539501,0.074656315,0.081593044,0.0491216,0.0632473,False,False,False,False,True
AFF4,0,0.148030842,0.017589054801063653,0.1514281,0.1740365,0.12573004,0.14816204,0.14079753,False,False,True,False,False
AHCTF1,0,0.12472790479999998,0.010781966972703788,0.14291596,0.12516406,0.120493904,0.11502862,0.12003698,False,True,False,False,False
AHDC1,1,0.12828103400000002,0.015148485909840302,0.14759135,0.13676593,0.10708954,0.12394458,0.12601377,False,False,True,False,False
AHR,0,0.157806132,0.015013275332883566,0.1689493,0.17567788,0.13756321,0.15120944,0.15563083,False,True,False,False,False
AHRR,0,0.0658040002,0.039456289656868336,0.020088095,0.05672673,0.064420566,0.12907067,0.05871394,True,False,False,False,False
AIF1,0,0.064162034,0.00851848283244543,0.059065875,0.067044355,0.07685762,0.06338592,0.0544564,False,False,True,False,False
AKAIN1,0,0.083783603,0.007206469286921646,0.074590035,0.08948051,0.08136179,0.08093866,0.09254702,False,True,False,False,False
AKAP13,0,0.056393771999999995,0.008613613640038513,0.058479045,0.064447805,0.06427039,0.04611426,0.04865736,False,False,False,False,True
ALCAM,0,0.119644006,0.02589348446793286,0.13746235,0.11254479,0.15000387,0.08254349,0.11566553,False,True,False,False,False
ALDH1A2,0,0.11257544959999999,0.012219065250255715,0.12055438,0.12779099,0.105407186,0.096744336,0.112380356,False,False,False,False,True
ALPK1,0,0.066802686,0.012325574275908201,0.06539504,0.07465641,0.08159307,0.04912161,0.0632473,False,False,True,False,False
ALX3,0,0.07464576240000001,0.03571104050895464,0.048936192,0.06472873,0.13148132,0.04298667,0.0850959,True,False,False,False,False
ALX4,0,0.06624934140000001,0.03453693927752688,0.08724529,0.11679687,0.035801593,0.04708411,0.044318844,False,False,False,False,True
AMBN,0,0.07746116880000001,0.022093191682077244,0.06527633,0.07006811,0.11431965,0.079808414,0.05783334,False,False,True,False,False
AMD1,0,0.07913020400000001,0.014359482436128399,0.09510697,0.09088352,0.06847729,0.07986745,0.06131579,True,False,False,False,False
AMER2,0,0.0535277978,0.006789731531562622,0.06121208,0.046484463,0.060315773,0.048795003,0.05083167,False,False,True,False,False
ANAPC11,0,0.0423227068,0.003995735621988985,0.044764496,0.039818157,0.04642115,0.043957803,0.036651928,False,False,True,False,False
ANGPT2,0,0.10282721400000001,0.02553896036259366,0.12608342,0.06617463,0.10036897,0.09353588,0.12797317,False,False,True,False,False
ANGPTL5,0,0.07446010239999999,0.02633222397531152,0.058087416,0.05450023,0.09801662,0.107964166,0.05373208,False,False,False,False,True
ANGPTL7,0,0.0573459068,0.04205882079281801,0.046530593,0.033423014,0.12308182,0.013696897,0.06999721,False,True,False,False,False
ANKRD30B,0,0.165985424,0.017983408873833682,0.16673104,0.19094162,0.14487448,0.1740349,0.15334508,True,False,False,False,False
ANKRD42,0,0.09405836399999999,0.025095922594168908,0.11118662,0.102263205,0.11889695,0.08086728,0.057077765,False,False,False,False,True
ANKRD46,0,0.0733891612,0.019473115963630917,0.09931207,0.08240815,0.075374186,0.0611599,0.0486915,False,False,False,True,False
