gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A1CF,-1,0.17613649280000002,0.10522739418582217,0.31087837,0.07313753,0.22508723,0.20605755,0.065521784,False,False,False,False,False
A2M,0,0.0038535106087999997,0.007871211529232768,0.0002860741,8.4677304e-05,0.00054396974,0.0004221749,0.017930657,False,False,True,False,False
ABCA1,-1,0.1127688826,0.03730179570835845,0.060068343,0.15678388,0.11666736,0.09486004,0.13546479,False,False,False,False,False
ABCB1,0,0.052118597319999994,0.031369761681551936,0.0018716396,0.044667564,0.0705092,0.060699273,0.08284531,False,False,False,False,True
ABL1,-1,0.116948396,0.06345653292062119,0.03556829,0.16011389,0.19842336,0.09046817,0.10016827,False,False,False,False,False
ACHE,-1,0.0061993937720000005,0.0056579668163025554,0.004360873,0.0038840298,0.0070946575,0.00030545756,0.015351951,False,False,False,False,False
ACKR3,-1,0.004678502623,0.0055797732705201225,0.013817582,0.0021705849,0.0012872515,6.0718015e-05,0.0060563767,False,False,False,False,False
ACTB,-1,0.0032618051827999995,0.004908089344684983,0.0010361227,0.0016246167,0.0016190622,6.1931314e-05,0.011967293,False,False,False,False,False
ACTG1,-1,0.0046785025029999995,0.005579773361686497,0.013817582,0.0021705849,0.0012872509,6.0718015e-05,0.0060563767,False,False,False,False,False
ACVR1,-1,0.180551718,0.06725254888165741,0.1067556,0.21591581,0.2727186,0.12669648,0.1806721,False,False,False,False,False
ADAM23,-1,0.10793230740000001,0.05639775630401145,0.030979823,0.15395792,0.17158395,0.098490864,0.08464898,False,False,False,False,False
ADAM28,0,0.0038535095988,0.007871212058657519,0.00028607517,8.4677224e-05,0.0005439653,0.0004221733,0.017930657,False,True,False,False,False
ADAMTS20,0,0.1079323006,0.056397748006769576,0.030979823,0.15395792,0.17158392,0.09849086,0.08464898,False,False,False,False,True
ADAMTS6,0,0.14285845999999996,0.05980505166912365,0.21628919,0.10279134,0.15775815,0.17314398,0.06430964,False,False,False,False,True
ADAMTSL3,-1,0.1079323006,0.056397748006769576,0.030979823,0.15395792,0.17158392,0.09849086,0.08464898,False,False,False,False,False
ADAP2,-1,0.009601665546,0.011873046145269794,0.0008106137,0.00085428293,0.019487621,0.0015311561,0.025324654,False,False,False,False,False
ADCY2,1,0.12167242679999998,0.05506902439810815,0.048076004,0.1665106,0.18555906,0.10252852,0.10568795,False,False,False,True,False
ADD3-AS1,-1,0.145222132,0.033380896908053105,0.11915847,0.1485105,0.20121303,0.1349543,0.12227436,False,False,False,False,False
ADGRG1,-1,0.008000941959999999,0.014383795818106749,0.0020578983,0.0005390905,0.000960529,0.002763929,0.033683263,False,False,False,False,False
ADGRL2,-1,0.09459216479999999,0.04185587198598857,0.032575656,0.14206943,0.12111817,0.080473274,0.096724294,False,False,False,False,False
ADNP,-1,0.086485182,0.03375800222170101,0.03839743,0.13022722,0.07390484,0.09100471,0.09889171,False,False,False,False,False
ADNP2,-1,0.08330002780000001,0.036784581777024046,0.031146754,0.13463405,0.08428085,0.07791354,0.088524945,False,False,False,False,False
ADRA1A,-1,0.0723582219,0.06201539794478896,0.0041905595,0.02759988,0.16413723,0.08950876,0.07635468,False,False,False,False,False
ADSSL1,-1,0.0542154142,0.035204073895980674,0.022312315,0.06570212,0.11040723,0.038574316,0.03408109,False,False,False,False,False
AFF1,-1,0.10872674460000001,0.033537070988222416,0.062030047,0.14607915,0.09488038,0.105114646,0.1355295,False,False,False,False,False
AFF4,0,0.1126282882,0.03851679774384744,0.053150315,0.1571435,0.12946996,0.103641026,0.11973664,False,False,True,False,False
AGAP2,-1,0.0046785014229999995,0.00557977081367863,0.013817576,0.0021705849,0.0012872515,6.0718015e-05,0.0060563767,False,False,False,False,False
AHCTF1,-1,0.0944289374,0.03616706170456585,0.037813067,0.13732924,0.10379187,0.08992336,0.10328715,False,False,False,False,False
AHDC1,-1,0.1079323006,0.056397748006769576,0.030979823,0.15395792,0.17158392,0.09849086,0.08464898,False,False,False,False,False
AHNAK2,-1,0.0046785025029999995,0.005579773361686497,0.013817582,0.0021705849,0.0012872509,6.0718015e-05,0.0060563767,False,False,False,False,False
AHR,0,0.0723582876,0.06201557107380137,0.004190563,0.027599894,0.16413775,0.089508526,0.076354705,False,False,False,False,True
AIRN,-1,0.003425316874093668,0.007575279897265494,7.3892864e-10,7.8628706e-05,7.172629e-05,6.6355397e-09,0.016976222,False,False,False,False,False
AJAP1,-1,0.07235825326,0.06201545715870358,0.0041905553,0.027599921,0.16413742,0.08950869,0.07635468,False,False,False,False,False
AK5,-1,0.116948396,0.06345653292062119,0.03556829,0.16011389,0.19842336,0.09046817,0.10016827,False,False,False,False,False
AK9,-1,0.02131109883784,0.02825700857939807,1.3633846e-06,0.0021025403,0.050507586,6.8945046e-06,0.05393711,False,False,False,False,False
ALCAM,-1,0.1159605208,0.04231478280311195,0.051348098,0.16267267,0.14250949,0.11725425,0.106018096,False,False,False,False,False
ALDH1A2,-1,0.1075534476,0.044002395725649394,0.08648691,0.1446652,0.044247568,0.111192,0.15117556,False,False,False,False,False
ALX3,-1,0.0943245386,0.07560225409947911,0.009310835,0.117404684,0.2100592,0.056000564,0.07884741,False,False,False,False,False
AMOTL1,-1,0.15588414,0.07979341636224382,0.07209976,0.19789363,0.26810285,0.09229735,0.14902711,False,False,False,False,False
ANKFN1,-1,0.1761361876,0.10522734569957294,0.31087837,0.073137194,0.22508621,0.20605738,0.065521784,False,False,False,False,False
ANKRD29,-1,0.051607740039999996,0.0310956624007896,0.0019740402,0.04432886,0.06882828,0.05989957,0.08300795,False,False,False,False,False
ANKRD30A,-1,0.10755343800000002,0.04400238446377048,0.08648691,0.14466515,0.04424757,0.111192,0.15117556,False,False,False,False,False
ANKRD30B,-1,0.0723582393,0.062015427306076565,0.0041905595,0.027599907,0.16413733,0.08950872,0.07635468,False,False,False,False,False
ANKRD30BL,-1,0.0833000368,0.03678458056239562,0.031146754,0.13463405,0.08428086,0.077913575,0.088524945,False,False,False,False,False
ANKRD34B,-1,0.008250097511,0.015235592294344524,7.4311065e-05,0.0017821885,0.0038827166,0.00014837539,0.035362896,False,False,False,False,False
ANKRD50,-1,0.0945921636,0.0418558742084907,0.03257565,0.14206943,0.12111817,0.080473274,0.096724294,False,False,False,False,False
ANKRD55,-1,0.16190203250599997,0.2420739476352362,9.275593e-05,0.14378957,0.58119035,0.0007578666,0.08367962,False,False,False,False,False
ANKRD6,-1,0.047048541000000006,0.027192171078213968,0.013396478,0.06380657,0.044734064,0.030628543,0.08267705,False,False,False,False,False
ANKS1A,-1,0.0950383938,0.030358035425758406,0.09932909,0.0898782,0.052785974,0.13812128,0.095077425,False,False,False,False,False
ANO10,-1,0.0945921668,0.04185587482174765,0.032575656,0.14206944,0.12111817,0.080473274,0.096724294,False,False,False,False,False
ANXA1,-1,0.00559530350565572,0.012386804607074621,6.5029786e-09,2.991091e-05,0.00019228124,1.2838753e-06,0.027753035,False,False,False,False,False
ANXA11,-1,0.15588414199999998,0.07979340191349828,0.0720998,0.1978936,0.26810285,0.09229735,0.14902711,False,False,False,False,False
ANXA4,-1,0.11423784680000001,0.04380214228833416,0.062635444,0.12680772,0.17680661,0.1206614,0.08427806,False,False,False,False,False
ANXA5,-1,0.0049249897268,0.010323341062869971,0.0004919985,5.6771754e-05,0.00010721678,0.0005816136,0.023387348,False,False,False,False,False
AP1S1,-1,0.004678501303,0.0055797709048450135,0.013817576,0.0021705849,0.0012872509,6.0718015e-05,0.0060563767,False,False,False,False,False
APBB1IP,0,0.0038535082408,0.007871212800830031,0.0002860708,8.4677304e-05,0.0005439612,0.0004221749,0.017930657,False,False,False,False,True
APCDD1,-1,0.0840297704,0.07035462080378226,0.009338162,0.0837405,0.1744032,0.02186172,0.13080527,False,False,False,False,False
APLP1,-1,0.004678501483,0.005579770803715213,0.013817576,0.0021705858,0.0012872509,6.0718015e-05,0.0060563767,False,False,False,False,False
APOBEC4,-1,0.002288975730106499,0.005116902509326078,8.034284e-14,1.1021203e-09,2.5085276e-06,2.073185e-11,0.011442369,False,False,False,False,False
ARAP2,-1,0.107553426,0.04400236996329096,0.08648691,0.14466514,0.04424757,0.111192,0.15117551,False,False,False,False,False
ARC,-1,0.01672235801955,0.024700555825239234,3.832075e-08,9.369701e-05,0.05506716,5.6316767e-05,0.028394578,False,False,False,False,False
ARFGAP1,-1,0.008250096991,0.015235592508245199,7.4311065e-05,0.0017821877,0.0038827148,0.00014837539,0.035362896,False,False,False,False,False
ARFGEF3,-1,0.10793230140000001,0.05639774783936149,0.030979823,0.15395792,0.17158392,0.098490864,0.08464898,False,False,False,False,False
ARHGAP11B,-1,0.015044710239999998,0.017121504865970562,0.0020267863,0.0020657661,0.032804273,0.0035855628,0.034741163,False,False,False,False,False
ARHGAP15,-1,0.005363091754,0.009991742096414721,0.00062289723,0.00024438187,0.001793109,0.00094746967,0.023207601,False,False,False,False,False
ARHGAP18,-1,0.0950386772,0.030357048398587754,0.099330336,0.08987968,0.05278688,0.13811944,0.09507705,False,False,False,False,False
ARHGAP20,-1,0.10793230140000001,0.05639774783936149,0.030979823,0.15395792,0.17158392,0.098490864,0.08464898,False,False,False,False,False
ARHGAP24,0,0.09233158059999999,0.054527880368345445,0.052028175,0.061942868,0.18005133,0.11125493,0.0563806,False,False,False,False,True
ARHGAP25,-1,0.006138395638,0.010099334513675826,0.00096510054,0.00051384675,0.003595927,0.0015359839,0.02408112,False,False,False,False,False
ARHGAP31,-1,0.009601698988,0.01187307991097269,0.0008106125,0.00085428334,0.0194878,0.0015311561,0.025324643,False,False,False,False,False
ARHGAP42,-1,0.07235819548,0.062015357331022695,0.0041905534,0.027599894,0.16413713,0.08950872,0.07635468,False,False,False,False,False
ARHGAP6,-1,0.1026938302,0.0360264673564012,0.043595057,0.14155814,0.11292267,0.11181006,0.103583224,False,False,False,False,False
ARHGDIG,-1,0.004678501303,0.0055797709048450135,0.013817576,0.0021705849,0.0012872509,6.0718015e-05,0.0060563767,False,False,False,False,False
ARHGEF10,-1,0.07235827308000001,0.062015484882877156,0.0041905534,0.027599907,0.16413748,0.08950872,0.076354705,False,False,False,False,False
ARHGEF28,-1,0.12509819,0.03213801254036021,0.15306906,0.11141606,0.10070247,0.16561723,0.09468613,False,False,False,False,False
ARHGEF6,-1,0.15588414199999998,0.07979340191349828,0.0720998,0.1978936,0.26810285,0.09229735,0.14902711,False,False,False,False,False
ARID3A,-1,0.008250094671,0.015235583524975007,7.4311065e-05,0.0017821877,0.0038827222,0.00014837539,0.035362877,False,False,False,False,False
ARID3B,-1,0.10793230140000001,0.05639774783936149,0.030979823,0.15395792,0.17158392,0.098490864,0.08464898,False,False,False,False,False
ARID3C,-1,0.007073968079692,0.014156349841706153,4.18019e-08,6.8060326e-05,0.0030094932,5.6807056e-07,0.032291677,False,False,False,False,False
ARID5A,-1,0.004678502694000001,0.005579773249177282,0.013817582,0.0021705858,0.0012872509,6.071807e-05,0.0060563767,False,False,False,False,False
ARID5B,-1,0.116948402,0.06345653802240137,0.03556829,0.16011392,0.19842336,0.09046817,0.10016827,False,False,False,False,False
ARL17B,-1,0.008250097336,0.015235592389129185,7.431114e-05,0.0017821877,0.0038827166,0.00014837524,0.035362896,False,False,False,False,False
ARL4C,-1,0.0032618050828,0.004908089401369024,0.0010361222,0.0016246167,0.0016190622,6.1931314e-05,0.011967293,False,False,False,False,False
ARL6IP1,-1,0.008250097480999998,0.015235592314285631,7.4311065e-05,0.0017821885,0.0038827166,0.00014837524,0.035362896,False,False,False,False,False
ARNT,-1,0.10793230740000001,0.05639775630401145,0.030979823,0.15395792,0.17158395,0.098490864,0.08464898,False,False,False,False,False
ARNT2,-1,0.155884148,0.07979340586208311,0.0720998,0.19789363,0.26810285,0.09229735,0.14902711,False,False,False,False,False
ARNTL,-1,0.0833000348,0.03678458049573595,0.031146754,0.13463405,0.08428085,0.077913575,0.088524945,False,False,False,False,False
ARPP21,-1,0.15588414,0.07979341636224382,0.07209976,0.19789363,0.26810285,0.09229735,0.14902711,False,False,False,False,False
ASCL1,-1,0.0008089255912180577,0.0018038657774233295,5.7367483e-12,7.450444e-07,8.1098615e-06,4.445354e-11,0.004035773,False,False,False,False,False
ASXL3,-1,0.0833000348,0.03678458049573595,0.031146754,0.13463405,0.08428085,0.077913575,0.088524945,False,False,False,False,False
