gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A4GALT,0,0.0525908896,0.021476409859586595,0.043155365,0.06870883,0.045241278,0.07977489,0.026074085,False,True,False,False,False
AAGAB,0,0.0180161516,0.006689952605852847,0.023577822,0.01466648,0.013859013,0.02665996,0.011317483,False,False,False,True,False
ABCA1,0,0.00748728454,0.007828782965267908,0.0015527628,0.007668048,0.0025031592,0.020837942,0.0048745107,True,False,False,False,False
ABCA4,0,0.010348543080000001,0.006859082072717219,0.020116847,0.002589883,0.00850455,0.014083926,0.0064475094,False,False,False,True,False
ABCB4,0,0.021164460200000002,0.0036499103488173102,0.022385092,0.023239711,0.016164426,0.018773207,0.025259865,False,False,False,True,False
ABCG2,0,0.0381720606,0.004050872072872679,0.037056886,0.041557323,0.03284033,0.03655483,0.042850934,False,False,False,True,False
ABHD12,0,0.007460178295032001,0.008039455180654988,0.0005880761,0.019487446,2.9567516e-07,0.0065699047,0.010655169,False,False,True,False,False
ABHD17C,0,0.0408452028,0.005047083146940686,0.04340228,0.042339113,0.034035526,0.046858385,0.03759071,True,False,False,False,False
ABI2,0,0.024248377800000002,0.004321377081094311,0.021668963,0.031389546,0.020614408,0.02247846,0.025090512,False,False,True,False,False
ABL1,0,0.0414646034,0.005956640677702686,0.041468948,0.04750632,0.038241815,0.046800267,0.033305667,True,False,False,False,False
ABLIM1,1,0.0273810938,0.004456453970011605,0.0309759,0.02978419,0.02273483,0.031077985,0.022332564,False,False,True,False,False
ABRACL,0,0.0449094308,0.011833567053371661,0.04012771,0.042783204,0.0419443,0.06526052,0.03443142,False,False,False,False,True
ACBD6,0,0.0606398404,0.011134855855866065,0.06294387,0.06827323,0.0715058,0.057234704,0.043241598,False,False,True,False,False
ACE,0,0.03490136740000001,0.007282519988416015,0.045177255,0.03294889,0.03745781,0.03376338,0.025159502,False,False,False,True,False
ACER1,0,0.010928750300000001,0.00627609603757911,0.005453758,0.01507357,0.0043562665,0.019121477,0.01063868,False,False,False,False,True
ACP7,0,0.00428205322,0.0023160320222759844,0.0027216955,0.005180794,0.0037745456,0.0078053717,0.0019278593,False,False,True,False,False
ACSBG1,0,0.006541963452,0.004644105776595129,0.009723944,0.009869281,0.0021190795,0.010153666,0.00084384676,True,False,False,False,False
ACTA2,0,0.025901364399999998,0.01539021857729244,0.026678482,0.042679235,0.039300676,0.012255685,0.008592744,False,False,True,False,False
ACTB,0,0.0212908771,0.010632603354192674,0.03768721,0.020950144,0.023951933,0.012645068,0.0112200305,False,True,False,False,False
ACTN2,0,0.0293267222,0.008106687512428068,0.04223987,0.02986853,0.022689508,0.02969523,0.022140473,False,True,False,False,False
ACTR6,0,0.01483074732,0.010620525058249782,0.032861922,0.011963927,0.0050762836,0.014132948,0.010118656,True,False,False,False,False
ACVR1,0,0.0419923866,0.006250099583150001,0.038047045,0.03911001,0.035549976,0.049816642,0.04743826,False,False,False,False,True
ACVR1C,0,0.0369488856,0.021306556280054956,0.05280639,0.04823273,0.0212022,0.007542753,0.054960355,True,False,False,False,False
ACVR2A,0,0.013307160600000001,0.006830495123197095,0.015750233,0.014054221,0.013529068,0.020934567,0.002267714,False,True,False,False,False
ACYP2,0,0.036199461,0.014623902440798574,0.05543831,0.027678207,0.043881647,0.036601577,0.017397564,True,False,False,False,False
ADAM15,0,0.013324347402,0.009273660111443418,0.017311025,0.0092322705,0.02482205,0.015187129,6.926251e-05,False,True,False,False,False
ADAM20,0,0.009248790339999998,0.007060274010916303,0.002753712,0.010538331,0.015706206,0.016141465,0.0011042377,False,True,False,False,False
ADAM28,0,0.028622235419999996,0.02446496576329047,0.0014133871,0.058832794,0.026378004,0.047424417,0.009062575,True,False,False,False,False
ADAM32,0,0.0401315346,0.0035221980957236493,0.041000456,0.042988222,0.037237685,0.043714877,0.035716433,False,False,False,True,False
ADAMTS1,0,0.029334330399999997,0.006236183115231408,0.038006715,0.024565289,0.025772758,0.02442727,0.03389962,False,True,False,False,False
ADAMTS10,0,0.03418136,0.0035674144129776244,0.036305234,0.035419885,0.028783735,0.037811976,0.03258597,False,False,False,False,True
ADAMTS16,0,0.07166194099999999,0.01172088219235886,0.05406033,0.07282132,0.067800105,0.08475626,0.07887169,False,False,True,False,False
ADAMTS7,0,0.021682061699999998,0.006683506790734707,0.029880693,0.015222217,0.024775904,0.024189206,0.0143422885,False,False,True,False,False
ADAMTS9,0,0.02948038208,0.02280737836680557,0.04910355,0.019658659,0.015732877,0.057933513,0.0049733114,False,False,False,False,True
ADARB1,0,0.04508243520000001,0.006221371967147414,0.054409854,0.042107765,0.03930663,0.041227024,0.048360903,True,False,False,False,False
ADARB2,0,0.0173020118,0.007338251068494945,0.018242344,0.01093724,0.010178906,0.028295217,0.018856352,False,False,False,False,True
ADCY1,0,0.01547065806,0.012333694982412378,0.021771787,0.000142887,0.024843121,0.026386762,0.0042087333,False,False,False,False,True
ADCY2,1,0.04737855719999999,0.013303394513013931,0.05053373,0.05319859,0.04167053,0.028050696,0.06343924,False,True,False,False,False
ADCY3,0,0.05491885480000001,0.0351071081021038,0.027943496,0.037454877,0.024289066,0.08404197,0.100864865,False,False,False,False,True
ADCY7,0,0.0416732208,0.01793031643888794,0.058797333,0.060759794,0.037821665,0.032204147,0.018783165,True,False,False,False,False
ADCY9,0,0.0326336436,0.0056147005205783055,0.04166102,0.028979165,0.027707953,0.03426588,0.0305542,True,False,False,False,False
ADD3,1,0.047684895399999996,0.006558635503568239,0.041019537,0.05429475,0.05028218,0.05249551,0.0403325,False,True,False,False,False
ADD3-AS1,0,0.036814808399999996,0.015975968566247032,0.043476354,0.059886612,0.027102036,0.018158935,0.035450105,True,False,False,False,False
ADGRB3,1,0.06591569259999999,0.021667166839396547,0.041044015,0.068438716,0.047912557,0.093662985,0.07852019,False,False,True,False,False
ADGRD1,0,0.0349035806,0.012367859583390463,0.03314665,0.052931745,0.035267156,0.035108607,0.018063745,False,True,False,False,False
ADGRE5,0,0.041671265400000004,0.017932074030208685,0.05879628,0.06076902,0.037792973,0.032211814,0.01878624,True,False,False,False,False
ADGRF3,0,0.01530730703426,0.02093171673169903,0.051598452,0.002544402,0.009666737,0.012719875,7.0691713e-06,False,False,False,True,False
ADGRG5,0,0.021425318199999998,0.008899783327730075,0.030564876,0.010633802,0.024900071,0.013334052,0.02769379,False,False,True,False,False
ADGRG7,0,0.010442421200000001,0.01344368152951725,0.0014685964,0.00825081,0.004234584,0.03409811,0.0041600056,False,False,False,False,True
ADGRL3,0,0.06921412539999999,0.01273989541238015,0.050731353,0.084123984,0.06438712,0.07706947,0.0697587,False,False,False,True,False
ADGRV1,0,0.004155095074,0.003987614096155605,0.0009343143,0.007269251,0.009245488,0.0032759411,5.048097e-05,True,False,False,False,False
ADH5,0,0.01898053846,0.010078168772491087,0.03339154,0.0075154733,0.019713156,0.022611666,0.011670857,False,True,False,False,False
ADK,0,0.036358229199999995,0.004297802032055478,0.039819937,0.038057186,0.030072153,0.039992295,0.033849575,False,False,False,False,True
ADNP,0,0.0408081958,0.006516364795604926,0.033989698,0.037073445,0.037566666,0.04633513,0.04907604,False,False,False,False,True
