gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
AAGAB,0,0.0006295481150999999,0.0009370369155996631,0.00028891533,2.6864898e-06,6.191557e-07,0.0022442557,0.0006112639,False,False,False,False,True
AAMDC,-1,0.02808769,0.022193741208736493,0.052228354,0.000508164,0.016126081,0.022275351,0.0493005,False,False,False,False,False
AATF,-1,0.03775016066399999,0.037085586932278605,0.0047620563,0.031561133,0.07745633,0.07488968,8.160402e-05,False,False,False,False,False
ABCA1,-1,0.024139172700000003,0.013425631033529447,0.020809075,0.03220536,0.041331314,0.020552183,0.0057979315,False,False,False,False,False
ABCC4,-1,0.037750165679999996,0.03708559317105455,0.0047620563,0.031561133,0.07745633,0.074889705,8.16041e-05,False,False,False,False,False
ABCG2,-1,0.03961850499999999,0.020743539037707148,0.04744267,0.059049755,0.043368064,0.043961335,0.004270701,False,False,False,False,False
ABHD12,-1,0.028087740433999996,0.022194661258084492,0.052230977,0.00050815917,0.01612408,0.022275276,0.04930021,False,False,False,False,False
ABHD17C,0,0.0880815828,0.017498212826043958,0.09045969,0.09447667,0.10766398,0.059891164,0.08791641,False,False,True,False,False
ABHD18,0,0.0042404507199999995,0.004848952359575895,0.01173252,0.00012984472,1.85958e-06,0.003509665,0.0058283643,False,False,False,False,True
ABHD2,0,0.0006295542504400001,0.0009370487804501037,0.00028892662,2.6864718e-06,6.191604e-07,0.0022442855,0.0006112535,False,False,True,False,False
ABHD3,-1,0.0962193828,0.03074582630572659,0.1319132,0.09845275,0.071545854,0.11963897,0.05954614,False,False,False,False,False
ABHD5,-1,0.040115026,0.014019165868356524,0.026588775,0.0429591,0.06288923,0.032779265,0.03535876,False,False,False,False,False
ABLIM1,0,0.0313619704,0.015897076751366923,0.03761414,0.04275541,0.038902372,0.03406509,0.00347284,False,False,False,False,True
ABLIM2,-1,0.02141707326,0.030248787826093398,0.008528978,0.009228508,0.013330653,0.07494457,0.0010526573,False,False,False,False,False
ABLIM3,0,0.00390377583,0.004075230717508318,4.066331e-05,6.801414e-05,0.0031031927,0.008027024,0.008279985,False,False,False,True,False
