gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
AADACL2-AS1,0,0.024186512400000002,0.007041458780334037,0.017596804,0.03309195,0.029737508,0.022883859,0.017622441,True,False,False,False,False
ABCA1,0,0.0240154818,0.009565723964810488,0.011605585,0.016406571,0.032240987,0.032819994,0.027004272,False,True,False,False,False
ABCA10,0,0.0249302054,0.0035937153051107573,0.030020589,0.024947224,0.02242895,0.020790357,0.026463907,False,False,False,True,False
ABCB11,0,0.0371125618,0.02349698222273743,0.026639022,0.07854721,0.033210713,0.023043767,0.024122097,False,False,False,False,True
ABI3BP,0,0.0364137194,0.01528667769843604,0.018055225,0.05578869,0.04176779,0.04253834,0.023918552,True,False,False,False,False
ABL1,0,0.0201529342,0.004660717723367045,0.025726449,0.022458227,0.014651086,0.021915337,0.016013572,False,True,False,False,False
ABLIM1,0,0.0192370962,0.00620851005930551,0.01746331,0.02893362,0.014690783,0.021463243,0.013634525,False,True,False,False,False
ACAN,0,0.020114760399999997,0.005781217395701947,0.022501392,0.024234556,0.02511485,0.017509542,0.011213462,False,False,False,False,True
ACSBG1,0,0.014819427029367999,0.010437565519045119,0.029323345,0.012968701,4.6914684e-07,0.015769102,0.016035518,True,False,False,False,False
ACTB,0,0.04238640280000001,0.01880400046738307,0.054164693,0.06458154,0.029342165,0.04595466,0.017888956,False,True,False,False,False
ACTG1,0,0.019533323000000002,0.007934659629186906,0.010894109,0.017574415,0.016202288,0.03220997,0.020785833,True,False,False,False,False
ACTN2,0,0.021403151,0.002712426900475384,0.018106451,0.019141898,0.023430012,0.021922689,0.024414705,False,True,False,False,False
ACTN3,0,0.01341693947,0.011125980415629589,0.00054912735,0.004981981,0.028961917,0.016610662,0.01598101,False,False,True,False,False
ACTR1A,0,0.014986447,0.004778406638998978,0.012320232,0.016750608,0.013041335,0.022462925,0.010357135,False,False,True,False,False
ACVR1,0,0.015588258599999998,0.004044049156172474,0.009728375,0.019301808,0.014177458,0.015248845,0.019484807,False,False,False,False,True
ACVR1C,0,0.015037893600000001,0.0032646118732178255,0.013791227,0.020805331,0.013739761,0.014110462,0.012742687,True,False,False,False,False
ADAD2,0,0.012432719114991627,0.009438996620861539,0.02544894,0.007826293,5.7495814e-10,0.013204622,0.01568374,False,False,False,False,True
ADAM12,0,0.018581170200000004,0.0029958466441698415,0.014591227,0.022532735,0.019163635,0.019701714,0.01691654,True,False,False,False,False
ADAM28,0,0.0189246668,0.0072475486760992976,0.026588986,0.021773258,0.023218056,0.008764241,0.014278793,False,True,False,False,False
ADAM32,0,0.0214031522,0.0027124237758831484,0.018106468,0.019141892,0.023429988,0.021922689,0.024414724,False,False,True,False,False
ADAM33,0,0.0183343454,0.002505045151616793,0.017594686,0.016537402,0.018649144,0.016382765,0.02250773,False,False,True,False,False
ADAMTS1,0,0.016350725,0.0048859756786449006,0.014313976,0.013226349,0.024645984,0.012801457,0.016765859,False,False,False,True,False
ADAMTS16,0,0.015100435200000002,0.006481709207712091,0.010752734,0.017667562,0.009240977,0.012633987,0.025206916,False,False,True,False,False
ADAMTS18,0,0.0219650446,0.003260829389859549,0.020542847,0.025047146,0.01972784,0.018659372,0.025848018,False,True,False,False,False
ADAMTS19-AS1,0,0.008511645719999999,0.006010668672355564,0.018291958,0.004536308,0.010135014,0.0059868586,0.00360809,False,True,False,False,False
ADAMTS3,0,0.0199444458,0.0007774228397446919,0.019385463,0.019738005,0.02116965,0.01923725,0.020191861,False,True,False,False,False
ADAMTS6,1,0.027540508399999997,0.009408879659991954,0.03921007,0.030822162,0.03133068,0.021100255,0.015239375,False,False,False,False,True
ADAMTS9-AS2,0,0.0245327875,0.011407939489627443,0.038120758,0.029373217,0.02854374,0.0085880915,0.018038131,False,False,True,False,False
ADAMTSL4-AS1,0,0.027755099,0.027006902433555215,0.021318043,0.07437146,0.009503549,0.024836034,0.008746409,False,False,False,True,False
ADARB1,0,0.026907768399999997,0.009199489074549157,0.020546062,0.042952657,0.025269743,0.024553608,0.021216772,False,False,False,True,False
ADARB2,0,0.021103639599999995,0.005752447367883153,0.018502299,0.028053679,0.018860485,0.025968814,0.014132921,False,False,False,True,False
ADCYAP1,0,0.0183343358,0.00250505247924823,0.017594704,0.01653741,0.018649133,0.016382705,0.022507727,True,False,False,False,False
ADD3-AS1,0,0.02192321,0.010125168573071143,0.028436862,0.02815107,0.010843716,0.031209659,0.010974743,False,False,False,False,True
ADGRB2,0,0.020774891599999998,0.005300946649590363,0.014380214,0.028328083,0.018442225,0.02340242,0.019321516,False,False,False,True,False
ADGRF5,0,0.0219513584,0.012633315746006242,0.007701297,0.00935501,0.034619566,0.031840123,0.026240796,False,False,False,False,True
ADGRL2,0,0.020114103,0.00309499356334161,0.01976281,0.025524538,0.018915188,0.018058185,0.018309794,True,False,False,False,False
ADGRL4,0,0.022796993999999998,0.007041631254211164,0.011796321,0.031443868,0.023417542,0.023085741,0.024241498,False,True,False,False,False
ADGRV1,1,0.0245327828,0.011407952630448866,0.038120814,0.029373158,0.028543754,0.008588108,0.01803808,False,False,False,True,False
ADNP,0,0.01133085128,0.002866578461052129,0.0078041754,0.01315959,0.009919535,0.010620327,0.015150629,True,False,False,False,False
ADNP2,0,0.0129022788,0.0023758430533016486,0.010049361,0.015558379,0.012352418,0.011431248,0.015119988,False,False,False,False,True
ADORA3,0,0.0245327754,0.011407878092044806,0.038120605,0.02937323,0.02854374,0.00858812,0.018038182,False,False,True,False,False
ADRA1D,0,0.012432720314992726,0.00943899109801282,0.025448928,0.007826309,5.7496363e-10,0.013204616,0.015683748,False,False,False,False,True
ADTRP,0,0.0149159166,0.006170280256658388,0.025149997,0.010744596,0.015168869,0.014010284,0.009505837,False,False,True,False,False
AEBP1,0,0.0198690274,0.007111134609682115,0.012868836,0.013207575,0.02924403,0.024443088,0.019581608,False,False,True,False,False
AFF1,0,0.0153811166,0.002188247154281207,0.012865576,0.01875707,0.014478982,0.014847911,0.015956044,False,False,False,False,True
AFF2,0,0.02269533826,0.02087670851294922,0.021845452,0.05752269,0.0024597733,0.019414868,0.012233908,False,False,True,False,False
AFF4,0,0.01151741506,0.0037244863265678088,0.0068002623,0.013482119,0.009707954,0.010996947,0.016599793,False,False,True,False,False
AGAP2,0,0.021576498200000002,0.006828259459426662,0.014235221,0.01702218,0.021801237,0.022737026,0.032086827,False,True,False,False,False
AGAP2-AS1,0,0.0189246608,0.007247559818863223,0.026588967,0.021773314,0.023218028,0.008764196,0.014278799,False,False,False,False,True
AGBL3,0,0.022848466399999996,0.0044230595550110215,0.025692912,0.023294797,0.02701704,0.015599858,0.022637725,True,False,False,False,False
AHCTF1,0,0.01082855788,0.0026884442845543912,0.0076371054,0.013682622,0.010011075,0.009256024,0.013555963,False,True,False,False,False
AHDC1,1,0.014924067599999999,0.0023331277976796085,0.011847396,0.017490668,0.013927411,0.014337253,0.01701761,False,False,True,False,False
AHNAK,0,0.010745792662700001,0.007275325004606019,0.012312221,0.0071829325,2.3518135e-06,0.01711092,0.017120538,False,False,False,False,True
AHRR,0,0.0269077698,0.00919948407747316,0.020546062,0.04295265,0.025269745,0.024553608,0.021216784,False,True,False,False,False
AIRE,0,0.0171183584,0.0078115310678011,0.005544267,0.025438381,0.016862376,0.014709735,0.023037033,False,False,False,True,False
AKAP12,0,0.0192306986,0.0016266898613535089,0.019346803,0.021409286,0.020064466,0.017322987,0.018009951,False,False,False,False,True
AKAP13,0,0.011261317900000001,0.00439569570719992,0.0064671445,0.011575263,0.009161624,0.010799646,0.018302912,False,True,False,False,False
AKR1C3,0,0.012432716314992499,0.009438989467784938,0.025448922,0.007826297,5.749625e-10,0.013204629,0.015683733,False,False,True,False,False
ALDH1A2,0,0.018334327200000004,0.002505065583814663,0.017594695,0.016537419,0.01864915,0.016382642,0.02250773,True,False,False,False,False
ALK,0,0.0223473484,0.0038924460155795744,0.025100052,0.027547298,0.018686343,0.02150068,0.018902369,False,True,False,False,False
ALOX5,0,0.019321678000000002,0.005109710766288196,0.02086897,0.026293136,0.02076807,0.013417923,0.015260291,True,False,False,False,False
ALX3,0,0.02006842994,0.01300398462611845,0.019624064,0.037774134,0.0031493697,0.013716196,0.026078386,False,True,False,False,False
AMMECR1,0,0.022848465399999997,0.004423059432684101,0.025692906,0.02329482,0.02701704,0.015599858,0.022637703,True,False,False,False,False
AMOTL1,0,0.022848465499999998,0.004423054552938303,0.0256929,0.023294797,0.02701704,0.0155998655,0.022637725,True,False,False,False,False
AMPD3,0,0.0151004364,0.006481706162659975,0.010752728,0.017667562,0.009240977,0.012634005,0.02520691,False,False,False,False,True
