gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
AACS,-1,0.20270573760000002,0.0998955161093914,0.25830746,0.031289928,0.26494065,0.19683819,0.26215246,False,False,False,False,False
ABCA1,-1,0.44058405,0.1371014404983197,0.30666456,0.4000552,0.38756844,0.670354,0.43827805,False,False,False,False,False
ABCA2,-1,0.16144961200000002,0.06978023683512345,0.20840795,0.05193973,0.18937016,0.13460395,0.22292627,False,False,False,False,False
ABCA5,-1,0.24379140000000002,0.10193370879203258,0.26684657,0.11743703,0.30386007,0.1641094,0.36670393,False,False,False,False,False
ABCC3,0,4.3070775060078827e-05,6.59816661342609e-05,6.120798e-05,2.0214597e-06,0.0001514557,6.687356e-07,3.9416998000000006e-16,False,True,False,False,False
ABCC5-AS1,-1,0.531488418,0.05792519134153483,0.48131862,0.5569009,0.50173277,0.6215433,0.4959465,False,False,False,False,False
ABCC9,0,0.01985671358,0.026395220543284817,0.0035787346,0.0076838247,0.02224622,0.0010411086,0.06473368,False,True,False,False,False
ABCF2,-1,0.33382110200000004,0.08474222019537203,0.23332185,0.39109847,0.33037427,0.44154537,0.27276555,False,False,False,False,False
ABHD17B,-1,0.21104114799999998,0.0823221645037703,0.24011035,0.23038882,0.24832611,0.27023393,0.06614653,False,False,False,False,False
ABHD3,0,0.1810907444,0.15547990357467667,0.061008472,0.04540378,0.2225944,0.14824519,0.42820188,False,True,False,False,False
ABHD8,0,0.274016296,0.1867228883596851,0.48981273,0.06795352,0.23747632,0.13131481,0.4435241,False,False,False,False,True
ABI2,-1,0.500590216,0.13204228339297502,0.43022993,0.5205574,0.39089203,0.7212472,0.44002452,False,False,False,False,False
ABI3BP,-1,0.17960249,0.04806585262617267,0.18791907,0.0953161,0.19826789,0.21448562,0.20202377,False,False,False,False,False
ABL1,-1,0.2012647292,0.11951451823390268,0.15295666,0.12425059,0.24038692,0.096675426,0.39205405,False,False,False,False,False
