gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,-1,0.09257791200000001,0.059561935220578795,0.047474362,0.071774535,0.12820725,0.17841172,0.037021693,False,False,False,False,False
A2ML1,-1,0.554965534,0.29719112518026375,0.25383294,0.9717747,0.39162335,0.7535308,0.40406588,False,False,False,False,False
AAMP,0,0.00026620714351593196,0.0005799329081965112,0.0013034039,1.8382218e-08,5.3860166e-10,2.7535349e-05,7.754776e-08,False,False,False,False,True
AATF,-1,0.554939016,0.2972727922374922,0.25358117,0.9718214,0.39165428,0.7535683,0.40406993,False,False,False,False,False
AATK,-1,0.51821673,0.25672156135583835,0.2490069,0.9036637,0.39535305,0.6387117,0.4043483,False,False,False,False,False
ABCA1,0,0.153829662,0.09851790865526135,0.28338778,0.08491334,0.10333479,0.23445082,0.06306158,False,False,False,False,True
ABCA2,-1,0.386369942,0.24012223114066744,0.15668792,0.71222484,0.36527842,0.5338104,0.16384813,False,False,False,False,False
ABCA6,0,0.18184267939999998,0.1068220714062843,0.2874619,0.17194891,0.14624691,0.2769091,0.026646577,False,False,False,False,True
ABCA8,-1,0.2729216713,0.16083040081013553,0.41467902,0.22190042,0.3741451,0.3383373,0.0155465165,False,False,False,False,False
ABCB9,-1,0.06529035486,0.05838278067585738,0.0008276823,0.13376902,0.120275624,0.032220528,0.03935892,False,False,False,False,False
ABCC3,-1,0.561014932,0.25926686677555644,0.32712364,0.94151574,0.42800218,0.7148503,0.3935828,False,False,False,False,False
ABCG4,-1,0.394302392,0.1769174671924797,0.34777966,0.6043344,0.14875586,0.52268004,0.347962,False,False,False,False,False
ABHD12B,-1,0.253529624,0.0797888164695669,0.32814232,0.35230502,0.20461631,0.1922644,0.19032007,False,False,False,False,False
ABHD17B,-1,0.586354648,0.25777442010583695,0.3337394,0.96081954,0.4529096,0.7402695,0.4440352,False,False,False,False,False
ABHD17C,-1,0.5646099720000001,0.27134423941365027,0.3045628,0.83290327,0.40723425,0.88311946,0.39523008,False,False,False,False,False
