,Cell Type,Fold,AUPRC,Validation AUPRC
0,Chandelier,0,0.5347397289997602,0.500997150997151
1,Chandelier,1,0.6462758735458105,0.27598443223443225
2,Chandelier,2,0.4718345524966332,0.2629324379324379
3,Chandelier,3,0.5073414362752476,0.225
4,Chandelier,4,0.5930200949215884,0.34074074074074073
5,L2.3.IT,0,0.4601273572037067,0.14947478413903098
6,L2.3.IT,1,0.3882573660075249,0.14629067161552595
7,L2.3.IT,2,0.347942377603264,0.316318977956909
8,L2.3.IT,3,0.28541119917452,0.18181073057909042
9,L2.3.IT,4,0.32138249673333663,0.3340435606060606
10,L4.IT,0,0.43071570276126203,0.35885580319084154
11,L4.IT,1,0.33303805942578785,0.29764863404569286
12,L4.IT,2,0.3917416687512827,0.41210185687178097
13,L4.IT,3,0.427195806034632,0.29166666666666663
14,L4.IT,4,0.4491501750327396,0.27677224736048267
15,L5.6.NP,0,0.4176100315247606,0.2704545454545455
16,L5.6.NP,1,0.5081189622439073,0.312120232708468
17,L5.6.NP,2,0.41359030666742647,0.369278622739862
18,L5.6.NP,3,0.3575843142951138,0.21462894248608533
19,L5.6.NP,4,0.37658193289697894,0.28352221608800554
20,L5.ET,0,0.6016858870419374,0.35608465608465606
21,L5.ET,1,0.5937977488367935,0.205650871459695
22,L5.ET,2,0.5688072700528702,0.4262493247618332
23,L5.ET,3,0.4277721225485445,0.47387566137566134
24,L5.ET,4,0.4182482412838083,0.35640035345917703
25,L5.IT,0,0.3322528961204201,0.4224294396121021
26,L5.IT,1,0.4151401316842893,0.34748417885672783
27,L5.IT,2,0.49253377345333704,0.18300653594771243
28,L5.IT,3,0.4581898596449387,0.48316000729793834
29,L5.IT,4,0.5565872709786048,0.1928159967631345
30,L6.CT,0,0.3706212168264119,0.1669172932330827
31,L6.CT,1,0.47490279277097175,0.26666666666666666
32,L6.CT,2,0.29563350029094093,0.45707070707070707
33,L6.CT,3,0.33346923600420253,0.398843537414966
34,L6.CT,4,0.5927525700375706,0.4120098840451512
35,L6.IT.Car3,0,0.3930647044434422,0.4832251082251082
36,L6.IT.Car3,1,0.638950690600266,0.1125
37,L6.IT.Car3,2,0.422224096822008,0.26666666666666666
38,L6.IT.Car3,3,0.498376428123686,0.3614814814814815
39,L6.IT.Car3,4,0.45422543210832717,0.3466666666666667
40,L6.IT,0,0.5481571543656679,0.47797542735042736
41,L6.IT,1,0.3914805321133155,0.23809523809523805
42,L6.IT,2,0.6510809008100029,0.4482828282828283
43,L6.IT,3,0.505991719608192,0.23190724422922565
44,L6.IT,4,0.6209817195766524,0.6592983405483406
45,L6b,0,0.4581196587812635,0.28340301865146583
46,L6b,1,0.4164347297390194,0.18111574332791436
47,L6b,2,0.448459951383727,0.2886970172684458
48,L6b,3,0.346607558778255,0.23513683139562352
49,L6b,4,0.35099738984687057,0.4016666666666666
50,Lamp5.Lhx6,0,0.6399261973904944,0.3689153439153439
51,Lamp5.Lhx6,1,0.6259106995746163,0.8697546897546896
52,Lamp5.Lhx6,2,0.7446538472570886,0.2635854341736695
53,Lamp5.Lhx6,3,0.6499646985727614,0.5177777777777778
54,Lamp5.Lhx6,4,0.4630839790784459,0.8047619047619048
55,Lamp5,0,0.5933449640139986,0.521214837158773
56,Lamp5,1,0.72059336190996,0.6291208791208791
57,Lamp5,2,0.6169462048479366,0.329004329004329
58,Lamp5,3,0.535183680436221,0.28809523809523807
59,Lamp5,4,0.5580892545944471,0.6507575757575758
60,Pax6,0,0.7711457687998307,0.4254668003565062
61,Pax6,1,0.6420686593928074,0.34157411216234745
62,Pax6,2,0.6251705586785231,0.7152777777777777
63,Pax6,3,0.7314950925727334,0.3528138528138528
64,Pax6,4,0.8179147143367422,0.5747205953088306
65,Pvalb,0,0.42677007808895817,0.6801776266061981
66,Pvalb,1,0.5742487434461906,0.39585921325051765
67,Pvalb,2,0.6018354670256455,0.4275048480930834
68,Pvalb,3,0.4831130600885951,0.42465034965034965
69,Pvalb,4,0.47927035166254284,0.3847883597883598
