,Cell Type,Fold,AUPRC,Validation AUPRC
0,Chandelier,0,0.16485065532516016,0.12070053302471076
1,Chandelier,1,0.17605430328875282,0.12979855971667806
2,Chandelier,2,0.1716888129093281,0.14139877769055603
3,Chandelier,3,0.15124839633720966,0.11066114520562959
4,Chandelier,4,0.14139296695918996,0.16502050308832414
5,L2.3.IT,0,0.16690980998849173,0.2280469074217043
6,L2.3.IT,1,0.179176134900824,0.14826504580690616
7,L2.3.IT,2,0.18837078335053245,0.1257947235315393
8,L2.3.IT,3,0.1977363995842766,0.13343838054894908
9,L2.3.IT,4,0.17947539334900642,0.19835927740519388
10,L4.IT,0,0.16531176977303197,0.17323725643969984
11,L4.IT,1,0.1450675430350366,0.18557360465704414
12,L4.IT,2,0.18595148054120614,0.15221407666215328
13,L4.IT,3,0.14893204066162105,0.16953313875165682
14,L4.IT,4,0.14755147237201233,0.12497198398945607
15,L5.6.NP,0,0.1919083943874747,0.2637758040877556
16,L5.6.NP,1,0.21354262310077615,0.1557859060304681
17,L5.6.NP,2,0.17404044083405446,0.16201412914781285
18,L5.6.NP,3,0.18228962321976305,0.22030952528371325
19,L5.6.NP,4,0.2728840612580554,0.12596484699955454
20,L5.ET,0,0.13852553199538697,0.15403777269139413
21,L5.ET,1,0.1294118246525871,0.18850306722501048
22,L5.ET,2,0.15162302352691498,0.08989291425593415
23,L5.ET,3,0.16080400768892247,0.10099651277181301
24,L5.ET,4,0.1636046189965553,0.10137655745829169
25,L5.IT,0,0.16495810686825096,0.14494813378209098
26,L5.IT,1,0.15303754915501228,0.15034335895832576
27,L5.IT,2,0.1561845649927942,0.20612503462013443
28,L5.IT,3,0.16988751217666848,0.14612637006679002
29,L5.IT,4,0.14096652352489425,0.1616730390687362
30,L6.CT,0,0.15739710633831394,0.13726798140928598
31,L6.CT,1,0.1662473139597706,0.19270557317187767
32,L6.CT,2,0.16804097964997722,0.09547526839981466
33,L6.CT,3,0.16470663820901849,0.1589800196666456
34,L6.CT,4,0.1481913082128837,0.14238115519470151
35,L6.IT.Car3,0,0.15881080591166144,0.1156497034052204
36,L6.IT.Car3,1,0.16470948280225345,0.1711269686640686
37,L6.IT.Car3,2,0.15244594106680304,0.16282986254722925
38,L6.IT.Car3,3,0.15629991073156557,0.11698761209576024
39,L6.IT.Car3,4,0.16321051429815725,0.163315612149522
40,L6.IT,0,0.20378630725065966,0.19230038640926603
41,L6.IT,1,0.20539913284138417,0.21237829926358187
42,L6.IT,2,0.21666593976383697,0.13473023519890262
43,L6.IT,3,0.21970061081522974,0.20081795576626754
44,L6.IT,4,0.24645334462193202,0.17153879865579022
45,L6b,0,0.14304640883197797,0.17714840773758112
46,L6b,1,0.13742723994574962,0.11652511666102439
47,L6b,2,0.19134169715001975,0.19218271697324638
48,L6b,3,0.1724055208773328,0.21271226378108024
49,L6b,4,0.18875381103310707,0.16174156268577503
50,Lamp5.Lhx6,0,0.16344999912786168,0.12242602268390047
51,Lamp5.Lhx6,1,0.17008519780563922,0.19199273791033492
52,Lamp5.Lhx6,2,0.1411369985787033,0.1267433994363806
53,Lamp5.Lhx6,3,0.14721151465081345,0.129437446672793
54,Lamp5.Lhx6,4,0.16167236170787286,0.10540334424918564
55,Lamp5,0,0.16811823116929503,0.11902487331627172
56,Lamp5,1,0.1450675588215619,0.17983581863592654
57,Lamp5,2,0.16254220280664777,0.1081420503155827
58,Lamp5,3,0.1285100342508106,0.22858415079595856
59,Lamp5,4,0.16414171928396828,0.1113124187793215
60,Pax6,0,0.1885661695966813,0.15598030504879806
61,Pax6,1,0.16662001344029254,0.15823225878468852
62,Pax6,2,0.17664166926991542,0.15807336884247486
63,Pax6,3,0.1617233858927753,0.14348276753907277
64,Pax6,4,0.17138370750878434,0.13165246774993375
65,Pvalb,0,0.12841214396710013,0.1607987384230489
66,Pvalb,1,0.16404710756720847,0.14172615394516339
67,Pvalb,2,0.15650870811240158,0.1472207837847434
68,Pvalb,3,0.14769859202719127,0.13904023303357843
69,Pvalb,4,0.18072273596837612,0.09037970803393065
70,Sncg,0,0.12168673376586527,0.1621556682692103
71,Sncg,1,0.1346315879292569,0.12922239114482958
72,Sncg,2,0.1589122342278201,0.09314614605531124
73,Sncg,3,0.12356510288829975,0.14867398952568833
74,Sncg,4,0.1446697562927658,0.1445812589238169
75,Sst,0,0.14282222780331605,0.09884776535284862
76,Sst,1,0.1492314076237995,0.17234782722759626
77,Sst,2,0.15475428113827203,0.1449819458523039
78,Sst,3,0.14377143579697532,0.0972109465693291
79,Sst,4,0.1576722684680277,0.13448292393532346
80,Vip,0,0.16559435919047932,0.1733750429049305
81,Vip,1,0.15495077434078708,0.1438025354354755
82,Vip,2,0.14501533530611788,0.13309200514510722
83,Vip,3,0.18694536427323938,0.07921192626410814
84,Vip,4,0.16173639070157275,0.10392087275782075
