gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
ABCA1,-1,0.06974404199999999,0.05003787378375298,0.049364727,0.011817011,0.13867936,0.1013397,0.047519412,False,False,False,False,False
ABCA4,-1,0.009445474214714,0.018128010906216744,1.0262995e-05,0.041685253,3.0213857e-07,0.00081326894,0.004718284,False,False,False,False,False
ABCC9,-1,0.011192304993200002,0.011785147311066965,0.025681457,0.021853209,1.9760266e-05,0.0063780863,0.0020290124,False,False,False,False,False
ABCG2,0,0.0027794797166026597,0.003623620366449723,0.0028520299,0.0020266224,2.4030133e-09,0.00013673588,0.008882008,True,False,False,False,False
ABHD3,-1,0.029814188527347997,0.05948184830849671,0.00029274783,0.13594973,2.6370674e-07,0.0024082211,0.01041998,False,False,False,False,False
ABL1,-1,0.1577467408,0.13927660758785962,0.000313234,0.06687949,0.33741644,0.12165838,0.26246616,False,False,False,False,False
ACTB,-1,0.040066439540000005,0.048610925369674964,0.0055314205,0.027164405,0.0034465622,0.12221447,0.04197534,False,False,False,False,False
ACTG1,-1,0.1022407192,0.08058228200632933,0.11032144,0.08337511,0.046550624,0.23608129,0.034875132,False,False,False,False,False
ACVR1,-1,0.355982128,0.23711608875413193,0.7373016,0.4252822,0.23450123,0.24510352,0.13772209,False,False,False,False,False
ADAM28,0,0.006209971273006,0.011732483056096882,0.0015144107,0.0015628018,0.0008057112,0.027166862,7.066503e-08,False,False,False,True,False
ADAMTS1,-1,0.0574832582,0.050411592545918364,0.018397165,0.033710226,0.01888428,0.08141977,0.13500485,False,False,False,False,False
ADAMTS14,-1,0.36098141899999997,0.23212045587321875,0.112712145,0.27355593,0.25013205,0.7151167,0.45339027,False,False,False,False,False
ADAMTS16,-1,0.13837453784,0.12329484792059643,0.33557978,0.0007159492,0.15047164,0.09128479,0.11382053,False,False,False,False,False
ADAMTS17,-1,0.1896363586544,0.21914110411639637,0.45199046,0.040635906,2.917272e-06,0.05143803,0.40411448,False,False,False,False,False
ADAMTS18,0,0.0037234862100000003,0.0034436434659553465,0.0014616366,0.0073673697,0.0074958336,0.002019921,0.00027267015,False,True,False,False,False
ADAMTS3,-1,0.117092131,0.14367740316165892,0.059612453,0.059499964,0.36813164,0.09204765,0.006168948,False,False,False,False,False
ADAMTSL3,-1,0.00318929672141399,0.004203078301304339,0.00035622358,0.0009992307,3.2706995e-10,0.009936264,0.004654765,False,False,False,False,False
ADCY2,1,0.23719648040000002,0.20036965461309755,0.54858774,0.29360196,0.16908996,0.16117646,0.013526282,False,False,False,False,True
ADD3-AS1,-1,0.04594608644,0.04588049182906489,0.11780392,0.048404463,0.010596034,0.051379662,0.0015463532,False,False,False,False,False
ADGRF2,-1,0.12845612014000002,0.09834226535941308,0.049458247,0.0019993437,0.20766072,0.15834022,0.22482207,False,False,False,False,False
ADGRF5,-1,0.000740824871619,0.0013608955237001115,0.00035017857,0.00019282944,9.9707e-10,3.2351025e-08,0.003161083,False,False,False,False,False
ADGRL2,-1,0.3266813134,0.18560870111300393,0.5176498,0.038937017,0.3662503,0.2677216,0.44284785,False,False,False,False,False
