gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.022750136533999994,0.04966857137730021,7.09001e-05,0.0017793626,0.111590736,0.00015808523,0.00015159874,False,False,False,True,False
AADACL2-AS1,-1,0.00010095666395995601,0.00010795752430209451,3.8025428e-05,0.00020893409,2.8179978e-10,3.081824e-05,0.00022700528,False,False,False,False,False
ABCA1,-1,0.365052948,0.28864345669979574,0.14510794,0.22071338,0.86902755,0.30752483,0.28289104,False,False,False,False,False
ABCB1,0,6.166807908200068e-05,0.00013651679566564656,4.7711825e-07,1.8243815e-06,3.3682715999999997e-18,0.00030587337,1.6552566e-07,False,False,True,False,False
ABCC3,-1,0.1944470265366,0.2973672944239503,0.00030901463,2.2144053e-05,0.044567794,0.6990347,0.22830148,False,False,False,False,False
ABCC4,-1,6.793853583569681e-06,1.1105919369976448e-05,4.6586633e-06,2.8182353e-07,1.3878484e-12,2.6604787e-06,2.6368301e-05,False,False,False,False,False
ABHD3,-1,0.203358364,0.14945317261810007,0.079476945,0.2553656,0.29118037,0.017264025,0.37350488,False,False,False,False,False
ABI1,-1,0.192326562,0.0689938510430605,0.20331688,0.11423461,0.14385904,0.20655514,0.29366714,False,False,False,False,False
ABL1,-1,0.138759562,0.03837136622798398,0.08211069,0.14028698,0.14475045,0.13653658,0.19011311,False,False,False,False,False
ABRACL,-1,0.11216491299999998,0.06549234227522573,0.14046088,0.13226809,0.0707689,0.19296648,0.024360215,False,False,False,False,False
ACAT2,-1,0.015344472785999999,0.022129674122943727,0.00023088373,0.0011666979,0.0071920273,0.014547435,0.05358532,False,False,False,False,False
ACO1,-1,0.105735939,0.10940011799296091,0.024955085,0.023696773,0.2626271,0.038042177,0.17935856,False,False,False,False,False
ACTA2,-1,0.0167084329712014,0.02724626972672759,1.40950615e-05,0.062838815,4.054507e-09,0.00028092574,0.020408325,False,False,False,False,False
ACTB,-1,0.04545369166,0.07693843711018271,0.012673545,0.002895898,0.18194005,0.0027489823,0.027009983,False,False,False,False,False
ACTG1,-1,0.08326865141999999,0.10042249270306286,0.0026025341,0.001987548,0.052093435,0.24149443,0.11816531,False,False,False,False,False
ACTRT3,-1,0.139452281112,0.1971060064271188,0.2556961,0.43268403,0.0023218147,0.00054704346,0.0060124174,False,False,False,False,False
ACVR1C,-1,0.038983114931506004,0.06512466046770475,0.000983108,0.15407407,4.0465753e-07,0.016108882,0.02374911,False,False,False,False,False
ACVRL1,-1,0.00014563489316,0.00029970019488704457,4.4592307e-06,3.5666046e-05,0.0006811795,1.5140791e-06,5.35561e-06,False,False,False,False,False
ADAL,-1,0.0892924272,0.09653129085889871,0.02465305,0.07392043,0.0599991,0.029868586,0.25802097,False,False,False,False,False
ADAM28,0,0.0003018622969,0.0006102288169909291,0.00011436216,1.7390036e-06,9.733328e-07,2.2609881e-06,0.001389976,False,False,False,False,True
ADAMTS3,0,0.008588597289594,0.018759969577196684,0.042144947,0.0005587944,2.0124477e-31,0.00023883505,4.0999797e-07,True,False,False,False,False
ADAMTS7,-1,0.015333769032,0.024940172512806398,0.000720428,0.058785662,0.0020077964,0.014230692,0.00092426676,False,False,False,False,False
ADAMTS9,-1,0.09002970950000001,0.11234894055662506,0.02536109,0.23759408,0.0004611826,0.18416004,0.0025721549,False,False,False,False,False
ADAMTSL1,-1,0.00038956908200000003,0.000488356556015261,4.705315e-05,0.00037250502,5.905224e-05,0.0002401471,0.0012290879,False,False,False,False,False
ADCY2,1,0.15453981919999998,0.06102795405316085,0.231628,0.12996012,0.13102461,0.079307586,0.20077878,False,True,False,False,False
ADCY7,-1,0.001723367995,0.003371048641297656,0.00055837585,2.2549788e-05,0.00026733265,2.7694387e-05,0.0077408873,False,False,False,False,False
ADD3,1,0.220355786,0.06953227312685548,0.17232847,0.18503399,0.1566129,0.31515634,0.27264723,False,False,True,False,False
ADD3-AS1,-1,0.2387422076,0.14289061572646328,0.041068938,0.1612852,0.31209248,0.41331652,0.2659479,False,False,False,False,False
ADGRF5,-1,0.03524007516886,0.04780533364560561,0.08780755,1.330003e-07,1.3444e-08,0.0009880334,0.087404646,False,False,False,False,False
ADGRL2,-1,0.18088313679999998,0.05885022567904954,0.18596376,0.113501854,0.1481281,0.18541877,0.2714032,False,False,False,False,False
ADGRL3,-1,0.07274386880000001,0.05496782979207691,0.06479852,0.06669682,0.014993254,0.05349056,0.16374019,False,False,False,False,False
ADGRL3-AS1,-1,0.0009300916114000001,0.002012278913614355,2.4143006e-05,2.5406162e-06,1.7356848e-06,9.288905e-05,0.0045291497,False,False,False,False,False
ADGRL4,-1,0.004215320482,0.004571310320491628,0.01166506,0.003901944,0.004531259,0.00024171051,0.0007366289,False,False,False,False,False
ADGRV1,-1,0.22932671663999998,0.2926292643039138,0.006236529,0.34957936,0.0055213342,0.68833464,0.09696172,False,False,False,False,False
ADNP,-1,0.16670293,0.049257409485624605,0.1833788,0.13554749,0.20245318,0.09710946,0.21502572,False,False,False,False,False
ADNP2,-1,0.1309903214,0.05904575427145495,0.1708941,0.16334683,0.15422049,0.027533807,0.13895638,False,False,False,False,False
