gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
ABCA1,-1,0.18854732146901534,0.3068260044032246,0.7238261,1.00111556e-13,0.052736096,1.13449765e-08,0.1661744,False,False,False,False,False
ABCC3,-1,0.030180049715742573,0.06423300579700646,0.144994,3.8401577e-05,1.71263e-12,2.1865839e-16,0.005867847,False,False,False,False,False
ABCF2,-1,0.002418090444729,0.005294559135998902,0.0001959316,6.391458e-06,3.4165645e-08,3.3070897000000002e-21,0.011888095,False,False,False,False,False
ABL1,-1,0.11768190496,0.09894365317188376,0.0025224078,0.2092568,0.018070437,0.17984316,0.17871672,False,False,False,False,False
ACKR3,-1,0.03451052914,0.046878782458953744,0.0056236517,0.009230784,0.03809655,0.004915014,0.114686646,False,False,False,False,False
ACO1,-1,0.3384041,0.12103340254451724,0.44332904,0.454644,0.16256239,0.3483614,0.28312367,False,False,False,False,False
ACVR1,-1,0.10542915000000001,0.033351706048797565,0.10361576,0.131212,0.1087753,0.05055828,0.13298441,False,False,False,False,False
ACVR1C,-1,0.1194243578,0.09065481844483582,0.026430009,0.13096838,0.18392235,0.02843121,0.22736984,False,False,False,False,False
ADAMTS1,-1,0.1459594934,0.10245583972291841,0.13933994,0.10106399,0.12316309,0.047747947,0.3184825,False,False,False,False,False
ADAMTS16,-1,0.0718903761,0.10265873905960707,0.0014152585,0.02235602,0.08890163,0.002680802,0.24409817,False,False,False,False,False
ADAMTS17,0,0.02807540268,0.04068745292298984,0.025924096,0.009077687,0.0023590524,0.004090678,0.0989255,False,False,False,False,True
ADAMTS8,-1,0.0008503592624113319,0.001633629412364925,0.0037591998,0.00038346447,1.7396598e-12,1.5280317e-08,0.00010911676,False,False,False,False,False
ADAMTSL1,-1,0.33178876599999996,0.106041664934501,0.45033458,0.40852678,0.1803503,0.3337689,0.28596327,False,False,False,False,False
ADCY2,1,0.36722652,0.21979807056788145,0.2827123,0.6826092,0.27994946,0.11008068,0.48078096,False,False,True,False,False
ADD3-AS1,-1,0.060014705978,0.04877779552334168,0.10251131,0.025645614,0.05766386,8.390589e-05,0.11416884,False,False,False,False,False
ADGRL2,-1,0.137671292,0.06138340047703996,0.04767395,0.10739503,0.18124378,0.20067364,0.15137006,False,False,False,False,False
ADGRL3,-1,0.28878831799999993,0.08741271101162702,0.3442743,0.36566436,0.147261,0.32078743,0.2659545,False,False,False,False,False
ADGRV1,-1,0.076008020818,0.15609153796401534,0.02139846,0.000982864,0.002667,0.00019838009,0.3547934,False,False,False,False,False
ADNP,-1,0.0121047573,0.009490740183514769,0.0035389285,0.015237069,0.013524945,0.002556305,0.025666539,False,False,False,False,False
ADNP2,-1,0.00848259956,0.005619188240799812,0.0023212405,0.009373376,0.009272831,0.0045226123,0.016922938,False,False,False,False,False
ADRA1A,-1,0.15765682880000004,0.11503745334508439,0.13061489,0.22495997,0.08085386,0.032562554,0.31929287,False,False,False,False,False
AFF1,-1,0.035475284,0.02249724211695429,0.019949127,0.051370367,0.042622037,0.004777979,0.05865691,False,False,False,False,False
AFF2,-1,0.337055748,0.10004427588409329,0.45449907,0.3976848,0.1926229,0.3441102,0.29636177,False,False,False,False,False
AFF4,0,0.02035651854,0.016646843524329148,0.012163934,0.017456278,0.025455574,0.0011163087,0.045590498,True,False,False,False,False
AGAP2,-1,0.18568339552115987,0.3986076928373018,0.89838994,1.6605746e-08,0.028954327,5.3295455e-14,0.001072694,False,False,False,False,False
AGGF1,-1,0.6185440200000186,0.4655126789255135,0.8767619,0.986427,0.9903775,9.300292e-14,0.2391537,False,False,False,False,False
AHCTF1,-1,0.197281506,0.10277291117210254,0.3047677,0.2822346,0.11597724,0.06859459,0.2148334,False,False,False,False,False
AHDC1,-1,0.627588460016456,0.45491389219177975,0.8607842,0.9922051,0.9932973,8.227946e-11,0.2916557,False,False,False,False,False
AHR,0,0.0324105272,0.028715512086246113,0.05347272,0.013286559,0.012282395,0.010534508,0.072476454,False,True,False,False,False
ALG1L9P,-1,0.190400336,0.1067791434516314,0.19609302,0.24176715,0.08682643,0.33841097,0.08890411,False,False,False,False,False
ALX4,-1,0.008429671311672968,0.01679285232460577,0.03836637,0.00044768228,3.780591e-10,3.057503e-13,0.0033343039,False,False,False,False,False
