gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A1CF,0,0.06944153519999999,0.013640135749758692,0.076314576,0.08543743,0.07348441,0.05038928,0.06158198,True,False,False,False,False
A2M,0,0.10983506800000001,0.029011387122622564,0.11229493,0.13471936,0.07639818,0.08455497,0.1412079,False,False,False,False,True
A4GALT,0,0.0961908938,0.0268905351838454,0.1270612,0.07817048,0.104466215,0.11134865,0.059907924,False,True,False,False,False
AATK,0,0.09735510900000001,0.027726688380526155,0.12877356,0.08943109,0.057892907,0.118385404,0.092292584,False,False,False,False,True
ABCA13,1,0.13097738,0.020954373183184227,0.1376399,0.11143275,0.12820347,0.16329734,0.11431344,False,True,False,False,False
ABCA5,0,0.10944591480000002,0.021344916418090165,0.14633888,0.10608214,0.10340652,0.09992578,0.091476254,False,False,False,False,True
ABCA6,0,0.0967245432,0.013444565289362139,0.10330285,0.0746492,0.098062746,0.09708074,0.11052718,False,False,False,True,False
ABCA8,0,0.0820968846,0.016202317459671035,0.061630473,0.07849691,0.07709955,0.10587275,0.08738474,True,False,False,False,False
ABCB1,0,0.077371718,0.022757607411368404,0.06549491,0.06530989,0.0628109,0.07622577,0.11701712,False,False,False,False,True
ABCC12,0,0.09694089400000001,0.01935729894180565,0.09860603,0.12755194,0.07564182,0.08670301,0.09620167,True,False,False,False,False
ABCC4,0,0.0476679356,0.02356960436767171,0.024372837,0.049244214,0.049403407,0.03050929,0.08480993,False,False,False,True,False
ABCF2,0,0.089935868,0.020408038769666723,0.07055859,0.08255543,0.0976993,0.12174153,0.07712449,False,False,False,False,True
ABCG1,0,0.1001693258,0.02685283806775819,0.07891923,0.088623874,0.13981602,0.11550683,0.077980675,False,False,True,False,False
ABCG2,0,0.098733878,0.010175684609023607,0.09205575,0.10234749,0.10100561,0.11237881,0.08588173,False,False,False,False,True
ABI3BP,0,0.1307307998,0.02888127086370526,0.124602154,0.109795175,0.12592186,0.18079638,0.11253843,False,False,False,False,True
ABL1,0,0.127995553,0.03426835647953729,0.09544909,0.1473342,0.17649743,0.122364305,0.09833274,False,False,False,True,False
ABLIM2,0,0.098190247,0.015323823166979902,0.08885287,0.08159529,0.09781693,0.122080065,0.10060608,False,True,False,False,False
ABLIM3,0,0.081648754,0.01161550949801678,0.08174525,0.091399916,0.092042364,0.06341319,0.07964305,False,True,False,False,False
ACAN,0,0.09532871400000001,0.018695518815567275,0.1222389,0.09370898,0.07569035,0.10411451,0.08089083,False,False,False,False,True
ACER2,0,0.08644710280000001,0.024070149552129484,0.06027573,0.0655231,0.085271984,0.11434616,0.10681854,False,False,False,True,False
ACER3,0,0.118249928,0.007580489767371235,0.11971423,0.10664911,0.11541387,0.1240488,0.12542363,False,True,False,False,False
ACO1,0,0.11862975680000001,0.01808424138553373,0.11943776,0.1464613,0.1164944,0.11478818,0.095967144,True,False,False,False,False
ACP5,0,0.10300964399999998,0.03840002037502493,0.16218615,0.06751126,0.10073598,0.07107057,0.11354426,False,False,True,False,False
ACSBG1,0,0.096730452,0.009603474945878054,0.10358584,0.0909001,0.08744787,0.091703415,0.110015035,False,True,False,False,False
ACTA2,0,0.11112899600000001,0.03643319262816161,0.16562185,0.08623226,0.07631506,0.09801263,0.12946318,True,False,False,False,False
ACTB,1,0.10635415699999999,0.023042154262041023,0.11767443,0.08258998,0.101336345,0.14011744,0.09005259,False,False,True,False,False
ACTG1,0,0.09744059499999999,0.04292008669224411,0.065487325,0.07768954,0.09857467,0.17108613,0.07436531,False,False,False,False,True
