,Cell Type,Fold,AUPRC,Validation AUPRC
0,astro,0,0.6796819229926898,0.6893686414509226
1,astro,1,0.598349438843234,0.6070301252088708
2,astro,2,0.6644134145597269,0.6315248863734729
3,astro,3,0.7492809055928199,0.7052865799246175
4,astro,4,0.6588334508863126,0.5410360943671635
5,endo,0,0.6685378369220887,0.29952832807781954
6,endo,1,0.5355426867756783,0.5132845941922599
7,endo,2,0.5720958852660077,0.6208681892350071
8,endo,3,0.6682131562811662,0.605610995162487
9,endo,4,0.5127513658203192,0.45461160290594155
10,excitatory,0,0.5693627565843749,0.5109876435673399
11,excitatory,1,0.5629214726282499,0.35953185801506393
12,excitatory,2,0.5614883082959322,0.4511159411407913
13,excitatory,3,0.6201821580410806,0.5850535519192299
14,excitatory,4,0.5147129163909486,0.5678969762238615
15,inhibitory,0,0.7401394702728717,0.7179495423854328
16,inhibitory,1,0.6986475679567256,0.41371467362323155
17,inhibitory,2,0.7212625349763286,0.7024353905886438
18,inhibitory,3,0.7384181029598565,0.6345397581731513
19,inhibitory,4,0.6525222358876037,0.6283800261581411
20,micro,0,0.4489042033389501,0.38576791257326254
21,micro,1,0.43413133799325987,0.39149744852823687
22,micro,2,0.5663904223422148,0.3113655167228685
23,micro,3,0.390615292809346,0.5069738769644786
24,micro,4,0.45404872851754685,0.42576620990956016
25,oligo,0,0.4176964295517801,0.4278189159813352
26,oligo,1,0.4037203465759944,0.3462121146305631
27,oligo,2,0.47494513728014565,0.4559760938650444
28,oligo,3,0.3624410553611097,0.31898105454865844
29,oligo,4,0.6389584349853696,0.43856430176312633
30,opc,0,0.5165100448891924,0.2804729070917261
31,opc,1,0.33663529197884073,0.2996406929165669
32,opc,2,0.4382624920905661,0.47056844064503073
33,opc,3,0.38769924346318474,0.18985555313020303
34,opc,4,0.559397504390309,0.6968029088675161
35,vlmc,0,0.3313644575907554,0.24949088067502656
36,vlmc,1,0.5076765121450121,0.3545423267795335
37,vlmc,2,0.27748710317742536,0.19422786808938997
38,vlmc,3,0.47001642437430546,0.24432578145850942
39,vlmc,4,0.2577537097095784,0.344354543254102
