gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,-1,0.1818899432,0.1591082753541543,0.19377664,0.11422111,0.45060736,0.04659834,0.104246266,False,False,False,False,False
AAR2,-1,0.19448841520000001,0.1843166651932192,0.022912096,0.04321347,0.43002328,0.12796667,0.34832656,False,False,False,False,False
ABCA1,-1,0.167632282,0.1076470321423908,0.1707907,0.15297744,0.0921402,0.34648576,0.07576731,False,False,False,False,False
ABCA10,0,0.15566739599999999,0.050282280090228414,0.16300033,0.08427855,0.14138363,0.22391053,0.16576394,True,False,False,False,False
ABCA3,-1,0.20576466799999998,0.035023526845370946,0.15967287,0.18190663,0.22205095,0.24853066,0.21666223,False,False,False,False,False
ABCA4,-1,0.092627835,0.04634054072912211,0.03985304,0.13349023,0.12861507,0.044883355,0.11629748,False,False,False,False,False
ABCA5,0,0.399594512,0.0818873472018533,0.41127637,0.28716192,0.39714757,0.3851868,0.5171999,False,False,False,False,True
ABCA6,-1,0.0481155982,0.057852996087320994,0.012883089,0.14901793,0.044383205,0.013071775,0.021221992,False,False,False,False,False
ABCB1,0,0.128039862,0.10638424220632758,0.27553585,0.1582645,0.027764596,0.020223724,0.15841064,False,True,False,False,False
ABCC4,-1,0.143955412,0.08956115316928022,0.14400025,0.0813056,0.07824728,0.2964582,0.11976573,False,False,False,False,False
ABCC9,-1,0.307464138,0.07030378430478063,0.34160295,0.24535356,0.33616698,0.39053476,0.22366244,False,False,False,False,False
ABCG2,-1,0.2001640428,0.1153077853787796,0.15784784,0.093172684,0.3700793,0.26355618,0.11616421,False,False,False,False,False
ABHD17B,-1,0.28300580799999997,0.03756846407653059,0.2969197,0.22394499,0.2908031,0.32623145,0.2771298,False,False,False,False,False
ABHD17C,-1,0.41262832000000005,0.05365702784722288,0.41358027,0.3728024,0.41921082,0.36034673,0.49720138,False,False,False,False,False
ABI2,-1,0.242800372,0.02838654643216694,0.22546652,0.26954907,0.22242117,0.2777088,0.2188563,False,False,False,False,False
ABI3BP,-1,0.1583242562,0.0666602693466997,0.24766433,0.18192701,0.107328005,0.078790076,0.17591186,False,False,False,False,False
ABL1,-1,0.102478056,0.03900050527097283,0.08652539,0.14175272,0.06640255,0.07074705,0.14696257,False,False,False,False,False
ABLIM1,-1,0.376017738,0.033623422862988236,0.37442416,0.37480628,0.3815646,0.32729915,0.4219945,False,False,False,False,False
ABLIM2,-1,0.062474141999999996,0.04704085830773512,0.14551847,0.04758552,0.033788692,0.03462938,0.050848648,False,False,False,False,False
ABLIM3,-1,0.12794379299999997,0.04456870726810006,0.18243375,0.084301665,0.09772717,0.10623497,0.16902141,False,False,False,False,False
ACAP3,-1,0.1901393568,0.08628637251732547,0.16102593,0.11732739,0.28171018,0.28247556,0.108157724,False,False,False,False,False
ACER2,-1,0.189085694,0.09043666078608902,0.09880371,0.12351903,0.28876442,0.28332183,0.15101948,False,False,False,False,False
ACER3,-1,0.2531057188,0.11749663892332204,0.32252887,0.071782194,0.3011899,0.3661794,0.20384823,False,False,False,False,False
ACO1,-1,0.198180742,0.07859584186992127,0.2230737,0.30619097,0.09155567,0.16621111,0.20387226,False,False,False,False,False
ACOXL,-1,0.150094222,0.09051369515856077,0.17374441,0.10544565,0.25866142,0.02087825,0.19174138,False,False,False,False,False
ACPP,-1,0.276565712,0.12494183045711381,0.18472917,0.14759807,0.43095076,0.38505724,0.23449332,False,False,False,False,False
ACSL4,0,0.257766444,0.10133443273099095,0.30295655,0.16450389,0.39855886,0.26714522,0.1556677,False,False,False,False,True
ACTA2,-1,0.149651874,0.09160099427823139,0.2990963,0.14489692,0.15310988,0.06506797,0.0860883,False,False,False,False,False
ACVR1C,-1,0.241371002,0.06076741404536702,0.24425888,0.31357425,0.2120306,0.28030843,0.15668285,False,False,False,False,False
ACVRL1,-1,0.19385245699999998,0.10432069767264676,0.27613834,0.23427995,0.10078936,0.29310092,0.064953715,False,False,False,False,False
ADAM19,-1,0.187943965,0.1035473315277126,0.25505447,0.17329203,0.3237743,0.062228445,0.12537058,False,False,False,False,False
ADAM23,-1,0.37119185200000004,0.03294253301208135,0.38069996,0.37422484,0.35216385,0.33051416,0.41835645,False,False,False,False,False
ADAM9,-1,0.150562677,0.05333287261476588,0.11965205,0.1517334,0.113814645,0.24237286,0.12524043,False,False,False,False,False
ADAMTS1,0,0.0896128568,0.06962499462308186,0.053382773,0.030979136,0.16092794,0.16949344,0.033280995,False,False,False,True,False
ADAMTS12,-1,0.1580614648,0.1300379866655877,0.14041592,0.09793546,0.37861136,0.037286434,0.13605815,False,False,False,False,False
ADAMTS17,-1,0.1758509752,0.06039832289805441,0.19870931,0.15644345,0.093165316,0.17235996,0.25857684,False,False,False,False,False
ADAMTS3,-1,0.35150222200000003,0.05748131587952488,0.35226932,0.25786713,0.41310662,0.3580654,0.37620264,False,False,False,False,False
ADAMTS6,-1,0.1610892456,0.12077121146312021,0.18293998,0.19112149,0.33437473,0.020352978,0.07665705,False,False,False,False,False
ADAMTS7,-1,0.1576894612,0.12827144608316812,0.14100055,0.0752821,0.3575303,0.024450816,0.19018354,False,False,False,False,False
ADAMTS9,-1,0.1224176566,0.10602210870019298,0.2695065,0.07029184,0.0183442,0.19675015,0.057195593,False,False,False,False,False
ADARB1,1,0.305822838,0.08960761412345672,0.36240968,0.32698753,0.26502094,0.4016298,0.17306624,True,False,False,False,False
ADARB2,-1,0.31896874999999997,0.06042106660071015,0.36022893,0.25500163,0.32375956,0.39359713,0.2622565,False,False,False,False,False
ADCY1,-1,0.065683363,0.043390213852754225,0.024817465,0.13647386,0.073910415,0.041408118,0.051806957,False,False,False,False,False
