gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,-1,0.1114689624,0.06338327347512093,0.17116843,0.027818762,0.16008015,0.0614475,0.13682997,False,False,False,False,False
A4GALT,-1,0.0442952226,0.018030031962651797,0.045139767,0.019609705,0.043732915,0.042493936,0.07049979,False,False,False,False,False
AAAS,-1,0.10834757747999998,0.08969087235675798,0.11826978,0.2317864,0.0075501674,0.14752704,0.0366045,False,False,False,False,False
AAR2,-1,0.123957117,0.05238890015015461,0.091182575,0.17191936,0.14893034,0.15943621,0.0483171,False,False,False,False,False
AATK,-1,0.0449215358,0.009227798032692127,0.053844955,0.049314335,0.03143461,0.050473753,0.039540026,False,False,False,False,False
ABCA2,-1,0.09183152800000001,0.03662112085389004,0.07874215,0.07029676,0.11950173,0.05092647,0.13969053,False,False,False,False,False
ABCA3,-1,0.056467217599999994,0.028137674875493898,0.078617625,0.04227271,0.036487512,0.030830141,0.0941281,False,False,False,False,False
ABCA5,-1,0.0955712838,0.058422425073130724,0.07341057,0.088560015,0.18607986,0.103887424,0.02591855,False,False,False,False,False
ABCA6,-1,0.077189197,0.034439046287389696,0.09189585,0.03823446,0.042236775,0.10252256,0.11105634,False,False,False,False,False
ABCB1,-1,0.054858660399999995,0.04393269299725767,0.05280342,0.1255254,0.030615289,0.05665696,0.008692233,False,False,False,False,False
ABCB9,-1,0.0694559312,0.011833027812179651,0.08342923,0.07968775,0.0678177,0.059360556,0.05698442,False,False,False,False,False
ABCC4,-1,0.0713601812,0.014727241799798535,0.07172483,0.09532802,0.07069844,0.057036202,0.062013414,False,False,False,False,False
ABCE1,-1,0.10401693200000002,0.046661734374245915,0.106215075,0.03733044,0.134221,0.084028505,0.15828964,False,False,False,False,False
ABCF2,-1,0.0409333022,0.040496216465935084,0.010162245,0.008697025,0.017887231,0.09699885,0.07092116,False,False,False,False,False
ABCG1,-1,0.05047455599999999,0.003814916305467003,0.05664185,0.04960161,0.050379936,0.049590684,0.0461587,False,False,False,False,False
ABCG2,-1,0.0497754546,0.01812768274656589,0.06947827,0.05462024,0.063012615,0.033501484,0.028264664,False,False,False,False,False
ABHD12,-1,0.10537006880000002,0.032818862736887416,0.08465625,0.09877774,0.092115514,0.08798398,0.16331686,False,False,False,False,False
ABHD13,-1,0.07093253299999999,0.037100589793107576,0.058503464,0.08238326,0.051457226,0.033035815,0.1292829,False,False,False,False,False
ABHD17B,0,0.06860734119999999,0.03838018501365463,0.068049975,0.12602563,0.025338776,0.04405674,0.079565585,False,False,False,True,False
ABHD4,-1,0.14520656199999998,0.062931285715443,0.10255348,0.11432038,0.217478,0.08321388,0.20846707,False,False,False,False,False
ABHD5,-1,0.10601978140000001,0.046291597680751036,0.1332919,0.042045917,0.1340961,0.0721897,0.14847529,False,False,False,False,False
ABI1,-1,0.0430612418,0.013752255827944343,0.050096035,0.022914072,0.03895835,0.059917662,0.04342009,False,False,False,False,False
ABI2,-1,0.145798314,0.04363862436197582,0.11811413,0.19482887,0.12579352,0.19010428,0.10015077,False,False,False,False,False
ABL1,-1,0.050228298000000005,0.019674408363285857,0.07777743,0.03446001,0.04028159,0.064145595,0.034476865,False,False,False,False,False
ABLIM3,-1,0.0799966588,0.05285262690609182,0.16224506,0.039915513,0.09043647,0.028104441,0.07928181,False,False,False,False,False
ABO,-1,0.060337417000000004,0.03517355597305281,0.06712411,0.104249164,0.024680829,0.0810113,0.024621682,False,False,False,False,False
