gene,score,validation,label
A1CF,0.008664868,False,0
A2M,0.020974236,False,0
A2ML1,0.012849513,False,0
A4GALT,0.008961322,False,0
AANAT,0.013600478,True,0
AATK,0.0180307,False,0
ABCA1,0.024608312,False,0
ABCA12,0.00967662,False,0
ABCA3,0.009491754,False,0
ABCA4,0.021874003,False,0
ABCA5,0.03473199,False,0
ABCA6,0.016750192,True,0
ABCA8,0.007849911,False,0
ABCB1,0.059967056,False,0
ABCC1,0.0170165,False,0
ABCC11,0.026315335,False,0
ABCC2,0.009783733,True,0
ABCC3,0.013926895,True,1
ABCC9,0.027894808,False,0
ABCF2,0.017609183,False,0
ABCG2,0.02769723,False,0
ABCG4,0.014473649,False,1
ABCG5,0.024382297,False,0
ABHD17B,0.019823879,True,0
ABHD5,0.027426558,False,0
ABI3BP,0.010147908,False,0
ABL1,0.022657514,True,0
ABLIM2,0.019475043,False,0
ABLIM3,0.0218015,False,0
ABR,0.010370946,False,0
ACAT2,0.022084668,False,0
ACER1,0.012225216,False,0
ACER2,0.044325955,False,0
ACO1,0.011772855,False,0
ACOX1,0.05535113,False,0
ACSBG1,0.045898765,False,0
ACSL3,0.025785552,False,0
ACSL4,0.019261012,False,1
ACSS2,0.02214638,True,0
ACTA2,0.028995851,False,0
ACTG1,0.0017650241,False,0
ACTL6A,0.022179335,False,0
ACTL6B,0.015494967,False,0
ACTN1,0.0026418364,False,0
ACTN1-AS1,0.016823433,False,0
ACTN2,0.05207353,False,0
ACTR3C,0.003376866,True,0
ACVR1,0.023182547,True,0
ACVR1C,0.023251133,False,0
ACVR2A,0.014460296,False,0
ADAM12,0.046697147,True,0
ADAM19,0.037160806,False,0
ADAM23,0.0061464086,False,0
ADAM28,0.010983472,True,0
ADAM32,0.01779556,False,0
ADAMTS1,0.012438607,False,0
ADAMTS10,0.011031707,True,0
ADAMTS15,0.010826243,True,0
ADAMTS17,0.019669425,False,0
ADAMTS19,0.022718076,False,0
ADAMTS2,0.023969201,False,0
ADAMTS3,0.013787251,False,0
ADAMTS4,0.0029948715,False,0
ADAMTS5,0.059329335,False,0
ADAMTS6,0.023720823,False,1
ADAMTS7,0.0030151715,False,0
ADAMTS9,0.04645218,False,0
ADAMTS9-AS2,0.01815458,False,0
ADAMTSL1,0.016786119,True,0
ADAMTSL3,0.012245542,False,0
ADAMTSL4-AS1,0.037444968,False,0
ADAR,0.020252695,True,0
ADARB1,0.011420493,False,0
ADARB2,0.0067306827,False,0
ADCY2,0.0064488356,False,0
ADCY3,0.013861243,True,0
ADCY5,0.013802308,False,0
ADCY7,0.035665207,False,1
ADCY9,0.0020070225,False,0
ADD2,0.0018336473,False,0
ADD3-AS1,0.018319903,False,0
ADGRA2,0.02729416,False,0
ADGRB1,0.013139529,False,0
ADGRB3,0.005870028,False,0
ADGRD1,0.02838184,True,0
ADGRE5,0.031056255,False,0
ADGRF5,0.0013183445,False,0
ADGRG2,0.009030993,True,0
ADGRG3,0.01827935,True,0
ADGRL2,0.011125291,True,0
ADGRL3,0.01004394,False,0
ADIRF,0.036590952,False,0
ADM,0.030136017,False,0
ADNP,0.021377765,True,0
ADNP2,0.01464907,False,0
ADORA1,0.030390885,False,0
ADPGK-AS1,0.0159465,False,0
ADRA1A,0.047056235,False,0
ADRA1B,0.013962117,False,0
AEBP1,0.009023529,False,0
AFF3,0.038172584,True,0
AFF4,0.019870864,False,0
AGA,0.013967612,False,0
AGAP1,0.016496263,True,0
AGAP2,0.03754402,False,0
AGMO,0.018345265,False,0
AGT,0.003175085,True,0
AGTPBP1,0.040490244,True,0
AHCTF1,0.03547902,False,0
AHDC1,0.012284569,True,1
AHR,0.03067888,False,0
AHRR,0.04168424,True,0
AIRE,0.009870446,False,0
AJAP1,0.015087699,True,0
AKAP12,0.01369653,False,0
AKAP6,0.033812113,False,0
ALCAM,0.018329037,False,1
ALDH1A1,0.017441383,False,0
ALDH1A2,0.0036362323,False,0
ALDH1A3,0.027725901,True,0
ALDH1L1-AS2,0.021644253,False,0
ALG14,0.015551332,False,0
ALG3,0.010766565,False,0
ALK,0.015023142,False,0
ALOX5,0.01483836,True,0
ALX1,0.019311536,True,0
ALX3,0.020491138,True,0
AMD1,0.006046402,False,0
AMDHD1,0.01673212,False,0
AMER2,0.009048626,False,0
AMIGO2,0.020511199,False,0
AMMECR1,0.009248554,False,0
AMN1,0.02609134,False,0
AMOT,0.044075068,True,0
AMOTL1,0.011531307,False,0
