gene,score,validation,label
A1CF,0.07950987,False,-1
A2M,0.14690042,False,-1
A2ML1,0.07290993,False,-1
A4GALT,0.09296721,False,-1
AANAT,0.0866298,False,-1
AATK,0.09989237,False,-1
ABCA1,0.16241047,False,-1
ABCA12,0.091492645,False,-1
ABCA3,0.15420629,False,-1
ABCA4,0.06571808,False,0
ABCA5,0.38170582,False,-1
ABCA6,0.11609471,False,-1
ABCA8,0.0897689,False,-1
ABCB1,0.08131712,False,-1
ABCC1,0.09802602,False,-1
ABCC11,0.12305856,False,-1
ABCC2,0.09260125,False,-1
ABCC3,0.10098305,False,-1
ABCC9,0.15017891,False,-1
ABCF2,0.096784696,False,-1
ABCG2,0.20447737,False,-1
ABCG4,0.18802722,False,-1
ABCG5,0.16422766,False,-1
ABHD17B,0.064601734,False,-1
ABHD5,0.089960605,False,-1
ABI3BP,0.2572418,False,-1
ABL1,0.12040514,False,-1
ABLIM2,0.12773849,False,-1
ABLIM3,0.1281667,False,0
ABR,0.119627945,False,-1
ACAT2,0.08225866,False,-1
ACER1,0.11366015,False,-1
ACER2,0.13154964,False,-1
ACO1,0.07717856,False,-1
ACOX1,0.326634,False,-1
ACSBG1,0.095949896,False,-1
ACSL3,0.7790065,False,-1
ACSL4,0.40303347,False,-1
ACSS2,0.08958305,False,-1
ACTA2,0.10090337,False,-1
ACTG1,0.06864476,False,-1
ACTL6A,0.1528622,False,-1
ACTL6B,0.1688941,False,-1
ACTN1,0.10185177,False,-1
ACTN1-AS1,0.14727905,False,-1
ACTN2,0.13107795,False,-1
ACTR3C,0.1323287,False,-1
ACVR1,0.5610853,False,-1
ACVR1C,0.40988213,False,-1
ACVR2A,0.07038008,False,-1
ADAM12,0.30072713,False,-1
ADAM19,0.15598404,False,0
ADAM23,0.17852864,False,-1
ADAM28,0.12600921,False,-1
ADAM32,0.18026488,False,-1
ADAMTS1,0.08168882,False,-1
ADAMTS10,0.24163333,False,-1
ADAMTS15,0.1375545,False,-1
ADAMTS17,0.12601364,False,-1
ADAMTS19,0.09758825,False,-1
ADAMTS2,0.21559162,False,-1
ADAMTS3,0.09547975,False,1
ADAMTS4,0.067974515,False,-1
ADAMTS5,0.24095774,False,-1
ADAMTS6,0.14758615,False,-1
ADAMTS7,0.15155657,False,-1
ADAMTS9,0.1939709,False,-1
ADAMTS9-AS2,0.11257427,False,-1
ADAMTSL1,0.06857932,False,0
ADAMTSL3,0.18978979,False,-1
ADAMTSL4-AS1,0.06930614,False,-1
ADAR,0.066182025,False,-1
ADARB1,0.04547394,False,-1
ADARB2,0.111097544,False,-1
ADCY2,0.8076494,False,1
ADCY3,0.046109974,False,0
ADCY5,0.46765327,False,-1
ADCY7,0.10700832,False,1
ADCY9,0.21896802,False,-1
ADD2,0.06434419,False,-1
ADD3-AS1,0.760344,False,-1
ADGRA2,0.14219584,False,-1
ADGRB3,0.87541085,False,-1
ADGRD1,0.09287811,False,-1
ADGRE5,0.10101881,False,0
ADGRF5,0.08052734,False,-1
ADGRG2,0.14539808,False,-1
ADGRG3,0.17114264,False,-1
ADGRL2,0.20014548,False,-1
ADGRL3,0.9175159,False,-1
ADIRF,0.12975442,False,0
ADM,0.08284821,False,-1
ADNP,0.7815979,False,-1
ADNP2,0.1862236,False,-1
ADORA1,0.15974134,False,-1
ADRA1A,0.11206809,False,-1
ADRA1B,0.06262817,False,-1
AEBP1,0.23881671,False,-1
AFF3,0.3200429,False,-1
AFF4,0.5632623,False,-1
AGA,0.13844852,False,-1
AGAP1,0.10453024,False,-1
AGAP2,0.11945033,False,-1
AGMO,0.16545565,False,-1
AGT,0.1053282,False,-1
AGTPBP1,0.65709895,False,-1
AHCTF1,0.33562082,False,-1
AHDC1,0.36189523,False,-1
AHR,0.11526613,False,-1
AHRR,0.117664896,False,0
AIRE,0.08455005,False,-1
AJAP1,0.045893453,False,-1
AKAP12,0.13643344,False,-1
AKAP6,0.1349364,False,-1
ALCAM,0.13648428,False,-1
ALDH1A2,0.09681283,False,-1
ALDH1A3,0.1556144,False,-1
ALDH1L1-AS2,0.09512952,False,-1
ALG14,0.09553441,False,-1
ALG3,0.1591795,False,-1
ALK,0.18684149,False,-1
ALOX5,0.17070818,False,-1
ALX1,0.2112982,False,-1
AMD1,0.12552753,True,0
AMDHD1,0.20722516,False,-1
AMER2,0.14899561,False,-1
AMIGO2,0.055499043,False,0
AMMECR1,0.14401709,False,-1
AMN1,0.14975671,False,-1
AMOT,0.46404424,False,0
AMOTL1,0.11448846,False,-1
AMPD3,0.09576135,False,-1
AMPH,0.08889822,False,-1
ANGPT1,0.19096953,False,-1
ANGPT2,0.073734865,False,0
ANGPTL2,0.056240797,False,-1
ANGPTL4,0.21602875,False,-1
ANK3,0.116925895,False,-1
ANKRD30BL,0.0633741,False,-1
ANKRD31,0.20909084,False,-1
ANKRD33B,0.08709201,False,-1
ANKRD45,0.10097268,False,-1
ANKRD50,0.71293527,False,-1
ANKRD6,0.67164755,False,-1
ANKRD7,0.17099248,False,-1
ANKS1B,0.78000593,False,-1
ANO2,0.201969,False,-1
ANO5,0.15118572,False,-1
ANO6,0.2153654,False,-1
ANO9,0.14601876,False,-1
ANOS1,0.22739255,False,0
ANTXR1,0.16009724,False,-1
ANXA1,0.14369869,False,-1
ANXA11,0.10437057,False,-1
ANXA2,0.17600277,False,0
ANXA8,0.14188391,False,-1
AOAH,0.08386626,False,-1
AP1AR,0.16195618,False,-1
AP1S2,0.5071724,False,-1
AP3B2,0.11899253,False,-1
AP4S1,0.46767566,False,-1
APBA1,0.66198784,False,-1
APBB1IP,0.1473769,False,-1
APBB2,0.56567144,True,1
APBB3,0.14648937,False,-1
APCDD1,0.1751083,False,-1
APEX2,0.09096183,False,-1
APLF,0.12652664,False,-1
APLNR,0.065012835,False,-1
APOBEC3D,0.058704767,False,-1
APOC1,0.105431,False,-1
APOL1,0.097342625,False,-1
APOL2,0.14398922,True,1
APOL4,0.1047585,False,1
APOL6,0.050685354,False,-1
APOLD1,0.07761015,False,-1
APP,0.46544296,False,-1
AQP1,0.079218924,False,-1
AQP4,0.15868309,False,-1
AQP4-AS1,0.12923391,False,-1
AR,0.12932256,False,-1
ARC,0.052125324,False,-1
AREG,0.0529939,False,-1
ARFGAP1,0.10350676,False,0
ARFGEF3,0.10638657,False,-1
ARHGAP10,0.05692036,False,-1
ARHGAP11B,0.16391394,False,-1
ARHGAP15,0.113680355,False,-1
