_BACKGROUND,5p,10p,15p
USP53,USP53,USP53,USP53
ATP13A5,ATP13A5,ATP13A5,ATP13A5
DLGAP1-AS2,DLGAP1-AS2,DLGAP1-AS2,DLGAP1-AS2
RNF180,RNF180,RNF180,RNF180
LAMA2,LAMA2,LAMA2,LAMA2
ZNF670,ZNF670,ZNF670,ZNF670
EXTL3,EXTL3,EXTL3,EXTL3
ZNF780A,ZNF780A,ZNF780A,ZNF780A
ZNF649,ZNF649,ZNF649,ZNF649
SUV39H2,SUV39H2,SUV39H2,SUV39H2
HUNK,HUNK,HUNK,HUNK
NFYA,NFYA,NFYA,NFYA
GABRA2,GABRA2,GABRA2,GABRA2
CSRNP1,CSRNP1,CSRNP1,CSRNP1
CD59,CD59,CD59,CD59
ZNF592,ZNF592,ZNF592,ZNF592
GINS3,GINS3,GINS3,GINS3
IMPDH2,IMPDH2,IMPDH2,IMPDH2
GRB14,GRB14,GRB14,GRB14
STIM2,STIM2,STIM2,STIM2
GMIP,GMIP,GMIP,GMIP
CEMIP,CEMIP,CEMIP,CEMIP
STRBP,STRBP,STRBP,STRBP
SLC16A4,SLC16A4,SLC16A4,SLC16A4
RNF217-AS1,RNF217-AS1,RNF217-AS1,RNF217-AS1
TMEM156,TMEM156,TMEM156,TMEM156
ATP8B1,ATP8B1,ATP8B1,ATP8B1
IFITM3,IFITM3,IFITM3,IFITM3
CCDC13-AS1,CCDC13-AS1,CCDC13-AS1,CCDC13-AS1
RMDN2,RMDN2,RMDN2,RMDN2
SLC38A11,SLC38A11,SLC38A11,SLC38A11
CLEC2L,CLEC2L,CLEC2L,CLEC2L
FHL2,FHL2,FHL2,FHL2
PLD5,PLD5,PLD5,PLD5
ZNF280D,ZNF280D,ZNF280D,ZNF280D
PIN4,PIN4,PIN4,PIN4
DBF4,DBF4,DBF4,DBF4
DNAH12,DNAH12,DNAH12,DNAH12
TBPL1,TBPL1,TBPL1,TBPL1
MAML3,MAML3,MAML3,MAML3
SRSF3,SRSF3,SRSF3,SRSF3
UBASH3B,UBASH3B,UBASH3B,UBASH3B
C2orf88,C2orf88,C2orf88,C2orf88
ECM2,ECM2,ECM2,ECM2
TMEM104,TMEM104,TMEM104,TMEM104
FGF1,FGF1,FGF1,FGF1
CXCL5,CXCL5,CXCL5,CXCL5
KLF4,KLF4,KLF4,KLF4
PIP5K1B,PIP5K1B,PIP5K1B,PIP5K1B
ITIH5,ITIH5,ITIH5,ITIH5
MRC1,MRC1,MRC1,MRC1
ELOVL6,ELOVL6,ELOVL6,ELOVL6
ADRA1A,ADRA1A,ADRA1A,ADRA1A
NR2F2-AS1,NR2F2-AS1,NR2F2-AS1,NR2F2-AS1
COBLL1,COBLL1,COBLL1,COBLL1
ADAM12,ADAM12,ADAM12,ADAM12
GBX1,GBX1,GBX1,GBX1
ARL4C,ARL4C,ARL4C,ARL4C
ANKRD50,ANKRD50,ANKRD50,ANKRD50
RNF144A,RNF144A,RNF144A,RNF144A
STXBP5-AS1,STXBP5-AS1,STXBP5-AS1,STXBP5-AS1
LINC00871,LINC00871,LINC00871,LINC00871
GABRB3,GABRB3,GABRB3,GABRB3
CASS4,CASS4,CASS4,CASS4
GNB4,GNB4,GNB4,GNB4
ZNF677,ZNF677,ZNF677,ZNF677
STAT3,STAT3,STAT3,STAT3
HIF3A,HIF3A,HIF3A,HIF3A
JRK,JRK,JRK,JRK
KCNG2,KCNG2,KCNG2,KCNG2
USH1C,USH1C,USH1C,USH1C
TBC1D10A,TBC1D10A,TBC1D10A,TBC1D10A
ZNF511,ZNF511,ZNF511,ZNF511
ZNF18,ZNF18,ZNF18,ZNF18
DCC,DCC,DCC,DCC
INSM1,INSM1,INSM1,INSM1
PLPP1,PLPP1,PLPP1,PLPP1
CDS1,CDS1,CDS1,CDS1
DOCK5,DOCK5,DOCK5,DOCK5
USP12,USP12,USP12,USP12
IER2,IER2,IER2,IER2
TAS1R1,TAS1R1,TAS1R1,TAS1R1
AFF3,AFF3,AFF3,AFF3
SLC19A3,SLC19A3,SLC19A3,SLC19A3
NSUN7,NSUN7,NSUN7,NSUN7
MTSS1,MTSS1,MTSS1,MTSS1
CPEB2,CPEB2,CPEB2,CPEB2
EBF1,EBF1,EBF1,EBF1
INPP5D,INPP5D,INPP5D,INPP5D
COL5A1,COL5A1,COL5A1,COL5A1
LRRK2,LRRK2,LRRK2,LRRK2
SLFN12L,SLFN12L,SLFN12L,SLFN12L
CCDC121,CCDC121,CCDC121,CCDC121
AP4S1,AP4S1,AP4S1,AP4S1
TNFAIP8L1,TNFAIP8L1,TNFAIP8L1,TNFAIP8L1
TNFAIP6,TNFAIP6,TNFAIP6,TNFAIP6
DRC7,DRC7,DRC7,DRC7
SULT4A1,SULT4A1,SULT4A1,SULT4A1
ZFP64,ZFP64,ZFP64,ZFP64
RGN,RGN,RGN,RGN
RNF24,RNF24,RNF24,RNF24
EXPH5,EXPH5,EXPH5,EXPH5
ZC4H2,ZC4H2,ZC4H2,ZC4H2
IFT80,IFT80,IFT80,IFT80
PLCL1,PLCL1,PLCL1,PLCL1
CCDC169,CCDC169,CCDC169,CCDC169
ZNF491,ZNF491,ZNF491,ZNF491
ADAMTS5,ADAMTS5,ADAMTS5,ADAMTS5
P4HA1,P4HA1,P4HA1,P4HA1
DLEU1,DLEU1,DLEU1,DLEU1
N4BP2,N4BP2,N4BP2,N4BP2
CARD8-AS1,CARD8-AS1,CARD8-AS1,CARD8-AS1
ZNF16,ZNF16,ZNF16,ZNF16
ZNF358,ZNF358,ZNF358,ZNF358
DNAJA1,DNAJA1,DNAJA1,DNAJA1
RNF217,RNF217,RNF217,RNF217
LINC01184,LINC01184,LINC01184,LINC01184
TEAD2,TEAD2,TEAD2,TEAD2
C2orf73,C2orf73,C2orf73,C2orf73
TRPC4,TRPC4,TRPC4,TRPC4
NPNT,NPNT,NPNT,NPNT
ZNF24,ZNF24,ZNF24,ZNF24
RPL3,RPL3,RPL3,RPL3
PLCXD3,PLCXD3,PLCXD3,PLCXD3
NGFR,NGFR,NGFR,NGFR
KLF3-AS1,KLF3-AS1,KLF3-AS1,KLF3-AS1
ZNF160,ZNF160,ZNF160,ZNF160
RAI14,RAI14,RAI14,RAI14
ARHGAP29,ARHGAP29,ARHGAP29,ARHGAP29
ZNF419,ZNF419,ZNF419,ZNF419
TPST1,TPST1,TPST1,TPST1
NTRK2,NTRK2,NTRK2,NTRK2
RUFY3,RUFY3,RUFY3,RUFY3
LDLRAD4,LDLRAD4,LDLRAD4,LDLRAD4
SERPINI1,SERPINI1,SERPINI1,SERPINI1
RPL15,RPL15,RPL15,RPL15
ZNF425,ZNF425,ZNF425,ZNF425
SLC40A1,SLC40A1,SLC40A1,SLC40A1
NUCB2,NUCB2,NUCB2,NUCB2
TBX18,TBX18,TBX18,TBX18
DISP3,DISP3,DISP3,DISP3
ZNF148,ZNF148,ZNF148,ZNF148
CHSY3,CHSY3,CHSY3,CHSY3
DDX10,DDX10,DDX10,DDX10
ST7,ST7,ST7,ST7
SLC16A1,SLC16A1,SLC16A1,SLC16A1
HRC,HRC,HRC,HRC
CARS,CARS,CARS,CARS
APBB3,APBB3,APBB3,APBB3
NUFIP1,NUFIP1,NUFIP1,NUFIP1
PIK3C2A,PIK3C2A,PIK3C2A,PIK3C2A
ITGAV,ITGAV,ITGAV,ITGAV
CDH6,CDH6,CDH6,CDH6
CABLES1,CABLES1,CABLES1,CABLES1
FAM155A,FAM155A,FAM155A,FAM155A
TUBA1C,TUBA1C,TUBA1C,TUBA1C
SPRED2,SPRED2,SPRED2,SPRED2
NEDD4,NEDD4,NEDD4,NEDD4
IQCD,IQCD,IQCD,IQCD
C1QTNF7,C1QTNF7,C1QTNF7,C1QTNF7
MFNG,MFNG,MFNG,MFNG
ADGRE5,ADGRE5,ADGRE5,ADGRE5
LINC01503,LINC01503,LINC01503,LINC01503
FLRT2,FLRT2,FLRT2,FLRT2
ACTN2,ACTN2,ACTN2,ACTN2
DIO3,DIO3,DIO3,DIO3
MBP,MBP,MBP,MBP
LAMC1,LAMC1,LAMC1,LAMC1
LINC00886,LINC00886,LINC00886,LINC00886
FOXC1,FOXC1,FOXC1,FOXC1
MLIP,MLIP,MLIP,MLIP
PDGFC,PDGFC,PDGFC,PDGFC
ARNT2,ARNT2,ARNT2,ARNT2
TCF12,TCF12,TCF12,TCF12
TAPT1-AS1,TAPT1-AS1,TAPT1-AS1,TAPT1-AS1
RNF2,RNF2,RNF2,RNF2
LINC00922,LINC00922,LINC00922,LINC00922
NWD1,NWD1,NWD1,NWD1
ITM2B,ITM2B,ITM2B,ITM2B
KCNT2,KCNT2,KCNT2,KCNT2
SPATS2L,SPATS2L,SPATS2L,SPATS2L
NDEL1,NDEL1,NDEL1,NDEL1
IFI6,IFI6,IFI6,IFI6
HIST1H2BD,HIST1H2BD,HIST1H2BD,HIST1H2BD
PCTP,PCTP,PCTP,PCTP
RBPMS,RBPMS,RBPMS,RBPMS
DDX60L,DDX60L,DDX60L,DDX60L
FOXS1,FOXS1,FOXS1,FOXS1
GADD45A,GADD45A,GADD45A,GADD45A
RAB3IP,RAB3IP,RAB3IP,RAB3IP
GABRA4,GABRA4,GABRA4,GABRA4
AGTPBP1,AGTPBP1,AGTPBP1,AGTPBP1
ELMOD1,ELMOD1,ELMOD1,ELMOD1
MPP5,MPP5,MPP5,MPP5
PBX3,PBX3,PBX3,PBX3
ZNFX1,ZNFX1,ZNFX1,ZNFX1
ERF,ERF,ERF,ERF
SS18L2,SS18L2,SS18L2,SS18L2
PIM1,PIM1,PIM1,PIM1
ZFP30,ZFP30,ZFP30,ZFP30
ZNF518A,ZNF518A,ZNF518A,ZNF518A
CDK8,CDK8,CDK8,CDK8
ZNF92,ZNF92,ZNF92,ZNF92
TJP2,TJP2,TJP2,TJP2
SESN3,SESN3,SESN3,SESN3
SOX8,SOX8,SOX8,SOX8
MYEF2,MYEF2,MYEF2,MYEF2
SLC6A17,SLC6A17,SLC6A17,SLC6A17
MEF2C,MEF2C,MEF2C,MEF2C
ERRFI1,ERRFI1,ERRFI1,ERRFI1
GAREM1,GAREM1,GAREM1,GAREM1
SF1,SF1,SF1,SF1
PTPRG,PTPRG,PTPRG,PTPRG
CLEC7A,CLEC7A,CLEC7A,CLEC7A
TBC1D4,TBC1D4,TBC1D4,TBC1D4
LINC01426,LINC01426,LINC01426,LINC01426
ABCC3,ABCC3,ABCC3,ABCC3
KLHL15,,KLHL15,KLHL15
PPARA,,PPARA,PPARA
PTMA,,PTMA,PTMA
TLE1,,TLE1,TLE1
TGFBR1,,TGFBR1,TGFBR1
TRIM5,,TRIM5,TRIM5
PRRG1,,PRRG1,PRRG1
PTPN14,,PTPN14,PTPN14
RAB27A,,RAB27A,RAB27A
MIR4435-2HG,,MIR4435-2HG,MIR4435-2HG
SERPINE2,,SERPINE2,SERPINE2
CALM1,,CALM1,CALM1
KCTD1,,KCTD1,KCTD1
ATR,,ATR,ATR
HMGCS1,,HMGCS1,HMGCS1
ZBTB37,,ZBTB37,ZBTB37
LNX2,,LNX2,LNX2
LIMD1,,LIMD1,LIMD1
SCN3B,,SCN3B,SCN3B
CDYL2,,CDYL2,CDYL2
ARNTL,,ARNTL,ARNTL
GRIA1,,GRIA1,GRIA1
ZNRF1,,ZNRF1,ZNRF1
GPBP1L1,,GPBP1L1,GPBP1L1
ZNF706,,ZNF706,ZNF706
HSF2,,HSF2,HSF2
LRAT,,LRAT,LRAT
RGS6,,RGS6,RGS6
PTPDC1,,PTPDC1,PTPDC1
EIF5A2,,EIF5A2,EIF5A2
ST6GAL2,,ST6GAL2,ST6GAL2
GTF3C2,,GTF3C2,GTF3C2
APBA1,,APBA1,APBA1
NXPH1,,NXPH1,NXPH1
STK17B,,STK17B,STK17B
ARSG,,ARSG,ARSG
ZNF420,,ZNF420,ZNF420
ADAMTS2,,ADAMTS2,ADAMTS2
ERI1,,ERI1,ERI1
BAZ1A,,BAZ1A,BAZ1A
INTS6,,INTS6,INTS6
ARNT,,ARNT,ARNT
LRRC8C,,LRRC8C,LRRC8C
ELK4,,ELK4,ELK4
SLC22A23,,SLC22A23,SLC22A23
BRINP1,,BRINP1,BRINP1
FBXL7,,FBXL7,FBXL7
ELOVL2,,ELOVL2,ELOVL2
WDR17,,WDR17,WDR17
TIMP2,,TIMP2,TIMP2
ZNF341-AS1,,ZNF341-AS1,ZNF341-AS1
CSF1R,,CSF1R,CSF1R
KDM7A,,KDM7A,KDM7A
NR2F1-AS1,,NR2F1-AS1,NR2F1-AS1
KLRG1,,KLRG1,KLRG1
HNRNPH3,,HNRNPH3,HNRNPH3
PACRG,,PACRG,PACRG
LYN,,LYN,LYN
POLI,,POLI,POLI
RAI2,,RAI2,RAI2
PTPN20,,PTPN20,PTPN20
ANKDD1A,,ANKDD1A,ANKDD1A
RHBDF2,,RHBDF2,RHBDF2
HMX3,,HMX3,HMX3
CDKN1A,,CDKN1A,CDKN1A
TGFB2,,TGFB2,TGFB2
JAM3,,JAM3,JAM3
PKN2-AS1,,PKN2-AS1,PKN2-AS1
RALA,,RALA,RALA
RPL32,,RPL32,RPL32
ABCA5,,ABCA5,ABCA5
TSHZ3,,TSHZ3,TSHZ3
C5orf66,,C5orf66,C5orf66
TCF3,,TCF3,TCF3
CARD11,,CARD11,CARD11
TOPORS,,TOPORS,TOPORS
GATA6,,GATA6,GATA6
GAS2,,GAS2,GAS2
ETV3,,ETV3,ETV3
SEMA6A,,SEMA6A,SEMA6A
ARMC3,,ARMC3,ARMC3
HOPX,,HOPX,HOPX
HIST2H2BE,,HIST2H2BE,HIST2H2BE
SEC24D,,SEC24D,SEC24D
AP1S2,,AP1S2,AP1S2
CPE,,CPE,CPE
BRF1,,BRF1,BRF1
SDC2,,SDC2,SDC2
ADGRB1,,ADGRB1,ADGRB1
FHL1,,FHL1,FHL1
UTP18,,UTP18,UTP18
MAF,,MAF,MAF
TXLNB,,TXLNB,TXLNB
SPARCL1,,SPARCL1,SPARCL1
CA3,,CA3,CA3
RAB6A,,RAB6A,RAB6A
CHURC1,,CHURC1,CHURC1
ONECUT1,,ONECUT1,ONECUT1
PXDN,,PXDN,PXDN
HEY2,,HEY2,HEY2
FREM2,,FREM2,FREM2
BTAF1,,BTAF1,BTAF1
APP,,APP,APP
PPP1R3C,,PPP1R3C,PPP1R3C
ZBTB18,,ZBTB18,ZBTB18
UNC80,,UNC80,UNC80
STMN4,,STMN4,STMN4
RNF43,,RNF43,RNF43
BAG3,,BAG3,BAG3
PHC2,,PHC2,PHC2
PLCB4,,PLCB4,PLCB4
PTPRE,,PTPRE,PTPRE
FAM110B,,FAM110B,FAM110B
LINC02149,,LINC02149,LINC02149
JADE1,,JADE1,JADE1
PIK3R1,,PIK3R1,PIK3R1
ABR,,ABR,ABR
CNKSR2,,CNKSR2,CNKSR2
DIDO1,,DIDO1,DIDO1
IKZF2,,IKZF2,IKZF2
GRIK4,,GRIK4,GRIK4
SPRED1,,SPRED1,SPRED1
HMGCLL1,,HMGCLL1,HMGCLL1
RASGRP1,,RASGRP1,RASGRP1
IRF1,,IRF1,IRF1
AHCTF1,,AHCTF1,AHCTF1
HSPA4L,,HSPA4L,HSPA4L
THEMIS,,THEMIS,THEMIS
TCEAL7,,TCEAL7,TCEAL7
GNG12-AS1,,GNG12-AS1,GNG12-AS1
GFPT2,,GFPT2,GFPT2
PBX1,,PBX1,PBX1
RAB14,,RAB14,RAB14
TNFRSF21,,TNFRSF21,TNFRSF21
ZFHX3,,ZFHX3,ZFHX3
GBP5,,GBP5,GBP5
AR,,AR,AR
ST3GAL1,,ST3GAL1,ST3GAL1
SHTN1,,SHTN1,SHTN1
APLNR,,APLNR,APLNR
OXTR,,OXTR,OXTR
SYTL4,,SYTL4,SYTL4
CYB5A,,CYB5A,CYB5A
ZBTB2,,ZBTB2,ZBTB2
VEZF1,,VEZF1,VEZF1
IGFBP6,,IGFBP6,IGFBP6
MTA3,,MTA3,MTA3
RGS9,,RGS9,RGS9
CD200,,CD200,CD200
ABCG2,,ABCG2,ABCG2
LINC00271,,LINC00271,LINC00271
ARHGEF18,,ARHGEF18,ARHGEF18
PRIM2,,PRIM2,PRIM2
CALM2,,CALM2,CALM2
ATOH8,,ATOH8,ATOH8
UST,,UST,UST
EIF4A3,,EIF4A3,EIF4A3
SUPT3H,,SUPT3H,SUPT3H
VPS37B,,VPS37B,VPS37B
CABYR,,CABYR,CABYR
TOX,,TOX,TOX
NIPA1,,NIPA1,NIPA1
TFDP1,,TFDP1,TFDP1
SLC7A11,,SLC7A11,SLC7A11
FREM1,,FREM1,FREM1
GALNT13,,GALNT13,GALNT13
DPP10-AS1,,DPP10-AS1,DPP10-AS1
ARHGAP11B,,ARHGAP11B,ARHGAP11B
