gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A1CF,0,0.021733101799999998,0.01317329195388251,0.030942405,0.015760377,0.008414433,0.03991657,0.013631724,True,False,False,False,False
A2M,0,0.0137017938,0.005020071694475757,0.007630235,0.0114509,0.021079164,0.012759777,0.015588893,False,False,False,False,True
A2ML1,0,0.014498503999999999,0.00572206297619045,0.013485735,0.006684943,0.012810742,0.0174351,0.022076,False,False,False,True,False
A4GALT,0,0.013074478099999998,0.005275311616777538,0.008406592,0.01446874,0.008968774,0.02142775,0.0121005345,True,False,False,False,False
AANAT,0,0.0182581294,0.0045536949047796675,0.016513906,0.02077887,0.013679219,0.024921289,0.015397363,False,False,True,False,False
AATK,0,0.016862478,0.00876083443062152,0.024768969,0.004234709,0.01808637,0.012389356,0.024832986,True,False,False,False,False
ABCA1,0,0.029061232,0.00684480591100029,0.030964883,0.021325713,0.024637746,0.03927762,0.029100198,True,False,False,False,False
ABCA12,0,0.0158641219,0.004414097466254376,0.0143600665,0.015197454,0.009737935,0.018731782,0.021293372,True,False,False,False,False
ABCA3,0,0.0208191646,0.010503068228218877,0.023796951,0.036448307,0.008966007,0.013919751,0.020964807,True,False,False,False,False
ABCA4,0,0.031374319399999996,0.014614474829126714,0.02931561,0.02023109,0.021915205,0.056483183,0.028926509,False,False,False,False,True
ABCA5,0,0.032318554799999996,0.0042856892707396795,0.033651445,0.025362745,0.034762297,0.036386367,0.03142992,True,False,False,False,False
ABCA6,0,0.022308544899999998,0.014244501165112295,0.021219848,0.0142083205,0.016778473,0.047073763,0.01226232,False,False,True,False,False
ABCA8,0,0.008995435792,0.005457638374920449,0.014706003,0.009410092,0.007856202,0.00047612996,0.012528752,False,False,False,False,True
ABCB1,0,0.0223534494,0.02245367984250653,0.022986129,0.007227212,0.061016377,0.010800941,0.009736588,False,False,False,True,False
ABCC1,0,0.021947144,0.014346613709728038,0.011163905,0.028122867,0.017062614,0.04401332,0.009373014,True,False,False,False,False
ABCC11,0,0.0172781804,0.006080670352623902,0.012373444,0.014925673,0.026363907,0.01223566,0.020492218,False,False,False,True,False
ABCC2,0,0.016441013400000003,0.0089996605637226,0.027144572,0.005351656,0.009802575,0.022927752,0.016978512,False,False,True,False,False
ABCC3,1,0.0228304488,0.017492322274943316,0.020693973,0.009474649,0.013920623,0.053250544,0.016812455,False,False,True,False,False
ABCC9,0,0.01893247,0.004573550345238422,0.016494727,0.017274374,0.027015498,0.016018713,0.017859038,False,True,False,False,False
ABCF2,0,0.0145221444,0.004898114915181432,0.009602388,0.01278775,0.017584642,0.021462148,0.011173794,False,False,False,False,True
ABCG2,0,0.058151224599999995,0.021900803376040792,0.046866816,0.08161208,0.027715987,0.07587817,0.05868307,False,False,False,True,False
ABCG4,1,0.018304355799999998,0.0047909073529168855,0.017129216,0.020550571,0.0144651765,0.025468297,0.0139085185,True,False,False,False,False
ABCG5,0,0.0248350006,0.014819100656735697,0.014675055,0.01601726,0.024449985,0.050482575,0.018550128,False,True,False,False,False
ABHD17B,0,0.0173071286,0.00835154892583216,0.027412811,0.013859191,0.01814797,0.005306806,0.021808865,False,False,True,False,False
ABHD5,0,0.0257344774,0.012706852392886577,0.043690573,0.008872597,0.027328499,0.020330938,0.02844978,False,False,False,True,False
ABI3BP,0,0.00650749212,0.003071969197154218,0.004820769,0.0025292172,0.010201897,0.0061725564,0.008813021,False,False,False,True,False
ABL1,0,0.027264762399999996,0.01361768355299356,0.025460811,0.011476698,0.02253456,0.04885977,0.027991973,False,False,True,False,False
ABLIM2,0,0.0197298468,0.006915275654291352,0.011416509,0.027555993,0.019504994,0.01458042,0.025591318,False,False,False,False,True
ABLIM3,0,0.0179946944,0.007239215810730559,0.023512885,0.010086372,0.021828782,0.02437519,0.010170243,False,False,False,True,False
ABR,0,0.013618448,0.007027559484111821,0.011008699,0.020982765,0.010379063,0.004959562,0.020762151,False,False,False,False,True
ACAT2,0,0.02090296666,0.01664771430368769,0.017997641,0.0071901693,0.022087442,0.04851454,0.008725041,True,False,False,False,False
ACER1,0,0.009647140279999999,0.004832368344908166,0.0037070394,0.010619835,0.012046547,0.006025952,0.015836328,False,True,False,False,False
ACER2,0,0.0203406858,0.0138483351643038,0.016045574,0.008281692,0.044269063,0.015557006,0.017550094,False,False,False,True,False
ACO1,0,0.0106277169563488,0.006480926019556768,0.016649997,0.010011964,0.011691642,1.8781744e-08,0.014784963,False,True,False,False,False
ACOX1,0,0.0207836414,0.01955109871261316,0.014610678,0.013142046,0.055597406,0.010263322,0.010304755,False,False,False,True,False
ACSBG1,0,0.0217774455,0.014812438795767291,0.019252677,0.007671477,0.045665212,0.0120120365,0.024285825,False,True,False,False,False
ACSL3,0,0.025256145799999997,0.009829453846062618,0.020332335,0.01243421,0.025735524,0.038815442,0.028963218,False,False,False,True,False
ACSL4,1,0.023209386800000002,0.006514019002190406,0.023491979,0.016971454,0.019316204,0.033925217,0.02234208,False,False,False,False,True
ACSS2,0,0.012484614103680002,0.008759783758233605,0.0084313275,0.01883142,0.022196166,7.1630184e-06,0.012956994,False,False,True,False,False
ACTA2,0,0.028273759399999997,0.021128951645883045,0.013143117,0.02093543,0.028810488,0.06436102,0.014118742,False,True,False,False,False
ACTG1,0,0.00672411134,0.004359251265261036,0.00696774,0.0045281826,0.0017862201,0.01356116,0.006777254,False,False,False,False,True
ACTL6A,0,0.01479792254,0.0071384421453316305,0.016887872,0.018397983,0.022115033,0.0033766187,0.013212106,True,False,False,False,False
ACTL6B,0,0.036937342,0.0345339635402694,0.040182382,0.023167826,0.01552829,0.09534245,0.010465762,False,True,False,False,False
ACTN1,0,0.00836626986,0.007354154088528566,0.006767603,0.0019180741,0.0026227352,0.01995847,0.010564467,True,False,False,False,False
ACTN1-AS1,0,0.015064939260000002,0.005327102331898185,0.019145936,0.014631858,0.017188273,0.0060348953,0.018323734,False,False,False,False,True
ACTN2,0,0.043097176400000006,0.02176628783560142,0.026028804,0.022737037,0.052155305,0.03851096,0.076053776,False,True,False,False,False
ACTR3C,0,0.010244713159999998,0.006304421874165452,0.004100005,0.01774342,0.0034164868,0.014283103,0.011680551,False,False,True,False,False
ACVR1,0,0.0283948162,0.011289366404353221,0.025392001,0.016270515,0.023200987,0.046312135,0.030798443,False,False,True,False,False
ACVR1C,0,0.03673111,0.01742871903735682,0.027657496,0.02147694,0.023210406,0.05634722,0.054963488,True,False,False,False,False
ACVR2A,0,0.0268633752,0.012125158556082151,0.027506001,0.016487185,0.014318208,0.044103865,0.031901617,False,False,False,False,True
ADAM12,0,0.0349082988,0.016292718732299077,0.019092398,0.031074498,0.046684414,0.021134976,0.056555208,False,False,True,False,False
ADAM19,0,0.0194510982,0.011581877781445706,0.025107598,0.008696861,0.036825307,0.01089512,0.015730605,False,False,False,True,False
ADAM23,0,0.00683588296,0.0027896258305351155,0.0028723993,0.009236682,0.006128814,0.006157038,0.0097844815,False,False,False,True,False
ADAM28,0,0.01204071246,0.008529043247713468,0.01862232,0.007893702,0.01106836,0.0006220153,0.021997165,False,False,True,False,False
ADAM32,0,0.012603376199999999,0.00469890191370103,0.014144219,0.004990503,0.017831335,0.012637533,0.013413291,False,True,False,False,False
ADAMTS1,0,0.020551258,0.013313859468789224,0.015851341,0.01482763,0.012557614,0.044263154,0.015256551,True,False,False,False,False
ADAMTS10,0,0.0125184412,0.0035547363122072355,0.008735478,0.011368707,0.011030411,0.013270676,0.018186934,False,False,True,False,False
ADAMTS15,0,0.01401769668,0.005601320409130692,0.021554006,0.017348755,0.010886877,0.0071595954,0.01313925,False,False,True,False,False
ADAMTS17,0,0.020189156399999998,0.006105867869832371,0.01788048,0.021688534,0.01978794,0.029180555,0.012408273,True,False,False,False,False
ADAMTS19,0,0.0208782332,0.0019875913667913984,0.021327276,0.018414197,0.022642776,0.022790074,0.019216843,False,False,False,False,True
ADAMTS2,0,0.024777699199999996,0.012119246298938919,0.009529261,0.042607013,0.023901036,0.028101986,0.0197492,False,False,False,False,True
ADAMTS3,0,0.0213252401,0.017397090180061366,0.009098179,0.02515906,0.0137721645,0.05006188,0.008534917,False,False,False,True,False
ADAMTS4,0,0.01310578098,0.006299939884726409,0.0163095,0.011128256,0.0030190689,0.018875144,0.016196936,False,True,False,False,False
ADAMTS5,0,0.034271760400000004,0.02037889973830605,0.029478475,0.024841066,0.05934951,0.008090491,0.04959926,False,False,False,False,True
ADAMTS6,1,0.030176583,0.01199415111731543,0.033291124,0.049401507,0.023779502,0.025956266,0.018454516,True,False,False,False,False
ADAMTS7,0,0.012967394779999999,0.012238552105429776,0.005473005,0.01537364,0.0029670773,0.03322649,0.0077967616,True,False,False,False,False
ADAMTS9,0,0.0220422379,0.016602520783810606,0.004247982,0.0095912395,0.046661515,0.022736587,0.026973866,False,True,False,False,False
ADAMTS9-AS2,0,0.01110959326,0.00476603053697013,0.010205889,0.0052445773,0.01824133,0.009392257,0.012463913,False,False,False,False,True
ADAMTSL1,0,0.0176190098,0.007925727980178585,0.010668766,0.012099719,0.016884476,0.030732071,0.017710017,False,False,True,False,False
ADAMTSL3,0,0.0342347868,0.03110373295342314,0.04601769,0.010378809,0.012296193,0.08366072,0.018820522,True,False,False,False,False
ADAMTSL4-AS1,0,0.0168613802,0.012422224053118235,0.01108798,0.013404851,0.038187906,0.006123608,0.015502556,True,False,False,False,False
ADAR,0,0.0145375274,0.0036305226064352364,0.013892185,0.011321949,0.02030063,0.011723124,0.015449749,False,False,True,False,False
ADARB1,0,0.013366128459999998,0.006302619163340747,0.013974844,0.0045750933,0.011516419,0.022090038,0.014674248,False,False,False,False,True
ADARB2,0,0.0097015656,0.0053877956385705,0.008781719,0.005170141,0.00675858,0.018940544,0.008856844,False,False,False,True,False
ADCY2,0,0.014547153000000002,0.01335572445927657,0.0062820865,0.005183892,0.0064512165,0.03638443,0.01843414,False,False,False,True,False
ADCY3,0,0.019776833,0.005891268745007309,0.014490104,0.019694671,0.013904962,0.027967788,0.02282664,False,False,True,False,False
ADCY5,0,0.022225278199999997,0.01990215324554139,0.010815979,0.004930477,0.013833177,0.054855444,0.026691314,False,False,False,False,True
ADCY7,1,0.024410769,0.010684821864037228,0.01792619,0.0172197,0.03564679,0.036439754,0.014821411,False,True,False,False,False
ADCY9,0,0.0393947041,0.041151478296713964,0.018691154,0.029129406,0.0020290655,0.108979255,0.03814464,False,False,False,True,False
ADD2,0,0.00564110352,0.0038784842864698623,0.00656568,0.0018322329,0.0017891047,0.010917326,0.007101174,False,False,False,False,True
ADD3-AS1,0,0.021729249599999997,0.010330698512069273,0.016017923,0.012009207,0.01829779,0.038580798,0.02374053,False,False,False,False,True
ADGRA2,0,0.0266454052,0.018259130052618734,0.009943068,0.022799375,0.027332831,0.05709565,0.016056102,False,False,False,False,True
ADGRB1,0,0.0169790628,0.011212117188121306,0.03597344,0.009220629,0.013054839,0.008865823,0.017780583,False,True,False,False,False
ADGRB3,0,0.00431700754,0.001770972044765399,0.004169363,0.0013738296,0.0058504157,0.005481177,0.0047102524,False,False,False,False,True
ADGRD1,0,0.0201319525,0.009506341752593198,0.012702121,0.031275027,0.028470047,0.0096358005,0.018576767,False,False,True,False,False
