gene,score,validation,label
A2ML1,0.015388399,False,0
AACS,0.08424272,False,0
AATF,0.00762006,False,0
ABCA1,0.0047186553,False,0
ABCA13,0.029302845,True,1
ABCA2,0.07255077,True,0
ABCA3,0.01066389,True,0
ABCA5,0.048207294,False,0
ABCB9,0.024592444,True,0
ABCC3,0.02643223,False,1
ABCC4,0.021661539,True,0
ABCC5-AS1,0.028463354,False,0
ABCC9,0.01396314,True,0
ABCF2,0.017430296,True,0
ABCG2,0.015224547,False,0
ABHD17A,0.034346722,False,0
ABHD17B,0.012329328,False,0
ABHD2,0.010517369,False,0
ABHD3,0.016121056,False,0
ABHD5,0.00902497,False,0
ABHD8,0.006192961,False,0
ABI2,0.006596771,False,0
ABI3BP,0.022355119,True,0
ABL1,0.019170793,False,0
ABL2,0.018576594,False,0
ABLIM1,0.018854208,False,0
ABLIM2,0.036025506,True,0
ABLIM3,0.0052906433,False,0
ABR,0.14586307,False,0
ABRACL,0.014932006,False,0
ACAP2,0.024330197,False,0
ACBD6,0.0040214313,True,0
ACE2,0.021607067,False,0
ACER1,0.015748214,False,0
ACER2,0.008707375,False,0
ACKR1,0.036035728,False,0
ACKR3,0.036840755,True,0
ACKR4,0.016663821,False,0
ACO1,0.006493669,False,0
ACOX1,0.0018257535,False,0
ACOXL,0.06026363,False,0
ACSL4,0.022828255,True,1
ACSM6,0.034834106,False,0
ACTB,0.009083805,True,0
ACTG1,0.023678022,False,0
ACTN1,0.011255487,False,0
ACTN2,0.024805645,False,0
ACVR1C,0.00663854,True,0
ACVR2A,0.008436894,False,0
ACVRL1,0.014622428,True,0
ADAM22,0.017525673,False,0
ADAM23,0.036936108,False,0
ADAM28,0.025559537,False,0
ADAM32,0.023088623,True,0
ADAMTS1,0.027761612,False,0
ADAMTS17,0.01762588,False,0
ADAMTS19,0.012432786,False,0
ADAMTS3,0.025836082,False,0
ADAMTS9-AS1,0.0013834046,False,0
ADAMTS9-AS2,0.04762285,False,0
ADAMTSL1,0.0055201533,False,0
ADAMTSL3,0.02683351,False,0
ADARB1,0.0065834285,False,0
ADARB2,0.02669492,True,0
ADCY1,0.04009881,True,0
ADCY2,0.063061774,False,0
ADCY4,0.046579856,False,0
ADCY9,0.014622745,False,0
ADD2,0.06066382,False,0
ADD3,0.0011396311,False,0
ADD3-AS1,0.035016026,False,0
ADGRA1,0.021727804,True,0
ADGRB1,0.005041004,False,0
ADGRB2,0.034401264,False,0
ADGRB3,0.03630673,True,0
ADGRG5,0.030022811,True,0
ADGRL1,0.023814822,False,0
ADGRL2,0.04376927,False,0
ADGRL3,0.018812673,False,0
ADGRV1,0.026965257,False,1
ADIRF,0.011778508,False,0
ADM,0.02282128,False,0
ADNP,0.028824016,False,0
ADNP2,0.013763108,False,0
ADPRH,0.026025312,False,0
ADRA2C,0.040654026,False,0
ADRB1,0.0065199197,False,0
ADSSL1,0.023621906,False,0
ADTRP,0.024864422,False,0
AEBP2,0.02531984,False,0
AFAP1,0.013638971,False,0
AFF2,0.0028198415,False,0
AFF3,0.020988692,True,0
AFF4,0.010892146,False,0
AFMID,0.0008449563,False,0
AGA,0.020152766,False,0
AGAP2,0.010290151,False,0
AGBL3,0.034769192,False,0
AGGF1,0.014645064,False,0
AGL,0.021066029,True,0
AGMO,0.06470042,False,0
AGTPBP1,0.025588473,True,0
AHCTF1,0.026675502,False,0
AHCYL2,0.015673224,False,0
AHDC1,0.0018023856,False,1
AHI1,0.020138266,False,0
