gene,score,validation,label
A2ML1,0.21812682,False,-1
AACS,0.1838447,False,-1
AATF,0.18071444,False,-1
ABCA1,0.12553,False,-1
ABCA13,0.089464,False,-1
ABCA2,0.16993366,False,-1
ABCA3,0.17926693,False,-1
ABCA5,0.3847624,False,-1
ABCB9,0.23127687,False,-1
ABCC3,0.10563744,True,0
ABCC4,0.051774714,False,-1
ABCC5-AS1,0.18377368,False,-1
ABCC9,0.067805044,False,0
ABCF2,0.1281953,False,-1
ABHD17A,0.01693224,False,-1
ABHD17B,0.10252449,False,-1
ABHD2,0.09242142,False,-1
ABHD3,0.0091196885,False,0
ABHD5,0.20857546,False,-1
ABHD8,0.18479088,True,0
ABI2,0.22907019,False,-1
ABI3BP,0.18034345,False,-1
ABL1,0.048272084,False,-1
ABL2,0.009491253,False,-1
ABLIM1,0.08250938,False,-1
ABLIM2,0.026227167,False,-1
ABLIM3,0.15142596,False,-1
ABR,0.6470502,False,-1
ABRACL,0.17891341,False,-1
ACAP2,0.033913475,False,-1
ACBD6,0.03787166,False,-1
ACE2,0.16459727,False,-1
ACER1,0.063747756,False,-1
ACER2,0.11985084,False,-1
ACKR1,0.13756205,False,-1
ACKR3,0.07476668,False,-1
ACKR4,0.23857966,False,-1
ACO1,0.12894061,False,-1
ACOX1,0.09987034,False,-1
ACOXL,0.08408951,False,-1
ACSL4,0.10838312,False,-1
ACSM6,0.20093535,False,-1
ACTB,0.1409845,False,-1
ACTG1,0.013796739,False,-1
ACTN1,0.021303115,False,-1
ACTN2,0.07666956,False,-1
ACVR1C,0.24570124,False,-1
ACVR2A,0.1147855,False,-1
ACVRL1,0.01972586,False,-1
ADAM22,0.251759,False,-1
ADAM23,0.3917291,False,-1
ADAM28,0.029419316,False,-1
ADAM32,0.022465335,False,-1
ADAMTS1,0.030970907,False,0
ADAMTS17,0.30155876,False,-1
ADAMTS19,0.098025516,False,-1
ADAMTS3,0.6809655,False,1
ADAMTS9-AS1,0.28469825,False,-1
ADAMTS9-AS2,0.12580821,False,-1
ADAMTSL1,0.07474201,False,-1
ADAMTSL3,0.20518842,False,-1
ADARB1,0.13306254,False,-1
ADARB2,0.20122752,False,-1
ADCY1,0.22687876,False,-1
ADCY2,0.76638705,False,-1
ADCY4,0.19782732,False,-1
ADCY9,0.115391135,False,-1
ADD2,0.13985834,False,-1
ADD3,0.12482695,False,-1
ADD3-AS1,0.10557866,False,-1
ADGRA1,0.14837961,False,-1
ADGRB1,0.22914048,False,-1
ADGRB2,0.5110837,False,-1
ADGRB3,0.5603122,False,-1
ADGRG5,0.27250853,False,-1
ADGRL1,0.1764881,False,-1
ADGRL2,0.5207349,False,0
ADGRL3,0.12876897,False,-1
ADGRV1,0.037685964,False,-1
ADM,0.042024683,True,0
ADNP,0.24135636,False,0
ADNP2,0.16786905,False,-1
ADPRH,0.11186634,False,-1
ADRA2C,0.22913368,False,-1
ADRB1,0.13554253,False,-1
ADSSL1,0.02254304,False,-1
ADTRP,0.21846119,False,-1
AEBP2,0.2523186,False,-1
AFAP1,0.08254933,False,-1
AFF2,0.06287646,False,-1
AFF3,0.110461265,False,1
AFF4,0.02595474,False,-1
AFMID,0.18584073,False,-1
AGA,0.07781122,False,-1
AGAP2,0.22911942,True,0
AGBL3,0.043180015,False,-1
AGGF1,0.052840788,False,-1
AGL,0.1003519,False,-1
AGMO,0.15453963,False,-1
AGTPBP1,0.01998417,False,-1
AHCTF1,0.044658955,False,-1
AHCYL2,0.055106577,False,-1
AHDC1,0.0037084913,False,0
AHI1,0.26817998,False,1
AHR,0.14395447,False,-1
AHRR,0.3388244,False,-1
AHSA1,0.14007026,False,-1
AIM2,0.027618412,False,-1
AJAP1,0.2714249,False,-1
AK5,0.48823088,False,-1
AKAP12,0.19048344,False,-1
AKAP13,0.110886805,False,-1
AKAP5,0.17674899,False,-1
AKAP6,0.1993782,False,-1
AKAP7,0.1199264,False,-1
AKR1B1,0.21116826,False,-1
AKR7A3,0.05807884,False,-1
ALCAM,0.22812259,False,-1
ALDH1A1,0.24457559,False,-1
ALDH1A2,0.023018112,False,-1
ALG1L,0.18450971,False,-1
ALG5,0.24179882,False,0
ALK,0.08470865,False,-1
ALX3,0.024854772,False,-1
AMD1,0.3902187,False,-1
AMDHD1,0.25575468,False,0
AMIGO1,0.17527449,False,-1
AMMECR1,0.026857046,False,-1
AMMECR1L,0.21550044,False,-1
AMN1,0.056862958,False,-1
AMPD3,0.4232164,False,-1
AMPH,0.13759632,False,-1
ANAPC4,0.12126286,False,-1
ANGEL1,0.112446465,False,-1
ANGPT1,0.03364238,False,-1
ANGPT2,0.2496568,False,-1
ANK2,0.13567166,False,-1
ANK3,0.6548224,False,-1
ANKH,0.064363815,False,-1
ANKRD11,0.01857557,False,-1
ANKRD13D,0.032421388,False,0
ANKRD20A4,0.13930562,False,-1
ANKRD27,0.28834087,False,-1
ANKRD28,0.1210232,False,-1
ANKRD30BL,0.52008057,False,-1
ANKRD34A,0.140438,False,-1
ANKRD34B,0.1226015,False,-1
ANKRD36C,0.76816,False,-1
ANKRD37,0.07587717,False,-1
ANKRD53,0.028332181,False,-1
ANKRD54,0.08527135,False,-1
ANKRD6,0.18290547,False,-1
ANKRD60,0.09331222,False,-1
ANKRD61,0.07028509,False,-1
ANKRD65,0.19219062,False,-1
ANKS1B,0.5987295,False,-1
ANKS6,0.015123219,False,-1
ANO4,0.02851105,False,-1
ANP32A,0.06348287,False,-1
ANTXR1,0.0154017,False,-1
ANXA1,0.12091558,False,-1
ANXA11,0.19130082,True,0
ANXA2,0.06375446,False,-1
AP1AR,0.1522197,False,-1
AP1S3,0.11982499,False,-1
AP3D1,0.08907227,False,-1
APBA1,0.47615188,False,-1
APBA2,0.041394804,False,-1
APBB1,0.23637384,False,0
APBB1IP,0.026969453,False,-1
APC2,0.1367154,False,-1
APCDD1,0.18330202,False,-1
APEX2,0.041069884,False,-1
APOA1,0.036270708,False,-1
APOC2,0.0048625376,False,-1
APOD,0.27904534,False,-1
APOE,0.30142733,False,1
APTR,0.063857295,False,-1
AQP4,0.15903215,False,-1
AQP4-AS1,0.2265311,False,-1
AR,0.05608752,False,-1
ARAP1,0.07967698,False,-1
ARAP2,0.029931437,False,-1
AREG,0.10958369,True,0
ARFGAP1,0.161399,False,-1
ARFGEF3,0.7292458,False,-1
ARHGAP10,0.06733504,False,-1
ARHGAP20,0.07344167,False,0
ARHGAP22,0.024311604,False,-1
ARHGAP24,0.07468598,False,-1
ARHGAP25,0.03797434,False,0
ARHGAP26,0.21181998,False,-1
ARHGAP31,0.015234207,False,-1
ARHGAP4,0.04596532,False,-1
ARHGAP42,0.13313909,False,-1
ARHGAP44,0.19603439,True,0
ARHGAP6,0.2066153,False,-1
ARHGEF10L,0.076798245,False,-1
ARHGEF16,0.1861063,False,-1
ARHGEF28,0.4727993,False,-1
ARHGEF3,0.14251857,False,0
ARHGEF4,0.120260864,False,-1
ARHGEF7,0.16197354,False,-1
ARID3A,0.11855252,False,-1
ARID3B,0.14148693,False,-1
ARID5A,0.118877046,False,-1
ARID5B,0.23447478,False,-1
ARIH2OS,0.14379466,False,0
ARL10,0.28554147,False,-1
ARL15,0.17415725,False,-1
ARL17B,0.0759979,False,-1
ARL4A,0.06301639,False,-1
ARL5B,0.056200124,False,-1
ARL6IP5,0.070577204,False,-1
ARMC4,0.0797165,False,-1
ARMC7,0.2387968,False,-1
ARMC9,0.046267677,False,-1
ARMCX4,0.14507642,False,-1
ARNT,0.12313097,False,-1
ARNT2,0.32063997,False,-1
ARNTL,0.004370581,False,-1
ARNTL2,0.1301041,False,-1
ARPP21,0.58758897,False,-1
ARRB2,0.15819587,False,-1
ARRDC3,0.17896867,False,-1
ARRDC4,0.14237638,False,-1
ARSA,0.16173168,False,-1
ARSB,0.27902585,False,-1
ARSG,0.26903942,False,-1
ARSJ,0.05505316,False,-1
ART1,0.033906866,False,-1
ART3,0.032725185,False,-1
ARVCF,0.13599284,False,-1
ASAH2B,0.069150716,False,-1
ASB13,0.025079466,False,-1
ASB9,0.10420869,False,-1
ASCC1,0.2163725,False,-1
ASH2L,0.3112903,False,0
ASIC1,0.12737684,False,-1
ASIC2,0.1777071,False,-1
ASIC4,0.050594363,False,-1
ASPHD1,0.2629395,False,-1
ASPHD2,0.19228058,False,-1
ASPSCR1,0.07241654,False,0
ASRGL1,0.0684996,False,-1
ASTN1,0.07745344,False,-1
ASTN2,0.118147165,False,-1
ASXL3,0.4905122,True,0
ATAD2,0.03011376,False,-1
ATCAY,0.029008467,False,-1
ATF1,0.16533923,False,-1
ATF2,0.23281826,False,-1
ATF3,0.15844308,False,-1
ATF4,0.18317395,False,-1
ATF5,0.16742086,False,-1
ATF6,0.11646737,False,-1
ATF6B,0.09413693,False,-1
ATF7,0.06474656,False,0
ATF7IP2,0.07090125,False,-1
ATG10,0.09474094,False,0
ATG3,0.028298749,False,-1
ATL1,0.37621915,False,-1
ATM,0.10844144,False,-1
ATOH8,0.123601556,False,-1
ATP10A,0.15648662,False,-1
ATP10B,0.01175763,False,-1
ATP10D,0.023589704,False,-1
ATP11A,0.048869543,False,-1
ATP11A-AS1,0.6495161,False,-1
ATP13A2,0.08477036,False,-1
ATP13A3,0.1809037,False,-1
