gene,score,validation,label
AADACL2-AS1,0.009147195,False,0
AARD,0.017647678,False,0
AASDHPPT,0.0055968203,False,0
ABCA1,0.005271593,False,0
ABCA8,0.032984976,False,0
ABCB1,0.0067424374,False,0
ABCB11,0.0059787887,False,0
ABCC12,0.0002155567,False,0
ABCC3,0.011225364,False,1
ABCF2,0.009719045,True,0
ABHD14A,0.03172331,False,0
ABI3BP,0.0016039853,False,0
ABL1,0.0015157489,False,0
ABLIM1,0.0018310063,True,0
ABRA,0.036709238,False,0
ABRACL,0.10051489,True,0
ABTB2,0.011990121,False,0
ACAT2,0.008211658,False,0
ACMSD,0.009110954,False,0
ACOT12,0.020504681,True,0
ACSM6,0.027307907,False,0
ACTB,0.00035710813,True,0
ACTG1,0.0062180213,True,0
ACTN2,0.020348938,False,0
ACVR1C,0.108259134,True,0
ADAM28,0.01961396,False,0
ADAM29,0.017293788,False,0
ADAM32,0.0026342107,False,0
ADAMTS1,0.027460534,False,0
ADAMTS16,0.034424704,False,0
ADAMTS18,0.00041924848,False,0
ADAMTS2,0.025036233,False,0
ADAMTS20,0.039965753,False,0
ADAMTS3,0.0042780074,True,0
ADAMTS9,0.00211486,False,0
ADAMTS9-AS1,0.010778404,False,0
ADAMTSL1,0.016780848,False,0
ADARB1,0.011646317,False,0
ADARB2,0.012147342,False,0
ADCY1,0.015874365,False,0
ADCYAP1,0.019787395,False,0
ADD3,0.0017800411,False,0
ADD3-AS1,0.010500897,False,0
ADK,0.025851535,False,0
ADNP,0.0050484454,False,0
ADNP2,0.026935922,False,0
ADPGK-AS1,0.006022217,False,0
ADRA1A,0.040113825,True,0
ADRA1B,0.014157244,False,0
ADRB2,0.013144259,False,0
ADSL,0.024048006,False,0
ADTRP,0.0360266,False,0
AEBP1,0.0027769394,False,0
AEBP2,0.0036769665,False,0
AFF4,0.0024877046,False,0
AFP,0.009315577,False,0
AGAP2,0.02040635,False,0
AGBL1,0.018661702,False,0
AGMO,0.0060418095,True,0
AGT,0.0017405932,False,0
AHCTF1,0.0050685294,False,0
AHDC1,0.010998695,False,1
AHR,0.018668842,False,0
AHRR,0.025077427,False,0
AIF1,0.016798856,False,0
AK5,0.0007261663,False,0
AKAIN1,0.00027807898,True,0
AKAP13,0.023193393,False,0
AKAP5,0.0006183859,False,0
ALCAM,0.019783666,False,1
ALDH1A1,0.013477364,False,0
ALDH1A2,0.026726367,False,0
ALDOC,0.030050213,False,0
ALG3,0.00032736294,False,0
ALK,0.034779828,False,0
ALOX15B,0.020364098,False,0
ALPK1,0.012546716,False,0
ALX4,0.01940763,False,0
AMZ1,0.1829674,False,1
ANAPC11,0.00033918326,False,0
ANGPT1,0.021026537,False,0
ANGPTL4,0.008444669,False,0
ANK1,0.027283868,True,0
ANKRD30A,0.02860065,False,0
