gene,score,validation,label
AADACL2-AS1,0.19343242,False,-1
AARD,0.18467234,False,-1
AASDHPPT,0.15240036,False,-1
ABCA1,0.18307944,False,0
ABCA8,0.029386101,False,-1
ABCB1,0.05687361,False,-1
ABCB11,0.09537732,False,-1
ABCF2,0.06496671,False,-1
ABI3BP,0.0007059611,False,-1
ABL1,0.2839636,False,-1
ABLIM1,0.2907645,False,-1
ABRA,0.13015926,False,-1
ABRACL,0.13812353,False,0
ABTB2,0.04881596,False,-1
ACAT2,0.12575428,False,-1
ACTB,0.082855515,False,-1
ACTG1,0.1552408,False,-1
ACTN2,0.13568522,False,-1
ACVR1C,0.29697368,False,-1
ADAM28,0.047745775,False,0
ADAMTS1,0.17434737,False,-1
ADAMTS18,0.28649378,False,-1
ADAMTS20,0.18333799,False,-1
ADAMTS3,0.30919668,False,1
ADAMTS9,0.058186613,False,-1
ADARB2,0.08412077,False,-1
ADD3,0.30059725,False,-1
ADD3-AS1,0.07398751,False,0
ADK,0.26832464,False,-1
ADNP,0.30362603,False,-1
ADNP2,0.31354553,False,-1
ADPGK-AS1,0.11794966,False,0
ADRA1A,0.15443033,False,-1
ADRB2,0.06471658,False,-1
AEBP1,0.16181102,False,0
AFF4,0.30296907,False,-1
AFP,0.23408106,False,-1
AGAP2,0.13320392,False,-1
AGMO,0.02141762,False,-1
AGT,0.2778908,False,-1
AHCTF1,0.30841032,False,-1
AHDC1,0.31214187,False,-1
AHR,0.28500727,False,-1
AHRR,0.30795777,False,-1
AIF1,0.03215384,False,-1
AK5,0.3055216,False,-1
AKAIN1,0.3720127,False,-1
AKAP13,0.31589633,False,-1
AKAP5,0.15043479,False,0
ALCAM,0.19458054,False,-1
ALDH1A1,0.025803203,False,-1
ALDH1A2,0.15836377,False,-1
ALDOC,0.269314,False,-1
ALG3,0.06006958,False,-1
ALK,0.2918167,False,-1
ALOX15B,0.081236,False,-1
ALPK1,0.15505813,True,0
ALX4,0.13565302,False,-1
AMZ1,0.060020223,False,-1
ANAPC11,0.0075590904,False,0
ANGPT1,0.06433677,False,0
ANGPTL4,0.12586549,False,-1
ANK1,0.038876746,False,-1
ANKRD30A,0.2678689,False,-1
ANKRD30B,0.3101572,False,-1
ANKRD30BL,0.29984584,False,-1
ANKRD37,0.15400702,False,-1
ANKRD44,0.31223089,False,-1
ANKRD6,0.29884398,False,-1
ANO1,0.014292827,False,-1
ANOS1,0.11119269,False,-1
ANXA11,0.28089657,False,-1
AP1S1,0.25761363,False,-1
AP1S2,0.049757846,False,0
AP2M1,0.20135055,False,-1
APBB1IP,0.12454521,False,-1
APCDD1,0.0869431,False,-1
APEX2,0.23648643,False,-1
APOB,0.06970237,False,-1
APOC2,0.013910173,False,-1
APOD,0.19875385,False,-1
APOE,0.0832731,True,1
AR,0.20391329,True,0
ARC,0.03125922,False,-1
ARF1,0.15715067,False,-1
ARHGAP12,0.31027678,False,-1
ARHGAP18,0.07854783,False,-1
ARHGAP20,0.30465463,False,-1
ARHGAP22,0.17307368,True,0
ARHGAP24,0.044767536,False,0
ARHGAP26,0.30225214,False,-1
ARHGAP29,0.30656564,False,-1
ARHGAP4,0.15650207,False,-1
ARHGAP42,0.18906789,False,-1
ARHGAP8,0.24816321,False,-1
ARHGDIG,0.1272476,True,0
ARHGEF26,0.29055932,False,-1
ARHGEF28,0.28527844,False,0
ARID5A,0.20654914,False,-1
ARID5B,0.16679312,False,-1
ARL4A,0.23123884,False,-1
ARL4C,0.14810319,False,-1
ARL4D,0.035502087,False,-1
ARL6,0.30262133,False,-1
ARL6IP1,0.095408134,False,-1
ARMC7,0.065415405,False,-1
ARNT2,0.27640313,False,-1
ARNTL,0.30029178,False,-1
ARPC2,0.02024697,False,-1
ARPC3,0.004573059,False,-1
ARPC5,0.14726824,False,-1
ARPP19,0.1732472,False,-1
ARX,0.2012514,False,-1
ATF1,0.17977226,False,-1
ATF2,0.29818714,False,-1
ATF3,0.0056436476,False,-1
ATF4,0.022673743,False,0
ATF5,0.020968169,False,-1
ATL1,0.32985595,False,-1
ATOH8,0.20950751,False,-1
ATP10A,0.10948896,True,0
ATP11C,0.2803086,False,-1
ATP12A,0.28711638,False,-1
ATP1A1,0.13421471,False,-1
ATP1A1-AS1,0.074704885,False,-1
ATP1B1,0.077729456,False,-1
ATP6V0C,0.09546621,False,-1
ATP6V0D1,0.017534593,False,0
ATP6V0E2,0.023087375,False,0
ATP6V1B2,0.2318575,False,-1
ATP6V1D,0.0023034282,False,-1
ATP6V1E1,0.21834025,False,-1
ATP6V1G1,0.016805593,False,0
ATP8B1,0.27203473,False,-1
ATRNL1,0.3001607,False,-1
ATXN7L3B,0.00618905,False,-1
AXL,0.09836386,False,-1
B2M,0.12718052,False,-1
B3GALT2,0.13079347,False,-1
B3GAT2,0.23615256,False,-1
B3GLCT,0.11615893,False,-1
B4GAT1,0.08477711,False,-1
BACE2,0.24148098,False,-1
BACH1,0.27024087,False,-1
BACH2,0.29827428,False,-1
BAG3,0.034233104,False,-1
BARHL1,0.43111068,False,-1
BARHL2,0.1886427,False,-1
BASP1,0.17903562,False,-1
BATF3,0.084129155,False,-1
BBOX1-AS1,0.007747403,True,0
BBX,0.29292136,False,-1
BCAR3,0.17824775,False,-1
BCAS2,0.04419723,False,0
BCL11A,0.17484605,False,-1
BCL11B,0.27358097,False,-1
BCL6,0.18944941,False,-1
BCLAF1,0.29220027,False,-1
BDNF,0.13137841,False,1
BEND4,0.26514003,False,-1
BEST2,0.073000304,False,-1
BEST3,0.20154169,False,-1
BEX1,0.0012782504,True,0
BEX2,0.0030192698,False,0
BEX3,0.0015767878,False,-1
BEX4,0.007847334,False,0
BHLHE22,0.28464183,False,-1
BHLHE40,0.09127635,False,0
BICC1,0.12486474,False,-1
BLOC1S2,0.0132589005,False,0
BMP5,0.083573975,False,-1
BMP7,0.1890701,False,0
BMP8A,0.21563359,False,-1
BMPER,0.31021488,False,-1
BMPR1B,0.0029659448,False,-1
BNC2,0.21797179,False,-1
BOC,0.22007555,False,-1
BPTF,0.24327534,False,-1
BRCA1,0.28704286,False,-1
BRF2,0.021872962,False,-1
BRINP3,0.30371124,False,-1
BRK1,0.006708554,False,-1
BRS3,0.12732975,False,-1
BSCL2,0.14615357,False,-1
BTBD11,0.26437405,False,-1
BTF3,0.17837857,False,-1
BTG1,0.23452,False,1
BTG2,0.027102131,False,-1
BTG3,0.18194894,False,-1
BTNL8,0.2937231,False,-1
BTNL9,0.06231841,False,-1
BVES,0.3108328,False,-1
C11orf87,0.1500851,False,-1
C11orf96,0.087768465,False,-1
C14orf132,0.113808975,False,-1
C18orf32,0.010452807,False,0
C1GALT1,0.11529348,False,-1
C1QA,0.09333465,False,0
C1QB,0.13035242,False,-1
C1QL2,0.16559762,False,-1
C1QL3,0.29345798,False,-1
C1QTNF4,0.047558274,False,-1
C1QTNF7,0.23259373,False,-1
C1QTNF9B,0.02769273,False,0
C21orf91,0.30129007,False,-1
C2orf27A,0.09997695,False,-1
C3,0.12270973,False,-1
C3orf67,0.31043884,False,-1
C4orf3,0.033674274,True,0
C4orf48,0.11330858,False,-1
C8orf34,0.0710848,False,0
CA3,0.28220397,False,-1
CA4,0.03333458,False,-1
CA8,0.043772005,False,-1
CACHD1,0.29870707,False,-1
CACNG4,0.024804555,False,-1
CACYBP,0.0016909972,True,0
CADPS,0.28958568,False,-1
CADPS2,0.30279785,False,-1
CALCRL,0.11868647,False,-1
CALM1,0.074763775,False,-1
CALM2,0.120436795,False,-1
CALM3,0.08817195,False,-1
CALN1,0.30574146,False,-1
CALY,0.16922197,False,-1
CAMK2D,0.27479553,False,-1
CAMK2N1,0.11917837,False,-1
CAMLG,0.09904011,False,-1
CANX,0.041108534,False,0
CAPNS1,0.014399196,False,-1
CARD10,0.0020921712,False,0
CARD6,0.13389888,False,-1
CARF,0.16750936,False,-1
CARTPT,0.1291977,False,-1
CASC15,0.22134888,False,-1
CASC17,0.10869999,False,-1
CASC2,0.31381986,False,-1
CASC6,0.21648169,False,-1
CASP5,0.10802739,False,-1
CAV1,0.20623831,False,-1
CAV2,0.16336727,False,-1
CBFA2T2,0.16869117,False,0
CBLN1,0.35468176,False,-1
CBLN2,0.30541933,False,-1
CBLN4,0.09765794,False,-1
CCDC115,0.016951418,False,0
CCDC122,0.16821907,False,-1
CCDC168,0.016605584,False,-1
CCDC178,0.2900083,False,-1
CCDC184,0.16029954,False,-1
CCDC192,0.026263263,False,-1
CCDC25,0.076325364,False,-1
CCDC68,0.09475346,False,-1
CCK,0.29014453,False,-1
CCL3,0.061803285,False,-1
CCL4,0.023515109,False,-1
CCND1,0.21220388,False,-1
CCNG2,0.2948117,False,-1
CCNI,0.023865432,False,0
CCNJL,0.24290726,False,-1
CCSER1,0.21343778,False,-1
CCT6A,0.055721655,False,0
CCT8,0.15249442,False,-1
CD163,0.008198271,False,0
CD180,0.11614696,False,-1
CD2,0.15286961,False,-1
CD24,0.030946674,False,-1
CD300A,0.16553402,False,-1
CD44,0.10206434,False,0
CD53,0.0482651,False,-1
CD63,0.050047107,False,-1
CD69,0.16564381,False,-1
CD7,0.18631503,False,-1
CD81,0.12718622,False,-1
CD86,0.25431073,False,-1
CD9,0.078209095,False,-1
CDC14A,0.07844022,False,0
CDC14B,0.30680192,False,-1
CDC42,0.20347044,True,0
CDC42EP3,0.018112099,False,-1
CDC5L,0.05343306,True,0
CDH10,0.38187248,False,-1
CDH11,0.15705508,False,-1
CDH12,0.30161482,False,-1
CDH15,0.41394415,False,-1
CDH18,0.20530216,False,-1
CDH2,0.3041988,False,-1
CDH20,0.29914925,False,-1
CDH22,0.052051257,False,-1
CDH4,0.12686333,False,-1
CDH7,0.08798057,False,-1
CDH8,0.30400246,False,-1
CDHR3,0.13590437,False,0
CDK14,0.047482077,False,-1
CDK2AP1,0.08670202,False,-1
CDK5R1,0.15502082,False,-1
CDK6,0.29774642,False,0
CDKN2B-AS1,0.29766953,False,-1
CDKN2D,0.1681833,False,-1
CDYL2,0.30309582,False,-1
CEACAM21,0.14470682,False,-1
CEBPA,0.28817713,False,-1
CEBPB,0.15548344,False,-1
CEBPD,0.074823156,False,-1
CEBPG,0.2867162,False,-1
CECR2,0.05549189,False,-1
CELF5,0.19859031,False,-1
CEMIP,0.08368825,False,-1
CENPBD1,0.07432317,False,-1
CENPF,0.06896334,False,-1
CERS3,0.046659775,False,0
CERS4,0.24556185,False,-1
CFH,0.23415335,False,-1
CFL1,0.2890783,False,-1
CFL2,0.038935747,False,-1
CFLAR,0.16253325,False,-1
CGNL1,0.14595383,True,0
CHAC2,0.05803386,False,-1
CHAMP1,0.29089877,False,-1
CHD1,0.29187092,False,-1
CHD7,0.32124868,False,-1
CHGA,0.16501111,False,-1
CHGB,0.032328762,False,0
CHMP2A,0.017913878,False,0
CHN1,0.2889363,False,-1
CHODL,0.20470768,False,-1
CHRDL1,0.30289456,False,-1
CHRNA1,0.28840345,False,-1
CHST11,0.19934593,False,-1
CHST3,0.15335844,False,-1
CHST9,0.20120421,False,0
CHSY3,0.30711186,False,-1
CIRBP,0.05578111,False,-1
CKB,0.12791614,False,-1
CLEC12A,0.13711573,False,-1
CLEC2B,0.03563823,False,0
CLEC2L,0.18763919,False,-1
CLEC7A,0.13466932,False,-1
CLIC1,0.027606279,False,-1
CLIC4,0.26766852,False,-1
CLIC5,0.05395267,False,-1
CLOCK,0.292108,False,-1
CLTB,0.008842129,False,0
CLU,0.12897362,False,-1
CMKLR1,0.0067987167,False,-1
CMTM5,0.42667913,False,-1
CNDP1,0.31140527,False,-1
CNGB3,0.28367507,False,-1
CNIH2,0.16184595,False,-1
CNKSR3,0.1548015,False,-1
CNOT4,0.29930863,False,-1
CNR1,0.30016428,False,1
CNTN4,0.30077726,False,-1
CNTN5,0.16529612,False,-1
CNTNAP2,0.19782494,False,1
CNTNAP3,0.063018665,False,-1
CNTNAP3B,0.09660079,False,-1
CNTNAP5,0.22958441,False,-1
COL12A1,0.263014,False,-1
COL18A1,0.20056821,True,0
COL19A1,0.3025044,False,-1
COL1A2,0.043885555,False,-1
COL21A1,0.15256123,False,-1
COL23A1,0.30081108,False,-1
COL24A1,0.30447856,False,-1
COL25A1,0.22827986,False,0
COL4A2,0.2085158,False,-1
COL4A5,0.12110893,False,-1
COL6A2,0.024857795,False,-1
COL6A3,0.051116657,False,-1
COL8A1,0.001032177,False,0
COL9A2,0.22031716,False,0
COLEC12,0.047841564,False,-1
COPRS,0.00182597,False,0
CPE,0.20974392,False,-1
CPED1,0.26653993,False,-1
CPLX3,0.13500382,False,-1
CPQ,0.22754371,False,-1
CRABP1,0.23667784,False,-1
CRB1,0.040365133,False,0
CREB1,0.30199438,False,0
CREB3,0.046042997,False,-1
CREB3L1,0.11469019,False,-1
CREG2,0.29419717,False,-1
CREM,0.30925173,False,-1
CRH,0.042276405,False,-1
CRHBP,0.090105996,False,-1
CRIM1,0.30260372,False,-1
CRIP2,0.28755808,False,-1
CRISPLD1,0.27070552,False,-1
CRTAM,0.27286994,False,-1
CRTC2,0.108094074,False,-1
CRY2,0.2054822,False,-1
CSF1R,0.13710414,False,-1
CSF3R,0.15187348,False,-1
CSGALNACT1,0.11420497,False,-1
CSRP2,0.29875964,True,0
CSTB,0.021510001,True,0
CSTF2,0.07368587,False,-1
CTBP2,0.30160934,False,-1
CTC1,0.037686914,False,-1
CTCF,0.31403938,False,-1
CTNNA2,0.3029275,False,-1
CTNNB1,0.3090407,False,-1
CTSD,0.027868155,False,-1
CTTNBP2,0.28916234,False,-1
CUTA,0.003000335,True,0
CUX1,0.3066088,False,-1
CX3CR1,0.14090471,False,0
CXCL12,0.3077731,False,-1
CXCR4,0.20955385,False,-1
CXXC1,0.2562948,False,-1
CXXC5,0.23285283,False,-1
CYBRD1,0.14364786,False,-1
CYP26A1,0.19845267,False,-1
CYP26B1,0.3825729,False,-1
CYP51A1,0.112773314,False,-1
CYTIP,0.15852201,False,-1
DAAM2,0.002344932,False,-1
DAB1,0.26492083,False,-1
DAB2,0.1891079,False,-1
DACH1,0.03707829,False,-1
DAPK1,0.1525541,False,-1
DAPK2,0.04442283,False,-1
DAW1,0.13573028,False,-1
DBP,0.011360075,False,-1
DCDC2C,0.04102527,False,0
DCN,0.15407978,False,-1
DCTN1,0.027330348,True,0
DCTN3,0.13415708,False,-1
DDAH1,0.019833203,False,0
DDAH2,0.00084465614,False,-1
DDO,0.19883916,False,-1
DDT,0.0048329365,False,0
DDX20,0.06675101,False,-1
DDX3Y,0.16631816,False,-1
DEFB108B,0.2838061,False,-1
DENND2C,0.30877212,False,-1
DEXI,0.17462683,False,-1
DGKH,0.30559182,False,-1
DHX36,0.2957124,False,-1
DIAPH2,0.30471638,False,-1
DIO1,0.1273509,True,0
DIO2,0.13328555,False,-1
DIRAS1,0.15619957,False,-1
DISC1,0.43633792,False,1
DKK2,0.18573421,False,-1
DKK3,0.08737716,False,-1
DLEU1,0.28007367,False,-1
DLX1,0.02249199,False,-1
DLX2,0.1423241,False,-1
DLX5,0.084794365,False,-1
DLX6,0.1841683,False,-1
DLX6-AS1,0.2506697,False,-1
DMC1,0.22503084,False,-1
DMD,0.30448657,False,-1
DMRTA1,0.11689184,False,-1
DNAH14,0.08459795,True,0
DNAJA4,0.13917243,False,-1
DNAJB1,0.001603489,False,0
DNAJB4,0.10558461,False,-1
DNAJB6,0.1770838,False,-1
DNAJC21,0.3022731,False,-1
DNAJC8,0.022262348,False,0
DNPH1,0.03004678,False,0
DNTTIP1,0.10483876,False,-1
DOCK1,0.18647051,False,0
DOCK10,0.17719094,False,-1
