_BACKGROUND,5p,10p,15p
AMZ1,AMZ1,AMZ1,AMZ1
KCNH4,KCNH4,KCNH4,KCNH4
GSG1L,GSG1L,GSG1L,GSG1L
ARNT2,ARNT2,ARNT2,ARNT2
LINC02133,LINC02133,LINC02133,LINC02133
CELF5,CELF5,CELF5,CELF5
SMAD3,SMAD3,SMAD3,SMAD3
SEMA5B,SEMA5B,SEMA5B,SEMA5B
LINC01605,LINC01605,LINC01605,LINC01605
DAB1,DAB1,DAB1,DAB1
PBX1,PBX1,PBX1,PBX1
SLCO2A1,SLCO2A1,SLCO2A1,SLCO2A1
LINC00159,LINC00159,LINC00159,LINC00159
CASC2,CASC2,CASC2,CASC2
HMGXB3,HMGXB3,HMGXB3,HMGXB3
ZBTB44,ZBTB44,ZBTB44,ZBTB44
L3MBTL4,L3MBTL4,L3MBTL4,L3MBTL4
GOLGA8B,GOLGA8B,GOLGA8B,GOLGA8B
CREM,CREM,CREM,CREM
STAT3,STAT3,STAT3,STAT3
ZNF592,ZNF592,ZNF592,ZNF592
GRIK2,GRIK2,GRIK2,GRIK2
FAM160A1,FAM160A1,FAM160A1,FAM160A1
PKNOX1,PKNOX1,PKNOX1,PKNOX1
JDP2,JDP2,JDP2,JDP2
ZNF451,ZNF451,ZNF451,ZNF451
TPK1,TPK1,TPK1,TPK1
MOB3B,MOB3B,MOB3B,MOB3B
ZEB2,ZEB2,ZEB2,ZEB2
GTF2A1,GTF2A1,GTF2A1,GTF2A1
TCF7L2,TCF7L2,TCF7L2,TCF7L2
ZNF777,ZNF777,ZNF777,ZNF777
CTCF,CTCF,CTCF,CTCF
INTS6L,INTS6L,INTS6L,INTS6L
DPP10,DPP10,DPP10,DPP10
PAG1,PAG1,PAG1,PAG1
MDGA2,MDGA2,MDGA2,MDGA2
SMCO4,SMCO4,SMCO4,SMCO4
PIP5K1B,PIP5K1B,PIP5K1B,PIP5K1B
PDE4B,PDE4B,PDE4B,PDE4B
KDM7A,KDM7A,KDM7A,KDM7A
HMGXB4,HMGXB4,HMGXB4,HMGXB4
ZNF160,ZNF160,ZNF160,ZNF160
PURA,PURA,PURA,PURA
ANKRD44,ANKRD44,ANKRD44,ANKRD44
RBBP8NL,RBBP8NL,RBBP8NL,RBBP8NL
TMTC1,TMTC1,TMTC1,TMTC1
