_BACKGROUND,5p,10p,15p
TMEM132B,TMEM132B,TMEM132B,TMEM132B
FMN1,FMN1,FMN1,FMN1
ZNF385B,ZNF385B,ZNF385B,ZNF385B
CHSY3,CHSY3,CHSY3,CHSY3
KCNB2,KCNB2,KCNB2,KCNB2
TNR,TNR,TNR,TNR
FAT3,FAT3,FAT3,FAT3
MEF2C,MEF2C,MEF2C,MEF2C
ARHGAP26,ARHGAP26,ARHGAP26,ARHGAP26
RBFOX2,RBFOX2,RBFOX2,RBFOX2
RFX7,RFX7,RFX7,RFX7
DMD,DMD,DMD,DMD
NLGN1,NLGN1,NLGN1,NLGN1
PHACTR1,PHACTR1,PHACTR1,PHACTR1
CTNNA2,CTNNA2,CTNNA2,CTNNA2
ZNF280D,ZNF280D,ZNF280D,ZNF280D
MYRIP,MYRIP,MYRIP,MYRIP
ZEB1,ZEB1,ZEB1,ZEB1
MED12L,MED12L,MED12L,MED12L
OLFM3,OLFM3,OLFM3,OLFM3
PEX5L,PEX5L,PEX5L,PEX5L
KLHL32,KLHL32,KLHL32,KLHL32
FSTL4,FSTL4,FSTL4,FSTL4
MAN2A1,MAN2A1,MAN2A1,MAN2A1
ATRNL1,ATRNL1,ATRNL1,ATRNL1
ARHGAP20,ARHGAP20,ARHGAP20,ARHGAP20
ELAVL4,ELAVL4,ELAVL4,ELAVL4
CDH8,CDH8,CDH8,CDH8
PTPRG,PTPRG,PTPRG,PTPRG
THOC2,THOC2,THOC2,THOC2
PAK1,PAK1,PAK1,PAK1
PDZRN3,PDZRN3,PDZRN3,PDZRN3
NCAM2,NCAM2,NCAM2,NCAM2
PAM,PAM,PAM,PAM
TFDP2,TFDP2,TFDP2,TFDP2
FAM135B,FAM135B,FAM135B,FAM135B
KDM2A,KDM2A,KDM2A,KDM2A
DIAPH2,DIAPH2,DIAPH2,DIAPH2
JAZF1,JAZF1,JAZF1,JAZF1
GRM3,GRM3,GRM3,GRM3
POU2F1,POU2F1,POU2F1,POU2F1
CHD1,CHD1,CHD1,CHD1
ZNF704,ZNF704,ZNF704,ZNF704
CLOCK,CLOCK,CLOCK,CLOCK
GRM1,GRM1,GRM1,GRM1
SERPINI1,SERPINI1,SERPINI1,SERPINI1
NR3C2,NR3C2,NR3C2,NR3C2
TSC22D1,TSC22D1,TSC22D1,TSC22D1
GULP1,GULP1,GULP1,GULP1
PTPRK,PTPRK,PTPRK,PTPRK
RTN1,RTN1,RTN1,RTN1
NR2C2,NR2C2,NR2C2,NR2C2
TMEM117,TMEM117,TMEM117,TMEM117
NPAS2,NPAS2,NPAS2,NPAS2
RORA,RORA,RORA,RORA
STAU2,STAU2,STAU2,STAU2
FLRT2,FLRT2,FLRT2,FLRT2
SPATS2,SPATS2,SPATS2,SPATS2
SNTG1,SNTG1,SNTG1,SNTG1
RAPGEF5,RAPGEF5,RAPGEF5,RAPGEF5
ARNTL,ARNTL,ARNTL,ARNTL
