gene,score,validation,label
AARD,0.109827384,False,-1
AASDHPPT,0.16585839,False,-1
ABCA1,0.011622045,False,-1
ABCA8,0.06734588,False,-1
ABCC3,0.024491407,False,-1
ABCF2,0.022043228,False,-1
ABLIM1,0.09463575,False,-1
ABRACL,0.08498989,False,-1
ACTB,0.16263865,False,-1
ACTG1,0.047202915,False,-1
ACVR1C,0.18704128,False,-1
ADAD2,0.025572158,False,0
ADAM28,0.053621016,False,0
ADAMTS1,0.046936274,False,-1
ADAMTS17,0.29393294,False,-1
ADAMTS18,0.0005358457,False,0
ADAMTS3,0.53414387,False,1
ADARB1,0.051522803,False,-1
ADARB2,0.23614512,False,-1
ADCY1,0.28805783,False,-1
ADCY8,0.11192362,False,-1
ADD3,0.60201806,False,-1
ADGB,8.56573e-05,False,0
ADGRF5,0.019423716,False,-1
ADGRG4,0.041981168,False,-1
ADNP,0.38184506,False,-1
ADORA3,0.102551214,False,-1
AFF4,0.4310623,False,-1
AGAP2,0.1517824,False,-1
AGGF1,0.22942735,False,-1
AHCTF1,0.4974305,False,-1
AHDC1,0.4444654,False,-1
AHR,0.28961328,False,-1
AHRR,0.23280588,False,-1
AIF1,0.12152256,False,-1
AK5,0.2319925,False,-1
AKAIN1,0.0014169065,False,0
AKAP13,0.6430574,False,-1
AKAP5,0.015575039,False,0
AKR1A1,0.0023306345,False,0
ALCAM,0.19240637,False,-1
ALDH1A2,0.28306332,False,-1
ALK,0.01335065,False,-1
ALOX15B,0.098003566,False,0
AMZ1,0.0080526015,False,-1
ANAPC11,0.0016168862,False,0
ANK1,0.028182853,False,-1
ANKRD30A,0.6892801,False,-1
ANKRD30B,0.17860691,False,-1
ANKRD30BL,0.31546366,False,-1
ANKRD55,0.067270644,False,-1
ANKRD6,0.06667639,False,-1
ANO1,0.24750274,False,-1
ANTXR1,0.15044007,False,-1
ANXA11,0.16272609,False,0
AP1S2,0.007323867,True,0
AP2M1,0.1754695,False,-1
AP2S1,0.0021142634,False,-1
AP4M1,0.012338854,False,-1
APBB1IP,0.07037606,False,-1
APCDD1,0.09568468,False,-1
APEX2,0.07838299,False,0
APLP1,0.25581512,False,-1
APLP2,0.22422731,False,-1
APOB,0.13934912,False,-1
APOD,0.13356985,False,-1
APOE,0.1556157,False,1
AQP4,0.06869278,False,0
ARC,0.08871734,False,-1
ARF1,0.17621335,False,-1
ARF3,0.27729788,False,-1
ARFGAP1,0.030715484,False,-1
ARG1,0.0014348932,False,-1
ARHGAP15,4.177288e-06,False,-1
ARHGAP24,0.24943915,False,-1
ARHGAP26,0.72535294,False,-1
ARHGAP4,0.06538531,False,-1
ARHGAP42,0.021694941,False,-1
ARHGAP6,0.10728164,False,0
ARHGAP8,0.026727332,False,-1
ARHGDIG,0.014391904,False,-1
ARHGEF28,0.31798673,False,-1
ARID3C,0.116344996,False,-1
ARID5A,0.006194816,True,0
ARID5B,0.37052292,False,-1
ARL4A,0.20049655,False,-1
ARL4C,0.1437366,False,-1
ARL4D,0.19069771,False,-1
ARL6,0.51785076,False,-1
ARL6IP1,0.0052722134,False,-1
ARL6IP5,0.16470748,False,-1
ARMC4,0.03430629,False,0
ARNTL,0.47332987,False,-1
ARPC2,0.20197473,False,-1
ARPC5,0.22966114,False,-1
ARPP19,0.026998715,False,0
ARSJ,0.06701433,False,-1
ARX,0.038380243,False,-1
ASCL1,0.20418957,False,-1
ASCL2,0.26621136,False,-1
ATF2,0.4970847,False,-1
ATF3,0.05647372,False,0
ATF4,0.12597758,False,-1
ATF7,0.14149855,False,-1
ATL1,0.4593039,False,-1
ATOH7,0.20360157,False,-1
ATP10A,0.0391051,False,0
ATP11C,0.25341165,False,-1
ATP1A1,0.17839152,False,-1
ATP1B1,0.17587817,False,-1
ATP1B2,0.0052708033,False,-1
ATP6AP1,0.15273437,False,-1
ATP6AP2,0.30448556,False,-1
ATP6V0C,0.0567994,False,-1
ATP6V0D1,0.20540568,False,-1
ATP6V0E2,0.14093187,False,-1
ATP6V1B2,0.16497758,False,-1
ATP6V1D,0.016704045,False,-1
ATP6V1G1,0.1476293,False,-1
ATRNL1,0.9490084,False,-1
ATXN7L3B,0.33895236,False,-1
AXL,0.04766292,False,-1
B3GALT2,0.1599593,False,-1
B3GLCT,0.14758351,False,-1
B4GAT1,0.09347151,False,-1
BACH1,0.28293568,False,-1
BACH2,0.068267666,False,-1
BAG3,0.0387971,False,-1
