gene,score,validation,label
AARD,0.01602705,True,0
AASDHPPT,0.0018413451,False,0
ABCA1,0.029031066,False,0
ABCA8,0.019293291,False,0
ABCC3,0.02016634,False,1
ABCF2,0.035086468,False,0
ABLIM1,2.4135786e-06,False,0
ABRACL,0.017171646,False,0
ACTB,0.0007929532,False,0
ACTG1,0.03089164,True,0
ACVR1C,0.026243674,False,0
ADAD2,0.014971833,False,0
ADAM28,0.02745961,False,0
ADAMTS1,0.008383925,False,0
ADAMTS17,0.02458167,False,0
ADAMTS18,0.028983247,False,0
ADAMTS3,0.06269701,False,0
ADARB1,0.008690454,False,0
ADARB2,0.04829906,True,0
ADCY1,0.09897142,True,0
ADCY8,0.051294506,False,0
ADD3,0.058957253,False,0
ADGB,0.0031101408,True,0
ADGRF5,0.01546202,False,0
ADGRG4,0.027824353,False,0
ADNP,0.024800442,False,0
ADORA3,0.020142442,False,0
AFF4,0.07017759,True,0
AGAP2,0.026542917,False,0
AGGF1,0.0020707774,True,0
AHCTF1,0.054921843,False,0
AHDC1,0.01643442,False,1
AHR,0.021134386,True,0
AHRR,0.030754954,False,0
AIF1,0.012062897,False,0
AK5,0.009580379,False,0
AKAIN1,0.017649366,True,0
AKAP13,0.05147443,False,0
AKAP5,0.011045987,False,0
AKR1A1,0.012157108,False,0
ALCAM,0.033231303,False,1
ALDH1A2,0.014120495,False,0
ALK,0.018597055,False,0
ALOX15B,0.009372553,False,0
AMZ1,0.017507793,False,1
ANAPC11,0.029178778,True,0
ANK1,0.012905605,False,0
ANKRD30A,0.0103295855,False,0
ANKRD30B,0.007367332,False,0
ANKRD30BL,0.0036781682,False,0
ANKRD55,0.02378491,True,0
ANKRD6,0.030627672,False,0
ANO1,0.010424131,False,0
ANTXR1,0.08936419,True,0
ANXA11,0.019854683,False,0
AP1S2,0.007981777,False,0
AP2M1,0.0026807229,False,0
AP2S1,0.0063004014,False,0
AP4M1,0.021666378,False,0
APBB1IP,0.00791915,False,0
APCDD1,0.015271688,False,0
APEX2,0.010094645,False,0
APLP1,0.010890954,False,0
APLP2,0.013605001,False,0
APOB,0.004275585,False,0
APOD,0.044349004,False,0
APOE,0.014175592,False,0
AQP4,0.009782768,False,0
ARC,0.06054601,True,0
ARF1,0.010002826,True,0
ARF3,0.015880035,False,0
ARFGAP1,0.017246107,False,0
ARG1,0.012447737,False,0
ARHGAP15,0.015772128,False,0
ARHGAP24,0.0036984254,False,0
ARHGAP26,0.0558009,False,0
ARHGAP4,0.029512053,False,0
ARHGAP42,0.0064562703,False,0
ARHGAP6,0.034447458,True,0
ARHGAP8,0.036034573,False,0
ARHGDIG,1.2361977e-05,False,0
ARHGEF28,0.019417604,False,0
ARID3C,0.02758646,False,0
ARID5A,0.010637781,False,0
ARID5B,9.528908e-05,False,0
ARL4A,0.010619059,False,0
ARL4C,3.1393287e-05,True,0
ARL4D,0.0049164677,True,0
ARL6,0.049919836,False,0
ARL6IP1,0.011608123,False,0
ARL6IP5,0.0055191847,True,0
ARMC4,0.018183596,False,0
ARNTL,0.06639574,False,0
ARPC2,0.012616981,False,0
ARPC5,0.0013265738,False,0
ARPP19,0.011490697,False,0
ARSJ,0.016768344,False,0
ARX,0.010131173,False,0
ASCL1,0.00040248196,False,0
ASCL2,0.01193634,False,0
ATF2,0.05868512,True,0
ATF3,0.004848621,True,0
ATF4,0.008071665,False,0
ATF7,0.055164356,False,0
ATL1,0.036131363,True,0
ATOH7,0.016483698,True,0
ATP10A,0.022846362,False,0
ATP11C,0.026291192,False,0
ATP1A1,2.8493258e-05,False,0
ATP1B1,0.0012367724,True,0
ATP1B2,0.021853983,True,0
ATP6AP1,0.016637962,True,0
ATP6AP2,0.016374597,False,0
ATP6V0C,0.0013127626,True,0
ATP6V0D1,0.00027627114,False,0
ATP6V0E2,0.008092402,False,0
ATP6V1B2,0.010113217,False,0
ATP6V1D,0.012301521,False,0
ATP6V1G1,0.006452898,False,0
ATRNL1,7.736594e-05,False,0
ATXN7L3B,0.0074471105,False,0
AXL,0.023023147,False,0
B3GALT2,0.0074673663,False,0
B3GLCT,0.062011667,False,0
B4GAT1,0.0068696793,False,0
BACH1,0.014258344,False,0
BACH2,0.08721511,True,0
BAG3,0.014448389,True,0
BAIAP3,0.0146887265,False,0
BANK1,0.011405917,False,0
BARHL1,0.012716091,False,0
BASP1,0.003805049,True,0
BBX,0.060610004,False,0
BCAM,0.0045444206,False,0
BCAS2,0.0055341306,True,0
BCL11A,0.010847118,False,0
BCL11B,0.003986944,True,0
BCL6,0.014170121,False,0
BCLAF1,0.07201552,False,0
BDNF,7.563179e-05,False,0
BEST3,0.018893104,False,0
BEX1,0.0022676433,False,0
BEX2,0.0044291746,False,0
BEX3,0.0029228867,True,0
BEX4,0.007425072,False,0
BEX5,0.023552733,True,0
BHLHE22,0.03689669,False,0
BHLHE40,0.014378532,False,0
BHLHE41,0.00019623841,False,0
BICC1,0.04825233,False,0
BMP3,0.0146084875,False,0
BMP5,0.013285303,True,0
BMP7,0.021845281,False,0
BMPR1B,0.0064048436,False,0
BNC2,0.0028523293,False,0
BRF2,0.013513104,False,0
BRINP2,9.8139644e-05,False,0
BRINP3,0.03356556,False,0
BRK1,0.008278697,False,0
BSCL2,0.004526521,True,0
BST2,0.016005496,False,0
BTBD11,0.018705195,True,0
BTF3,0.003262693,False,0
BTG1,0.0023956187,False,0
BTG2,0.00013531961,False,0
BTG3,0.03463613,False,0
BTNL8,0.002011141,False,0
BVES,0.06029832,True,0
C11orf87,0.04554814,True,0
C11orf96,0.01325711,False,0
C12orf40,0.0527722,True,0
C12orf42,0.031148104,False,0
C14orf132,0.025676979,False,0
C18orf32,0.0006736645,False,0
C1GALT1,0.012335392,False,0
C1QA,0.028497962,False,0
C1QB,0.01006939,False,0
C1QC,0.007998774,False,0
C1QL2,0.0010188197,False,0
C1QL3,0.0077984626,False,0
C1QTNF4,9.726175e-05,False,0
C1orf112,0.029017676,False,0
C1orf216,0.02767728,False,0
C1orf87,0.008606372,False,0
C3,0.009899312,False,0
C3orf67,0.03405503,True,0
C4orf19,0.0037152218,False,0
C4orf3,0.04257766,True,0
C4orf48,0.022812095,True,0
C5orf47,0.014887896,False,0
C9orf62,0.017855285,False,0
CA3,0.005769829,False,0
CA4,0.00907071,False,0
CA8,0.008681574,False,0
CACNA1E,0.031329945,True,0
CACNA2D3,0.013088406,False,0
CACNG3,0.031195529,False,0
CACNG4,0.0015979704,False,0
CACYBP,0.00414595,False,0
CADPS,0.047807056,True,0
CADPS2,0.054726195,False,0
CALB1,0.029692004,False,0
CALCR,0.0254405,False,0
CALM1,1.4845211e-06,False,0
CALM2,0.00010788442,False,0
CALM3,0.0197586,False,0
CALN1,0.071026854,True,0
CALY,0.0067340448,False,0
CAMK2N1,0.00036027582,False,0
CAMK4,0.003842292,False,0
CAMLG,0.037625,False,0
CANX,0.050969493,True,0
CAPNS1,0.014730912,False,0
CARD6,0.007951009,False,0
CARTPT,0.01732569,False,0
CASC15,0.019196058,False,0
CASC2,0.021551939,True,0
CASC6,0.015140082,False,0
CASP4,0.004441642,False,1
CASP5,0.030965256,False,0
CAV2,0.017997464,False,0
CBLN1,0.008066118,True,0
CBLN2,0.07244854,True,0
CBLN3,0.05906763,False,0
CBLN4,0.092638895,False,0
CBX7,0.017654732,False,0
CC2D2B,0.020995324,False,0
CCDC152,0.017759116,False,0
CCDC168,0.084413655,True,0
CCDC178,0.021411961,True,0
CCDC184,0.00028838473,True,0
CCDC25,0.007380361,False,0
CCDC60,0.19271196,True,0
CCDC80,0.0095933555,False,0
CCK,0.019791033,True,0
CCL3,0.013601982,False,0
CCL3L1,0.025844498,True,0
CCL4,0.0045239264,False,0
CCND1,0.00022199367,False,0
CCNG2,0.00024051007,False,0
CCNI,0.013431458,False,0
CCNJL,0.034645487,False,0
CCSER1,5.914478e-05,False,0
CCT6A,0.011737464,True,0
CD2,0.0023392732,False,0
CD24,0.031545535,False,0
CD28,0.00035700246,False,0
CD300A,0.004409785,False,0
CD63,0.008532573,False,0
CD69,0.008345366,False,0
CD7,0.0014256135,False,0
CD81,0.0026457252,False,0
CD86,0.0049855094,False,0
CD9,0.019268949,False,0
CDC14A,0.0138312075,False,0
CDC14B,0.066077165,False,0
CDC42,0.011308283,True,0
CDC42EP3,0.015505444,False,0
CDC5L,0.0033363297,False,0
CDCA7,0.008058133,False,0
CDH10,0.015272441,True,0
CDH15,0.021346424,False,0
CDH18,0.004073721,False,0
CDH2,0.045766592,True,0
CDH7,0.055895686,True,0
CDH8,0.07979229,False,0
CDK14,1.1405505e-05,True,0
CDK2AP1,0.0011626426,False,0
CDK5R1,0.00013593896,False,0
CDK6,0.06404607,False,0
CDKN1B,0.008799934,False,0
CDKN1C,0.043028705,False,0
CDKN2A,0.029738994,False,0
CDYL2,0.05695555,False,0
CEACAM21,0.0091816485,True,0
CEBPA,0.012390347,False,0
