gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
AARD,0,0.0053142986140000004,0.006315133309817688,0.0016507605,0.00063254137,0.0035812312,0.016286146,0.004420814,False,False,False,True,False
AASDHPPT,0,0.002000623198670294,0.003082174082404883,3.3035147e-10,2.9155863e-05,0.0007578225,0.0018723863,0.007343751,False,False,True,False,False
ABCA1,0,0.01104228248,0.012485057184967169,0.0018169086,0.018422317,0.0010422898,0.02949049,0.004439407,True,False,False,False,False
ABCA8,0,0.020640877479999997,0.012727907294401077,0.032758694,0.012128518,0.0048520844,0.019480169,0.033984922,True,False,False,False,False
ABCC3,1,0.043652647238,0.07290241053860169,0.007100898,0.17324841,0.017351877,0.020500932,6.111919e-05,False,False,False,False,True
ABCF2,0,0.017754875500000003,0.012935632059368563,0.027128201,0.0080043655,0.006012389,0.03554206,0.012087362,True,False,False,False,False
ABLIM1,0,0.00661354453512,0.011423694522285728,0.005433755,0.000980133,0.026649797,2.439401e-06,1.5982746e-06,True,False,False,False,False
ABRACL,0,0.0307361044,0.010654864310753858,0.04437193,0.022785801,0.035653476,0.017542565,0.03332675,True,False,False,False,False
ACTB,0,0.0009206214181320307,0.0014359595224019339,1.7660153e-11,8.128073e-06,0.0003657005,0.0008091821,0.0034200964,False,True,False,False,False
ACTG1,0,0.009541291595199999,0.012813774147841692,4.026076e-06,0.0018360077,0.0045236237,0.031476602,0.0098661985,False,False,False,True,False
ACVR1C,0,0.0272975674,0.00690748825338359,0.023047222,0.028529663,0.038195454,0.026633555,0.020081943,True,False,False,False,False
ADAD2,0,0.009552590614,0.008606883217491514,0.007038573,0.021393597,0.004116966,0.015112462,0.00010135507,False,True,False,False,False
ADAM28,0,0.0181791182,0.006588269638340458,0.022307776,0.014923457,0.014395516,0.027616419,0.011652423,False,True,False,False,False
ADAMTS1,0,0.004166419376,0.004204642200582857,0.00029617248,0.008555701,6.49346e-05,0.008529833,0.0033854558,False,False,True,False,False
ADAMTS17,0,0.0111102957448,0.009710759840626536,0.012890036,0.013567994,0.0038933225,0.025079329,0.000120797224,False,False,True,False,False
ADAMTS18,0,0.019949758,0.013796947088218084,0.001124158,0.020353045,0.012716517,0.02921147,0.0363436,False,True,False,False,False
ADAMTS3,0,0.03151234159999999,0.02811778519516108,0.009711961,0.006343889,0.060508676,0.063427165,0.017570017,True,False,False,False,False
ADARB1,0,0.011728130199999999,0.005318551385470785,0.01925831,0.012999905,0.012640966,0.008715334,0.005026136,False,False,True,False,False
ADARB2,0,0.016708829719096003,0.02065123344609892,0.02665761,0.008766479,4.0911448e-07,0.04810758,1.2070481e-05,False,False,False,True,False
ADCY1,0,0.02932114374,0.04054647723764909,0.020205945,0.010672551,0.013909773,0.10078684,0.0010306097,False,False,False,True,False
ADCY8,0,0.03130217808,0.034214936806953436,0.004430534,0.08159974,0.014052867,0.05181582,0.0046119294,False,False,False,False,True
ADD3,0,0.03170320074,0.028616455900506144,0.006334629,0.0050319387,0.064473756,0.0595192,0.02315648,True,False,False,False,False
ADGB,0,0.002382509790818,0.0018902480085590577,0.0050794054,0.0015221818,0.002178811,0.0031319803,1.7045409e-07,False,False,False,True,False
ADGRF5,0,0.011866993020000001,0.007916811173265204,0.011147998,0.007932514,0.022684103,0.015810182,0.0017601681,True,False,False,False,False
ADGRG4,0,0.017076057425639998,0.013787814610431963,0.030526103,0.005041181,0.021699399,0.02811145,2.1541282e-06,True,False,False,False,False
ADNP,0,0.01700716924,0.011931435367211096,0.0020453187,0.017401133,0.031673025,0.02503074,0.0088856295,False,True,False,False,False
ADORA3,0,0.010662600267280001,0.010228284738804768,0.020340897,0.012634184,4.1923572e-20,0.020335972,1.9483364e-06,True,False,False,False,False
AFF4,0,0.02795291106000001,0.02998277765308278,0.01295511,0.002071826,0.046749655,0.07142834,0.0065596243,False,False,False,True,False
AGAP2,0,0.024082896447999998,0.015492548615910214,0.00053130224,0.03486999,0.018445786,0.026652314,0.03991509,False,True,False,False,False
AGGF1,0,0.004167448142052,0.0051093659199717275,2.5929026e-07,0.012252581,0.006046041,0.0020933803,0.00044497912,False,False,False,True,False
AHCTF1,0,0.0305400248,0.01644999838576994,0.016919315,0.014288541,0.03384009,0.05542018,0.032231998,True,False,False,False,False
AHDC1,1,0.027743583,0.018127019634568906,0.025628109,0.017960079,0.01901629,0.016547697,0.05956574,True,False,False,False,False
AHR,0,0.014927366520000002,0.009081202230921672,0.005083562,0.019022048,0.023914982,0.021376109,0.0052401316,False,False,False,True,False
AHRR,0,0.013814385500000002,0.013144330343558285,0.022676073,0.0026422683,0.012507302,0.031106945,0.0001393392,False,False,False,False,True
AIF1,0,0.0265166232,0.009744477588081503,0.024783267,0.025890054,0.030578164,0.012277791,0.03905384,False,True,False,False,False
AK5,0,0.01342642860066788,0.01204374128165904,0.007884371,0.01787982,3.3394062e-12,0.009637557,0.031730395,True,False,False,False,False
AKAIN1,0,0.014414055846000001,0.016886681353666617,0.00020523123,0.00785977,0.004019205,0.01769815,0.042287923,False,False,False,True,False
AKAP13,0,0.031201335400000002,0.019891469384032426,0.008039567,0.011677977,0.042556386,0.051627107,0.04210564,False,True,False,False,False
AKAP5,0,0.00669356670904,0.00962443431675669,3.3156682e-06,0.00060235127,3.8937607e-05,0.011144187,0.021679042,False,False,False,False,True
AKR1A1,0,0.0104897508954,0.007093262743345703,0.017982386,0.0070475223,0.015012399,0.012370314,3.6133177e-05,False,False,False,False,True
ALCAM,1,0.029881227599999997,0.010038442792264011,0.039379157,0.014821738,0.036712427,0.03364022,0.024852596,False,True,False,False,False
ALDH1A2,0,0.00851480514,0.0054019457789404824,0.009159187,0.0069121337,0.011738603,0.014480683,0.000283419,False,False,False,False,True
ALK,0,0.00992943738,0.008316726726601152,0.006981866,0.018859934,0.004116125,0.018631577,0.0010576849,False,False,False,False,True
ALOX15B,0,0.006749171611999999,0.0046079868849553595,0.005488004,0.012768116,0.0052727885,0.009555522,0.00066142756,False,True,False,False,False
AMZ1,1,0.01395165094,0.0067132468801978686,0.011373776,0.010315547,0.0065877647,0.01809502,0.023386147,False,False,True,False,False
ANAPC11,0,0.015361683133999998,0.013001943231021223,0.004057288,0.025935832,0.017160183,0.029538011,0.00011710167,False,False,False,True,False
ANK1,0,0.021699396140200035,0.02120516870962032,0.0074485987,0.038570967,1.0001656e-12,0.013099787,0.049377628,True,False,False,False,False
ANKRD30A,0,0.02567110166,0.029109764042828456,0.052326646,0.061906967,0.0013573846,0.010298979,0.0024655317,True,False,False,False,False
ANKRD30B,0,0.022105088320000004,0.009407153333082618,0.02884764,0.029572217,0.018117527,0.0073864376,0.02660162,False,True,False,False,False
ANKRD30BL,0,0.0011915405405999997,0.0014305457709434717,0.0008272888,0.00076123804,0.00067862234,0.0036824183,8.135223e-06,False,False,False,False,True
ANKRD55,0,0.0217094826,0.00952378603618691,0.021755267,0.03553381,0.009639204,0.02430131,0.017317822,False,False,False,True,False
