_BACKGROUND,5p,10p,15p
GTF2I,GTF2I,GTF2I,GTF2I
ZFPM2,ZFPM2,ZFPM2,ZFPM2
RCAN2,RCAN2,RCAN2,RCAN2
THRB,THRB,THRB,THRB
ZNF148,ZNF148,ZNF148,ZNF148
RFX3,RFX3,RFX3,RFX3
ATF2,ATF2,ATF2,ATF2
CNOT4,CNOT4,CNOT4,CNOT4
DTNA,DTNA,DTNA,DTNA
PEX5L,PEX5L,PEX5L,PEX5L
HP1BP3,HP1BP3,HP1BP3,HP1BP3
GRIA3,GRIA3,GRIA3,GRIA3
MTA3,MTA3,MTA3,MTA3
BBX,BBX,BBX,BBX
TBL1XR1,TBL1XR1,TBL1XR1,TBL1XR1
SATB2,SATB2,SATB2,SATB2
OLFM3,OLFM3,OLFM3,OLFM3
TENM2,TENM2,TENM2,TENM2
KDM4C,KDM4C,KDM4C,KDM4C
CNTN4,CNTN4,CNTN4,CNTN4
DAPK1,DAPK1,DAPK1,DAPK1
PLCB4,PLCB4,PLCB4,PLCB4
TFDP2,TFDP2,TFDP2,TFDP2
PHF21A,PHF21A,PHF21A,PHF21A
NAP1L1,NAP1L1,NAP1L1,NAP1L1
ARNTL,ARNTL,ARNTL,ARNTL
LCOR,LCOR,LCOR,LCOR
FRMD5,FRMD5,FRMD5,FRMD5
JAZF1,JAZF1,JAZF1,JAZF1
NETO1,NETO1,NETO1,NETO1
POU2F1,POU2F1,POU2F1,POU2F1
ZNF644,ZNF644,ZNF644,ZNF644
PACRG,PACRG,PACRG,PACRG
FLRT2,FLRT2,FLRT2,FLRT2
RAP2A,RAP2A,RAP2A,RAP2A
FOXN2,FOXN2,FOXN2,FOXN2
RAPGEF5,RAPGEF5,RAPGEF5,RAPGEF5
LINGO2,LINGO2,LINGO2,LINGO2
CREB1,CREB1,CREB1,CREB1
CLOCK,CLOCK,CLOCK,CLOCK
SMAD1,SMAD1,SMAD1,SMAD1
AFF4,AFF4,AFF4,AFF4
GLCE,GLCE,GLCE,GLCE
FOXJ3,FOXJ3,FOXJ3,FOXJ3
MEF2A,MEF2A,MEF2A,MEF2A
STAU2,STAU2,STAU2,STAU2
HS6ST3,HS6ST3,HS6ST3,HS6ST3
BCLAF1,BCLAF1,BCLAF1,BCLAF1
NR3C2,NR3C2,NR3C2,NR3C2
INPP4B,INPP4B,INPP4B,INPP4B
SETBP1,SETBP1,SETBP1,SETBP1
MLLT10,MLLT10,MLLT10,MLLT10
PRKAA2,PRKAA2,PRKAA2,PRKAA2
SLC39A10,SLC39A10,SLC39A10,SLC39A10
GULP1,GULP1,GULP1,GULP1
NDST3,NDST3,NDST3,NDST3
NCOA2,NCOA2,NCOA2,NCOA2
FAR2,FAR2,FAR2,FAR2
MEF2C,MEF2C,MEF2C,MEF2C
KMT2A,KMT2A,KMT2A,KMT2A
NR2C2,NR2C2,NR2C2,NR2C2
GAS2,GAS2,GAS2,GAS2
NFKB1,NFKB1,NFKB1,NFKB1
CDK6,CDK6,CDK6,CDK6
CDH2,CDH2,CDH2,CDH2
CALN1,CALN1,CALN1,CALN1
HTR1E,HTR1E,HTR1E,HTR1E
NLGN1,NLGN1,NLGN1,NLGN1
RBPJ,RBPJ,RBPJ,RBPJ
NFYC,NFYC,NFYC,NFYC
