gene,score,validation,label
A2M,0.11016157,False,-1
A2ML1,0.10446882,False,-1
AAMDC,0.34273094,False,-1
AAMP,0.25809184,True,0
AATF,0.06813691,False,-1
AATK,0.17374809,False,-1
ABCA1,0.08408493,False,0
ABCA10,0.033958975,False,-1
ABCA2,0.07785021,False,-1
ABCA3,0.15279154,False,-1
ABCA6,0.14785056,True,0
ABCA8,0.1649529,False,-1
ABCB9,0.045793828,False,-1
ABCC3,0.12753135,False,-1
ABCG4,0.15216866,False,-1
ABHD12,0.1691688,False,-1
ABHD12B,0.054718316,False,-1
ABHD17B,0.3507551,False,-1
ABHD17C,0.37624842,False,-1
ABHD2,0.23908323,False,-1
ABHD3,0.08085464,False,-1
ABHD5,0.24599652,False,-1
ABI2,0.16423233,False,-1
ABL1,0.10042924,False,0
ABLIM1,0.24705492,False,-1
ABLIM2,0.29713282,False,-1
ABLIM3,0.20387621,False,-1
ACAP3,0.1887692,False,-1
ACER3,0.23343325,False,-1
ACO1,0.23091087,False,-1
ACSL4,0.16734867,False,-1
ACSL5,0.04076487,False,-1
ACTA2-AS1,0.11394773,False,-1
ACTB,0.16385144,False,-1
ACTG1,0.1316266,False,0
ACTN1,0.28868052,False,-1
ACTN2,0.080647655,False,-1
ACTN4,0.04272218,False,-1
ACVR1,0.04085301,False,-1
ACVR1B,0.008447304,False,-1
ACVR1C,0.10197101,False,-1
ACVR2A,0.36125,False,-1
ACYP2,0.20287359,False,-1
ADAM12,0.099590726,False,-1
ADAM22,0.17295913,False,-1
ADAM23,0.26165465,False,-1
ADAMDEC1,0.16217473,False,-1
ADAMTS15,0.010527904,False,0
ADAMTS17,0.19829439,False,-1
ADAMTS18,0.21520062,False,-1
ADAMTS20,0.19585793,False,-1
ADAMTS3,0.1837924,False,1
ADAMTS6,0.015879765,False,-1
ADAMTS9-AS1,0.017885998,False,0
ADAMTSL1,0.016501255,False,-1
ADAMTSL4-AS1,0.09606532,False,-1
ADARB2,0.2519376,False,-1
ADCY1,0.2078915,False,-1
ADCY2,0.35861194,False,-1
ADCY3,0.080371,False,-1
ADCY9,0.18242556,False,-1
ADCYAP1,0.1248681,False,-1
ADD2,0.24980687,False,-1
ADD3,0.23551476,False,-1
ADGRA1-AS1,0.12287658,False,-1
