Drug ID,Species,BBB,Genes,Num Genes,Mean Mean,Mean STD,Drug Relevance Score
DB00228,Humans,True,"['CACNA1B', 'CACNA1C', 'CACNA1D', 'CACNA1E', 'CACNA1G', 'CACNA2D1', 'CACNB2', 'CACNB4', 'CACNG2', 'CACNG4', 'CACNG7', 'CACNG8', 'GABRA1', 'GABRA2', 'GABRA4', 'GABRA5', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRG2']",20,0.01953546090572996,0.00895137813856825,1.0
DB05121,Humans,True,"['HLA-DRA', 'HLA-DRB1', 'HLA-DRB5']",3,0.045621509533333236,0.016620589524425033,0.9044646937386415
DB11148,Humans,True,"['CACNA1B', 'CACNA1C', 'CACNA1D', 'CACNA1E', 'CACNA1G', 'CACNA2D1', 'CACNB2', 'CACNB4', 'CACNG2', 'CACNG4', 'CACNG7', 'CACNG8', 'KCNJ12', 'KCNJ8']",14,0.020744583713857123,0.009490013029342072,0.8884440476847568
DB01049,Humans,True,"['ADRB2', 'ADRB3', 'DRD2', 'HTR1E', 'HTR1F', 'HTR3A', 'HTR4', 'HTR7']",8,0.027392392172500002,0.0106066440437161,0.886821664906413
DB13345,Humans,False,"['ADRB2', 'ADRB3', 'DRD2', 'HTR1E', 'HTR1F', 'HTR3A', 'HTR4', 'HTR7']",8,0.027392392172500002,0.0106066440437161,0.886821664906413
DB09089,Humans,False,"['CACNA1C', 'CACNA1D', 'CACNB2', 'CACNB4', 'CHRM1', 'CHRM2', 'KCNMA1', 'KCNMB1', 'KCNMB3', 'KCNMB4', 'KCNN2', 'KCNN3', 'OPRM1']",13,0.02129487844723075,0.009944916722073009,0.8788366938908766
DB01189,Humans,True,"['ATP2A2', 'ATP2B2', 'ATP2B4', 'ATP2C1', 'ATP2C2', 'GABRA1', 'GABRA2', 'GABRA4', 'GABRA5', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRG2', 'GRIA1']",14,0.019158603997185664,0.010080700865160207,0.8205200893898364
DB11273,Humans,False,"['ADRB2', 'ADRB3', 'HTR1E', 'HTR1F', 'HTR3A', 'HTR4', 'HTR7']",7,0.026593613997142856,0.010427732273994229,0.8053556703231161
DB00210,Humans,False,"['JUN', 'RARB', 'RARG', 'RXRA', 'RXRB', 'RXRG', 'TLR2']",7,0.02573849332571426,0.009497404220174257,0.7794593674881753
DB01239,Humans,False,"['DRD2', 'HRH1', 'HTR1E', 'HTR1F', 'HTR3A', 'HTR4', 'HTR7']",7,0.02561162668285714,0.011356292535641214,0.7756173635314806
DB00675,Humans,False,"['ESR1', 'ESR2', 'PRKCA', 'PRKCB', 'PRKCE', 'PRKCQ']",6,0.027367868074840696,0.011233648680500266,0.767322499722492
DB01118,Humans,False,"['ADRB2', 'ADRB3', 'KCNH7']",3,0.0379984545,0.015503156103680834,0.7533345753667603
DB00193,Humans,True,"['GRIN1', 'GRIN2B', 'GRIN2C', 'GRIN3A', 'OPRM1', 'SCN2A']",6,0.02670672513333333,0.010834762940996766,0.748785803580724
DB09283,Humans,False,"['PDE10A', 'PDE11A', 'PDE1A', 'PDE1C', 'PDE3B', 'PDE4B', 'PDE4D', 'PDE5A', 'PDE8A', 'PDE8B', 'PDE9A']",11,0.01956162613899998,0.008658329170976062,0.7426131529593508
DB01956,Humans,False,"['GABBR1', 'GABRA1', 'GABRA2', 'GABRA4', 'GABRA5', 'GABRB1', 'GABRB2', 'GABRB3', 'GABRG2', 'GLRA2', 'GLRA3', 'GRIN2B']",12,0.018223349251716616,0.008455053918152834,0.7225703913985295
DB08896,Humans,False,"['ABL1', 'FGFR2', 'FLT1', 'PDGFRA', 'PDGFRB', 'TEK']",6,0.02512128323333332,0.012769880829134583,0.7043342139082659
DB01395,Humans,False,"['AR', 'NR3C2', 'PGR']",3,0.03531186839999997,0.016215289850366132,0.7000719302023427
DB13025,Humans,False,"['DRD2', 'HTR1E', 'HTR1F', 'HTR3A', 'HTR4', 'HTR7']",6,0.024923327396666667,0.0107990822299638,0.6987840568039444
DB03756,Humans,False,"['PPARA', 'PPARG', 'RXRA', 'RXRB', 'RXRG']",5,0.027015076799999982,0.00898236735392142,0.6914368934104895
DB00273,Humans,False,"['CA2', 'CACNA1C', 'CACNA1D', 'CACNB2', 'CACNB4', 'GABRA1', 'GRIK1', 'GRIK2', 'GRIK4', 'GRIK5', 'SCN1A', 'SCN2A', 'SCN8A']",13,0.016516731914153815,0.0093397305004703,0.6816432460643845
DB09343,Humans,False,['TYMP'],1,0.059490905,0.0178442219968362,0.6809448124357498
DB06595,Humans,False,"['FLT3', 'PDGFRA', 'PDGFRB', 'PRKCA']",4,0.029612320029999976,0.01596243327499885,0.6778970906095892
DB10772,Humans,True,"['EGFR', 'FGF1', 'IL1B', 'PDGFRA', 'TGFB1', 'TNF']",6,0.024088639116666647,0.0105442095011831,0.6753816092421823
