gene,score,validation,label
A1CF,0.016667776,False,0
AAGAB,0.006153846,False,0
AATF,0.03146795,False,0
ABCA1,0.01146844,False,0
ABCA5,0.03869775,False,0
ABCA6,0.018484062,False,0
ABCB1,0.025662621,False,0
ABCB9,0.008968665,True,0
ABCC1,0.027493363,True,0
ABCC6,0.018681064,False,0
ABCG1,0.042320408,False,0
ABCG2,0.0055248407,False,0
ABCG4,0.020180205,True,1
ABCG5,0.0022366184,False,0
ABHD17C,0.013405626,False,0
ABHD18,0.021159682,False,0
ABHD3,0.01578305,True,0
ABHD5,0.011835814,False,0
ABHD8,0.018452063,False,0
ABI1,0.034916252,False,0
ABL1,0.011220814,True,0
ABL2,6.862662e-07,False,0
ABLIM1,0.04603204,False,0
ABLIM2,0.018161168,False,0
ABLIM3,0.016925534,True,0
ABR,0.0054484913,False,0
ABTB2,0.036480404,False,0
ACAT2,0.01528079,False,0
ACER2,0.01017504,True,0
ACKR3,0.009941529,False,0
ACO1,0.013149636,False,0
ACP7,0.023878668,False,0
ACSL3,0.025192562,False,0
ACSL5,0.01119926,False,0
ACSM6,0.0026693628,True,0
ACTA2,0.010569451,False,0
ACTB,0.021079782,False,0
ACTC1,0.027697809,False,0
ACTG1,0.006976416,False,0
ACTN1,0.03518058,False,0
ACTN2,0.0444137,False,0
ACVR1,0.02933149,False,0
ACVR1C,0.01612725,False,0
ACVR2A,0.00581954,False,0
ADA,0.009770031,False,0
ADAM11,0.020351948,False,0
ADAM12,0.011931453,False,0
ADAM19,1.5505935e-05,False,0
ADAM23,0.0011990505,False,0
ADAM28,3.5132238e-05,False,0
ADAM9,0.009849298,False,0
ADAMTS1,0.01314384,True,0
ADAMTS12,0.028617864,False,0
ADAMTS14,0.014402039,False,0
ADAMTS17,0.019626198,False,0
ADAMTS19,0.02527981,True,0
ADAMTS2,0.010400056,False,0
ADAMTS4,0.010326418,False,0
ADAMTS8,0.025133213,False,0
ADAMTS9,0.021975541,False,0
ADAMTS9-AS2,0.022775246,False,0
ADAMTSL1,0.06898353,False,0
ADAMTSL3,0.042141125,False,0
ADAMTSL4,0.011962451,False,0
ADARB2,0.040278003,False,0
ADARB2-AS1,0.03916802,False,0
ADCY2,0.0690541,False,0
ADCY3,3.744842e-11,False,0
ADCY5,0.015826233,False,0
ADCY7,0.09949644,False,1
ADCY9,0.028338932,False,0
ADD3-AS1,0.002413596,False,0
ADGRA3,0.0023594273,False,0
ADGRB3,0.03528165,False,0
ADGRD1,0.0154944,False,0
ADGRE2,0.00822856,False,0
ADGRE5,0.014501331,False,0
ADGRF3,0.004868161,False,0
ADGRG1,0.026921652,False,0
ADGRL3,0.0272556,False,0
ADGRL4,0.0053193523,False,0
ADGRV1,0.00672539,False,1
ADH1B,0.015904063,True,0
ADK,0.026840681,False,0
ADM,0.02547712,False,0
ADNP,0.045773193,False,0
ADNP2,0.042744808,False,0
ADRA1A,0.0015509475,False,0
AEBP1,0.010659912,False,0
AEBP2,0.015385409,False,0
AEN,4.8081547e-05,False,0
AFAP1L2,0.0056464225,False,0
AFDN-DT,0.0046069585,True,0
AFF1,0.008048946,True,0
AFF2,0.014784281,False,0
AFF3,0.039196316,False,0
AFF4,0.039486244,False,0
