gene,score,validation,label
A2M,0.01583109,False,0
AAMDC,0.04812138,False,0
ABCA1,0.0063720434,False,0
ABCA10,0.02619523,False,0
ABCA2,0.006244904,False,0
ABCA3,0.0070818113,False,0
ABCA6,0.013624551,True,0
ABCC3,0.04522427,False,1
ABCC4,0.036383264,False,0
ABCF2,0.0068813297,False,0
ABCG1,0.017061992,False,0
ABCG2,0.03229949,False,0
ABHD12,0.02141126,False,0
ABHD12B,0.0038330622,True,0
ABHD14A,0.038318146,False,0
ABHD17B,0.026824158,True,0
ABHD17C,0.037006423,False,0
ABHD18,0.01305359,False,0
ABHD3,0.020394333,False,0
ABHD5,0.047244046,False,0
ABL1,0.027861344,True,0
ABLIM1,0.0011175628,False,0
ABR,0.013109939,False,0
ABTB2,0.008052372,False,0
ACAN,0.0034400928,False,0
ACAT2,0.061701328,False,0
ACRBP,0.04568862,False,0
ACSL3,0.0007935927,True,0
ACTB,0.011927592,False,0
ACTG1,0.00010351726,False,0
ACTN1,0.005655354,True,0
ACTN2,0.02118011,False,0
ACTR1B,0.008523576,False,0
ACTR5,0.031581435,False,0
ACVR1C,0.017508943,True,0
ADAM19,0.005730866,False,0
ADAM23,0.062060464,False,0
ADAM33,0.016526386,False,0
ADAMTS1,0.01577147,False,0
ADAMTS13,0.03481164,False,0
ADAMTS17,0.024941906,False,0
ADAMTS20,0.0055301823,True,0
ADAMTS3,0.016175669,True,0
ADAMTS4,0.01837479,False,0
ADAMTS6,0.026371093,False,1
ADAMTS7,0.03983626,False,0
ADAMTS9,0.03626275,False,0
ADAMTS9-AS2,0.021251924,False,0
ADAMTSL3,0.035427816,False,0
ADAMTSL4-AS1,0.01688234,True,0
ADARB2,0.042093784,False,0
ADARB2-AS1,0.024935924,False,0
ADCY1,0.022179388,False,0
ADCY2,0.03413921,False,0
ADCY7,0.058910593,False,1
ADCY8,0.012945857,False,0
ADD2,0.06485559,False,0
ADD3-AS1,0.04893044,False,0
ADGRB2,0.037400667,True,0
ADGRF3,0.012714828,False,0
ADGRG2,0.027341759,True,0
ADGRG7,0.026563013,False,0
ADGRL2,0.003800524,False,0
ADGRL4,0.0032469851,True,0
ADGRV1,0.05981628,False,1
ADIPOR2,0.019511675,False,0
ADK,0.017082091,False,0
ADNP,0.042617314,True,0
ADNP2,0.042637076,False,0
ADPGK-AS1,0.034530908,False,0
ADRA1A,0.014030461,False,0
ADRB1,0.023352543,False,0
ADSS,0.0018004478,False,0
AEBP1,0.07398209,False,0
AEBP2,0.031368736,True,0
AFAP1,0.03434319,False,0
AFAP1L1,0.007399518,False,0
AFF1,0.019334652,False,0
AFF2,0.026457911,True,0
AFF3,0.041702278,True,0
AFF4,0.033524014,True,0
AGAP1,0.016733503,False,0
AGAP2,0.026521223,True,0
AGL,0.05002689,False,0
AHCTF1,0.0005990307,False,0
AHCYL2,0.016559225,False,0
AHDC1,0.019622,False,1
AHNAK,0.04812079,False,0
AHR,0.028197942,False,0
AHRR,0.026155207,True,0
AIF1L,0.00043945483,True,0
AIG1,0.0167735,False,0
AIRE,0.012697948,False,0
AK5,0.024922483,False,0
AKAP12,0.03211491,True,0
ALDH1A1,0.03213287,False,0
ALDH1A2,0.010823946,False,0
ALDH1L1-AS2,0.026971005,False,0
ALDOC,0.022242505,True,0
ALK,0.035024144,False,0
ALX3,0.041094344,False,0
AMD1,0.007887151,False,0
AMMECR1,0.014526389,False,0
AMN1,0.006889749,True,0
AMPD3,0.0105762705,False,0
ANAPC10,0.028788973,False,0
ANGEL1,0.053495318,False,0
ANGPT2,0.003206942,False,0
ANGPTL2,0.05517328,False,0
ANGPTL4,0.022511141,False,0
ANK1,0.00025863445,True,0
ANKDD1B,0.026733646,False,0
ANKRD13A,0.04095862,False,0
ANKRD29,0.007944567,False,0
ANKRD30BL,0.045987457,False,0
ANKRD33B,0.0015950744,False,0
ANKRD34C-AS1,0.016652003,False,0
ANKRD37,0.017811937,False,0
