gene,score,validation,label
A2M,8.2038074e-05,False,-1
AAMDC,0.11571823,False,-1
ABCA1,0.00024772386,False,-1
ABCA10,0.19926992,False,-1
ABCA2,0.14663385,False,-1
ABCA3,0.011000962,False,-1
ABCA6,0.09532483,False,-1
ABCC3,0.21590076,False,-1
ABCC4,0.029985312,False,-1
ABCF2,0.3020117,False,-1
ABCG1,0.388874,False,-1
ABCG2,0.09781102,False,0
ABHD12,0.00020947463,False,-1
ABHD12B,0.38757944,False,-1
ABHD14A,0.10351124,False,-1
ABHD17B,0.023176292,False,-1
ABHD17C,0.29174945,False,-1
ABHD18,0.27735418,False,-1
ABHD3,0.009829866,False,-1
ABHD5,0.31278253,False,-1
ABL1,0.214191,False,-1
ABLIM1,0.13297582,False,-1
ABR,0.042201523,False,-1
ABTB2,0.0486462,False,-1
ACAN,0.04929087,False,-1
ACAT2,0.14703089,False,-1
ACRBP,0.021914398,False,-1
ACSL3,0.12096444,False,-1
ACTB,0.20563084,False,-1
ACTG1,0.295798,False,-1
ACTN1,0.40595707,False,-1
ACTN2,0.02365762,False,-1
ACTR1B,0.0110317385,False,-1
ACTR5,0.05996718,False,0
ACVR1C,0.15727025,False,-1
ADAM19,0.09382602,False,-1
ADAM23,0.26972324,False,-1
ADAM33,0.05342507,False,-1
ADAMTS1,0.31308916,False,-1
ADAMTS13,0.11422311,False,-1
ADAMTS17,0.19474795,False,-1
ADAMTS20,0.259755,False,-1
ADAMTS3,0.19215633,True,1
ADAMTS4,0.23530355,False,-1
ADAMTS6,0.021837529,False,-1
ADAMTS7,0.066026926,False,-1
ADAMTS9,0.05149173,False,-1
ADAMTS9-AS2,0.29612148,False,-1
ADAMTSL3,0.11937235,False,-1
ADAMTSL4-AS1,0.04691502,False,-1
ADARB2,0.41815448,False,-1
ADARB2-AS1,0.1412975,False,-1
ADCY1,0.15547527,False,-1
ADCY2,0.3607446,False,-1
ADCY7,0.42937312,False,1
ADCY8,0.30023646,False,-1
ADD2,0.17615525,False,-1
ADD3-AS1,0.36860088,False,-1
ADGRB2,0.28260854,False,-1
ADGRF3,0.30980068,False,-1
ADGRG2,0.16702531,False,-1
ADGRG7,0.06638423,False,-1
ADGRL2,0.17734721,False,-1
ADGRL4,0.19603638,False,-1
ADGRV1,0.012644021,False,-1
ADIPOR2,0.13501514,False,-1
ADK,0.20749004,False,-1
ADNP,0.3275483,False,-1
ADNP2,0.27713484,False,-1
ADPGK-AS1,0.00058643415,False,-1
ADRA1A,0.3334367,False,-1
ADRB1,0.0010122629,False,-1
ADSS,0.17134279,False,-1
AEBP1,0.06286263,False,-1
AEBP2,0.05747889,False,-1
AFAP1,0.33329058,False,-1
AFAP1L1,0.15076448,False,-1
AFF1,0.3643304,False,0
AFF2,0.15640616,False,-1
AFF3,0.30138656,False,-1
AFF4,0.36878812,False,-1
AGAP1,0.5146729,False,-1
AGAP2,0.25846553,False,-1
AGL,0.24483235,False,-1
AHCTF1,0.10896555,False,-1
AHCYL2,0.20854032,False,-1
AHDC1,0.14705823,False,-1
AHNAK,0.30033368,False,-1
AHR,0.02983811,False,-1
AHRR,0.14831182,False,-1
AIF1L,0.010952075,False,-1
AIG1,0.17549682,False,-1
AIRE,0.016022807,False,0
AK5,0.3270401,False,-1
AKAP12,0.11620377,True,0
ALDH1A1,0.21042545,False,-1
ALDH1A2,0.079529114,False,-1
ALDH1L1-AS2,0.35097182,False,-1
ALDOC,0.058160007,True,0
ALK,0.30337977,False,-1
ALX3,0.008673447,False,-1
AMD1,0.24322984,False,-1
AMMECR1,0.19734053,False,-1
AMN1,0.06706364,False,-1
AMPD3,0.15113433,False,-1
ANAPC10,0.020781599,False,-1
ANGEL1,0.31812844,False,-1
ANGPT2,0.3053652,False,-1
ANGPTL2,0.24587098,False,-1
ANGPTL4,0.03095555,False,-1
ANK1,0.09323677,False,-1
ANKDD1B,0.20567235,False,-1
ANKRD13A,0.029587356,False,-1
ANKRD29,0.00066525646,False,-1
ANKRD30BL,0.29459152,False,-1
ANKRD33B,0.309876,False,-1
ANKRD34C-AS1,0.22326928,False,-1
ANKRD37,0.27280122,False,-1
ANKRD46,0.14821865,False,-1
ANKRD49,0.05751947,False,-1
ANKRD50,0.1786993,False,-1
ANKRD6,0.35191873,False,-1
ANKRD62P1-PARP4P3,0.07705504,False,-1
ANKS1B,0.14383097,False,-1
ANO10,0.22112796,False,-1
ANO2,0.16703834,False,-1
ANO3,0.02880627,False,-1
ANO6,0.20770831,False,-1
ANOS1,0.047172762,False,-1
ANPEP,0.1317737,False,-1
ANXA1,0.21817878,False,-1
ANXA11,0.014351884,False,-1
ANXA2,0.029373366,False,-1
ANXA4,0.28408515,False,-1
AOAH,0.08838118,False,-1
AOX1,0.02625103,False,0
AP1S2,0.06654643,False,0
AP1S3,0.21809149,False,-1
APBA1,0.08276074,False,-1
APBB1IP,0.41100565,False,-1
APCDD1,0.23563023,False,-1
APOBEC3F,0.20767576,False,-1
APOC1,0.033472113,False,-1
APOD,0.004873743,False,-1
APOE,0.35546663,True,1
APOL2,0.2416922,False,1
APOL3,0.088793635,False,-1
APOLD1,0.14044696,False,-1
APTR,0.26453963,False,-1
AQP4,0.32730538,False,-1
AR,0.14030616,False,-1
ARC,0.006543299,False,-1
ARFGAP1,0.20476344,False,-1
ARG1,0.0256182,False,-1
ARHGAP15,0.04513483,False,-1
ARHGAP18,0.1753518,False,-1
ARHGAP20,0.3156394,False,-1
