gene,score,validation,label
A2ML1,0.015660238,False,0
AAGAB,0.007109049,False,0
ABCA1,0.012460662,False,0
ABCA10,0.01969585,False,0
ABCA13,0.020259982,False,1
ABCA3,0.015067525,False,0
ABCA4,0.022841489,False,0
ABCA6,0.010579784,False,0
ABCA8,0.0061703925,False,0
ABCB5,0.015069486,False,0
ABCB9,0.011208843,False,0
ABCC10,0.0089331325,True,0
ABCC2,0.016601833,False,0
ABCC4,0.018657163,False,0
ABCC8,0.021237232,True,0
ABCC9,0.025421413,False,0
ABCE1,0.012906803,False,0
ABCF2,0.009794092,False,0
ABCG1,0.022181708,False,0
ABCG2,0.008108302,False,0
ABHD12,0.025339259,False,0
ABHD17C,0.018566618,False,0
ABHD4,0.013555102,True,0
ABHD5,0.05800546,False,0
ABI3BP,0.011562684,False,0
ABL1,0.017256042,False,0
ABLIM2,0.020271016,False,0
ABLIM3,0.036164008,False,0
ABO,0.018363569,True,0
ABR,0.029897248,False,0
ABTB2,0.008513123,False,0
ACBD5,0.020404426,True,0
ACD,0.015309057,False,0
ACER3,0.021343954,False,0
ACKR3,0.016580002,False,0
ACO1,0.010331164,False,0
ACOT12,0.005827546,False,0
ACOX1,0.02179291,True,0
ACRBP,0.010119248,True,0
ACSBG1,0.014557391,False,0
ACSBG2,0.009398111,False,0
ACSL4,0.017272463,False,1
ACSL5,0.02235023,True,0
ACTA2,0.011646395,True,0
ACTB,0.0036128229,False,0
ACTG1,0.0036990193,False,0
ACTL6A,0.023833176,False,0
ACTN1,0.007625517,False,0
ACTN2,0.04069486,False,0
ACTR3B,0.018479502,False,0
ACTR3C,0.015527966,False,0
ACVR1C,0.031280484,True,0
ACVR2A,0.010646833,True,0
ACVRL1,0.046035882,False,0
ADAM12,0.020728251,True,0
ADAM19,0.010889978,False,0
ADAM22,0.006437395,False,0
ADAM32,0.03606416,False,0
ADAMTS1,0.0037793703,False,0
ADAMTS14,0.018377379,False,0
ADAMTS15,0.007592273,True,0
ADAMTS17,0.010573812,False,0
ADAMTS19-AS1,0.04686455,False,0
ADAMTS3,0.022514232,False,0
ADAMTS5,0.051195998,True,0
ADAMTS6,0.02453092,False,1
ADAMTS7,0.0040022978,False,0
