gene,score,validation,label
A2ML1,0.012325712,False,-1
AAGAB,0.13906345,False,-1
ABCA1,0.15592206,False,-1
ABCA10,0.020111471,False,-1
ABCA13,0.17146637,False,-1
ABCA3,0.04469514,False,-1
ABCA4,0.20626998,False,-1
ABCA6,0.071135685,False,-1
ABCA8,0.12208892,False,-1
ABCB5,0.07204233,False,-1
ABCB9,0.16366425,False,-1
ABCC10,0.08492781,False,-1
ABCC2,0.1416865,False,-1
ABCC4,0.21206778,True,0
ABCC8,0.08999649,False,0
ABCC9,0.298048,False,-1
ABCE1,0.28601685,False,-1
ABCF2,0.13897094,False,-1
ABCG1,0.15514176,False,-1
ABCG2,0.26448482,False,-1
ABHD12,0.08175205,False,-1
ABHD17C,0.28271246,False,-1
ABHD4,0.081285775,False,-1
ABHD5,0.11775214,False,-1
ABI3BP,0.14432454,False,-1
ABL1,0.06715309,False,-1
ABLIM2,0.22576259,False,-1
ABLIM3,0.08554878,False,-1
ABO,0.085146174,False,-1
ABR,0.14896806,False,-1
ABTB2,0.16281474,False,-1
ACBD5,0.08374236,False,-1
ACD,0.336632,False,-1
ACER3,0.13526055,False,-1
ACKR3,0.1531469,False,-1
ACO1,0.13948008,False,-1
ACOT12,0.2077577,False,-1
ACOX1,0.124709055,False,-1
ACRBP,0.01399923,False,-1
ACSBG1,0.04839559,False,-1
ACSBG2,0.17564361,False,-1
ACSL4,0.18216811,False,-1
ACSL5,0.19832341,False,-1
ACTA2,0.14982833,False,-1
ACTB,0.032322206,False,-1
ACTG1,0.07089748,False,-1
ACTL6A,0.14533637,False,-1
ACTN1,0.18727818,False,-1
ACTN2,0.021458797,False,-1
ACTR3B,0.192436,False,-1
ACTR3C,0.07483469,False,-1
ACVR1C,0.063547604,False,-1
ACVR2A,0.11477312,False,-1
ACVRL1,0.10965967,False,-1
ADAM12,0.2318864,False,0
ADAM19,0.13124396,False,-1
ADAM22,0.28868464,False,-1
ADAM32,0.11203303,False,-1
ADAMTS1,0.01081016,False,0
ADAMTS14,0.18010288,False,-1
ADAMTS15,0.03409446,False,-1
ADAMTS17,0.07925269,False,-1
ADAMTS19-AS1,0.10793195,False,0
ADAMTS3,0.2531262,False,1
ADAMTS5,0.13629563,False,-1
ADAMTS6,0.1969173,False,-1
ADAMTS7,0.025201956,False,-1
ADAMTS8,0.040265944,False,-1
ADAMTS9,0.24845795,False,-1
ADAMTS9-AS1,0.14166021,False,-1
ADAMTSL1,0.10300452,False,-1
ADAMTSL3,0.2250141,False,-1
ADAMTSL4-AS1,0.07387984,False,-1
ADARB1,0.010629705,False,-1
ADARB2,0.27739003,False,-1
ADCY1,0.2633212,False,-1
ADCY2,0.016061217,False,-1
ADCY5,0.008543292,True,0
ADCY8,0.29836217,False,-1
ADCYAP1,0.08652846,False,-1
ADD3-AS1,0.02623014,False,-1
ADGRA1,0.18919383,False,-1
ADGRB3,0.3696818,False,1
ADGRD1,0.14240108,False,-1
ADGRF1,0.020799853,False,-1
ADGRF5,0.10919753,False,-1
ADGRG1,0.027474985,True,0
ADGRL1,0.36661604,False,-1
ADGRL2,0.24883406,False,1
ADGRL3,0.1301953,False,-1
ADH1B,0.11928608,False,-1
ADH4,0.39300197,False,-1
ADI1,0.14125504,False,-1
ADIRF,0.17424645,False,-1
ADM,0.10771682,False,-1
ADNP,0.119082816,False,-1
ADNP2,0.20419078,False,-1
ADPRH,0.08444582,False,-1
ADPRHL1,0.17334966,False,-1
ADRA1A,0.014089357,False,-1
ADRB1,0.15162942,False,-1
ADTRP,0.40214,False,-1
AEBP2,0.046375547,False,-1
