gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2ML1,0,0.02006748394,0.016545543911073737,0.011618809,0.048190895,0.01799135,0.0052040257,0.01733234,False,True,False,False,False
AAGAB,0,0.017837389500000002,0.011162318253324508,0.008328201,0.03459264,0.0103232805,0.012024626,0.0239182,False,False,False,True,False
ABCA1,0,0.018594111606400003,0.013777720253916315,0.038232118,3.0582032e-05,0.022002077,0.018274609,0.014431172,False,False,False,True,False
ABCA10,0,0.026154709199999997,0.021891668501868484,0.06093782,0.028214814,0.023976594,0.015796863,0.001847455,False,True,False,False,False
ABCA13,1,0.0270868322,0.011958904923452345,0.02664528,0.042155243,0.010716271,0.021822963,0.034094404,False,False,False,False,True
ABCA3,0,0.015424117154,0.014379848404635466,0.004904188,0.035312332,0.012446811,0.00015337377,0.024303881,False,False,False,False,True
ABCA4,0,0.02337757392,0.01621834112488307,0.013869999,0.0043083746,0.031520568,0.046303358,0.02088557,False,True,False,False,False
ABCA6,0,0.016820268399999998,0.003109274374170732,0.014840145,0.019946087,0.01568584,0.013372853,0.020256417,False,False,False,False,True
ABCA8,0,0.023221399400000002,0.00924964851698427,0.024412243,0.021237569,0.013948323,0.018248994,0.038259868,False,False,False,False,True
ABCB5,0,0.01796720068,0.009000847370271452,0.011302282,0.02679792,0.0073058344,0.027309403,0.017120564,True,False,False,False,False
ABCB9,0,0.020562202999999998,0.008386242686801848,0.029671703,0.014730606,0.019034795,0.010729817,0.028644094,False,True,False,False,False
ABCC10,0,0.022655716739999998,0.009995673279430324,0.023651883,0.020662142,0.0070469687,0.033525117,0.028392473,False,False,True,False,False
ABCC2,0,0.0322057492,0.012596580804774075,0.037312705,0.036391042,0.017510813,0.021480216,0.04833397,False,False,False,False,True
ABCC4,0,0.021102262200000003,0.011003484084205678,0.036064465,0.029346624,0.012654805,0.016191967,0.01125345,False,False,False,True,False
ABCC8,0,0.010361336574308,0.008444778047566937,0.01046122,3.7537154e-07,0.010308689,0.0076217325,0.023414666,False,False,True,False,False
ABCC9,0,0.020509959,0.013123344122267523,0.008458463,0.012371945,0.014183704,0.027215803,0.04031988,False,False,False,False,True
ABCE1,0,0.0133587646,0.004321591837237154,0.009418389,0.014238138,0.012998962,0.009949384,0.02018895,False,False,False,False,True
ABCF2,0,0.021239913058,0.013405978884615907,0.028443808,0.032038253,0.015594278,0.029930454,0.00019277229,False,False,False,True,False
ABCG1,0,0.0198298076,0.006462056978653183,0.020225141,0.026112698,0.012986428,0.013565881,0.02625889,True,False,False,False,False
ABCG2,0,0.01655692686,0.007805121952240624,0.0042744423,0.02376724,0.01515937,0.022787606,0.016795976,False,False,False,False,True
ABHD12,0,0.0423405298,0.03127726485831943,0.046881292,0.006749515,0.037168052,0.09162025,0.02928354,False,True,False,False,False
ABHD17C,0,0.017033378364472003,0.01994584461982709,0.05083877,1.5482236e-07,0.01641453,0.005244319,0.012669118,False,False,False,True,False
ABHD4,0,0.0358910912,0.017153216941045834,0.06553148,0.034529757,0.023470731,0.025088498,0.03083499,False,False,True,False,False
ABHD5,0,0.050424550199999994,0.01632154941033786,0.056993388,0.042337544,0.041499414,0.035362795,0.07592961,False,False,False,False,True
ABI3BP,0,0.027760511199999997,0.012302322674844992,0.043852407,0.03605087,0.021357289,0.024898203,0.012643787,False,False,False,True,False
ABL1,0,0.02137861232,0.016112470121699123,0.028059915,0.015910655,0.011647685,0.0052297716,0.046045035,True,False,False,False,False
ABLIM2,0,0.026018505999999997,0.014672893620192286,0.044596907,0.013692594,0.02123793,0.038323887,0.012241212,False,False,False,False,True
ABLIM3,0,0.0306475196,0.012015588621281784,0.029912772,0.024232142,0.023741527,0.023723507,0.05162765,False,True,False,False,False
ABO,0,0.01115561674,0.006425481755947856,0.012907417,0.017526051,0.013047517,0.011969859,0.0003272397,False,False,True,False,False
ABR,0,0.0212068716,0.005097136209331158,0.022127958,0.016990742,0.02954849,0.019904748,0.01746242,False,False,False,False,True
ABTB2,0,0.016676207239999997,0.007648151183849454,0.010896945,0.02550865,0.021033257,0.0068015982,0.019140586,True,False,False,False,False
ACBD5,0,0.0117735372,0.004774622857604169,0.009783294,0.015643217,0.007035161,0.008422127,0.017983887,False,False,True,False,False
ACD,0,0.0192479458,0.008807862599578583,0.006207534,0.02170857,0.014757802,0.026285943,0.02727988,False,False,False,True,False
ACER3,0,0.015148667600000002,0.004908015842395255,0.011282657,0.019735513,0.008896765,0.019644324,0.016184079,False,False,False,True,False
ACKR3,0,0.009634649,0.0018115491315354936,0.008474622,0.008685612,0.012836704,0.009210702,0.008965605,False,False,False,False,True
ACO1,0,0.022516342999999998,0.007119800703679388,0.027986629,0.025721963,0.02630189,0.010344575,0.022226658,False,True,False,False,False
ACOT12,0,0.0232691057,0.009793549651418067,0.03864253,0.023144703,0.0130502805,0.016866786,0.024641229,False,True,False,False,False
ACOX1,0,0.01576977308,0.011986151041231423,0.004099433,0.025452573,0.02539854,0.022504028,0.0013942914,False,False,True,False,False
ACRBP,0,0.0196731558,0.011358889975485684,0.004460333,0.02348174,0.012991464,0.034282394,0.023149848,False,False,True,False,False
