gene,score,validation,label
A2ML1,0.022026727,False,0
AACS,0.037052486,True,0
AATF,0.027479317,False,0
ABCA1,0.02223044,True,0
ABCA13,0.01142347,False,1
ABCA2,0.035310555,False,0
ABCA3,0.01156779,False,0
ABCA5,0.058849484,False,0
ABCB9,0.014914188,False,0
ABCC3,0.006532896,False,1
ABCC4,0.013154421,False,0
ABCC5-AS1,0.017152062,False,0
ABCC9,0.045718633,False,0
ABCF2,0.009839811,False,0
ABCG2,0.01976757,False,0
ABHD17A,0.018446915,False,0
ABHD17B,0.010619033,False,0
ABHD2,0.025159571,False,0
ABHD3,0.010542004,False,0
ABHD5,0.026476251,True,0
ABHD8,0.01693794,False,0
ABI2,0.024766596,False,0
ABI3BP,0.012137012,False,0
ABL1,0.011001797,False,0
ABL2,0.031881895,False,0
ABLIM1,0.039029263,False,0
ABLIM2,0.011744396,False,0
ABLIM3,0.013098458,False,0
ABR,0.05019516,False,0
ABRACL,0.0010742438,False,0
ACAP2,0.013300519,False,0
ACBD6,0.007400912,False,0
ACE2,0.019895429,False,0
ACER1,0.008115779,False,0
ACER2,0.019418713,True,0
ACKR1,0.019989153,False,0
ACKR3,0.009664309,False,0
ACKR4,0.00996467,False,0
ACO1,0.022615634,True,0
ACOX1,0.024130631,True,0
ACOXL,0.060474448,False,0
ACSL4,0.036276393,False,1
ACSM6,0.02407521,False,0
ACTB,0.018844888,False,0
ACTG1,0.018447133,False,0
ACTN1,0.028667258,False,0
ACTN2,0.020013941,True,0
ACVR1C,0.011643869,False,0
ACVR2A,0.0066464497,False,0
ACVRL1,0.0015098843,False,0
ADAM22,0.0597138,False,0
ADAM23,0.05342594,False,0
ADAM28,0.022991236,False,0
ADAM32,0.014660066,False,0
ADAMTS1,0.015986508,False,0
ADAMTS17,0.025884543,False,0
ADAMTS19,0.008341953,False,0
ADAMTS3,0.06809236,False,0
ADAMTS9-AS1,0.004657013,False,0
ADAMTS9-AS2,0.018217927,False,0
ADAMTSL1,0.0024207006,False,0
ADAMTSL3,0.013465819,False,0
ADARB1,0.008942399,True,0
ADARB2,0.019324472,False,0
ADCY1,0.017733159,False,0
ADCY2,0.043795384,True,0
ADCY4,0.014172485,False,0
ADCY9,0.010660293,False,0
ADD2,0.04404923,False,0
ADD3,0.004071394,False,0
ADD3-AS1,0.011235298,False,0
ADGRA1,0.01556358,False,0
ADGRB1,0.011545289,False,0
ADGRB2,0.05988388,False,0
ADGRB3,0.028527243,False,0
ADGRG5,0.034553338,False,0
ADGRL1,0.027793098,True,0
ADGRL2,0.023840668,False,0
ADGRL3,0.023812566,False,0
ADGRV1,0.01405179,True,1
ADIRF,0.017731281,False,0
ADM,0.016567834,False,0
ADNP,0.057531994,False,0
ADNP2,0.007243571,True,0
ADPRH,0.008698909,False,0
ADRA2C,0.047680065,False,0
ADRB1,0.019706873,False,0
ADSSL1,0.01853881,False,0
ADTRP,0.032990314,False,0
AEBP2,0.027076285,False,0
AFAP1,0.029434256,True,0
AFF2,0.0011207317,True,0
AFF3,0.022955414,False,0
AFF4,0.025103694,False,0
AFMID,0.02739563,False,0
AGA,0.014202011,True,0
AGAP2,0.020367097,False,0
AGBL3,0.0168198,False,0
AGGF1,0.015777674,True,0
AGL,0.012183742,False,0
AGMO,0.02310733,False,0
AGTPBP1,0.013773324,False,0
AHCTF1,0.021287302,False,0
AHCYL2,0.019118741,False,0
AHDC1,0.0017228337,False,1
AHI1,0.056742743,False,0
AHR,0.012689283,True,0
AHRR,0.04239869,False,0
AHSA1,0.0040958137,False,0
AIF1L,0.02644777,False,0
AIM2,0.022294914,False,0
AJAP1,0.076899745,False,0
AK5,0.05967327,False,0
AKAP12,0.020758437,False,0
AKAP13,0.0147823235,True,0
AKAP5,0.0158278,False,0
AKAP6,0.059518114,False,0
AKAP7,0.0137863755,True,0
AKR1B1,0.034675583,False,0
AKR7A3,0.015135511,True,0
ALCAM,0.032016065,False,1
ALDH1A1,0.009225705,False,0
ALDH1A2,0.014717464,True,0
ALG1L,0.0046158778,False,0
ALG5,0.023167025,False,0
ALK,0.019875854,False,0
ALPL,0.009815506,False,0
ALX3,0.012705356,False,0
AMD1,0.0360244,False,0
AMDHD1,0.018186644,False,0
AMIGO1,0.07868911,False,0
AMMECR1,0.03903128,True,0
AMMECR1L,0.019965988,True,0
AMN1,0.012980071,False,0
AMPD3,0.0049815793,False,0
AMPH,0.016870346,False,0
ANAPC4,0.014498297,False,0
ANGEL1,0.016929446,False,0
ANGPT1,0.016531479,False,0
ANGPT2,0.016489482,False,0
ANK2,0.037937306,True,0
ANK3,0.044367135,False,0
ANKH,0.015439087,True,0
ANKRD11,0.025748484,False,0
ANKRD13D,0.013748255,False,0
ANKRD20A4,0.029682964,False,0
ANKRD27,0.021042876,False,0
ANKRD28,0.019895926,False,0
ANKRD30BL,0.024112884,False,0
ANKRD34A,0.013408288,False,0
ANKRD34B,0.033839982,True,0
ANKRD36C,0.07337482,False,0
ANKRD37,0.022267096,False,0
ANKRD53,0.0074715405,True,0
ANKRD54,0.012286804,False,0
ANKRD6,0.01570822,False,0
ANKRD60,0.008141984,True,0
ANKRD61,0.02193301,False,0
ANKRD65,0.024854647,False,0
ANKS1B,0.010616244,False,0
ANKS6,0.00880851,False,0
ANO4,0.015489593,False,0
ANO6,0.015811222,False,0
ANP32A,0.011198236,False,0
ANTXR1,0.011712842,False,0
ANXA1,0.015740257,True,0
ANXA11,0.010771736,True,0
ANXA2,0.01642629,False,0
AP1AR,0.020339726,False,0
AP1S3,0.009758994,False,0
AP3D1,0.02132425,False,0
APBA1,0.061828505,False,0
APBA2,0.0142535325,False,0
APBB1,0.03834305,False,0
APBB1IP,0.020970732,False,0
APC2,0.01720214,False,0
APCDD1,0.019710096,True,0
APEX2,0.004189666,False,0
APOA1,0.016683819,True,0
APOC2,0.0010420126,False,0
APOD,0.02027421,False,0
APOE,0.021924866,False,0
APTR,0.013532033,False,0
AQP4,0.029044433,False,0
AQP4-AS1,0.01292361,True,0
AR,0.015245428,False,0
ARAP1,0.017189158,True,1
ARAP2,0.037643667,True,0
AREG,0.014799348,True,0
ARFGAP1,0.014585779,False,0
ARFGEF3,0.049286813,False,0
ARHGAP10,0.019004662,False,0
ARHGAP20,0.02695497,False,0
ARHGAP22,0.01245652,False,0
ARHGAP24,0.0059986147,False,0
ARHGAP25,0.019538427,False,0
ARHGAP26,0.014002422,True,0
ARHGAP31,0.017739663,False,0
ARHGAP4,0.001268475,False,0
ARHGAP42,0.019916927,False,0
ARHGAP44,0.037728563,False,0
ARHGAP6,0.022375055,False,0
ARHGEF10L,0.025473878,False,0
ARHGEF16,0.05191176,False,0
ARHGEF28,0.03529873,False,0
ARHGEF3,0.042026114,False,0
ARHGEF4,0.006512869,False,0
ARHGEF7,0.039144725,False,0
ARID3A,0.01819136,False,0
ARID3B,0.013934566,False,0
ARID5A,0.005284985,False,0
ARID5B,0.042627383,False,0
ARIH2OS,0.015269449,False,0
ARL10,0.016711408,False,0
ARL15,0.025272489,False,0
ARL17B,0.023305086,True,0
ARL4A,0.01396337,False,0
ARL5B,0.026983887,False,0
ARL6IP5,0.0154966405,False,0
ARMC4,0.014713812,False,0
ARMC7,0.089044064,False,0
ARMC9,0.01497229,False,1
ARMCX4,0.0412187,False,0
ARNT,0.019574504,False,0
ARNT2,0.039986808,False,1
ARNTL,0.027008776,False,0
ARNTL2,0.022658966,False,0
ARPP21,0.02373453,False,0
ARRB2,0.00853714,False,1
ARRDC3,0.02611518,False,0
ARRDC4,0.026144307,False,0
ARSA,0.00833235,False,0
ARSB,0.015153988,False,0
ARSG,0.015326764,False,0
ARSJ,0.0003850701,False,0
ART1,0.008728151,True,0
ART3,0.018705012,False,0
ARVCF,0.014205841,False,0
ASAH2B,0.027731717,False,0
ASB13,0.010951904,False,0
ASB9,0.011068182,False,0
ASCC1,0.009618301,False,0
ASH2L,0.028270079,False,0
ASIC1,0.016899634,False,0
ASIC2,0.033949874,False,0
ASIC4,0.013317113,False,0
ASPHD1,0.07748064,False,0
ASPHD2,0.010663119,False,0
ASPSCR1,0.018256262,False,0
ASRGL1,0.013929337,False,0
ASTN1,0.011063074,False,0
ASTN2,0.014914587,False,0
ASXL3,0.06353379,True,0
ATAD2,0.039367665,False,0
ATCAY,0.0037990767,False,0
ATF1,0.009800066,False,0
ATF2,0.082790986,False,0
ATF3,0.044672996,True,0
ATF4,0.01133645,False,0
ATF5,0.017128685,False,0
ATF6,0.018712051,False,0
ATF6B,0.013553692,False,0
ATF7,0.01593155,True,0
ATF7IP2,0.0025162967,False,0
ATG10,0.017578194,True,0
ATG3,0.0011858457,False,0
ATL1,0.056325674,False,0
ATM,0.01943458,False,0
ATOH8,0.017087905,False,0
ATP10A,0.049162216,False,0
ATP10B,0.01304931,False,0
ATP10D,0.009974685,True,0
ATP11A,0.009057726,False,0
ATP11A-AS1,0.05438671,True,0
ATP13A2,0.022924442,False,0
ATP13A3,0.04126414,False,0
ATP1A1,0.07158337,False,0
ATP1A1-AS1,0.021046529,False,0
ATP1A2,0.0035354712,False,0
ATP1A3,0.018496003,False,0
ATP1B1,0.011549539,False,0
ATP1B3,0.026785301,False,0
ATP2A2,0.011198822,False,0
ATP2B4,0.052300215,False,1
ATP6V1A,0.032296132,False,0
