gene,score,validation,label
A2ML1,0.048149753,True,0
AAGAB,0.034572158,False,0
ABCA1,3.083182e-05,False,0
ABCA10,0.028355487,True,0
ABCA13,0.04239382,False,1
ABCA3,0.035275973,False,0
ABCA4,0.0043405476,True,0
ABCA6,0.02008374,False,0
ABCA8,0.021113582,False,0
ABCB5,0.026849065,False,0
ABCB9,0.014802414,True,0
ABCC10,0.02076125,False,0
ABCC2,0.036614254,False,0
ABCC4,0.029439572,False,0
ABCC8,3.7887744e-07,False,0
ABCC9,0.012487211,False,0
ABCE1,0.014335212,False,0
ABCF2,0.032065228,False,0
ABCG1,0.026104875,False,0
ABCG2,0.023904897,False,0
ABHD12,0.0067489357,True,0
ABHD17C,1.5610824e-07,False,0
ABHD4,0.03460999,False,0
ABHD5,0.042483054,False,0
ABI3BP,0.036158502,False,0
ABL1,0.015964987,False,0
ABLIM2,0.0137793245,False,0
ABLIM3,0.02432653,True,0
ABO,0.017690193,False,0
ABR,0.017125675,False,0
ABTB2,0.02554624,False,0
ACBD5,0.015658561,False,0
ACD,0.0218102,False,0
ACER3,0.019791005,False,0
ACKR3,0.008738756,False,0
ACO1,0.02584911,True,0
ACOT12,0.023359502,True,0
ACOX1,0.025475428,False,0
ACRBP,0.02350189,False,0
ACSBG1,0.017942032,False,0
ACSBG2,0.041471865,True,0
ACSL4,0.013823815,True,1
ACSL5,0.00010374257,False,0
ACTA2,0.022160022,False,0
ACTB,0.0041533024,True,0
ACTG1,0.003224562,False,0
ACTL6A,0.008088216,True,0
ACTN1,0.0061516603,False,0
ACTN2,0.015569133,False,0
ACTR3B,0.017259998,True,0
ACTR3C,0.03784035,False,0
ACVR1C,0.02888024,False,0
ACVR2A,0.022826526,False,0
ACVRL1,0.01463179,False,0
ADAM12,0.011206692,False,0
ADAM19,0.025221836,False,0
ADAM22,0.021204496,True,0
ADAM32,0.05446153,False,0
ADAMTS1,0.002125229,True,0
ADAMTS14,0.020481044,False,0
ADAMTS15,0.011302841,False,0
ADAMTS17,4.565602e-05,True,0
ADAMTS19-AS1,0.044724077,False,0
ADAMTS3,0.022608817,False,0
ADAMTS5,0.052955747,False,0
ADAMTS6,1.8904984e-12,False,1
ADAMTS7,0.023112008,False,0
ADAMTS8,0.03389827,False,0
ADAMTS9,0.013257691,True,0
ADAMTS9-AS1,6.37655e-05,False,0
ADAMTSL1,0.061011802,True,0
ADAMTSL3,0.012507744,False,0
ADAMTSL4-AS1,0.02293664,False,0
ADARB1,0.025676016,False,0
ADARB2,0.03738587,False,0
ADCY1,9.257884e-07,False,0
ADCY2,1.2627297e-06,False,0
ADCY5,0.016946962,False,0
ADCY8,0.015533306,False,0
ADCYAP1,0.0024448799,False,0
ADD3-AS1,3.649014e-14,False,0
ADGRA1,0.0009158154,True,0
ADGRB3,0.005717275,False,0
ADGRD1,0.0011270392,True,0
ADGRF1,0.01688811,False,0
ADGRF5,0.01782984,False,0
ADGRG1,0.004187784,False,0
ADGRL1,0.0060268,False,0
ADGRL2,0.0042595915,False,0
ADGRL3,0.019110342,False,0
ADH1B,0.014915763,False,0
ADH4,0.022018265,False,0
ADI1,0.0034176137,True,0
ADIRF,0.0046530156,False,0
ADM,0.016249632,False,0
