gene,score,validation,label
A2M,0.004690434,False,0
AASDHPPT,0.29103822,False,-1
ABCA1,0.0498293,False,-1
ABCA12,0.2530649,False,0
ABCB1,0.21650243,False,-1
ABCG2,0.0120076,False,-1
ABRA,0.16946855,False,-1
ABTB2,0.065397896,False,-1
ACTB,0.09819751,False,1
ACTG1,0.12239377,False,-1
ACVR1,0.58645904,False,0
ACVR1C,0.4031632,False,-1
ADAM28,0.002497677,True,0
ADAMTS1,0.06547453,True,0
ADAMTS17,0.22748889,False,-1
ADAMTS18,0.25180048,False,-1
ADAMTS3,0.58645904,False,-1
ADAMTS5,0.15924168,False,-1
ADCY4,0.0024976747,False,-1
ADCYAP1,0.09706431,False,-1
ADGRA1,0.29289496,False,-1
ADGRL4,0.0024976758,False,-1
ADNP,0.5629355,False,1
ADNP2,0.5091042,False,-1
ADRB3,0.1282248,False,-1
AFF1,0.5187967,False,-1
AFF4,0.57615316,False,-1
AGAP2,0.27300513,False,0
AGPAT1,0.34567493,False,-1
AHCTF1,0.51522577,False,-1
AHR,0.57615316,False,-1
AHRR,0.51962626,False,-1
AKAP13,0.51258636,False,-1
ALCAM,0.616102,False,-1
ALDH1A2,0.51258636,False,-1
ALDH1A3,0.39473826,False,1
ALDOA,0.04982934,False,-1
ALK,0.030714847,False,-1
ALKBH5,0.13664691,False,-1
ALX4,0.067247994,False,0
AMER2,0.06972487,False,-1
AMIGO2,0.15133137,False,-1
ANK1,0.265904,True,0
ANKRD30A,0.51258636,False,-1
ANKRD34B,0.1223937,False,-1
ANKRD6,0.32407665,False,-1
ANO10,0.2777673,False,-1
ANO6,0.616102,False,-1
ANXA11,0.31131533,False,-1
AOAH,0.0024976735,False,-1
AP1S1,0.04982934,False,-1
AP2M1,0.29289472,False,-1
APBB1IP,0.004690532,False,0
APBB2,0.5306373,False,0
APCDD1,0.04982933,False,-1
APCDD1L,0.1344375,False,-1
APLP2,0.29103836,False,-1
APOE,0.0024976758,False,-1
APP,0.52261114,False,-1
AQP3,0.085995674,False,-1
AQP4,0.22773558,False,-1
ARC,0.14141665,False,0
AREG,0.06414445,False,0
ARF1,0.29289493,False,-1
ARF3,0.5365293,True,1
ARHGAP12,0.6161019,False,-1
ARHGAP18,0.054697495,False,-1
ARHGAP20,0.6161019,False,0
ARHGAP24,0.034576096,True,0
ARHGAP26,0.5482855,False,-1
ARHGAP6,0.51258636,False,0
ARHGDIA,0.2928949,False,-1
ARHGDIG,0.19260223,False,-1
ARHGEF28,0.5244362,False,-1
ARID5A,0.054697394,False,-1
ARL4C,0.21685624,False,-1
ARL6IP1,0.3600571,False,-1
ARNTL,0.57615316,False,-1
ARPC5L,0.0672482,False,-1
ARSJ,0.3604318,False,-1
ARX,0.15378623,False,1
ASAP1,0.6161019,False,0
ASAP2,0.616102,False,-1
ASCL1,0.42643303,False,-1
ATF2,0.55387604,False,-1
ATF3,0.06805058,False,0
ATF5,0.04982935,False,-1
ATF7,0.616102,True,1
ATOH8,0.29103848,False,-1
ATP10A,0.01112921,False,-1
ATP1A1,0.22101143,False,1
ATP1A2,0.31131455,False,-1
ATP1A3,0.42643303,False,1
ATP1B1,0.21357882,False,-1
ATP2B3,0.42643303,False,-1
ATP6V0C,0.19357465,False,-1
ATP6V1A,0.46377704,True,0
ATP6V1B2,0.2910387,False,-1
ATP6V1H,0.054697096,False,0
ATRNL1,0.5418763,False,-1
ATXN1,0.58645904,False,-1
ATXN7L3B,0.29103824,False,-1
AUTS2,0.5249819,False,1
B2M,0.07675341,False,-1
B3GALT2,0.36118367,False,-1
B4GAT1,0.049829274,False,-1
BACH2,0.616102,False,-1
BAG3,0.11108358,False,0
BAIAP2,0.09613515,True,0
BANF1,0.0498293,False,-1
BARHL2,0.2777678,False,-1
BASP1,0.46377707,False,-1
BBX,0.51258636,False,-1
BCAP31,0.04982933,True,0
BCL11A,0.6161019,False,1
BCL3,0.21068504,False,-1
BCL6,0.12295356,True,0
BCL6B,0.025089217,False,-1
BCLAF1,0.57615316,False,-1
BCOR,0.22301838,False,-1
BDNF,0.055996727,True,0
BEND7,0.21652661,False,-1
BEX1,0.31131774,False,0
BEX2,0.04982917,False,-1
BEX3,0.04982931,False,-1
BEX5,0.17575082,False,-1
BHLHE22,0.067248166,False,0
BHLHE40,0.2928951,False,-1
BICD1,0.2777682,False,-1
BICDL1,0.6161019,False,0
BLNK,0.3442947,True,0
BMP4,0.39465687,False,-1
BMP5,0.2244618,False,-1
BMPR1B,0.51258636,False,-1
BMT2,0.616102,False,-1
BNC2,0.012007633,True,0
BRINP1,0.616102,False,-1
BRINP2,0.39127213,False,0
BRINP3,0.5382763,False,1
BSCL2,0.42643303,False,-1
BSG,0.3493526,False,-1
BTBD11,0.20620371,False,-1
BTG1,0.0840949,False,-1
C11orf87,0.42643303,False,-1
C11orf96,0.12822178,True,0
C1QB,0.0767254,False,-1
C1QTNF4,0.42643303,False,0
C1QTNF9B,0.51258636,False,-1
C2CD2,0.2721057,False,-1
C2orf83,0.011129262,False,-1
C3,0.011760995,False,0
C4orf19,0.20620283,False,-1
C4orf48,0.13727061,False,-1
C5orf24,0.51152545,False,-1
C6orf141,0.12822486,False,-1
C9orf16,0.42643303,False,-1
CA3,0.6161019,False,-1
CACHD1,0.5091042,False,-1
CACNA1C,0.27776644,True,1
CACNA1G,0.6161019,False,0
CACNA2D1,0.57615316,False,-1
CACYBP,0.04982934,False,-1
CADM1,0.58645904,False,0
CADM3,0.20381287,False,-1
CADPS2,0.55533147,False,-1
CALB1,0.31131512,False,-1
CALM1,0.4058634,False,-1
CALM2,0.2910385,False,-1
CALM3,0.34567502,False,-1
CALN1,0.5309452,False,-1
CALR,0.42643303,False,-1
CALY,0.17575082,False,-1
CAMK2D,0.5244362,False,-1
CAMK2N1,0.15939033,False,0
CAP1,0.6161019,False,-1
CAPNS1,0.1267112,False,-1
CARF,0.616102,False,-1
CASC15,0.51105565,False,-1
CASC2,0.6161019,False,-1
CASP7,0.05469742,False,0
CAST,0.6161019,False,-1
CBLN2,0.567354,False,-1
CBLN4,0.20612907,False,-1
CBX6,0.29103836,False,-1
CCBE1,0.04982934,False,-1
CCDC178,0.6161019,False,-1
CCDC3,0.12822522,False,-1
CCDC6,0.6161019,False,-1
CCDC88C,0.6161019,False,-1
CCK,0.07765079,False,-1
CCNG2,0.58645904,False,-1
CCNI,0.5365293,False,-1
CCT7,0.360432,False,-1
CD22,0.3443078,False,-1
CD63,0.10526895,False,-1
CD74,0.07672483,False,-1
CD79B,0.0024976758,False,-1
CD81,0.39857882,False,-1
CD86,0.0024976735,False,0
CD96,0.0024976758,False,-1
CDC14B,0.51258636,False,0
CDCA7L,0.39469713,False,-1
CDH11,0.58645904,False,1
CDH12,0.28202784,False,-1
CDH2,0.54732597,False,-1
CDH20,0.616102,False,-1
CDH7,0.6161019,False,-1
CDH8,0.5847225,False,-1
CDHR1,0.04982926,False,-1
CDK2AP1,0.31812268,False,-1
CDK5R1,0.15641044,False,-1
CDK6,0.57615316,False,-1
CDKN1B,0.27210572,False,-1
CDS1,0.5091042,False,-1
CEBPA,0.2928952,True,0
CEBPB,0.14139049,False,0
CEBPD,0.07789114,False,-1
CEBPG,0.0672481,False,-1
