gene,score,validation,label
AACS,0.384595,False,-1
ABCB1,0.22362494,False,-1
ABCC1,0.3138052,False,-1
ABCC3,0.18114828,False,-1
ABHD17B,0.5301989,False,-1
ABI2,0.44524932,False,-1
ABL1,0.35673767,True,1
ABRACL,0.28885615,False,-1
ACER3,0.548887,False,-1
ACSBG1,0.39647695,False,-1
ACTL6A,0.5300629,False,-1
ACTN4,0.45655006,False,-1
ACTR2,0.38840488,False,-1
ACTR3,0.5125004,False,-1
ACVR1,0.6449614,False,0
ACVR1C,0.58184874,False,-1
ACVR2A,0.58184874,False,-1
ADAMTS17,0.3138053,False,-1
ADAMTS5,0.28885615,False,-1
ADARB2,0.5300635,False,-1
ADCYAP1,0.27305126,False,-1
ADD3,0.4546176,False,-1
ADD3-AS1,0.24916431,False,-1
ADGRA1,0.097964585,False,-1
ADGRA2,0.38840485,False,-1
ADGRL2,0.34121725,False,-1
ADNP,0.3767837,True,1
ADNP2,0.38840467,False,-1
AFF4,0.40297133,False,-1
AGAP2,0.40353525,False,0
AGBL3,0.530064,False,-1
AGO3,0.39570448,False,-1
AGPS,0.37901357,False,-1
AHCTF1,0.5016455,False,-1
AHCYL2,0.5482173,False,-1
AHR,0.8006313,False,-1
AK5,0.48488778,False,1
ALCAM,0.45650026,False,-1
ALDH1A2,0.13898607,False,-1
ALDOA,0.37678376,False,-1
ALK,0.41407666,False,-1
ALPK2,0.07503217,False,-1
ALX4,0.530063,False,0
AMIGO2,0.43436557,False,-1
AMOT,0.3555601,False,-1
AMZ1,0.3841132,False,-1
ANAPC4,0.51791584,False,-1
ANKRD28,0.39509055,False,-1
ANKRD30B,0.5179153,False,-1
ANKRD34B,0.39835146,False,-1
ANKRD44,0.2888561,False,-1
ANKRD45,0.5818491,False,-1
ANKRD50,0.39422303,False,-1
ANKRD6,0.18114747,False,-1
ANO1,0.80063134,False,-1
ANO2,0.8006313,False,-1
ANTXR1,0.5818487,False,-1
ANXA2,0.54888654,False,-1
ANXA4,0.16171505,False,-1
AP1S2,0.53426814,False,1
APBA1,0.40789118,False,-1
APBB2,0.4813449,True,0
APOE,0.15230474,False,-1
APOLD1,0.35240996,False,-1
AQP4,0.4121056,False,-1
AQP4-AS1,0.5818488,False,-1
AR,0.27305248,False,-1
ARAP2,0.43436578,False,-1
ARC,0.14394556,True,0
ARHGAP20,0.23915038,False,0
ARHGAP22,0.31380522,False,-1
ARHGAP23,0.80063134,False,-1
ARHGAP6,0.28885612,True,0
ARHGEF28,0.22483784,False,-1
ARHGEF4,0.18114859,False,-1
ARID1A,0.45655003,False,-1
ARID3A,0.51791525,False,-1
ARID3B,0.5353942,False,-1
ARID5B,0.4483459,False,-1
ARL5A,0.42914823,False,-1
ARMC2,0.46429387,False,-1
ARNT,0.31380522,False,-1
ARNTL,0.45650026,False,-1
ARNTL2,0.298921,False,-1
ARSJ,0.2572313,False,-1
ARX,0.800631,False,1
ASAP1,0.37931988,False,0
ASAP2,0.28885615,False,-1
ASB18,0.5179156,False,-1
ASB7,0.40789145,False,-1
ASB8,0.28885612,False,-1
ASCC1,0.60723543,False,0
ASCL1,0.017238898,False,-1
ASPHD2,0.18114805,False,-1
ASPSCR1,0.5818488,False,-1
ATF2,0.47833434,False,-1
ATF5,0.3524143,False,-1
ATF7,0.017238593,True,1
ATF7IP,0.5179156,False,-1
ATG10,0.5389851,False,-1
ATG16L1,0.27305308,False,-1
ATP11B,0.5760071,False,-1
ATXN1,0.46118376,False,-1
ATXN3,0.38840485,False,-1
AVEN,0.28924692,False,0
AXIN2,0.3906104,False,-1
B3GALNT2,0.38404968,False,-1
B3GALT5,0.6327557,False,-1
B4GALT2,0.5632955,False,-1
BAALC,0.38840476,False,-1
BACH1,0.4565002,False,-1
BACH2,0.41294965,False,-1
BANP,0.18114765,False,-1
BARD1,0.51791555,False,-1
BARHL1,0.017228102,False,-1
BBS4,0.58184874,False,-1
BBX,0.2790183,False,-1
BCAR3,0.45558205,False,-1
BCL11A,0.37621072,True,1
BCL11B,0.25520667,False,-1
