gene,score,validation,label
A2M,0.0018310753,False,0
AASDHPPT,0.46810827,False,-1
ABCF2,0.3275541,False,-1
ABO,0.2120532,False,-1
ABTB2,0.12873113,False,-1
ACHE,0.6079529,False,-1
ACTB,0.47755304,False,1
ACTG1,0.27048665,False,-1
ACVR1,0.6528574,True,0
ADAM28,0.00028593608,True,0
ADAMTS1,0.35042688,True,0
ADAMTS18,0.021726193,False,-1
ADAMTS20,0.021726264,False,-1
ADAMTS3,0.087882556,False,-1
ADAMTS9-AS1,0.021726167,False,-1
ADGRF5,0.8593148,False,-1
ADGRG3,0.03729123,False,-1
ADGRL2,0.82612264,False,-1
ADNP,0.5176944,False,1
ADRA1A,0.32755405,False,-1
ADRM1,0.11242006,False,-1
AFF4,0.7496096,False,-1
AGAP2,0.32755563,True,0
AGPAT1,0.398166,False,-1
AGR3,0.301428,False,-1
AHR,0.70707005,False,-1
AHSA1,0.021726161,False,-1
AIF1L,0.12873091,False,-1
AKAP13,0.7893605,False,-1
AKAP5,0.1856278,False,-1
AKR1B1,0.43574786,False,-1
ALDOA,0.040781427,False,-1
ALDOC,0.47755298,False,-1
ALKBH5,0.18265581,False,-1
ALOX5,0.001830758,False,-1
ALX3,0.071321204,False,-1
AMD1,0.56681144,False,-1
AMER2,0.024324453,False,-1
AMOTL1,0.5176944,False,-1
AMPH,0.7893614,False,-1
ANAPC11,0.12872967,False,-1
ANGPT4,0.06257763,False,-1
ANK1,0.11756754,False,0
ANKRD28,0.43936148,False,-1
ANKRD34A,0.91553754,False,-1
ANKRD46,0.10750731,False,-1
ANO10,0.7491054,False,-1
ANXA2,0.10399465,False,-1
AOAH,0.0002859699,False,-1
AP1S1,0.11242011,False,-1
AP1S2,0.5776242,False,1
AP2M1,0.031954143,False,-1
APBB1IP,0.51769435,False,0
APBB2,0.5922009,False,0
APEX2,0.43574667,False,-1
APLP1,0.477553,False,-1
APOLD1,0.43574724,False,-1
APP,0.661515,False,-1
AQP4,0.29394537,False,-1
AR,0.43574625,False,-1
ARF1,0.43574694,False,-1
ARF3,0.3981661,False,1
ARHGAP18,0.398166,False,-1
ARHGAP20,0.5176944,False,0
ARHGAP22,0.7997793,False,-1
ARHGAP24,0.00028602197,False,0
ARHGAP26,0.5176944,False,-1
ARHGAP29,0.5176944,False,-1
ARHGAP30,0.0002859617,False,-1
ARHGAP42,0.5176944,False,-1
ARHGAP6,0.10654176,False,0
ARHGDIA,0.27364895,False,-1
ARHGDIB,0.06963568,False,-1
ARHGDIG,0.07306952,False,-1
ARHGEF26,0.78936136,False,-1
ARHGEF28,0.5776242,False,-1
ARID3A,0.48329687,False,-1
ARID3B,0.5176944,False,-1
ARID5A,0.39816606,False,-1
ARL6IP1,0.4775531,False,-1
ARL8B,0.46810767,False,-1
ARMC3,0.3981661,False,-1
ARNT2,0.5176944,False,-1
ARNTL,0.70707005,False,-1
ART1,0.18266112,False,-1
ARX,0.04911544,False,1
ASAP2,0.22845463,False,-1
ASB2,0.10399408,False,-1
ASB4,0.2939369,False,-1
ASB8,0.6376318,False,-1
ASCL2,0.10402078,False,-1
ASGR2,0.8798883,False,-1
ASH2L,0.89610344,False,-1
ASS1,0.021726176,False,-1
ASXL2,0.48329258,False,-1
ATF2,0.7207986,False,-1
ATF3,0.16143066,False,0
ATF4,0.03636702,False,0
ATF5,0.13729446,False,-1
ATF7,0.51769435,False,1
ATOH7,0.12871906,False,-1
ATOH8,0.057345685,False,-1
ATP10B,0.32755387,False,-1
ATP1A1,0.6079527,False,1
ATP1A3,0.50004697,False,1
ATP1B1,0.398166,False,-1
ATP1B3,0.3370108,False,-1
ATP2B3,0.39816606,False,-1
ATP2C2,0.32755417,False,-1
ATP6AP2,0.3981661,False,-1
ATP6V0A4,0.069399334,False,-1
ATP6V0B,0.11242,False,-1
ATP6V0C,0.4053305,False,-1
ATP6V1A,0.4751828,False,0
ATP6V1C1,0.398166,False,-1
ATRNL1,0.7496096,False,-1
ATXN7L3B,0.398166,False,-1
AZIN1,0.5866289,False,-1
B3GLCT,0.48336226,False,0
B4GALNT1,0.32755402,False,-1
BACH1,0.8225326,False,-1
BACH2,0.59220004,False,-1
BAG3,0.024324406,False,0
BAHD1,0.22845446,False,-1
BAIAP3,0.13729447,False,-1
BARD1,0.5176944,False,-1
BASP1,0.62368834,False,-1
BATF3,0.08895525,False,-1
BBX,0.6872318,False,-1
BCL11A,0.3697581,False,1
BCL11B,0.54921126,False,-1
BCL3,0.39816606,False,-1
BCLAF1,0.7496096,False,-1
BCR,0.22845428,False,-1
BDNF,0.7070701,False,0
BEND4,0.8225328,False,-1
BEX1,0.031966146,False,0
BEX2,0.021726176,False,-1
BEX3,0.021726172,False,-1
BEX5,0.66640395,False,-1
BHLHE40,0.2939511,False,-1
BHLHE41,0.049947094,False,-1
BICDL1,0.43936127,False,0
BLCAP,0.5257551,False,-1
BLNK,0.00028601298,False,0
BMP4,0.18271044,False,-1
BMPR1B,0.5176944,False,-1
BNC1,0.48532718,False,-1
BOLL,0.89610344,False,-1
BRINP1,0.43936145,False,-1
BRINP3,0.7070701,False,1
BSCL2,0.4053305,False,-1
BSG,0.398166,False,-1
BSPRY,0.2939451,False,-1
BST1,0.10401976,False,-1
BTBD9,0.51769435,False,-1
BTG1,0.4357476,False,-1
BVES,0.72851515,False,-1
C12orf42,0.5176944,False,-1
C14orf132,0.398166,False,-1
C14orf39,0.398166,False,-1
C1QTNF1,0.21205945,False,-1
C1QTNF1-AS1,0.43574703,False,-1
C1QTNF4,0.03902831,False,0
C1orf115,0.477553,False,-1
C2CD2,0.4053305,False,-1
C2orf88,0.55782986,False,-1
C3,0.00028597968,True,0
C3orf67,0.5176944,False,-1
C3orf70,0.5176944,False,-1
C4orf48,0.024324436,False,-1
C5orf24,0.89610183,False,-1
C5orf30,0.6757412,False,-1
C5orf58,0.666399,False,-1
C5orf66,0.10252189,False,-1
CA10,0.2969983,False,-1
CA14,0.057351835,False,-1
CA3,0.398166,False,-1
CACHD1,0.8225326,False,-1
CACNA2D2,0.36858344,False,-1
CACNB2,0.7893603,False,-1
CACNG4,0.3981661,False,-1
CADM3,0.55007625,False,-1
CADPS,0.22845468,True,1
CALB1,0.06355837,False,-1
CALB2,0.11242014,False,0
CALM1,0.21594211,False,-1
CALN1,0.22845429,False,-1
CALY,0.39816597,False,-1
CAMK1D,0.22845563,True,0
CAMK1G,0.6664026,False,-1
CAMK2N1,0.38309273,True,0
CAMK2N2,0.031959817,False,0
CAP1,0.5176944,False,-1
CAPZA2,0.5866289,False,-1
CARF,0.5176944,False,-1
CASC8,0.32755414,False,-1
CASP7,0.02172614,False,0
CAST,0.78936076,False,-1
CBFA2T2,0.48329216,False,0
CBLN2,0.8071862,False,-1
CBLN4,0.49567398,False,-1
CBR1,0.398166,False,-1
CBX6,0.47798032,False,-1
CBX7,0.43574667,False,-1
CCDC150,0.4832893,False,-1
CCDC168,0.021726204,False,-1
CCDC178,0.5176944,False,-1
CCDC25,0.4357473,False,-1
CCDC68,0.398166,False,-1
CCK,0.039027598,False,-1
CCND1,0.19358829,False,-1
CCNI,0.7503992,False,-1
CCNO,0.102359094,False,-1
CCT7,0.18266019,False,-1
CCT8,0.43574682,False,-1
CD109,0.0020834298,False,-1
CD24,0.42033195,False,-1
CD276,0.4832994,False,-1
CD36,0.3275541,False,-1
CD59,0.40533024,False,0
CD81,0.021726204,False,-1
CD86,0.00028594563,True,0
CD96,0.91767895,False,-1
CDC14A,0.103991255,False,-1
CDC14B,0.82253253,True,0
CDH1,0.4357469,False,-1
CDH11,0.21337664,False,1
CDH13,0.3275558,False,-1
CDH18,0.51769435,False,-1
CDH20,0.70707005,False,-1
CDH7,0.7496096,False,-1
CDH9,0.22845477,False,-1
CDHR1,0.398166,False,-1
CDIP1,0.6664021,False,-1
CDK2AP1,0.3775283,False,-1
CDK5R1,0.10750741,False,-1
CDKN1B,0.66640025,False,-1
CDKN2A,0.51769435,False,-1
CDKN2D,0.100881346,False,-1
CDS1,0.5866289,False,-1
CEBPB,0.03636751,False,0
CEBPD,0.021726187,False,-1
CECR2,0.43936145,False,-1
CELSR1,0.017030718,False,-1
CEP112,0.61254066,False,-1
CERKL,0.1614268,False,-1
CETP,0.021726172,False,-1
CFH,0.30125168,False,-1
CFL1,0.05939966,False,-1
CFL2,0.502264,False,-1
CHAC1,0.13729443,False,-1
CHAMP1,0.7049019,False,1
CHD1,0.661515,False,1
CHD7,0.8225327,False,1
CHGA,0.9179759,False,-1
CHGB,0.2784207,False,0
CHN1,0.67598504,False,-1
CHRDL1,0.31943434,False,-1
CHRM2,0.8225327,False,-1
CHRNA3,0.32755405,False,-1
CHST1,0.10644813,False,-1
CHST15,0.22845453,False,-1
CHSY3,0.31511962,False,-1
CITED2,0.29210433,False,-1
CKB,0.024324436,False,-1
CLDN11,0.0502873,False,-1
CLEC2L,0.102521285,False,-1
CLEC5A,0.057350274,False,-1
CLIC4,0.017016228,False,-1
CLIP3,0.61281615,False,-1
CLOCK,0.72079873,False,-1
CLSTN2,0.80006397,False,-1
CLTB,0.112425186,False,-1
CLTC,0.5176944,False,-1
CLU,0.398166,False,-1
CLVS2,0.43574655,False,-1
CMTM5,0.050279763,False,-1
CNDP1,0.050288394,False,-1
CNGB1,0.024324484,False,-1
CNOT3,0.4357493,False,1
CNOT4,0.7209519,False,-1
CNP,0.064642005,False,-1
CNR1,0.43936148,False,-1
CNTN4,0.70707005,False,-1
CNTNAP3B,0.78936076,False,-1
COCH,0.5176944,False,-1
COL19A1,0.8225326,False,-1
COL27A1,0.021726176,False,-1
COL5A2,0.32755414,False,-1
COL6A2,0.16142659,False,-1
COPZ2,0.068355665,False,-1
CPE,0.5090913,False,-1
CPEB1,0.5176944,False,-1
CPEB2,0.5176944,False,-1
CREB1,0.70707,False,-1
CREB5,0.16142695,False,-1
CREG2,0.5683529,False,-1
CREM,0.5176945,False,0
CRH,0.088955306,False,-1
CRHBP,0.05028227,False,-1
CRTAC1,0.32755408,False,-1
CRYBG3,0.36858344,False,-1
CSDE1,0.5176945,False,1
CSF1R,0.007035827,False,0
CSF3R,0.00028603862,False,0
CSRNP2,0.5176944,False,-1
CSRP1,0.10089244,False,-1
CSRP2,0.19999675,False,-1
CST3,0.0520658,False,-1
CTBP1,0.43574718,False,-1
CTCF,0.43936145,False,1
CTNNA2,0.5921999,True,1
CTNNB1,0.6519674,False,1
CTNND2,0.45973513,False,-1
CTXN1,0.398166,False,-1
CTXN3,0.29394653,False,-1
CUTA,0.0993475,True,0
CUX1,0.7422523,False,-1
CX3CR1,0.00028598704,False,0
CXCL5,0.89610237,False,-1
CXXC5,0.5267595,False,0
DAAM2,0.017017154,False,-1
DAB1,0.2284546,False,-1
DAB2,0.10252151,False,-1
DACH1,0.7496096,False,-1
DACH2,0.39816597,False,-1
DBP,0.39816606,False,-1
DBX1,0.021726193,False,-1
DCDC2C,0.398166,False,-1
DCN,0.15579109,False,-1
DDAH1,0.22845449,False,-1
DDIT3,0.39816606,False,-1
DDIT4,0.11242688,False,-1
DDN,0.102524295,False,-1
DDT,0.11242438,False,-1
DDX4,0.39816603,False,-1
DEDD2,0.112419836,False,-1
DENND1B,0.6615151,False,-1
DES,0.021726172,False,-1
DGKG,0.31152517,False,-1
DGKH,0.6125407,False,-1
DHRS7,0.6663987,False,-1
DIAPH2,0.5176944,False,-1
DIO3OS,0.30123365,False,-1
DIRAS1,0.47798038,False,-1
DISC1,0.005614984,False,-1
DISP1,0.48329347,False,-1
DLC1,0.301969,False,-1
DLEU1,0.70707,False,-1
DLEU2,0.6757412,False,-1
DLGAP1,0.70707005,False,-1
DLGAP2,0.43936148,False,-1
DLX1,0.06659335,True,0
DLX2,0.04957189,False,0
DLX6,0.09192661,True,0
DMC1,0.5176944,False,-1
DMRT2,0.06464942,False,0
DNAJA1,0.11242776,False,-1
DNAJB4,0.39816606,False,-1
DNAJB9,0.9178605,False,-1
DNAJC12,0.39816606,False,-1
DNMT3A,0.22845463,True,1
DOCK1,0.01701722,False,-1
DOCK10,0.16142659,False,-1
DOCK2,0.0018302917,True,0
DOCK8,0.00028590474,False,0
DOK6,0.70706993,False,0
DPH6,0.66151506,False,-1
DPP10,0.53254956,False,-1
DPP6,0.60071766,False,-1
DPY19L2,0.5176944,False,-1
DPYSL2,0.5176944,False,1
DPYSL5,0.22845459,False,-1
DR1,0.5176944,False,-1
DRD2,0.43936145,False,-1
DRGX,0.10252192,False,-1
