gene,score,validation,label
A2M,0.09561489,False,0
AASDHPPT,0.06960697,False,0
ABCF2,0.07056566,False,0
ABO,0.16205645,True,0
ABTB2,0.048188698,False,0
ACHE,0.080850236,False,1
ACTB,0.08260645,False,1
ACTG1,0.04562591,False,0
ACVR1,0.16103472,False,0
ADAM28,0.11272137,False,0
ADAMTS1,0.120391086,False,0
ADAMTS18,0.0047774054,False,0
ADAMTS20,0.0047773984,False,0
ADAMTS3,0.016765168,False,0
ADAMTS9-AS1,0.0047774664,False,0
ADGRF5,0.009767577,True,0
ADGRG3,0.015114593,False,0
ADGRL2,0.1325606,False,0
ADNP,0.15005605,False,1
ADRA1A,0.07056679,False,0
ADRM1,0.04176933,False,0
AFF4,0.1325261,False,0
AGAP2,0.070565,False,1
AGPAT1,0.08029022,False,0
AGR3,0.0018334698,False,0
AHR,0.14016525,False,0
AHSA1,0.0047773984,False,0
AIF1L,0.04819034,True,0
AKAP13,0.12137728,False,0
AKAP5,0.020713035,False,0
AKR1B1,0.07948372,False,0
ALDOA,0.011440854,False,0
ALDOC,0.08260649,False,0
ALKBH5,0.055649508,False,0
ALOX5,0.09563547,False,0
ALX3,0.05800598,False,0
AMD1,0.1347181,False,0
AMER2,0.010799442,False,0
AMOTL1,0.15005603,False,0
AMPH,0.12137673,False,0
ANAPC11,0.048188563,True,0
ANGPT4,0.013331099,False,0
ANK1,0.03750178,True,0
ANKRD28,0.1425853,True,0
ANKRD34A,0.00507657,False,0
ANKRD46,0.018180506,False,0
ANO10,0.16924642,False,0
ANXA2,0.13836741,False,0
AOAH,0.11272142,False,0
AP1S1,0.041769616,False,0
AP1S2,0.0945068,True,0
AP2M1,0.04137656,True,1
APBB1IP,0.15005605,False,0
APBB2,0.14222065,False,0
APEX2,0.079483755,False,0
APLP1,0.08260648,False,0
APOLD1,0.07948364,False,0
APP,0.13633348,False,0
AQP4,0.05567454,False,0
AR,0.07948387,False,1
ARF1,0.07948374,False,0
ARF3,0.08029026,False,1
ARHGAP18,0.080290206,False,0
ARHGAP20,0.15005605,True,0
ARHGAP22,0.041925263,False,0
ARHGAP24,0.11272128,True,0
ARHGAP26,0.15005605,False,0
ARHGAP29,0.15005605,False,0
ARHGAP30,0.11272153,False,0
ARHGAP42,0.15005603,False,0
ARHGAP6,0.004451827,False,0
ARHGDIA,0.071805395,True,0
ARHGDIB,4.71348e-05,True,0
ARHGDIG,0.04517597,True,0
ARHGEF26,0.121376805,False,0
ARHGEF28,0.0945068,False,0
ARID3A,0.15855382,True,0
ARID3B,0.15005605,False,0
ARID5A,0.080290236,False,0
ARL6IP1,0.08260648,False,0
ARL8B,0.0696072,False,0
ARMC3,0.080290236,False,0
ARNT2,0.15005605,False,1
ARNTL,0.14016525,True,0
ART1,0.05564965,False,0
ARX,0.03492479,True,1
ASAP2,0.14337419,False,1
ASB2,0.13838097,True,0
ASB4,0.05568419,False,0
ASB8,0.09588981,False,0
ASCL2,0.1383797,False,0
ASGR2,0.04575908,False,0
ASH2L,0.07373959,False,0
ASS1,0.004777403,False,0
ASXL2,0.15855423,True,0
ATF2,0.14872935,False,0
ATF3,0.058316242,False,0
ATF4,0.015485004,True,0
ATF5,0.025302736,False,0
ATF7,0.15005605,True,0
ATOH7,0.04818956,False,0
ATOH8,0.058725774,False,0
ATP10B,0.070565596,False,0
ATP1A1,0.080850296,False,1
ATP1A3,0.07064079,True,1
ATP1B1,0.08029026,False,0
ATP1B3,0.14528261,False,0
ATP2B3,0.080290206,False,0
ATP2C2,0.07056566,True,0
ATP6AP2,0.08029022,False,0
ATP6V0A4,4.7614307e-05,False,0
ATP6V0B,0.04176903,True,0
ATP6V0C,0.07604785,False,0
ATP6V1A,0.0986446,False,0
ATP6V1C1,0.080290236,False,0
ATRNL1,0.13252611,True,0
ATXN7L3B,0.08029026,False,0
AZIN1,0.110845044,False,0
B3GLCT,0.15855388,True,0
B4GALNT1,0.070565574,False,0
BACH1,0.15372796,False,0
BACH2,0.14222065,False,0
BAG3,0.010799432,True,0
BAHD1,0.1433742,False,0
BAIAP3,0.025302736,True,0
BARD1,0.15005605,False,0
BASP1,0.11429012,True,0
BATF3,0.020925824,False,0
BBX,0.14718547,False,0
BCL11A,0.16839214,True,1
BCL11B,0.0646098,False,1
BCL3,0.08029022,False,0
BCLAF1,0.13252611,True,0
BCR,0.14337419,False,0
BDNF,0.14016525,False,0
BEND4,0.15372801,False,0
BEX1,0.041376784,False,0
BEX2,0.004777403,False,0
BEX3,0.004777403,True,0
BEX5,0.07055965,False,0
BHLHE40,0.055674948,True,0
BHLHE41,0.012366829,False,0
BICDL1,0.1425853,False,1
BLCAP,0.075449966,False,0
BLNK,0.11273242,False,0
BMP4,0.055648852,False,0
BMPR1B,0.15005605,True,0
BNC1,0.06367863,True,0
BOLL,0.07373963,False,0
BRINP1,0.1425853,False,0
BRINP3,0.14016525,False,1
BSCL2,0.076047875,False,0
BSG,0.080290236,False,0
BSPRY,0.055674072,False,0
BST1,0.13837877,True,1
BTBD9,0.15005605,False,0
BTG1,0.079483755,False,0
BVES,0.1526735,False,0
C12orf42,0.15005605,False,0
C14orf132,0.08029022,False,0
C14orf39,0.08029022,False,0
C1QTNF1,0.16205624,True,0
C1QTNF1-AS1,0.07948382,True,0
C1QTNF4,0.01580382,False,0
C1orf115,0.08260641,False,0
C2CD2,0.07604789,False,0
C2orf88,0.12314949,False,0
C3,0.112721235,False,0
C3orf67,0.15005605,False,0
C3orf70,0.15005605,True,0
C4orf48,0.010799268,False,0
C5orf24,0.07373954,False,0
C5orf30,0.14536643,False,0
C5orf58,0.07056014,True,0
C5orf66,0.017914895,False,0
CA10,0.09276576,True,0
CA14,0.058742248,False,0
CA3,0.080290236,False,0
CACHD1,0.15372796,True,0
CACNA2D2,0.07553483,True,0
CACNB2,0.12137665,False,1
CACNG4,0.080290236,True,0
CADM3,0.079030655,False,0
CADPS,0.14337416,False,1
CALB1,0.012672918,True,0
CALB2,0.04176983,False,0
CALM1,0.056561593,False,0
CALN1,0.14337419,True,0
CALY,0.080290236,False,0
CAMK1D,0.14337419,False,0
CAMK1G,0.070563145,False,0
CAMK2N1,0.06651243,False,0
CAMK2N2,0.041376162,True,0
CAP1,0.15005605,False,0
CAPZA2,0.110845044,False,0
CARF,0.15005605,True,0
CASC8,0.07056566,True,0
CASP7,0.004777403,False,0
CAST,0.12137671,True,0
CBFA2T2,0.15855403,False,0
CBLN2,0.099295355,False,0
CBLN4,0.047178883,True,0
CBR1,0.080290236,True,0
CBX6,0.08770636,False,0
CBX7,0.07948372,True,0
CCDC150,0.15855384,True,0
CCDC168,0.004777403,True,0
CCDC178,0.15005605,False,0
CCDC25,0.07948382,False,0
CCDC68,0.080290236,False,0
CCK,0.015803782,False,0
CCND1,0.048298288,False,0
CCNI,0.12604599,False,0
CCNO,0.008438646,False,0
CCT7,0.05564899,False,0
CCT8,0.079483755,False,0
CD109,0.030330984,False,0
CD24,0.085961744,False,0
CD276,0.15855376,False,1
CD36,0.070565596,True,0
CD59,0.076047875,False,0
CD81,0.0047774077,False,0
CD86,0.11272094,False,0
CD96,0.00701489,False,0
CDC14A,0.1384249,False,0
CDC14B,0.15372796,False,0
CDH1,0.079483785,False,0
CDH11,0.10110058,False,1
CDH13,0.070565626,False,1
CDH18,0.15005605,False,0
CDH20,0.14016525,False,0
CDH7,0.13252611,True,0
CDH9,0.14337419,False,1
CDHR1,0.08029022,False,0
CDIP1,0.07056006,False,0
CDK2AP1,0.069567755,True,0
CDK5R1,0.018180484,True,0
CDKN1B,0.07056665,False,0
CDKN2A,0.15005605,False,0
CDKN2D,0.11630179,False,0
CDS1,0.110845044,False,0
CEBPB,0.015485026,False,0
CEBPD,0.0047773756,False,0
CECR2,0.1425853,False,1
CELSR1,0.10518107,False,0
CEP112,0.13749139,False,0
CERKL,0.058316372,False,0
CETP,0.0047774077,True,0
CFH,0.0018353289,False,0
CFL1,0.039702754,False,0
CFL2,0.07399653,False,0
CHAC1,0.025302736,False,0
CHAMP1,0.10771257,False,1
CHD1,0.13633348,False,1
CHD7,0.15372796,False,1
CHGA,0.0070137973,False,0
CHGB,0.08974869,True,0
CHN1,0.10986492,False,0
CHRDL1,0.052770216,False,0
CHRM2,0.15372796,False,0
CHRNA3,0.07056511,False,0
CHST1,0.029377425,True,0
CHST15,0.14337416,True,0
CHSY3,0.16207181,False,0
CITED2,0.07290565,False,0
CKB,0.010799442,False,0
CLDN11,0.017170455,False,0
CLEC2L,0.01791518,True,0
CLEC5A,0.058733072,True,0
CLIC4,0.1051865,True,0
CLIP3,0.08053459,False,0
CLOCK,0.14872935,False,0
CLSTN2,0.04189821,False,0
CLTB,0.0417756,False,0
CLTC,0.15005605,False,0
CLU,0.08029026,False,0
CLVS2,0.079483755,False,0
CMTM5,0.017177908,False,0
CNDP1,0.017175019,False,0
CNGB1,0.010799365,False,0
CNOT3,0.07948381,False,1
CNOT4,0.1441238,False,0
CNP,0.07066084,False,0
CNR1,0.1425853,False,1
CNTN4,0.14016525,False,1
