gene,score,validation,label
A1CF,0.06493026,False,0
AASDHPPT,0.0647016,False,0
ABCA1,0.16861115,False,0
ABCC4,0.06627964,False,0
ABCF2,0.045518566,False,0
ABHD13,0.16747548,False,0
ABL1,0.106908515,False,0
ABRACL,0.15115142,False,0
ACAT2,0.16890746,False,0
ACER2,0.07476972,False,0
ACRBP,0.039387833,False,0
ACSBG1,0.0691924,False,0
ACTN2,0.08892759,True,0
ACVR1,0.16544552,True,0
ADAM28,0.07525619,False,0
ADAMTS16,0.18488616,False,0
ADAMTS17,0.13483939,False,0
ADAMTS18,0.05395793,False,0
ADAMTS19,0.081036195,False,0
ADAMTS19-AS1,0.015571086,False,0
ADAMTS3,0.17601113,False,0
ADAMTS6,0.07906957,False,0
ADCY2,0.14202555,False,0
ADCY7,0.0991334,True,0
ADCYAP1R1,0.08637521,False,0
ADGRA1,0.13231345,False,0
ADGRG4,0.07476972,False,0
ADGRL3,0.14876406,True,0
ADGRV1,0.13483939,False,0
ADNP,0.15471645,False,1
ADNP2,0.16986628,False,0
ADPRHL1,0.08780467,False,0
ADRA1A,0.08240857,False,0
ADRB2,0.07899248,False,1
ADTRP,0.07379146,False,0
AFF1,0.14409976,False,0
AFF2,0.06470527,True,1
AFF4,0.15902036,False,0
AGAP2,0.16890746,False,1
AGBL1,0.06493651,False,0
AGGF1,0.14355387,False,0
AHCTF1,0.12627514,False,0
AHCYL2,0.043753374,False,0
AHR,0.16592383,True,0
AHRR,0.16890746,False,0
AHSA1,0.07558136,False,0
AIF1,0.10731892,False,0
AKAP5,0.11057282,False,0
AKNA,0.07907504,True,0
AKR1C3,0.058373854,False,0
ALCAM,0.1698664,True,0
ALPK1,0.0790758,False,0
ALX3,0.10898937,False,0
AMD1,0.16592373,False,0
AMIGO2,0.07476972,False,0
AMOT,0.10418489,False,0
AMZ1,0.06470192,False,0
ANK1,0.06543986,False,0
ANKH,0.12631828,False,0
ANKRD29,0.09403428,False,0
ANKRD33B,0.15720522,False,0
ANKRD44,0.06701099,False,0
ANKRD46,0.12709068,False,0
ANKRD6,0.1654455,True,0
ANKRD65,0.0747697,True,0
ANKS6,0.16291519,False,0
ANO5,0.1487548,True,0
ANO6,0.09912558,False,0
ANTXR1,0.12569897,True,0
ANXA11,0.13971873,False,0
AP1S2,0.17903206,False,0
APBA1,0.1697852,False,0
APBB1IP,0.061990917,False,0
APBB2,0.14807929,False,0
APCDD1,0.16502778,False,0
APLP2,0.13483939,False,0
APOC2,0.08879637,False,0
APOE,0.043753903,False,0
APP,0.14815544,True,0
AQP4,0.046189297,True,0
AQP9,0.06492838,False,0
ARF1,0.075581506,False,0
ARHGAP12,0.17127447,False,0
ARHGAP20,0.14355382,False,0
ARHGAP23,0.16603188,False,0
ARHGAP24,0.06913758,True,0
ARHGAP25,0.07907468,False,0
ARHGAP29,0.14355382,False,0
ARHGAP42,0.06919231,False,0
ARHGAP5,0.15637454,False,1
ARHGAP6,0.07249377,False,0
ARHGEF26,0.14355384,False,0
ARHGEF3,0.1029033,False,0
ARID1B,0.106908515,False,1
ARID3A,0.13238409,False,0
ARID3B,0.15560685,True,0
ARID5A,0.046244603,True,0
ARID5B,0.15591362,False,0
ARL4D,0.074769616,False,0
ARL8A,0.05837485,False,0
ARL8B,0.11788945,False,0
ARMC4,0.13483939,False,0
ARNT,0.1698664,False,0
ARNT2,0.12483075,True,1
ARNTL,0.16126658,True,0
ARRDC3-AS1,0.13483939,False,0
ARSJ,0.112889566,False,0
ASAP1,0.13405453,False,0
ASAP2,0.16986623,False,1
ASB18,0.046354845,True,0
ASB2,0.13483939,False,0
ASCL1,0.08601405,True,0
ASCL2,0.11890731,True,0
ASH2L,0.13483939,False,0
ASIC4,0.06919246,False,0
ATF1,0.07558153,False,0
ATF2,0.15403683,False,0
ATF3,0.15597616,True,0
ATF7,0.15960242,True,0
ATOH7,0.02541928,False,0
ATOH8,0.069192484,False,0
ATP10A,0.11561942,False,1
ATP10B,0.066089734,True,0
ATP13A4,0.069192365,False,0
ATP1A2,0.06493398,True,0
ATP1B2,0.07476972,False,0
ATP1B3,0.12881058,False,0
ATP2A2,0.1179916,False,0
ATP2B4,0.15067983,False,0
ATP2C1,0.1487548,True,0
ATP6V0D1,0.075581476,False,0
ATP6V1B2,0.058369856,False,0
ATP6V1H,0.13483939,False,0
ATRNL1,0.13752954,True,0
ATXN1,0.14374387,False,0
ATXN7L3,0.114005774,False,0
ATXN7L3B,0.050447218,False,0
AUTS2,0.13809125,False,1
AZIN1,0.16986628,False,0
B3GALNT2,0.11561942,False,0
B3GNT2,0.12634835,True,0
B3GNT5,0.14355381,False,0
B4GALT5,0.1910721,False,0
B4GALT6,0.18673919,True,0
BACH1,0.13707794,False,0
BACH2,0.16836327,False,0
BANF1,0.058373924,False,0
BAZ1A,0.12569897,False,0
BBX,0.18695916,False,0
BCAN,0.0658118,True,0
BCAR3,0.07504678,False,0
BCAS2,0.10321465,False,0
BCL11A,0.13693345,False,1
BCL11B,0.094092175,False,1
BCL2L2-PABPN1,0.07558153,False,0
BCL6,0.13293445,True,0
BCLAF1,0.15790473,False,0
BCOR,0.11210921,False,0
BCORL1,0.16890746,True,0
BDKRB2,0.15834816,True,0
BDNF,0.14230023,False,0
BDP1,0.11561948,False,0
BEX1,0.07024603,False,0
BEX3,0.07558149,False,0
BHLHE40-AS1,0.15889163,False,0
BHLHE41,0.033175133,False,0
BHMT,0.07899257,False,0
BICC1,0.08751878,False,0
BICDL1,0.16890746,False,1
BLNK,0.06815868,True,0
BMP6,0.10418489,False,0
BMT2,0.14355387,True,0
BNC2,0.07568781,False,0
BOC,0.084340915,False,0
BPTF,0.1629136,True,0
BRINP3,0.13784364,True,1
BSG,0.07969419,False,0
BSX,0.07398451,False,0
BTBD11,0.07486616,False,0
BTBD9,0.14355381,False,0
BTK,0.06801224,False,0
BVES,0.14481981,True,0
C10orf90,0.069192305,False,0
C10orf95,0.047196295,False,0
C11orf87,0.14355385,False,0
C12orf42,0.08879855,True,0
C12orf56,0.09961489,False,0
C17orf67,0.08110135,True,0
C18orf32,0.075581595,False,0
C1QB,0.039387666,False,0
C1QTNF4,0.098793924,False,0
C1orf21,0.13212433,False,0
C1orf61,0.13578333,False,0
C2orf88,0.13270319,False,0
C3,0.09264532,False,0
C3orf80,0.1487548,False,0
C5orf56,0.13483939,False,0
C6orf141,0.064934894,False,0
C8orf34,0.06543955,False,0
CA3,0.15791233,False,0
CA8,0.09403431,False,0
CABLES1,0.098325685,False,0
CACHD1,0.14221142,False,0
CACNA1A,0.06543959,False,1
CACNA1G,0.15834804,False,1
CACNA2D4,0.16890746,False,0
CACNG4,0.16603182,False,0
CACYBP,0.07558153,False,0
CADM1,0.13795848,False,1
CADM2,0.16059558,False,1
CADM3,0.09825992,False,0
CALM1,0.20478861,False,0
CALM2,0.0647057,False,0
CALN1,0.19392525,False,0
CALY,0.1140129,False,0
CAMK2D,0.13630655,True,0
CAMK2G,0.09166752,True,0
CAMK2N2,0.07476964,False,0
CANT1,0.04624483,True,0
CANX,0.16986635,False,0
CAP1,0.14355387,True,0
CAPN7,0.106908515,False,0
