gene,score,validation,label
A2M,0.04007121,False,0
AASDHPPT,0.082098216,False,0
ABCA1,0.12651339,True,0
ABCC9,0.09089568,False,0
ABCG2,0.040699914,False,0
ABL1,0.094533175,False,0
ABLIM1,0.11830372,False,0
ABTB2,0.025424603,False,0
ACAN,0.053104326,False,0
ACER2,0.085733674,False,0
ACO1,0.09089568,False,0
ACSBG1,0.025424484,True,0
ACTB,0.056190178,False,1
ACTG1,0.054631095,False,0
ACVR1,0.16753645,False,0
ACVR1C,0.15385358,False,0
ACY3,0.030117666,False,0
ADAD2,0.04468448,False,0
ADAM12,0.07303357,True,0
ADAM28,0.045612447,False,0
ADAMTS17,0.09089568,False,0
ADAMTS18,0.09089568,False,0
ADAMTS3,0.15787007,True,0
ADAMTS8,0.09089568,True,0
ADAMTS9-AS2,0.03859219,True,0
ADAMTSL3,0.09089568,False,0
ADARB1,0.1719024,False,0
ADD3-AS1,0.13926148,False,0
ADGB,0.06254588,False,0
ADGRG1,0.051325563,False,0
ADGRL2,0.15408267,False,0
ADGRV1,0.025424452,False,0
ADNP,0.16503592,False,1
ADNP2,0.17652254,False,0
ADRA1D,0.040699802,True,0
ADTRP,0.09089568,False,0
AEBP2,0.09089568,False,0
AFAP1L2,0.05172016,False,0
AFF1,0.1260355,False,0
AFF4,0.16041878,False,0
AGAP2,0.09089568,False,1
AGBL1-AS1,0.030117694,False,0
AGGF1,0.07402666,False,0
AGPAT1,0.070265085,False,0
AHCTF1,0.119820274,False,0
AHDC1,0.1719024,True,1
AHR,0.14102332,False,0
AHRR,0.15385357,True,0
AKAP13,0.1719024,False,0
ALDH1A2,0.09089568,False,0
ALDOA,0.061568912,False,0
AMD1,0.12145023,False,0
AMOTL1,0.12147563,False,0
AMPD3,0.039061874,False,0
ANK1,0.08108457,True,0
ANKRD18B,0.030117674,False,0
ANKRD30A,0.1719024,False,0
ANKRD30B,0.19351798,False,0
ANKRD34C,0.03741489,True,0
ANKRD44,0.1719024,False,0
ANKRD65,0.04557802,False,0
ANKRD7,0.09089568,False,0
ANO2,0.08029826,False,0
ANOS1,0.049757358,True,0
ANTXR2,0.08012043,True,0
ANXA11,0.04603726,False,0
ANXA2,0.08012246,False,0
AP1S1,0.052336685,False,0
AP2M1,0.06308748,False,1
APBB1IP,0.085496195,True,0
APBB2,0.1471544,False,0
APCDD1,0.056064807,False,0
APEX2,0.030117674,False,0
APLP2,0.07185775,False,0
APOLD1,0.03344072,False,0
APP,0.16501582,False,0
AQP4,0.067740165,False,0
ARAP2,0.16716592,False,0
ARC,0.04356905,False,0
AREG,0.055212855,False,0
ARF1,0.058338765,True,0
ARF3,0.12743407,False,1
ARHGAP23,0.07743382,False,0
ARHGAP24,0.06816163,True,0
ARHGAP26-AS1,0.06792483,False,0
ARHGAP42,0.030678963,False,0
ARHGAP6,0.1288185,False,0
ARHGDIA,0.07703343,False,0
ARHGEF28,0.09794567,False,0
ARID3A,0.16223946,True,0
ARID3B,0.040699843,False,0
ARID5B,0.12317353,False,0
ARL15,0.09089568,False,0
ARL8B,0.07759673,False,0
ARMC4,0.046514906,False,0
ARMS2,0.030504776,False,0
ARNT,0.09089568,False,0
ARNTL,0.15796122,False,0
ARRDC3-AS1,0.12253637,True,0
ARSF,0.09216484,True,0
ARX,0.03346324,False,1
ASAP1,0.09089568,True,0
ASCC1,0.09089568,False,0
ASCL1,0.02220418,False,0
ASH2L,0.09089568,False,0
ASIC4,0.030117666,False,0
ASPSCR1,0.11297628,False,0
ASXL2,0.094533175,False,0
ATF2,0.14280738,False,0
ATF3,0.07031844,False,0
ATF4,0.052871406,True,0
ATF6B,0.085733674,False,0
ATF7,0.09089568,False,0
ATOH8,0.025424315,True,0
ATP10A,0.09089568,False,1
ATP11C,0.061255056,False,0
ATP1A1,0.07759672,False,1
ATP1A3,0.10003746,False,1
ATP1B1,0.09684479,False,0
ATP1B2,0.08701752,False,0
ATP2A2,0.1305806,True,0
ATP6AP2,0.05039063,False,0
ATP6V1A,0.120150164,False,0
ATP6V1B2,0.07759673,False,0
ATP8B1,0.15787007,False,0
ATRNL1,0.1686842,False,0
ATXN1,0.14753802,False,0
ATXN7L3B,0.082098216,True,0
AUTS2,0.17825395,False,1
AVEN,0.09089568,False,0
AXDND1,0.058334894,False,0
AXL,0.046515077,False,0
AZIN1,0.13384779,False,0
B3GNT3,0.09849338,False,0
B3GNT5,0.13766636,False,0
BAALC,0.09089568,False,0
BACH1,0.17548387,False,0
BACH2,0.18211655,False,0
BAIAP2,0.0465148,False,0
BANK1,0.083008125,True,0
BANP,0.085733674,False,0
BASP1,0.1305806,False,0
BBX,0.17470187,True,0
BCAN,0.040971495,False,0
BCAP31,0.054631084,False,0
BCAR3,0.11818575,False,0
BCAS1,0.030117666,True,1
BCAS2,0.06432843,False,0
BCHE,0.051720075,True,0
BCL11A,0.12147563,False,1
BCL11B,0.085733645,True,1
BCL6,0.12828927,False,0
BCL6B,0.06254343,False,0
BCLAF1,0.12918001,False,0
BCOR,0.05833809,True,0
BDNF,0.116561145,False,0
BDP1,0.09055076,False,0
BEND4,0.07227633,False,0
BEX1,0.0821645,False,0
BEX2,0.095482856,False,0
BHLHE41,0.06271743,False,0
BHMT,0.08108532,False,0
BICC1,0.13619389,False,0
BICDL1,0.1719025,False,1
BIN2,0.07227526,False,0
BLNK,0.04007117,False,0
BMP2K,0.15261571,False,0
BMP3,0.09750124,False,0
BMP7,0.025424052,False,0
BMPR1B,0.13756722,True,0
BNC2,0.040315285,False,0
BPTF,0.13905668,False,0
BRF1,0.1719024,False,0
BRF2,0.038592458,False,0
BRI3BP,0.08647712,False,0
BRINP1,0.1719024,False,0
BRINP3,0.14317684,False,1
BSG,0.09223841,False,0
BTBD3,0.16873354,False,0
BTF3,0.100328304,False,0
BTG4,0.030117666,True,0
BTNL9,0.11957255,False,0
BVES-AS1,0.09089568,False,0
C11orf44,0.039061733,False,0
C11orf87,0.03741489,False,0
C12orf75,0.056358807,False,0
C14orf39,0.09089568,False,0
C1QC,0.030117659,False,0
C1QTNF1,0.07163195,True,0
C1QTNF4,0.057288077,False,0
C1orf115,0.100328304,False,0
C21orf91,0.09089568,False,0
C2CD2,0.046514824,False,0
C2orf88,0.1719024,False,0
C3,0.044003047,True,0
C3orf67,0.09089568,False,0
C3orf70,0.1719024,False,0
C4orf19,0.04007116,False,0
C5AR2,0.061256614,False,0
C5orf24,0.07069132,False,0
C5orf64,0.04053064,False,0
C6,0.02800534,False,0
C6orf141,0.09426416,False,0
C8orf34,0.09089568,False,0
C8orf88,0.082098216,True,0
C9orf16,0.03859251,False,0
CA2,0.16115838,False,0
CA3,0.11213135,True,0
CACHD1,0.18428722,False,0
CACNA2D1,0.15738952,False,1
CACNB1,0.06792471,False,1
CACNB4,0.09089568,True,0
CACNG4,0.17206149,True,0
CACYBP,0.16664043,True,0
CADM1,0.12988086,False,1
CADM3,0.09049194,False,0
CADPS2,0.13295658,True,1
CAGE1,0.030117674,False,0
CALB1,0.118049756,False,0
CALB2,0.07227521,False,0
CALM1,0.074171685,False,0
CALR,0.06739487,False,0
CALY,0.10003713,False,0
CAMK1D,0.1719024,False,0
CAMK2N1,0.057187624,True,0
CAMK2N2,0.055899706,True,0
CAMKK2,0.113289274,True,0
CANT1,0.08817018,True,0
CAP1,0.10640775,False,0
CAPN2,0.050324842,False,0
CARF,0.1719024,False,0
CARNMT1,0.118303694,False,0
CASC15,0.15787007,False,0
CASC2,0.15385357,False,0
CASP7,0.059964884,False,0
CAV1,0.030117666,False,0
CAV2,0.13761619,False,0
CBFA2T2,0.09089568,False,0
CBLN1,0.100328304,False,0
CBLN2,0.13123648,False,0
CBLN4,0.040698968,False,0
CBX6,0.100328304,False,0
CCDC168,0.03748207,False,0
CCK,0.052476972,False,0
CCND1,0.037414894,False,0
CCNG2,0.088441215,False,0
CCNI,0.11872054,False,0
CCNT2,0.09089568,False,0
CCSER1,0.15796122,False,1
CCT7,0.05039316,False,0
CCT8,0.067924835,False,0
CD200,0.07402671,False,0
CD226,0.094533175,False,0
CD44,0.12816975,True,0
CD53,0.034479834,False,0
CD58,0.06792489,False,0
CD63,0.054300446,False,0
CD68,0.06254349,True,0
CD81,0.1003286,False,0
CD84,0.030117674,False,0
CD86,0.03447984,False,0
CDC14B,0.13601206,False,0
CDC42EP1,0.03906195,True,0
CDC5L,0.07402674,False,0
CDH15,0.04071475,False,0
CDH18,0.1096851,True,0
CDH20,0.15186557,False,0
CDH22,0.03739701,True,1
CDH7,0.16400015,False,0
CDH8,0.15738952,False,1
CDK19,0.16041878,True,1
CDK2AP1,0.06792487,False,0
CDK5R1,0.055899683,False,0
CDK6,0.17032705,True,0
CDK8,0.13338909,False,0
CDKN1A,0.04349179,False,0
CDKN1C,0.055899706,False,0
CDKN2D,0.05589967,False,0
CDX1,0.09089568,False,0
CDYL2,0.15747468,False,0
CEBPB,0.07759673,False,0
CEBPD,0.050325483,True,0
CEBPG,0.13166806,False,0
CECR2,0.10631008,False,1
CELF4,0.09089568,False,1
CELF5,0.09089568,True,0
CELF6,0.113289274,True,1
CELSR2,0.0558997,False,0
CEMIP,0.08573363,False,0
CENPBD1,0.013325329,False,0
CENPF,0.081086874,False,0
CEP55,0.043183368,False,0
CERKL,0.097482085,True,0
CERS4,0.09089568,False,0
CERS5,0.09089568,False,0
CFL1,0.054653417,False,0
CFL2,0.082098216,False,0
CGGBP1,0.14666861,False,0
CHAC1,0.04858299,False,0
CHAMP1,0.12858085,False,1
CHD1,0.13607624,False,1
CHD2,0.13803963,False,1
CHD7,0.13780624,False,1
CHGA,0.0849461,False,0
CHGB,0.05634339,False,0
CHI3L1,0.013341238,False,0
CHL1,0.16041878,False,0
CHN1,0.12238189,False,0
CHP2,0.0558997,False,0
CHRDL1,0.15633388,False,0
CHRDL2,0.09089568,False,0
CHRM2,0.13671005,False,0
CHRM3-AS2,0.050392684,False,0
CHRNA5,0.09089568,False,0
CHST1,0.09257392,True,0
CHURC1,0.09089568,False,0
CIITA,0.036740396,False,0
CITED2,0.055899683,False,0
CKB,0.11776279,True,0
CKS2,0.09855408,False,0
CLDN1,0.09089568,False,0
CLDN5,0.033462223,False,0
CLIC4,0.065174334,True,0
CLK1,0.03748153,False,0
CLMN,0.03906132,False,0
CLN8,0.14191884,True,1
CLOCK,0.14474069,False,0
CLTC,0.1719025,False,0
CNDP2,0.12743407,False,0
CNGA1,0.04069971,False,0
CNKSR3,0.113605924,False,0
CNOT4,0.14024791,False,0
CNOT6,0.09089568,True,0
CNP,0.04053048,False,0
CNR1,0.10373559,False,1
CNRIP1,0.09089568,False,0
CNTN4,0.14753802,False,1
CNTN5,0.14638938,True,1
CNTNAP2,0.16055837,False,1
CNTNAP3,0.15056394,True,1
CNTNAP3B,0.11199424,False,0
CNTNAP4,0.09089568,False,1
COBLL1,0.053616464,False,0
COL11A1,0.1719024,True,0
COL19A1,0.19545615,False,0
COL23A1,0.09089568,True,0
COL5A1,0.09089568,False,0
COL5A2,0.07227541,False,0
COL6A1,0.1662503,False,0
COL6A5,0.09089568,False,0
COLEC12,0.086343564,False,0
COLGALT2,0.1719024,True,0
CP,0.07227424,False,0
CPEB1,0.17190242,False,0
CPED1,0.03673981,False,0
CPLX3,0.07227532,False,0
CPNE8,0.17190242,False,0
CRADD,0.07402669,True,0
CREB1,0.13948932,False,0
CREB3,0.03741489,True,0
CREB3L1,0.09089568,True,0
CREB3L2,0.1099019,False,0
CREM,0.12605083,False,0
CRHR2,0.021914072,True,0
CRIM1,0.11431467,False,0
CRISPLD1,0.12621304,False,0
CRX,0.04603759,False,0
CRYAB,0.002169768,True,0
CRYBG3,0.1719024,True,0
CSF1R,0.03568871,False,0
CSF3R,0.030117666,False,0
CSGALNACT1,0.11297628,False,0
CSMD2,0.09089568,True,0
CSMD3,0.1719024,False,1
CSRP2,0.15056396,False,0
CST3,0.05589967,False,0
CST7,0.059965603,False,0
CTBP2,0.1719024,False,0
CTCF,0.17190242,False,1
CTNNA2,0.17103386,False,0
CTNNAL1,0.100328304,True,0
CTNNB1,0.17824362,True,1
CUX1,0.12924276,False,1
CUX2,0.081084244,False,1
CXCL12,0.09089568,False,0
CXCL14,0.07227567,False,0
CXXC4,0.06792479,False,0
CXXC5,0.09294822,False,0
CYB5A,0.046514846,False,0
CYP1B1,0.08012557,True,0
CYP26B1,0.060262904,False,0
CYP4F11,0.023927543,True,0
DAAM2,0.0022675453,False,0
DAB1,0.12617864,False,0
DAB2,0.17190242,False,0
DACH1,0.18211359,False,0
DAW1,0.06545333,False,0
DAZAP1,0.085733674,False,0
DBP,0.0722756,False,0
DBX2,0.025424544,False,0
DCC,0.09089568,True,1
DCDC2C,0.20523982,False,0
DCHS2,0.09089568,False,0
DCN,0.08012306,True,0
DCTN1,0.05589967,False,0
DCTN3,0.050392408,False,0
