gene,score,validation,label
AACS,0.6157114,False,-1
ABCB4,0.60295933,False,-1
ABHD17B,0.74970216,False,-1
ABHD5,0.8485355,False,-1
ABI2,0.5924723,False,-1
ABL1,0.570077,False,-1
ACAN,0.17942698,False,-1
ACKR3,0.031884678,False,-1
ACTB,0.15650679,False,1
ACTN1,0.5680499,False,-1
ACTR2,0.60295916,False,-1
ACTRT3,0.011917381,False,-1
ADAM12,0.6139142,False,-1
ADAM28,0.016772998,False,0
ADAMTS20,0.73501456,False,-1
ADAMTS3,0.20054686,False,-1
ADARB1,0.44213313,False,-1
ADCY2,0.8251801,False,-1
ADCY7,0.03148271,False,-1
ADCY8,0.44213313,False,-1
ADGRB2,0.56973505,False,-1
ADGRB3,0.7444679,False,-1
ADGRL2,0.8704012,False,-1
ADGRL3,0.57097334,False,-1
ADGRL4,0.20886794,False,-1
ADIPOR2,0.49930266,False,-1
ADNP,0.84098226,True,1
ADNP2,0.78931904,False,-1
ADSS,0.031853158,False,-1
AFF1,0.6880053,False,-1
AFF4,0.7742306,False,-1
AGAP1,0.6148905,False,-1
AGAP2,0.40027657,False,-1
AGO3,0.35703117,False,-1
AHCTF1,0.6550775,False,-1
AHDC1,0.68406665,False,1
AHR,0.87209755,False,-1
AHRR,0.7277339,False,-1
AIF1,0.011917357,False,-1
AKAP13,0.7500861,False,-1
AKT3,0.8066191,False,-1
ALDH1A2,0.67112845,False,-1
ALX3,0.82070476,False,-1
ALX4,0.15626806,False,-1
AMIGO2,0.5457671,False,-1
AMPD3,0.5557101,False,-1
ANGPT2,0.3686525,False,-1
ANKRD17,0.48843032,False,1
ANKRD28,0.8664109,False,-1
ANKS1B,0.85726804,False,1
ANO10,0.86931825,False,-1
ANOS1,0.36130813,False,-1
ANPEP,0.08920241,False,-1
ANTXR2,0.73656535,False,-1
ANXA2,0.12003396,False,-1
ANXA4,0.46861976,False,-1
AP1S1,0.9572089,False,-1
APBB1IP,0.24125521,False,0
APBB2,0.7215966,False,-1
APCDD1,0.32762742,True,0
APELA,0.5303542,False,-1
APLF,0.22138739,False,-1
APOC2,0.011917369,False,-1
APOLD1,0.17942621,False,0
AQP7,0.18953164,False,-1
ARAP2,0.28874412,False,-1
ARC,0.009536712,False,0
AREG,0.0066700494,False,0
ARHGAP10,0.5303533,False,-1
ARHGAP15,0.07135686,False,-1
ARHGAP20,0.38509363,False,-1
ARHGAP24,0.33968896,False,0
ARHGAP25,0.031487193,False,0
ARHGAP26-AS1,0.011917357,False,-1
ARHGAP29,0.60295916,False,-1
ARHGAP42,0.53076184,False,-1
ARHGAP44,0.6997628,False,-1
ARHGAP6,0.87011987,False,-1
ARHGEF10,0.6767769,False,-1
ARHGEF10L,0.6368673,False,-1
ARHGEF3,0.7010604,False,-1
ARID3A,0.5772324,False,-1
ARID3B,0.49930263,False,-1
ARID5A,0.5303552,False,-1
ARID5B,0.7393788,False,-1
ARL6,0.782986,False,-1
ARMC2,0.72360975,False,-1
ARMC4,0.3001551,False,-1
ARNT2,0.85910696,False,-1
ARNTL,0.8462535,False,-1
ARNTL2-AS1,0.15025888,False,-1
ARPP21,0.4254544,False,-1
ARSG,0.6616575,False,-1
ART3,0.011917324,False,-1
ARX,0.4421332,False,1
ASAP1,0.5205634,False,-1
ASAP2,0.53076106,False,-1
ASB9,0.69101393,False,-1
ASCL1,0.6556945,False,-1
ASCL2,0.042085394,False,-1
ASH2L,0.083239906,False,-1
ASIC4,0.18533888,False,-1
ASPHD2,0.35068998,False,-1
ASXL3,0.77924967,False,1
ATF2,0.8521118,False,-1
ATF3,0.03023975,False,-1
ATF4,0.15828882,False,-1
ATF5,0.15531372,False,-1
ATF6B,0.66658276,False,-1
ATF7IP,0.6409934,False,-1
ATG10,0.848108,False,-1
ATOH8,0.12735547,False,-1
ATP10A,0.031886816,False,-1
ATP11A,0.3662584,False,-1
ATP11B,0.5935576,False,-1
ATP1A2,0.37547547,False,-1
ATP1B3,0.6421209,False,-1
ATP8B1,0.19937864,False,-1
ATXN1,0.862364,False,-1
AXL,0.37572336,False,-1
AZIN2,0.69370085,False,-1
B3GALNT2,0.7500861,False,-1
B3GAT1,0.6840667,False,-1
B3GLCT,0.21450543,False,-1
B3GNT5,0.7567975,False,-1
B3GNTL1,0.4993027,False,-1
B4GALT2,0.47442144,False,-1
B4GALT6,0.70513123,False,-1
BAALC,0.6840667,False,-1
BACH1,0.87011987,False,-1
BACH2,0.8070973,False,-1
BAG3,0.6745286,True,0
BAIAP2,0.22613512,False,-1
BANK1,0.3526965,False,-1
BARD1,0.5033355,False,-1
BARX2,0.035659075,False,-1
BASP1,0.7434804,False,-1
BATF,0.0045111286,False,-1
BATF3,0.5680502,False,-1
BBX,0.8793515,False,-1
BCAR3,0.53035414,False,-1
BCAS2,0.5472144,False,-1
BCHE,0.33655277,False,-1
BCL11A,0.6203842,False,1
BCL11B,0.73974425,False,-1
BCL6,0.7010606,False,-1
BCLAF1,0.7717633,False,-1
BDNF,0.32179186,False,-1
BDP1,0.22043069,False,-1
BEGAIN,0.5668227,False,-1
BEX1,0.15531544,False,0
BEX5,0.011917357,False,-1
BHLHE22,0.015891172,False,0
BICC1,0.2266564,False,-1
BICDL1,0.71693957,False,-1
BLNK,0.011917386,False,0
BMF,0.1546621,False,-1
BMP2K,0.117281035,False,-1
BMPER,0.52290136,False,-1
BMPR1B,0.1973332,False,-1
BNC2,0.011917442,False,0
BPTF,0.7010606,False,-1
BRAF,0.72247416,True,1
BRCA1,0.5585948,False,-1
BRF1,0.7345601,False,-1
BRINP3,0.54238456,False,-1
BRIP1,0.54829264,False,-1
BTBD3,0.78288734,False,-1
BTBD7,0.4993027,False,-1
BTK,0.013125403,False,-1
BVES,0.65879154,False,-1
C16orf87,0.51492715,False,-1
C18orf25,0.6550689,False,-1
C19orf25,0.73655975,False,-1
C1GALT1,0.77093697,False,-1
C1orf61,0.42691538,False,-1
C1orf94,0.65574235,False,-1
C21orf91,0.53035486,False,-1
C2orf88,0.81119287,False,-1
C3AR1,0.01942428,False,-1
C3orf67,0.64644384,False,-1
C4orf48,0.1553097,False,-1
C5orf30,0.8485355,False,-1
C5orf66,0.3506801,False,-1
C7,0.008393754,False,-1
C9,0.63687134,False,-1
CA2,0.75895363,False,-1
CA3-AS1,0.71246886,False,-1
CABLES1,0.5303546,False,-1
CACNA1D,0.8531115,False,-1
CACNA1G,0.15828845,False,-1
CACNA2D1,0.8366361,False,-1
CACNA2D3,0.15466817,False,1
CACNB2,0.5294547,False,-1
CACNG4,0.49930266,False,-1
CADM2,0.33968508,False,-1
CADPS2,0.60295916,False,-1
CALB1,0.46290538,False,-1
CALCR,0.3396862,False,0
CALM1,0.15531176,False,-1
CALN1,0.65469223,False,-1
CAMK1D,0.68406665,False,-1
CAMK2D,0.79795516,False,-1
CAMK2N1,0.49930266,False,-1
CAMKK2,0.64643097,False,-1
CAPN15,0.957119,False,-1
CAPSL,0.011917437,False,-1
CARD11,0.011917319,False,-1
CARF,0.09279697,False,-1
CARNMT1,0.19494306,False,-1
CASC15,0.56805015,False,-1
CASC18,0.67424434,False,-1
CASC2,0.6682313,False,-1
CAST,0.5826382,False,-1
CASZ1,0.49106562,False,1
CAV2,0.6368709,False,-1
CBARP,0.009535608,False,-1
CBFA2T2,0.70106065,False,-1
CBLB,0.7010604,False,-1
