gene,score,validation,label
A2M,0.049501102,False,0
AACS,0.013754319,False,0
AATBC,0.029676175,True,0
ABCA1,0.18410763,False,0
ABCA4,0.00076688017,True,0
ABCB1,0.1762475,False,0
ABCB4,0.049501102,False,0
ABCC3,0.049501102,False,0
ABCC4,0.049501102,False,0
ABCF2,0.048538685,True,0
ABCG2,0.06829897,False,0
ABHD15,0.07480881,False,0
ABI2,0.1537449,False,0
ABL1,0.14682783,True,0
ABLIM2,0.068207845,True,0
ABRACL,0.19807193,True,0
ACER3,0.17417973,False,0
ACO1,0.013754289,False,0
ACOT12,0.04672428,False,0
ACOT4,0.11857014,False,0
ACSL5,0.053609367,False,0
ACTA2,0.14005205,True,0
ACTN1,0.11857023,True,0
ACVR1,0.14661674,False,0
ACVR1C,0.16555932,False,0
ADAM12,0.067375265,True,0
ADAM28,0.049501102,False,0
ADAMTS17,0.12852718,False,0
ADAMTS20,0.15871456,False,0
ADAMTSL3,0.15124229,False,0
ADAMTSL4,0.06787584,False,0
ADARB1,0.15051405,False,0
ADCY1,0.10691155,True,0
ADCY2,0.17063586,False,0
ADCY4,0.09288241,False,0
ADCY7,0.05249813,False,0
ADCYAP1,0.0015340304,False,0
ADD3-AS1,0.15497138,False,0
ADGRB3,0.15439057,False,0
ADGRF5,0.08209391,False,0
ADGRG6,0.1285272,False,0
ADGRL2,0.16802683,False,0
ADGRL3,0.1650068,False,0
ADIPOR2,0.15194368,True,0
ADNP,0.16198106,True,1
ADNP2,0.16201134,False,0
ADORA3,0.1185704,False,1
ADPGK-AS1,0.035816632,False,0
ADRA1A,0.15194368,False,0
ADRA1D,0.036002796,True,0
AFF1,0.120097,True,0
AFF3,0.15594687,True,0
AFF4,0.1560283,False,0
AGAP1,0.15194368,False,1
AGRN,0.16483016,True,0
AHCTF1,0.1394472,True,0
AHDC1,0.20712139,False,1
AHR,0.16682482,True,0
AHSG,0.12852722,False,0
AK5,0.14842005,False,0
AKAP13,0.108931355,False,0
AKAP7,0.10324072,False,0
AKT3,0.16592067,True,0
ALCAM,0.1377547,False,0
ALDH1A2,0.18459272,False,0
ALOX5,0.065387085,False,0
ALPK1,0.049501102,True,0
ANGPT2,0.16489238,False,0
ANK2,0.024726698,False,1
ANKFN1,0.10691153,False,0
ANKRD33B,0.02452176,False,0
ANKRD34B,0.1342666,False,0
ANKRD44,0.17611784,True,0
ANKRD50,0.15311627,False,0
ANKS1B,0.15379241,False,1
ANO10,0.15654093,False,0
ANOS1,0.13999754,False,0
ANTXR1,0.12852721,True,0
ANXA1,0.11857001,False,1
ANXA11,0.03443156,False,0
ANXA4,0.1475546,False,0
APBB1IP,0.07740347,False,0
APBB2,0.17991114,False,0
APCDD1,0.084130175,False,0
APEX2,0.11857016,True,0
APOE,0.11857006,False,0
APOLD1,0.049501102,False,0
AQP4,0.07344554,False,0
ARAP2,0.16993636,False,0
ARC,0.05527546,False,0
ARHGAP11A,0.05527195,False,0
ARHGAP15,0.049501114,False,0
ARHGAP24,0.09856834,False,0
ARHGAP26,0.15208459,False,0
ARHGAP29,0.160831,False,0
ARHGAP42,0.15194368,False,0
ARHGAP6,0.1752071,False,0
ARHGDIB,0.08269874,False,0
ARHGDIG,0.05671969,False,0
ARHGEF10,0.18914941,True,1
ARHGEF26,0.15194367,True,0
ARHGEF28,0.1351054,False,0
ARHGEF3,0.15124235,True,0
ARID3A,0.1500423,False,0
ARL5C,0.038520817,True,0
ARNT,0.15124232,True,0
ARNTL,0.15069002,False,0
ARNTL2,0.1519437,False,0
ARPP21,0.15852204,False,0
ARRDC2,0.10691164,False,0
ARRDC3-AS1,0.013754463,True,0
ASAP1,0.15682642,False,0
ASAP2,0.17611784,True,1
ASB15,0.046667773,False,0
ASB2,8.635493e-05,True,0
ASCL2,0.009688669,False,0
ASIC2,0.043632433,False,0
ASPA,0.11068663,False,0
ASXL2,0.18459265,True,0
ASXL3,0.16007146,False,1
ATF2,0.16302274,True,0
ATF3,0.11534845,False,0
ATF5,0.06820747,False,0
ATF6,0.15124229,False,0
ATF7,0.15124229,False,0
ATG10,0.16912282,False,0
ATG4C,0.106911615,True,0
ATG7,0.013754314,False,0
ATL1,0.094618216,False,0
ATOH8,0.03304753,False,0
ATP10A,0.07281725,True,1
ATP11B,0.15439057,False,0
ATP13A4,0.046667792,False,0
ATP13A5,0.12852725,False,0
ATP1B3,0.15852204,False,0
ATP2B4,0.13384469,True,0
ATP2C1,0.14658448,False,0
ATP6V0A4,0.1285272,False,0
ATP8A1,0.15265279,False,0
ATP8B1,0.16116796,False,0
ATP8B4,0.049501102,False,0
ATRNL1,0.15710352,False,0
ATXN1,0.15730742,False,0
AUNIP,0.049501102,False,0
AVEN,0.10324037,False,0
AZGP1,0.067375585,False,1
B3GAT2,0.113011375,False,0
B3GNT2,0.19408141,True,0
B3GNT5,0.088178046,True,0
B4GALT1-AS1,0.1355742,False,0
B4GALT6,0.16285451,True,0
BAALC,0.11978009,False,0
BACE2,0.15194368,False,0
BACH1,0.16573064,False,0
BACH2,0.16516383,False,0
BAG3,0.05671969,True,0
BAHD1,0.16524346,False,0
BARD1,0.16575852,False,0
BARHL2,0.03212894,False,0
BASP1,0.16575253,False,0
BATF3,0.17417979,False,0
BBX,0.1856805,False,0
BCAR3,0.15119055,False,0
BCAS2,0.041407786,False,0
BCL11A,0.19118193,False,1
BCL11B,0.13999754,True,1
BCL6,0.11756353,False,0
BCL6B,0.053609338,True,0
BCLAF1,0.15924874,True,0
BCR,0.046724066,False,0
BDNF,0.068085454,False,0
BEND4,0.20286277,False,0
BEX1,0.12852721,False,0
BEX5,0.17624453,False,0
BHLHE40,0.048538093,False,0
BHLHE41,0.049501102,False,0
BICC1,0.11871595,True,0
BICDL1,0.14658448,False,1
BLNK,0.0780862,False,0
BMP2,0.14658448,True,0
BMP3,0.0456754,False,0
BMPER,0.15194368,False,0
BMPR1A,0.16392654,False,0
BMPR1B,0.179393,False,0
BNC2,0.07080048,False,0
BPTF,0.117211595,True,0
BRF1,0.15194368,False,0
BRINP1,0.15194368,False,0
BRINP3,0.15852201,False,1
BTBD3,0.15307182,False,0
BTBD7,0.16276723,False,0
BTNL9,0.10077064,False,0
C11orf16,0.049501114,False,0
C11orf96,0.046724007,False,0
C12orf42,0.12327838,True,0
C12orf54,0.0015343204,True,0
C12orf75,0.049501102,False,0
C18orf25,0.15811764,False,0
C1QL3,0.17266002,False,0
C1QTNF4,0.049501102,False,0
C1QTNF9B,0.15194368,False,0
C1RL,0.04672411,False,0
C1orf61,0.14877427,True,0
C21orf91,0.15071018,False,0
C2orf83,0.14361438,False,0
C2orf88,0.16642998,False,0
C3,0.09164163,False,0
C5AR2,0.19352408,True,0
C6orf141,0.13557205,False,0
C8B,0.019452546,False,0
C8orf86,0.049501102,False,0
C8orf88,0.15935348,False,0
CA14,0.024351237,False,0
CA2,0.1841072,True,0
CA3,0.15194368,False,0
CA3-AS1,0.18410775,False,0
CACHD1,0.1623663,False,0
CACNA1C,0.14985196,False,1
CACNA1E,0.15194368,False,1
CACNA1G,0.15194368,False,1
CACNA2D1,0.16793343,False,1
CACNA2D3,0.15194368,False,1
CACNG4,0.1285272,False,0
CADM1,0.1856805,True,1
CADM2,0.15513971,False,1
CADPS,0.15811764,False,1
CADPS2,0.16083111,False,1
CALM1,0.10454737,True,0
CALN1,0.161578,True,0
CAMK1D,0.14658448,False,0
CAMK2D,0.17133088,False,0
CAMK2N1,0.06820797,True,0
CAMKK2,0.15682642,False,0
CANX,0.1512423,False,0
CARD11,0.15723048,False,1
CARF,0.14687039,False,0
CARNMT1,0.15051405,False,0
CASC15,0.160831,False,0
CASP1,0.049501102,False,0
CAST,0.15871458,False,0
CATSPERB,0.1069116,True,0
CAV3,0.15725647,False,0
CBARP,0.055273388,False,0
CBLB,0.06820745,False,0
CBLN2,0.16083105,True,0
CCBE1,0.067375205,True,0
CCDC141,0.08209376,True,0
CCDC160,0.17417967,False,0
CCDC178,0.16083105,True,0
CCDC26,0.049501102,True,0
CCDC68,0.07490444,True,0
CCDC7,0.18396558,True,0
CCDC88C,0.0029848288,True,1
CCDC91,0.15124229,False,1
CCND1,0.08022553,False,0
CCNT2,0.12719037,False,0
CCR1,0.06927558,True,0
CD109,0.05527384,False,0
CD163,0.06787584,False,0
CD163L1,0.15009238,False,0
CD2,0.049501102,False,0
CD38,0.049501102,False,1
CD53,0.06927554,False,0
CD55,0.06737564,False,0
CD63,0.06737522,False,0
CD84,0.13659933,False,0
CD86,0.049501102,False,0
CDC14A,0.18621577,False,0
CDC14B,0.17356732,True,0
CDC20B,0.046667792,False,0
CDCA7L,0.15194368,False,0
CDH11,0.15811764,False,1
CDH15,0.06787657,False,0
CDH18,0.07445307,True,0
CDH2,0.16526674,False,1
CDH20,0.15957268,False,0
CDH22,0.068207584,False,1
CDH7,0.12579519,False,0
CDH8,0.1605791,False,1
CDK19,0.16244923,False,1
CDK2AP1,0.049501114,False,0
CDK6,0.13872577,False,0
CDKN2A,0.08601294,False,0
CDKN2B,0.05526326,False,0
CDKN2B-AS1,0.19807169,False,0
CDON,0.17547306,False,1
CDYL,0.16555735,False,0
CDYL2,0.1338341,False,0
CEBPD,0.11857025,True,0
CEBPG,0.15229401,False,0
CECR2,0.18015137,True,1
CELF2,0.15249534,False,1
CELF4,0.14423169,False,1
CELF5,0.06820773,False,0
CEMIP,0.04666788,False,0
CEP112,0.16240226,False,0
CEP55,0.055272385,False,0
CEP85L,0.1526468,False,0
CERS2,0.09328319,True,0
CES4A,0.068207085,False,0
CFAP46,0.15194373,False,0
CFAP58,0.0029801542,False,0
CFC1,0.06737524,False,0
CFH,0.14359142,True,0
CFHR5,0.0015342971,True,0
CGNL1,0.07737746,False,1
CHAMP1,0.192379,True,1
CHD1,0.1613452,False,1
CHD7,0.073063195,False,1
CHN1,0.16083105,False,0
CHODL,0.15932137,True,0
CHRDL1,0.17976029,False,0
CHRM2,0.161168,False,0
CHRNA5,0.013754326,False,0
CHST9,0.161578,True,0
CHSY3,0.14658448,True,0
CLASP1,0.14658448,False,1
CLDN10,0.066519424,False,0
CLDN11,0.1285272,False,0
CLDN5,0.07522767,False,0
CLEC2B,0.046724305,False,0
CLEC2L,0.013754133,False,0
CLEC7A,0.049501102,False,0
CLEC9A,0.049501114,False,0
CLIC5,0.048538577,True,0
CLOCK,0.16173074,False,0
CLSTN2,0.15124229,True,0
CLU,0.011019946,True,0
CMTM7,0.049501114,False,0
CMTM8,0.10397203,False,0
CNKSR2,0.17071205,False,1
CNKSR3,0.16083103,False,0
CNOT4,0.15726659,False,0
CNR1,0.1706431,False,1
CNTN2,0.13203883,False,0
CNTN4,0.16541523,False,1
CNTNAP3,0.14985985,False,1
CNTNAP3B,0.018183053,False,0
COBLL1,0.082094,False,0
COL12A1,0.15194368,False,0
COL19A1,0.17417973,True,0
COL21A1,0.17203756,False,0
COL22A1,0.11857023,True,0
COL23A1,0.14465065,False,0
COL24A1,0.15434362,False,0
COL25A1,0.0485385,False,0
COL3A1,0.051813282,False,0
COL5A1,0.046724193,False,0
COL5A2,0.17204808,True,0
COL6A1,0.0243483,False,0
COL6A3,0.046668306,True,0
COL9A2,0.039811537,True,0
COL9A3,0.12852728,False,0
CORO2B,0.10691157,False,0
CPE,0.1741798,False,0
CPEB1,0.15124229,False,0
CPEB2,0.15932134,False,0
CPED1,0.049501114,False,0
CPM,0.19237937,False,0
CPVL,0.049501102,True,0
CREB1,0.15644394,False,0
CREB3,0.084759794,False,0
CREB3L2,0.075843,False,0
CREBL2,0.07125424,True,0
CREM,0.14965789,True,0
CRHBP,0.024353025,True,0
CRHR2,0.013754166,False,0
CRIM1,0.1570358,False,0
CRIP2,0.07287849,False,0
CRISPLD1,0.16799504,False,0
CSF1R,0.044958428,False,0
CSF3R,0.072472736,False,0
CSGALNACT1,0.009346512,False,0
CSMD1,0.15009235,True,1
CSPG4,0.046667814,True,0
CSPG5,0.1285272,False,0
CTBP2,0.15124226,False,0
CTCF,0.17417997,False,1
CTNNA2,0.16588287,False,0
CTNNB1,0.16014892,False,1
CTNND2,0.16055432,False,1
CUEDC1,0.17778856,False,0
CUX1,0.14341448,False,1
CUX2,0.03634285,True,1
CXXC4,0.15194368,False,0
CXXC5,0.13394737,False,0
CYBB,0.049501102,False,0
CYFIP1,0.06927561,False,1
CYP26B1,0.082481,False,0
CYSLTR1,0.080108374,False,0
CYTH3,0.111145906,False,0
CYTH4,0.072472736,False,0
CYTIP,0.049501114,False,0
DACH1,0.08507755,False,0
DAPK1,0.15726659,False,0
DBX2,0.048538037,False,0
DCAF6,0.068207696,False,0
DCC,0.11857003,False,1
DCDC2,0.014863628,False,0
DCLK1,0.15729584,False,0
DCN,0.090996444,False,0
DCUN1D1,0.14985201,True,0
DDIT3,0.12852721,False,0
DDR2,0.15194368,False,0
DENND1B,0.161578,False,0
DENND2A,0.1841075,False,0
DENND2C,0.1185707,False,0
DENND3,0.049501102,False,0
DEPDC1-AS1,0.12852724,False,0
DGKG,0.12852716,False,0
DGKH,0.16998161,False,0
DGKI,0.103240505,False,1
DHRS9,0.049501102,False,0
DIAPH2,0.160831,False,0
DIO2,0.024350528,False,0
DIP2A-IT1,0.15194368,False,0
DIP2B,0.15124232,False,0
DIRC3,0.106911615,True,0
DISC1,0.104964726,False,1
DKK2,0.1841076,False,0
DLC1,0.043632783,True,0
DLEU1,0.11274988,False,0
DLEU2,0.16434366,False,0
DLG2,0.15194368,False,1
DLG5,0.17417966,False,0
DLGAP2,0.10578777,False,1
DLGAP3,0.11856988,False,1
DMC1,0.02435088,False,0
DMRT3,0.1185699,True,0
DMRTA2,0.04666824,False,0
DNAAF3,0.06737524,True,0
DNAH14,0.13775468,False,0
DNAJC5G,0.11857035,True,0
DNAJC6,0.118570104,False,0
DNMBP,0.16008553,False,0
DOCK1,0.067375265,False,1
DOCK11,0.12852722,False,0
DOCK2,0.06927556,True,0
DOCK5,0.16008556,False,0
DOCK8,0.049501102,False,1
DOK5,0.048537936,False,0
DPEP2,0.066746965,True,0
DPP10,0.15950571,False,1
DPP10-AS1,0.16008556,False,0
DPP10-AS3,0.17625517,False,0
DPP4,0.1069115,False,1
DPP6,0.18186514,False,1
DPY19L1,0.15283523,False,0
DPY19L2,0.18459268,False,0
DPYD,0.1405781,False,1
DPYSL3,0.12852688,False,1
DPYSL5,0.15014571,False,0
DR1,0.0933025,True,0
DRD3,0.1285272,False,1
DSE,0.17086264,False,0
DSEL,0.12986088,False,0
DSP,0.067983404,False,0
DTNA,0.15571782,False,0
DUSP1,0.030354526,False,0
DUSP16,0.16242784,False,0
DUSP22,0.18459268,True,0
DUSP4,0.11371468,False,0
DUSP5,0.019457959,False,0
DUSP6,0.038476195,False,0
DUXA,0.024351237,True,0
DYNLL1,0.045971856,True,0
E2F1,0.0015341664,False,0
E2F4,0.05724969,False,0
E2F5,0.15610597,False,0
E2F6,0.04853798,True,0
E2F8,0.0009483818,True,0
EBF2,0.0015341758,False,0
EBF3,0.04530844,False,1
EDAR,0.02435195,True,0
EDIL3,0.17193252,False,0
EDN1,0.04672375,False,0
EDNRA,0.18410729,False,0
EEF1D,0.04853846,False,0
EFCAB2,0.1479858,False,0
EFHC2,0.08108169,False,0
EFNA5,0.15040995,False,0
EFNB2,0.161578,False,0
EGR1,0.04140735,False,0
EGR3,0.040503465,False,1
EGR4,0.040500205,False,0
EIF4G3,0.15344356,False,0
ELAVL2,0.15722202,False,1
ELF2,0.16987222,False,0
ELF4,0.072472736,False,0
ELK3,0.15321359,False,0
ELK4,0.15009235,False,0
ELMO1,0.15124229,False,0
ELOVL2,0.15682642,False,1
ELOVL5,0.08228893,False,0
ELOVL6,0.15301867,False,0
ELOVL7,0.1128385,True,0
EMCN,0.04672428,False,0
EML5,0.15194368,False,0
EML6,0.15060982,False,0
EMX2,0.046667732,False,0
EMX2OS,0.051813282,False,0
ENAH,0.16162992,False,0
ENC1,0.1595057,False,0
ENOX1,0.17080064,False,0
ENPP2,0.049501102,False,0
EP300,0.13638906,True,1
EPAS1,0.051813282,False,0
EPB41L2,0.163274,False,0
EPB41L3,0.16007146,False,0
EPB41L4A,0.09097571,False,0
EPHA3,0.113104135,False,0
EPHA4,0.17685649,False,0
