gene,score,validation,label
AACS,0.58437955,False,-1
AAMDC,0.48326606,False,-1
ABCA1,0.12107529,False,-1
ABCA13,0.13853124,False,-1
ABCF2,0.11212229,False,-1
ABCG1,0.24642485,False,-1
ABHD13,0.6496024,False,-1
ABHD3,0.2443782,False,-1
ABL1,0.63223535,False,-1
ACAP2,0.5109543,False,-1
ACSBG2,0.19973381,False,-1
ACTB,0.1405059,True,1
ACTG1,0.16133495,False,-1
ACTL6A,0.5652838,False,-1
ACTN1,0.5574831,False,-1
ACTN2,0.47408092,False,-1
ACTRT3,0.15369245,False,-1
ACVR1,0.7042053,False,-1
ACVR1B,0.59683824,False,-1
ACVR1C,0.537586,False,-1
ADAM23,0.54865205,False,-1
ADAM28,0.0011246568,False,0
ADAM32,0.13698496,False,-1
ADAMTS1,0.48387563,False,0
ADAMTS15,0.022173055,False,0
ADAMTS18,0.13850775,False,-1
ADAMTS3,0.47390425,False,-1
ADAMTS8,0.69254947,False,-1
ADAMTS9,0.0005045158,False,-1
ADAMTSL1,0.3016517,False,-1
ADCY1,0.5342059,False,-1
ADD3-AS1,0.57510954,False,-1
ADGRB3,0.6945372,False,-1
ADGRD1,0.160117,False,-1
ADGRF3,0.5196915,False,-1
ADGRF5,0.19971341,False,-1
ADGRL2,0.7101462,False,-1
ADGRL3,0.6951656,False,-1
ADNP,0.68823135,False,1
ADNP2,0.6444576,False,-1
ADPRHL1,0.24615763,False,-1
ADRA1A,0.5486521,False,-1
ADRA1D,0.025660776,False,-1
ADRB1,0.64908534,False,-1
AFF1,0.58183587,False,-1
AFF2,0.29151464,False,1
AFF4,0.68951625,False,-1
AGAP1,0.69254947,False,-1
AGAP2,0.69254947,False,-1
AGTR1,0.75310504,False,-1
AHCTF1,0.1369786,False,-1
AHCYL2,0.10816128,False,-1
AHDC1,0.64908534,False,1
AHR,0.5714768,False,-1
AHRR,0.60920465,False,-1
AHSA1,0.13698828,False,0
AIRE,0.05528227,False,-1
AK5,0.57576853,False,-1
AKAP13,0.64908534,False,-1
ALDH1A1,0.10282804,False,-1
ALDH1A2,0.17102642,False,-1
ALDOC,0.12111372,False,-1
ALK,0.58437955,False,-1
ALOX5,0.00050451554,False,-1
ALS2CL,0.0005045158,False,-1
ALX3,0.07478766,False,-1
AMIGO2,0.6696383,False,-1
AMMECR1,0.64908534,False,-1
ANK1,0.4471759,False,-1
ANKRD30B,0.6708672,False,-1
ANKRD34B,0.6548186,False,-1
ANKRD35,0.3110527,False,-1
ANKRD50,0.716688,False,-1
ANKRD6,0.6951656,False,-1
ANKRD9,0.47327316,False,-1
ANKS1B,0.71895826,False,1
ANLN,0.15387596,False,-1
ANO6,0.63535684,False,-1
ANOS1,0.014297408,False,-1
ANTXR2,0.00050451676,False,-1
ANXA1,0.0005045153,False,-1
ANXA11,0.5135718,False,-1
ANXA2,0.4676223,False,-1
ANXA4,0.58437955,False,-1
AP1S2,0.7097305,False,1
AP2M1,0.53420484,False,-1
APBB1IP,0.00668901,False,0
APCDD1,0.59939456,False,0
APLF,0.0005045148,False,-1
APLP2,0.58437955,False,-1
APOC1,0.0022646172,False,-1
APOC2,0.007379561,False,-1
APOE,0.005113448,False,-1
APP,0.6666658,False,-1
AQP4,0.08910098,False,-1
ARAP2,0.3016224,False,-1
ARC,0.212667,False,0
ARF3,0.5214886,False,1
ARFGAP1,0.33820555,False,-1
ARFGEF3,0.5047786,False,-1
ARHGAP15,0.0011246578,False,-1
ARHGAP18,0.2464135,False,-1
ARHGAP20,0.5038446,False,-1
ARHGAP24,0.08104493,False,0
ARHGAP26,0.5294708,False,-1
ARHGAP29,0.47327337,False,-1
ARHGAP31,0.24640487,False,-1
ARHGAP4,0.0077918232,False,-1
ARHGAP42,0.64908534,False,-1
ARHGAP6,0.43543193,False,-1
ARHGDIG,0.025683723,False,0
ARHGEF10,0.559684,False,-1
ARHGEF28,0.43867594,False,-1
ARHGEF3,0.47903556,False,-1
ARHGEF37,0.14843424,False,-1
ARID3A,0.4574429,False,-1
ARID3B,0.69254947,False,-1
ARID5B,0.43480176,False,-1
ARL6IP1,0.23235618,False,-1
ARMC3,0.37274358,False,-1
ARNT2,0.55747145,False,-1
ARNTL,0.45843944,False,-1
ARNTL2,0.6483549,False,-1
ARPC5L,0.5196951,False,-1
ARPP19,0.53420556,False,-1
ARPP21,0.6599444,False,-1
ARRDC3-AS1,0.5556173,False,-1
ARTN,0.07863387,False,-1
ARX,0.19809671,True,1
ASAP1,0.6238564,False,-1
ASAP2,0.63043463,False,-1
ASAP3,0.18388027,False,-1
ASB2,0.53539467,False,-1
ASB5,0.019207077,False,0
ASCL1,0.58437955,False,-1
ASCL2,0.18623628,False,-1
ASIC4,0.69254947,False,-1
ASPSCR1,0.061147414,False,-1
ASXL3,0.6489953,False,1
ATF2,0.6701181,False,-1
ATF3,0.094287515,False,-1
ATF7IP2,0.45036688,False,-1
ATG5,0.69254947,False,-1
ATOH8,0.0005045153,False,-1
ATP10A,0.014298181,False,-1
ATP1A2,0.047389,False,-1
ATP1B2,0.18709022,False,-1
ATP2B4,0.5699628,False,-1
ATP2C1,0.63787746,False,-1
ATP2C2,0.24438195,False,-1
ATP6V0C,0.23237191,False,0
ATP6V1A,0.31264275,False,-1
ATP8A1,0.66967225,False,-1
ATP8B1,0.58437955,False,-1
ATRAID,0.5353968,False,-1
ATRNL1,0.7026759,False,-1
AVEN,0.54312,False,-1
AZIN2,0.45036587,False,-1
B2M,0.09071293,False,-1
B3GALNT2,0.6483549,False,-1
B3GALT5,0.7362256,False,-1
B3GAT1,0.64986527,False,-1
B3GAT2,0.38027278,False,-1
B3GLCT,0.322803,False,-1
B4GALNT3,0.69254947,False,-1
B4GALT5,0.73912245,False,-1
B4GAT1,0.25359553,False,-1
BAALC,0.45804355,False,-1
BACH1,0.71457493,False,-1
BACH2,0.70101213,False,-1
BAG2,0.49038947,False,-1
BAG3,0.2323706,False,0
BAIAP3,0.4732736,False,0
BASP1,0.6030884,False,-1
BBS9,0.58437955,False,-1
BBX,0.68861485,False,-1
BCAN,0.45069242,False,-1
BCAR3,0.6561478,False,-1
BCAS1,0.4732739,False,-1
