gene,score,validation,label
A1CF,0.00015013716,False,-1
A2M,0.0014512906,False,0
A4GALT,0.0072745383,False,-1
ABCA1,0.022132352,False,-1
ABCB1,0.0001501373,False,-1
ABCC4,0.0032497072,False,0
ABCG2,0.0031380844,False,0
ABHD17C,0.31708083,False,-1
ABTB2,0.30365273,False,-1
ACO1,0.25983304,False,-1
ACSL3,0.8091614,False,-1
ACSL5,0.08987253,False,-1
ACTA2,0.056661703,False,-1
ACTB,0.19958203,False,1
ACTG1,0.10877042,False,-1
ACTR3C,0.14599606,False,-1
ACVR1,0.4830497,False,-1
ACVR1C,0.51033103,False,-1
ADAM12,0.20670511,False,-1
ADAM28,0.0044019185,False,0
ADAMTS12,0.119300306,False,-1
ADAMTS18,0.27335003,False,-1
ADAMTS19,0.34786758,False,-1
ADAMTS5,0.1316677,False,-1
ADARB1,0.2893626,False,-1
ADD3-AS1,0.35518396,False,-1
ADGRA2,0.24550813,False,-1
ADGRG6,0.00015013716,False,-1
ADGRL2,0.53727674,False,-1
ADGRL3,0.7964772,False,-1
ADIPOR2,0.28936267,False,-1
ADNP,0.7257557,False,1
ADNP2,0.7065049,False,-1
AFF1,0.0001501373,False,-1
AFF4,0.7931179,False,-1
AHCTF1,0.7114697,False,-1
AHDC1,0.68221027,False,1
AHR,0.6318193,False,-1
AHRR,0.28944477,False,-1
AIF1,0.0073913406,False,-1
AKAIN1,0.18475047,False,-1
AKAP13,0.0044019204,False,-1
ALCAM,0.21670324,False,-1
ALDH1A2,0.06172946,False,-1
ALPK1,0.0001501373,False,-1
ALX3,0.20380983,False,-1
ALX4,0.3029804,False,-1
AMBN,0.0014512318,False,-1
AMD1,0.38590828,False,-1
AMER2,0.23136926,False,-1
ANAPC11,0.1944195,False,-1
ANGPT2,0.09807352,False,-1
ANGPTL5,0.27588773,False,-1
ANGPTL7,0.2276611,False,-1
ANKRD30B,0.7634071,False,-1
ANKRD42,0.2893626,False,-1
ANKRD46,0.30477637,False,-1
ANKRD50,0.7730326,False,-1
ANKRD6,0.74827266,False,-1
ANKUB1,0.20086473,False,-1
ANO6,0.14966442,False,-1
ANTXR1,0.46138632,False,-1
ANXA1,0.05510984,False,-1
ANXA3,0.00015013716,False,-1
AOAH,0.055792063,False,0
AP1S2,0.681538,True,1
APBB1IP,0.0010838133,False,0
APBB2,0.701195,False,-1
APEX2,0.08234539,False,0
APLN,0.2861073,False,-1
APLP2,0.2592748,False,-1
APOC2,0.0001501373,False,-1
APOD,0.055792034,False,-1
APP,0.6746784,False,-1
AQP4,0.002411878,False,-1
ARAP2,0.6726628,False,-1
ARC,0.27418295,False,0
ARFGAP1,0.09975312,False,-1
ARHGAP12,0.79149413,False,-1
ARHGAP15,0.0027948788,False,-1
ARHGAP19,0.3478675,False,-1
ARHGAP24,0.6851248,True,0
ARHGAP25,0.00015013745,False,0
ARHGAP26,0.28936255,False,-1
ARHGAP29,0.120847896,False,-1
ARHGEF11,0.2368764,False,-1
ARHGEF15,0.0011914094,False,-1
ARHGEF26,0.79305834,False,-1
ARID3A,0.3478675,False,-1
ARID3B,0.0001501373,False,-1
ARID5A,0.0001501373,False,-1
ARID5B,0.33474436,False,-1
ARL6IP5,0.19441977,False,-1
ARNT,0.30297968,False,-1
ARNTL,0.78735256,False,-1
ARPP21,0.7536462,False,-1
ARSB,0.33473012,False,-1
ARX,0.30297992,False,1
ASAP1,0.79305834,False,-1
ASCC1,0.3036496,False,-1
ASCL2,0.0014512145,False,-1
ASH2L,0.31954756,False,-1
ASIC4,0.44180867,False,-1
ASPM,0.25075844,False,-1
ASXL2,0.3029804,False,-1
ATF2,0.6826476,False,-1
ATF3,0.47833988,False,-1
ATF4,0.19569786,False,-1
ATF5,0.06865486,False,-1
ATG10,0.75321525,False,-1
