gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.013475730679999997,0.008131190960078881,0.011151362,0.0159021,0.021320488,0.018448284,0.0005564194,False,True,False,False,False
A4GALT,-1,0.009045048972000001,0.007406366331495782,0.0062832595,0.00877974,0.020479634,0.009617629,6.498236e-05,False,False,False,False,False
ABCA1,-1,0.515394448,0.15346516111691497,0.7219097,0.5598801,0.35053778,0.37565133,0.56899333,False,False,False,False,False
ABCC11,-1,0.237154974,0.11685876603381379,0.24850671,0.08055743,0.18429913,0.2747389,0.3976727,False,False,False,False,False
ABCC3,-1,0.36426569400000003,0.10670985904428315,0.35269207,0.4934035,0.33173692,0.43143806,0.21205792,False,False,False,False,False
ABCG2,0,0.02050472306,0.014262006744573608,0.019216048,0.019784179,0.041087948,0.021592533,0.0008429073,False,True,False,False,False
ABL1,-1,0.778974532,0.06125949995568132,0.6905309,0.74788666,0.844884,0.8206256,0.7909455,False,False,False,False,False
ABRACL,-1,0.6435898800000001,0.06617845232217848,0.68853897,0.55640507,0.6642719,0.7145195,0.59421396,False,False,False,False,False
ACER3,-1,0.37891773000000006,0.15305596957171125,0.58211356,0.3000445,0.27014452,0.24029487,0.5019912,False,False,False,False,False
ACOT12,-1,0.515394402,0.1534651425191884,0.7219097,0.55988,0.35053778,0.37565133,0.5689932,False,False,False,False,False
ACTB,1,0.13273153259999998,0.060699458746841954,0.056475133,0.11160222,0.17053664,0.21386412,0.11117955,True,False,False,False,False
ACTG1,-1,0.0839124124,0.06896816713541312,0.016474022,0.05629185,0.1661747,0.14890528,0.03171621,False,False,False,False,False
ACTN1-AS1,-1,0.08424805076,0.11409030910888975,0.04687392,0.0013179728,0.059913013,0.28451243,0.028622918,False,False,False,False,False
ACTN2,-1,0.515394402,0.1534651425191884,0.7219097,0.55988,0.35053778,0.37565133,0.5689932,False,False,False,False,False
ACVR1,-1,0.778974532,0.06125949995568132,0.6905309,0.74788666,0.844884,0.8206256,0.7909455,False,False,False,False,False
ACVR1C,-1,0.537515796,0.0707648916110788,0.55744267,0.63401926,0.525551,0.533868,0.43669805,False,False,False,False,False
ADAM23,-1,0.792427524,0.05371035801115675,0.72166353,0.7511838,0.8398571,0.84046286,0.80897033,False,False,False,False,False
ADAM28,0,0.013475732033999998,0.008131171267786641,0.011151362,0.015902158,0.021320459,0.018448237,0.00055644417,False,True,False,False,False
ADAMTS18,-1,0.257827248,0.09155567445833886,0.21779764,0.2723747,0.25278416,0.148141,0.39803874,False,False,False,False,False
ADAMTS4,-1,0.145945723,0.06354461181858416,0.074708015,0.2488572,0.12972546,0.14541568,0.13102226,False,False,False,False,False
ADAMTS5,-1,0.778974532,0.06125949995568132,0.6905309,0.74788666,0.844884,0.8206256,0.7909455,False,False,False,False,False
ADAMTSL1,-1,0.363113334,0.14159927701657954,0.31453657,0.55553705,0.327521,0.4387714,0.17920065,False,False,False,False,False
ADAMTSL3,-1,0.792427524,0.05371035801115675,0.72166353,0.7511838,0.8398571,0.84046286,0.80897033,False,False,False,False,False
ADARB1,-1,0.792427524,0.05371035801115675,0.72166353,0.7511838,0.8398571,0.84046286,0.80897033,False,False,False,False,False
ADARB2,-1,0.23715512,0.11685777536801968,0.24850583,0.08055818,0.18429908,0.27474284,0.39766967,False,False,False,False,False
ADCY1,-1,0.37891758799999997,0.1530562499941465,0.5821149,0.30004457,0.27014464,0.24029413,0.5019897,False,False,False,False,False
ADCY7,-1,0.6907907879999999,0.14635606733964165,0.7246822,0.5351039,0.9194943,0.6036218,0.67105174,False,False,False,False,False
ADCY8,-1,0.6907907879999999,0.14635606733964165,0.7246822,0.5351039,0.9194943,0.6036218,0.67105174,False,False,False,False,False
ADD3-AS1,-1,0.4597716640000001,0.09927321573521948,0.5648628,0.5670132,0.35481337,0.41297358,0.39919537,False,False,False,False,False
