gene,score,validation,label
A2M,0.045415953,False,0
ABCA1,0.14209455,False,0
ABCA8,0.05606421,False,0
ABCG2,0.16796564,False,0
ABHD3,0.019962024,True,0
ABL1,0.1453252,False,0
ABR,0.14343098,False,0
ACAN,0.03258183,True,0
ACO1,0.15460388,False,0
ACSBG1,0.0899845,False,0
ACTB,0.14636277,False,1
ACTG1,0.047935206,False,0
ACTN2,0.042447377,False,0
ACVR1,0.15174983,True,0
ACVRL1,0.058287658,False,0
ADAM12,0.05563849,True,0
ADAM28,0.037337214,True,0
ADAM7,0.01996204,False,0
ADAMTS12,0.11414462,True,0
ADAMTS16,0.16850811,False,0
ADAMTS20,0.15460388,False,0
ADAMTS3,0.15460388,False,0
ADAMTS9-AS1,0.01832015,True,0
ADAMTSL3,0.15460388,False,0
ADCY1,0.04793486,False,0
ADCY4,0.10559438,True,0
ADD3-AS1,0.19595712,False,0
ADGRF5,0.04793479,True,0
ADGRL2,0.15841417,False,0
ADGRL3,0.15836562,False,0
ADNP,0.1475439,False,1
ADNP2,0.14415288,False,0
ADRA1A,0.16371591,False,0
ADTRP,0.06930149,False,0
AFAP1L2,0.086253665,True,0
AFF1,0.15365392,False,0
AFF4,0.15514064,False,0
AGAP2,0.16796564,False,1
AHCTF1,0.14532521,False,0
AHDC1,0.15460388,False,1
AHR,0.1523054,False,0
AHRR,0.1546039,True,0
AK5,0.15460388,True,0
AKAP13,0.088363916,True,0
ALCAM,0.16796564,False,0
ALDH1A2,0.13260208,False,0
ALDOA,0.024222145,False,0
ALK,0.16225524,False,0
ALPK1,0.031786267,False,0
ALX1,0.08625373,False,0
AMIGO2,0.047934845,False,0
AMMECR1,0.145859,False,0
AMOTL1,0.16793942,False,0
ANAPC16,0.06993055,False,0
ANGPT1,0.0556385,False,0
ANKK1,0.024221277,False,0
ANKRD20A1,0.08998075,False,0
ANKRD30B,0.16796564,False,0
ANKRD44,0.1453252,True,0
ANKRD50,0.15368958,False,0
ANO6,0.14818835,False,0
ANOS1,0.09042088,False,0
ANXA1,0.05145883,False,1
ANXA11,0.06435716,False,0
ANXA4,0.16796564,True,0
AOAH,0.083572075,True,0
AP1S2,0.18147852,False,0
AP2M1,0.04793525,False,1
APBB1IP,0.08537542,True,0
APBB2,0.16037816,False,0
APEX2,0.06079306,False,0
APLNR,0.051459044,False,0
APOE,0.019962154,False,0
APOLD1,0.086253755,False,0
APP,0.13862798,False,0
AQP4,0.019962035,False,0
ARAP2,0.16234103,False,0
ARHGAP15,0.037337232,False,0
ARHGAP20,0.15460388,False,0
ARHGAP22,0.072222225,False,0
ARHGAP26,0.1679656,False,0
ARHGAP29,0.05617482,False,0
ARHGAP31,0.049293417,False,0
ARHGAP42,0.15460388,False,0
ARHGAP6,0.15460388,False,0
ARHGDIG,0.047935262,False,0
ARHGEF10,0.15254618,False,1
ARHGEF10L,0.047934804,True,0
ARHGEF26,0.15460388,False,0
ARHGEF28,0.1363338,False,0
