gene,score,validation,label
A2M,0.029212693,False,-1
AATK,0.49591637,False,-1
ABCA13,0.4772006,False,-1
ABCA5,0.99928695,False,1
ABCA6,0.5616614,False,-1
ABCC12,0.006287125,False,-1
ABCC4,1.3617118e-05,False,-1
ABCG2,0.0017470554,True,0
ABI3BP,0.4772466,False,-1
ABL1,0.51585156,True,0
ABLIM3,0.49591637,False,-1
ACAN,0.8248009,False,-1
ACER2,0.14576198,False,-1
ACER3,0.8064615,False,-1
ACO1,0.54552615,False,-1
ACSBG1,0.49591637,False,-1
ACTA2,0.0037055044,True,0
ACTN1,0.006287125,False,-1
ACTR3C,0.5161075,False,1
ACVR1C,0.75623465,False,-1
ACVRL1,0.14576933,False,-1
ADAD1,5.0571023e-05,False,0
ADAM28,3.3661705e-05,False,0
ADAMTS12,0.006287125,False,-1
ADAMTS15,0.039731912,False,-1
ADAMTS5,0.92593133,False,-1
ADAMTS9,0.0037061716,False,0
ADCY4,0.0017470554,True,0
ADCY7,0.52498287,False,-1
ADD2,0.74863523,False,1
ADGRB3,0.8658225,False,1
ADGRF5,0.013064241,True,0
ADGRG2,3.0148142e-06,False,0
ADGRL2,0.81784433,False,-1
ADGRL3,0.9127549,True,1
ADGRL4,0.0017470671,True,0
ADNP,0.8620111,False,1
ADNP2,0.90077996,False,-1
ADRA1B,0.27191868,False,0
ADTRP,0.5332517,False,-1
AFF2,0.5142896,False,1
AFF3,0.92593133,False,-1
AFF4,0.9055883,False,1
AGAP1,0.89582676,False,-1
AGGF1,0.49591637,False,-1
AHCTF1,0.51151264,False,-1
AHDC1,0.87426484,False,1
AIF1L,0.19438824,False,-1
AIRE,0.0037059006,False,0
AK5,0.7614541,False,-1
AKR1C2,0.4771623,False,-1
AKR1D1,0.006287125,False,-1
ALCAM,0.92593133,False,-1
ALDH1A2,0.0017388992,False,-1
ALG14,0.006287125,False,-1
ALK,0.49019533,True,0
ALOX5,2.1736729e-05,True,0
ALPL,0.00018510851,False,0
ALX4,3.0148312e-06,False,0
AMMECR1,0.49591637,False,-1
AMPH,0.7626208,False,1
ANK1,0.46738955,False,-1
ANK2,0.86472577,False,1
ANK3,0.78202534,False,1
ANKH,0.72205347,False,-1
ANKRD18A,0.19438547,False,-1
ANKRD22,3.0148256e-06,False,0
ANKRD30BL,0.93989635,False,-1
ANKS1B,0.6719562,False,1
ANKUB1,0.49591637,False,-1
ANO5,0.006287125,False,-1
ANO6,0.76221746,False,-1
ANXA11,0.46738958,False,-1
ANXA2,0.7622026,False,-1
AOAH,2.6903848e-05,False,-1
AP1S2,0.92593133,False,1
APBA1,0.82676464,False,-1
APBB1IP,0.006633922,False,0
APBB2,0.8675295,False,1
APOC1,0.0017388901,False,-1
APOL2,0.012653322,False,-1
APP,0.6015532,False,-1
AQP4,0.14537966,False,0
AQP4-AS1,0.9087309,False,1
ARFGEF3,0.92593133,False,-1
ARHGAP10,0.80546904,False,-1
ARHGAP11B,0.00030462435,False,0
ARHGAP15,3.0148256e-06,False,0
ARHGAP22,0.0017388925,False,-1
ARHGAP24,0.069733486,False,-1
ARHGAP25,1.3617093e-05,False,-1
ARHGAP29,0.006287125,False,-1
ARHGAP44,0.006287119,False,-1
ARHGAP6,0.0041672494,False,0
ARHGDIB,0.00013970959,False,0
ARHGEF28,0.733679,False,-1
ARHGEF3,0.07955987,False,0
ARHGEF4,0.5623038,False,-1
ARID3A,0.023174698,False,-1
ARID5A,0.032005124,True,0
ARL4C,0.0071121296,False,0
ARNT,0.49591637,False,-1
ARNT2,0.92593133,False,-1
ARNTL,0.90077996,False,-1
ARNTL2,0.56230384,False,-1
ARPP21,0.9863369,False,1
ARRDC3-AS1,0.18400219,False,-1
ARSB,0.49591637,False,-1
ARSF,0.56230384,False,-1
ARSJ,0.80330116,False,-1
ARX,0.90873045,False,1
ASAP1,0.52498287,False,-1
ASB8,0.49591637,False,-1
ASCC1,0.5623038,False,-1
ASCL1,0.16389634,False,-1
ASNS,0.055886712,True,0
ASPA,0.69241333,False,-1
ASPM,0.0003442931,False,0
ASPSCR1,0.49591637,False,-1
ASXL3,0.826765,False,1
ATF1,0.49591637,False,-1
ATF2,0.90681285,False,1
ATF3,0.6565947,False,-1
ATF4,0.006287125,False,-1
ATF6,0.47313356,False,-1
ATF6B,0.49591637,False,-1
ATF7,0.71215916,False,1
ATF7IP2,0.49591637,False,-1
ATOH7,0.006287125,False,-1
ATP10A,0.005929253,False,0
ATP11A,0.006287125,False,-1
ATP13A5-AS1,0.010702463,True,0
ATP1A2,0.47313324,False,-1
ATP1A3,0.53960025,False,1
ATP1B3,0.88985,False,-1
ATP2B3,0.5086874,False,-1
ATP2C2,0.85597235,False,-1
ATP8A1,0.92593133,False,-1
ATP8B1,0.92593133,False,-1
ATP8B4,0.00011094963,False,0
ATP9A,0.60170245,False,-1
ATRNL1,0.92585516,False,1
ATXN1,0.8869887,False,-1
AUTS2,0.878603,False,1
AVEN,0.60170734,False,-1
AZIN2,0.92593133,False,-1
B3GAT2,0.02921296,False,-1
B3GLCT,0.52588767,False,-1
B3GNT5,0.0026540058,False,0
B4GALNT3,0.99928695,True,1
B4GALT6,0.8267646,False,-1
BAALC-AS1,0.015509464,False,0
BAALC-AS2,0.006287125,False,-1
BACH1,0.029212685,False,-1
BACH2,0.8109919,False,0
BAMBI,0.19438975,False,-1
BANP,0.006287119,False,-1
BASP1,0.8321632,False,-1
BBX,0.9127549,True,1
BCAT1,0.5616429,False,-1
BCHE,0.6600209,False,-1
BCL11B,0.7948245,False,1
BCL6,0.006287125,False,-1
BCLAF1,0.888134,False,-1
BEND6,0.8267646,False,-1
