gene,score,validation,label
A1CF,0.50399864,False,-1
AACS,0.57547253,False,-1
ABCA3,0.2995955,False,-1
ABCA5,0.3192328,False,-1
ABCB1,0.041986514,False,0
ABCF2,0.49172983,False,-1
ABCG2,0.01100201,False,0
ABHD12B,0.23950413,False,-1
ABHD17B,0.203747,False,-1
ABI2,0.410512,False,0
ABL1,0.3352138,False,-1
ABLIM1,0.56644505,False,-1
ABLIM3,0.3220482,False,-1
ACAN,0.60064536,False,-1
ACAP3,0.4219279,False,-1
ACTG1,0.4659658,False,-1
ACTN2,0.5924779,False,-1
ACTN4,0.23950423,False,-1
ACVR1C,0.23781104,False,0
ADAM11,0.0061165374,False,-1
ADAM22,0.42192787,False,-1
ADAM23,0.33707544,False,0
ADAMTS12,0.41157922,False,-1
ADAMTS17,0.39500785,False,-1
ADAMTS20,0.23950413,False,-1
ADAMTS3,0.33011645,False,-1
ADAMTS5,0.23950413,False,-1
ADAMTSL3,0.19092248,False,-1
ADARB1,0.23950425,False,-1
ADCY1,0.38202468,True,0
ADCY2,0.34367007,False,-1
ADCY3,0.42996052,False,-1
ADCY8,0.17252344,False,-1
ADCY9,0.42192787,False,-1
ADD3,0.22479606,False,0
ADD3-AS1,0.2236013,True,0
ADGRA1,0.42996052,False,-1
ADGRA2,0.3400552,False,-1
ADGRA3,0.42192787,False,-1
ADGRB2,0.42996052,False,-1
ADGRB3,0.3515111,False,-1
ADGRF5,0.010934642,False,0
ADGRL1,0.42996052,False,1
ADGRL2,0.33033216,False,-1
ADGRL3,0.26962924,False,0
ADGRV1,0.1671959,False,0
ADNP,0.17874387,True,1
ADNP2,0.19533789,False,-1
ADRA1A,0.33452812,False,0
ADTRP,0.32204783,False,-1
AFAP1L2,0.60724676,False,-1
AFF2,0.42996052,False,1
AFF3,0.3459317,False,-1
AFF4,0.25198218,False,-1
AGAP1,0.23950413,False,-1
AGAP2,0.0841041,False,-1
AGBL3,0.17252341,False,-1
AGRN,0.2662548,False,-1
AGTPBP1,0.28568226,False,-1
AHCTF1,0.30586502,False,-1
AHCYL2,0.5664494,False,-1
AHDC1,0.3439537,False,1
AHI1,0.2640294,True,1
AHR,0.26240414,False,0
AHRR,0.42996052,False,-1
AIG1,0.25467435,False,-1
AK5,0.2785759,True,0
AKT3,0.24931951,False,-1
ALCAM,0.29966867,False,-1
ALDH1A2,0.24608687,False,-1
ALK,0.20374699,False,-1
ALLC,0.575984,False,-1
ALS2,0.42996052,False,-1
ALX3,0.22893953,False,0
AMER2,0.44651836,False,-1
AMMECR1,0.04198218,True,0
ANK2,0.4219279,False,1
ANK3,0.37921846,False,1
ANKH,0.3908157,False,-1
ANKIB1,0.1767088,False,-1
ANKRD28,0.189375,False,-1
ANKRD29,0.5414936,False,-1
ANKRD30B,0.36830142,False,0
ANKRD30BL,0.24360673,False,-1
ANKRD34B,0.24621868,False,-1
ANKRD36,0.3490323,False,-1
ANKRD36C,0.2027014,False,-1
ANKRD6,0.3059296,False,-1
ANKS1B,0.33269233,False,1
ANO1,0.0013943699,False,0
ANO2,0.041984215,False,0
ANO5,0.32904753,False,-1
ANO9,0.4983511,False,-1
ANTXR1,0.4906384,False,-1
ANXA1,0.5642193,False,-1
AP3S1,0.32298356,False,-1
