gene,score,validation,label
A2M,0.044964317,False,0
AACS,0.077040985,False,0
AADACL2-AS1,0.044964306,False,0
AAK1,0.06270674,False,0
ABCB1,0.031552795,True,0
ABCB4,0.044964317,False,0
ABCC3,0.056910273,False,0
ABCF2,0.041710787,True,0
ABCG2,0.07105262,False,0
ABHD17C,0.16047919,False,0
ABHD18,0.061370045,False,0
ABHD8,0.14306204,False,0
ABI1,0.16438638,False,0
ABI2,0.16047916,True,0
ABI3BP,0.041583527,False,0
ABL1,0.07296394,False,0
ABLIM1,0.1159366,False,0
ABLIM2,0.11356985,False,0
ABR,0.09333986,False,0
ABRACL,0.099626705,False,0
ABTB2,0.044964317,False,0
ACAP2,0.15838808,False,0
ACO1,0.06767113,False,0
ACSBG1,0.1430623,False,0
ACSBG2,0.036352184,False,0
ACTA2,0.18292594,False,0
ACTB,0.058734808,False,1
ACTG1,0.04171085,False,0
ACTR2,0.16047919,False,0
ACVR1,0.16475852,True,0
ACY3,0.052628793,True,0
ADAM19,0.14351967,False,0
ADAM23,0.14563802,True,0
ADAM28,0.051202346,False,0
ADAM33,0.028279476,False,0
ADAM7,0.05386901,False,0
ADAMTS10,0.056903116,False,0
ADAMTS15,0.057756674,False,0
ADAMTS16,0.09333465,False,0
ADAMTS20,0.14712426,False,0
ADAMTS3,0.1355195,False,0
ADAMTS6,0.093347445,False,0
ADARB1,0.16047919,False,0
ADCY1,0.07099563,False,0
ADCY2,0.13977318,False,0
ADCY4,0.044964306,False,0
ADCY7,0.048975576,True,0
ADCY8,0.13054354,False,0
ADD2,0.09508764,False,0
ADD3-AS1,0.13059376,False,0
ADGRA1,0.09670895,True,0
ADGRB1,0.070702404,False,0
ADGRB2,0.18292594,False,0
ADGRB3,0.165706,False,0
ADGRF5,0.13280605,True,0
ADGRL2,0.15539572,True,0
ADGRL3,0.14315137,False,0
ADGRV1,0.06766912,False,0
ADK,0.18292594,False,1
ADNP,0.16473122,False,1
ADNP2,0.1254171,True,0
ADORA2B,0.026147373,False,0
ADORA3,0.04816382,False,1
ADRA1A,0.14712586,False,0
ADRA2A,0.061503693,False,0
ADRA2C,0.027473683,False,0
ADTRP,0.06664146,False,0
AFAP1L2,0.037445158,False,0
AFF3,0.16585986,False,0
AFF4,0.14444481,True,0
AGAP2,0.09612074,False,1
AGMO,0.0481648,False,1
AGTR1,0.121396646,False,0
AHCTF1,0.10339074,False,0
AHCYL2,0.066641495,False,0
