gene,score,validation,label
A2M,5.613438e-06,False,0
ABCB1,2.0844446e-12,False,0
ABCB4,0.012342184,False,0
ABCC4,0.001332291,False,0
ABHD12B,5.613427e-06,False,0
ABHD17B,0.04343402,False,-1
ABI2,0.595472,False,-1
ABL1,0.38564864,False,0
ABLIM1,0.41143256,False,-1
ABR,0.6275123,False,-1
ACAN,0.05084673,False,0
ACER3,5.613427e-06,False,0
ACOT12,0.5984306,False,-1
ACSBG2,0.22061424,False,0
ACTR2,0.22710897,False,0
ACVR1,0.5587892,False,-1
ACVR1C,0.5013703,False,-1
ADA,0.59609485,False,-1
ADAM19,0.58266646,False,-1
ADAM23,0.048361793,False,-1
ADAM28,1.8445566e-05,False,-1
ADAMTS20,0.050846834,False,0
ADAMTS3,0.5983946,False,-1
ADAMTS9,5.613427e-06,False,0
ADAMTSL1,0.0054834858,False,-1
ADAMTSL3,0.22487475,False,-1
ADAP2,7.4943086e-06,False,0
ADCY2,0.5633938,False,-1
ADCY4,7.786999e-08,False,-1
ADCY7,5.613438e-06,True,0
ADD2,0.6275123,False,-1
ADD3-AS1,0.41360885,False,-1
ADGRB3,0.48243722,False,-1
ADGRF5,0.15155058,False,0
ADGRL2,0.54622036,False,-1
ADGRL4,2.0637017e-06,False,0
ADIPOR2,0.22487475,False,-1
ADK,0.5576861,False,-1
ADNP,0.54050285,False,1
ADNP2,0.5200222,False,-1
ADRB2,5.613438e-06,True,0
AFF2,0.6275123,False,1
AFF3,0.5880972,False,-1
AFF4,0.53896886,False,-1
AGAP2,0.5617612,False,-1
AGBL3,0.3460861,False,-1
AGBL4,0.2512202,False,-1
AGGF1,0.009240802,True,0
AGTPBP1,0.37040997,False,0
AHCTF1,0.39805776,False,-1
AHCYL2,0.2248747,False,-1
AHDC1,0.31440207,False,1
AHI1,0.4488557,True,1
AHR,0.47900626,False,-1
AIG1,0.22487475,False,-1
AIRE,1.8258819e-06,False,0
AJAP1,0.6275123,False,-1
AK5,0.4087825,False,-1
AKR1C8P,0.0013322936,False,0
ALDH1A2,0.2248747,False,-1
ALK,0.40439403,True,0
ALPK1,1.8445548e-05,False,-1
ALX3,2.0772212e-12,False,0
AMBRA1,0.2248747,False,-1
AMMECR1,0.0006969214,False,0
AMN1,0.57933474,False,-1
AMOTL2,0.0022908081,False,0
AMPD3,0.00024291236,False,0
ANGPTL2,0.0006969314,False,0
ANK1,0.012343894,False,0
ANK3,0.34076324,False,1
ANKH,0.450006,False,-1
ANKIB1,0.5576862,False,-1
ANKRD30A,0.5358362,False,-1
ANKRD30BL,0.5108292,False,-1
ANKRD33B,0.55789715,False,-1
ANKRD34C-AS1,0.3694294,False,-1
ANKRD6,0.5620239,False,-1
ANKS1B,0.5610501,True,1
ANXA11,0.5985484,False,-1
ANXA2,0.0030145866,False,0
ANXA4,0.439451,False,-1
AOAH,7.162759e-05,False,0
APBA1,0.48760393,False,-1
