gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
A2M,0,0.05678232460000001,0.01718139937090765,0.055489622,0.059364684,0.033638842,0.053601675,0.0818168,False,False,False,False,True
ABCB1,0,0.017831445999999997,0.008570859330830924,0.011704389,0.03137426,0.021247929,0.01128643,0.013544222,False,True,False,False,False
ABCB4,0,0.054143467199999996,0.012979308833656946,0.040911842,0.06783884,0.06346574,0.039858364,0.05864255,False,True,False,False,False
ABCC4,0,0.07645221399999999,0.017005301982685572,0.04914236,0.08612267,0.09100754,0.07089629,0.08509221,False,False,False,True,False
ABHD12B,0,0.0567823194,0.01718139985996178,0.055489596,0.059364684,0.033638842,0.053601675,0.0818168,False,True,False,False,False
ABHD17B,0,0.104176003,0.011247125339984431,0.09399048,0.10215853,0.12335634,0.09896262,0.102412045,True,False,False,False,False
ABI2,0,0.19103106200000003,0.021510904158114085,0.19861546,0.19374025,0.17632033,0.16531248,0.22116679,False,False,False,False,True
ABL1,0,0.091393976,0.009068373754520596,0.08221671,0.10231759,0.092870004,0.082100876,0.0974647,False,False,False,False,True
ABLIM1,0,0.1241110392,0.0021965427404863317,0.12750901,0.12486971,0.12176586,0.12306957,0.123341046,True,False,False,False,False
ABR,0,0.177462148,0.04190706714581348,0.194677,0.1781937,0.14895664,0.12861402,0.23686938,False,False,False,False,True
ACAN,0,0.09711103800000001,0.023366060624545163,0.08202502,0.06819097,0.11765074,0.12338242,0.09430604,False,False,False,False,True
ACER3,0,0.05678231680000001,0.01718140251755104,0.055489622,0.0593647,0.033638842,0.05360162,0.0818168,False,False,False,False,True
ACOT12,0,0.1005654598,0.007272092860314024,0.097638935,0.09410487,0.106627874,0.10993981,0.09451581,True,False,False,False,False
ACSBG2,0,0.05652588199999999,0.013737976410657939,0.065435536,0.03278543,0.06627127,0.060488746,0.057648428,False,False,True,False,False
ACTR2,0,0.14725404000000003,0.01869712712094427,0.15121911,0.1398668,0.14041704,0.12759787,0.17716938,False,False,True,False,False
ACVR1,0,0.21056054,0.020191915191318528,0.18931854,0.21290256,0.22089344,0.23754518,0.19214298,True,False,False,False,False
ACVR1C,0,0.21104236799999998,0.010577390599080668,0.19781126,0.21099639,0.21079923,0.22731571,0.20828925,False,True,False,False,False
ADA,1,0.060287911400000005,0.014388186243532913,0.07027686,0.034978297,0.06786513,0.06375392,0.06456535,True,False,False,False,False
ADAM19,0,0.07266600139999999,0.019869926124392985,0.05595615,0.09057761,0.0673184,0.09644169,0.053036157,False,False,False,False,True
ADAM23,0,0.102467208,0.010703727755056647,0.09131009,0.09515351,0.11799084,0.0997586,0.108123,True,False,False,False,False
ADAM28,0,0.05617865079999999,0.014420867487586999,0.04337848,0.062266357,0.04334288,0.054224227,0.07768131,False,False,False,True,False
ADAMTS20,0,0.0971112408,0.02336587291119793,0.08202606,0.068191044,0.11765079,0.12338238,0.09430593,False,True,False,False,False
ADAMTS3,0,0.195314564,0.02480480722216824,0.20237583,0.19887336,0.17623594,0.1679304,0.23115729,False,True,False,False,False
ADAMTS9,0,0.0567822822,0.017181340600300844,0.055489596,0.059364658,0.033638842,0.053601675,0.08181664,False,False,True,False,False
ADAMTSL1,0,0.064443653,0.0111580888010427,0.056185298,0.061376475,0.083057225,0.055932347,0.06566692,False,True,False,False,False
ADAMTSL3,0,0.11467351519999999,0.02574024572406983,0.15656987,0.12011408,0.09937735,0.106336206,0.09097007,False,False,False,False,True
ADAP2,0,0.0398515368,0.02559231723540869,0.03730133,0.017634971,0.075454734,0.014514919,0.05435173,False,False,False,True,False
ADCY2,0,0.220806432,0.020138915206994637,0.20177136,0.2298581,0.22837506,0.24565528,0.19837236,True,False,False,False,False
ADCY4,0,0.024844638,0.005311889450093065,0.018639408,0.029630937,0.028900769,0.027496021,0.019556055,False,False,True,False,False
ADCY7,0,0.05678232460000001,0.01718139937090765,0.055489622,0.059364684,0.033638842,0.053601675,0.0818168,True,False,False,False,False
ADD2,0,0.177462142,0.04190706701489165,0.194677,0.17819367,0.14895664,0.12861402,0.23686938,False,False,True,False,False
ADD3-AS1,0,0.17612518800000002,0.01620598122262796,0.15972333,0.17044504,0.18169768,0.20143743,0.16732246,False,False,False,True,False
ADGRB3,0,0.17967653600000003,0.007103825298248128,0.16714236,0.18309036,0.18121237,0.18446286,0.18247473,False,False,True,False,False
ADGRF5,0,0.038159850800000006,0.009868754450548417,0.029911576,0.02544642,0.0459026,0.047277648,0.04226101,False,True,False,False,False
ADGRL2,0,0.19062093200000002,0.017022008497610378,0.19255139,0.18878481,0.17850725,0.17503288,0.21822833,False,True,False,False,False
ADGRL4,0,0.0481779036,0.012050621059756725,0.0315551,0.06226204,0.056081593,0.041665945,0.04932484,False,False,False,True,False
ADIPOR2,0,0.11467350319999998,0.025740245776075237,0.15656987,0.120114036,0.099377334,0.106336206,0.09097007,False,False,False,True,False
ADK,1,0.172390396,0.02122431272296538,0.1579864,0.15323839,0.18466458,0.16240974,0.20365287,False,False,True,False,False
ADNP,1,0.18824443200000002,0.01819625469421304,0.17025094,0.18964016,0.19730188,0.21308869,0.17094049,False,False,False,True,False
ADNP2,0,0.1632223668,0.035617891079122596,0.16943847,0.18518746,0.18295343,0.100431174,0.1781013,True,False,False,False,False
ADRB2,1,0.056782318799999995,0.01718139953906681,0.055489622,0.05936467,0.033638842,0.05360166,0.0818168,True,False,False,False,False
AFF2,1,0.17746215199999998,0.041907063744776006,0.194677,0.1781937,0.14895666,0.12861402,0.23686938,False,True,False,False,False
AFF3,0,0.192306554,0.006507608970169455,0.18393335,0.19383396,0.18978792,0.19215335,0.20182419,False,False,False,True,False
