gene,score,validation,label
A1CF,0.17296432,False,-1
A2M,0.028676817,False,0
A2ML1,0.00025514574,False,0
A4GALT,0.01928882,False,-1
AACS,0.23466152,False,-1
AADACL4,0.028694913,False,0
AARD,0.7610095,False,-1
ABCA2,0.03467125,False,-1
ABCA3,0.16977958,False,-1
ABCA4,0.48333117,False,-1
ABCA8,0.033623993,False,0
ABCB1,0.0009327889,False,0
ABCC8,0.34778795,False,-1
ABCC9,0.30944806,False,-1
ABCF2,0.75623953,False,-1
ABCG1,0.074432984,False,0
ABCG2,0.04338516,False,-1
ABHD2,0.4242812,False,-1
ABL1,0.079575084,True,0
ABLIM2,0.21925646,False,-1
ABLIM3,0.14032882,False,-1
ABR,0.38660142,False,-1
ABT1,0.9965321,True,1
ACAT2,0.1729621,False,-1
ACER3,0.6993368,False,-1
ACKR3,0.057413332,False,-1
ACO1,0.28266954,False,-1
ACSM6,0.2819772,False,-1
ACTA2,0.34834626,False,-1
ACTN2,0.046640053,False,-1
ACVR1C,0.07632621,False,-1
ADA,0.30944866,False,-1
ADAM12,0.014970491,False,0
ADAM28,0.20449351,False,-1
ADAMTS1,0.15381949,False,-1
ADAMTS12,0.120703734,False,-1
ADAMTS14,0.9865465,False,-1
ADAMTS15,0.2085982,False,-1
ADAMTS16,0.43641692,False,-1
ADAMTS17,0.42427257,False,-1
ADAMTS18,0.11547792,False,-1
ADAMTS3,0.28197914,False,-1
ADAMTS5,0.3390191,False,-1
ADAMTS6,0.24672753,False,0
ADAMTS8,0.10329656,False,-1
ADAMTS9,0.026460996,False,0
ADAMTS9-AS1,0.24021757,False,-1
ADAMTSL1,0.08834786,True,0
ADAMTSL2,0.368523,False,-1
ADAMTSL3,0.076325804,False,-1
ADAMTSL4-AS1,0.12523733,False,-1
ADAMTSL5,0.19416562,False,-1
ADAP1,0.06197482,True,0
ADARB2,0.53095657,False,-1
ADCY1,0.6750516,False,-1
ADCY2,0.2709127,False,-1
ADCY8,0.45702666,False,-1
ADCYAP1R1,0.14693834,False,-1
ADD2,0.6496676,False,-1
ADD3-AS1,0.14940509,False,-1
ADGRA1,0.26955307,False,-1
ADGRB1,0.6517761,False,-1
ADGRB2,0.35770038,False,-1
ADGRB3,0.43320647,False,-1
ADGRD1,0.060321033,False,-1
ADGRE2,0.0033083416,False,0
ADGRF5,0.5461458,False,-1
ADGRL1,0.48137653,False,1
ADGRL2,0.36577845,False,-1
ADGRL3,0.2775036,False,-1
ADGRL4,0.02646151,False,0
ADGRV1,0.25261772,False,0
ADM,0.43641615,False,-1
ADNP,0.15093726,True,1
ADNP2,0.34215787,False,-1
ADORA2B,0.1642992,False,-1
ADORA3,0.02413177,False,-1
ADPRHL1,0.036689226,False,1
ADRA1A,0.4253939,False,-1
ADRA2C,0.04063162,False,0
AFF2,0.14036144,False,1
AFF3,0.19998983,False,-1
AFF4,0.13506575,False,-1
AGAP1,0.2684954,False,-1
AGAP2,0.20470944,False,-1
AGBL2,0.26267067,False,0
AGBL3,0.6993365,False,-1
AGGF1,0.00025383744,False,0
AGPAT1,0.019943925,False,-1
AGRN,0.36683932,False,-1
AGTPBP1,0.24021415,False,-1
AHCTF1,0.12664205,False,-1
AHDC1,0.3087311,False,1
AHR,0.23109125,False,-1
AHRR,2.983351e-05,False,0
AIF1L,0.1682112,False,-1
AIRE,0.021144902,False,-1
AJAP1,0.6181512,False,-1
AK5,0.011356601,False,0
AKAP12,0.24022004,False,-1
AKAP5,0.5367103,False,-1
AKTIP,0.20750314,False,-1
ALCAM,0.030976176,False,0
ALDH1A3,0.035432417,False,1
ALG1L9P,0.8256413,False,-1
ALK,0.6311362,False,-1
ALOX12-AS1,0.021502867,False,0
ALOX5,0.21576808,False,-1
ALPK2,0.23080166,False,-1
ALX1,0.14035504,False,-1
ALX3,0.17581122,False,-1
ALX4,0.24358146,False,-1
AMMECR1,0.31676206,False,1
AMOTL1,0.07836964,False,-1
AMOTL2,0.4000054,False,-1
ANGPT1,0.0013336862,False,0
ANGPT2,0.70611614,False,-1
ANK2,0.38955668,False,1
ANK3,0.43814236,False,1
ANKH,0.33991903,False,-1
ANKRD16,0.39245707,False,-1
ANKRD29,0.117321685,False,-1
ANKRD31,0.044868663,False,0
ANKRD44,0.29343405,False,-1
ANKRD62,0.0068971785,False,0
ANKRD7,0.027219545,False,0
ANKS1A,0.4792281,False,-1
ANKS1B,0.2521359,False,1
ANO2,0.11522575,False,-1
ANO3,0.20411927,False,0
ANO4,0.20750338,False,-1
ANO5,0.424292,False,-1
ANO6,0.058855504,False,-1
ANO9,0.023238895,True,0
ANOS1,0.49076223,False,-1
ANTXR2,0.09587228,False,0
ANXA1,0.050457507,False,-1
ANXA11,0.075958624,False,-1
ANXA2,0.44093663,False,-1
AOAH,0.22495529,False,-1
AP1S3,0.4137032,False,-1
APBA1,0.15719517,False,-1
APBB1IP,0.1729628,False,-1
APC2,0.57840496,False,-1
APCDD1,0.030976824,False,0
APLNR,0.45974228,False,-1
APOB,0.14278726,False,-1
APOC2,0.20449068,False,-1
APOLD1,0.18563375,False,-1
AQP4,0.088515304,False,-1
AR,0.48345014,False,-1
ARAP2,0.2658038,False,-1
ARC,0.3392585,False,1
ARF4,0.027768994,False,-1
ARFGAP1,0.46575916,False,-1
ARFGEF3,0.013130383,False,0
ARGFX,0.03674772,False,-1
ARHGAP10,0.25325426,False,-1
ARHGAP15,0.38746586,False,-1
ARHGAP18,0.43641752,False,-1
ARHGAP20,0.12355607,False,-1
ARHGAP22,0.07502383,False,-1
