gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
AADACL4,0,0.01722854868,0.01068535606287888,0.0033148194,0.019067893,0.010385403,0.0225662,0.030808428,False,False,True,False,False
ABCA1,0,0.0565276464,0.011152713081249191,0.054418586,0.065532,0.0427636,0.069936156,0.04998789,False,True,False,False,False
ABCA4,0,0.01822410944,0.024092346763547465,0.05978902,0.016316723,0.0012903104,0.011634426,0.0020900678,True,False,False,False,False
ABHD17C,0,0.0565276252,0.011152713836455623,0.054418515,0.065532,0.042763587,0.069936134,0.04998789,False,False,True,False,False
ABHD3,0,0.0283165676,0.010734001586912883,0.037484914,0.009842497,0.029601261,0.031403396,0.03325077,False,False,True,False,False
ABI3,0,0.0396339184,0.04390152461818786,0.06485851,0.10531568,0.010762532,0.009415222,0.007817648,True,False,False,False,False
ABL1,0,0.04823460919999999,0.013411762001518394,0.036439147,0.043202803,0.038539186,0.06888925,0.05410266,False,False,True,False,False
ABLIM3,0,0.0700107458,0.02468797814008371,0.051739987,0.046876382,0.10914852,0.0669833,0.07530554,False,False,False,True,False
ACSL4,0,0.042160602199999994,0.009269506584137593,0.034729544,0.048782043,0.03625329,0.055193156,0.035844978,False,False,False,False,True
ACTA2-AS1,0,0.01314497406,0.012843602008400113,0.001632158,0.009053365,0.0028604073,0.03199091,0.02018803,True,False,False,False,False
ACTB,0,0.014220309066000001,0.011968267148629285,0.02925155,0.00083514233,0.023983935,0.006587019,0.010443899,False,False,True,False,False
ACTG1,0,0.014868154442,0.01250165133918244,0.029916314,0.00023465721,0.024970328,0.005920362,0.013299111,True,False,False,False,False
ACTL6A,0,0.05652765,0.011152693390730238,0.054418586,0.06553197,0.04276358,0.069936134,0.04998798,False,False,False,True,False
ACTR3,0,0.07481290380000001,0.014512075813585846,0.069162816,0.07347409,0.09974325,0.062221713,0.06946265,False,False,False,True,False
ACVR1,0,0.049592210000000005,0.007038229489140006,0.03997622,0.04725963,0.05831594,0.05428158,0.04812768,False,True,False,False,False
ADAM23,0,0.041569392999999996,0.004712475084014184,0.034318075,0.04372337,0.046047807,0.044262208,0.039495505,False,False,True,False,False
ADAMTS1,0,0.059754691400000004,0.0170775255817392,0.05420651,0.04583029,0.089528695,0.055686876,0.053521086,False,True,False,False,False
ADAMTS20,0,0.0435084722,0.009869001729123073,0.03873856,0.030256169,0.05554805,0.050265808,0.042733774,False,False,True,False,False
ADAMTSL1,0,0.07755807579999999,0.022918985757160552,0.062631495,0.07182801,0.11803134,0.065299354,0.07000018,False,True,False,False,False
ADAMTSL3,0,0.0217384044,0.012859519731286656,0.03433445,0.02926836,0.005001924,0.01109227,0.028995018,False,False,False,False,True
ADARB1,0,0.04025203820000001,0.01159704531434284,0.045644585,0.038930338,0.056164112,0.025050648,0.035470508,False,False,False,False,True
ADARB2,0,0.055204346800000005,0.011824354741435356,0.04097915,0.061116926,0.050729413,0.072090045,0.0511062,False,False,False,False,True
ADCY2,1,0.0469954676,0.006341136325124253,0.043745685,0.045168474,0.058282733,0.044246312,0.043534134,False,False,True,False,False
ADD3-AS1,0,0.024459780440000002,0.020180840057610835,0.021821562,0.0017816382,0.045271628,0.044940155,0.008483919,True,False,False,False,False
ADGRA3,0,0.021044504400000004,0.008626005658041518,0.029788293,0.02051985,0.013362785,0.029768838,0.011782756,True,False,False,False,False
ADGRD1,0,0.017674895399999998,0.009328868316343135,0.013294812,0.021527134,0.030225838,0.018154982,0.005171711,False,False,False,True,False
ADGRG7,0,0.0415130432,0.017740185446795963,0.03036987,0.036132734,0.044716768,0.025736714,0.07060913,True,False,False,False,False
ADGRL3,0,0.05068581479999999,0.007942769583388134,0.043905877,0.057719123,0.046572696,0.060756598,0.04447478,False,False,False,True,False
ADNP,0,0.0478661176,0.008180407968676704,0.040378556,0.05373569,0.043991085,0.059187543,0.042037714,False,False,True,False,False
ADNP2,0,0.0358690322,0.010009068927320371,0.031749673,0.020474918,0.044829074,0.03882108,0.043470416,False,False,True,False,False
ADPRH,0,0.01913212732,0.01413333057833347,0.039714724,0.0025301916,0.023015982,0.010016871,0.020382868,False,True,False,False,False
ADSS,0,0.025152862899999996,0.027774396746343542,0.06580122,0.0001674829,0.014207505,0.04120847,0.0043796366,False,False,False,False,True
AFF1,0,0.0448485804,0.00470962681607315,0.040180158,0.04877987,0.04726557,0.048710797,0.039306507,False,False,True,False,False
AFF4,0,0.042160600799999996,0.009269507987055392,0.034729537,0.048782043,0.03625329,0.055193156,0.035844978,False,False,True,False,False
AGAP1,0,0.0466458174,0.00635892245866686,0.035655968,0.04864622,0.047431216,0.049586996,0.051908687,False,False,False,False,True
AGAP2,0,0.070010737,0.02468790202598915,0.051740076,0.046876393,0.109148376,0.0669833,0.07530554,True,False,False,False,False
AGBL3,0,0.0565341126,0.020484546562534133,0.08714847,0.05631128,0.060972728,0.046698865,0.03153922,False,False,True,False,False
AGBL4,1,0.07755807899999997,0.022918995121669384,0.062631495,0.07182801,0.11803136,0.06529935,0.07000018,True,False,False,False,False
AGPAT1,0,0.0485142568,0.010853085605838954,0.033921152,0.039801747,0.056768768,0.05537403,0.056705587,False,False,False,False,True
AHCTF1,0,0.042742286799999994,0.004691459324743336,0.041728284,0.04881543,0.03643789,0.04555662,0.04117321,False,False,False,False,True
AHCYL2,0,0.02327981868686,0.028892047510083986,0.0025718624,1.3030343e-06,0.031851497,0.06986381,0.012110621,True,False,False,False,False
AHDC1,0,0.0465148886,0.00512665272419293,0.041172117,0.048940904,0.04169279,0.05334252,0.047426112,False,False,False,True,False
AHR,0,0.0565276326,0.011152702428602843,0.05441856,0.06553197,0.042763587,0.069936134,0.049987912,False,True,False,False,False
AKAP11,0,0.0565276334,0.011152705558084133,0.054418586,0.06553197,0.04276358,0.069936134,0.049987897,False,False,False,True,False
ALDH1A2,0,0.0524521742,0.009209585745562621,0.040173072,0.05378188,0.064668715,0.056100816,0.047536388,False,False,False,False,True
