gene,score,validation,label
ABCA1,0.02638113,False,0
ABCB1,0.03231502,False,0
ABCB11,0.05142274,False,0
ABCC4,0.015270884,False,0
ABCF2,0.043360427,False,0
ABCG2,0.015838595,False,0
ABI3BP,0.015460359,False,0
ABL1,0.051955648,False,0
ABRA,0.0028589035,False,0
ACSBG1,0.031978607,False,0
ACTB,0.00017149973,False,0
ACTG1,0.000115286486,False,0
ACVR1,0.07752372,False,0
ACVR1C,0.08331952,True,0
ADAD2,0.019014297,True,0
ADAM28,0.01761863,False,0
ADAMTS17,0.011802611,False,0
ADAMTS3,0.07752372,False,0
ADARB2,0.02304223,False,0
ADCY2,0.051869825,True,1
ADCYAP1,0.007202928,False,0
ADD3-AS1,0.077523746,False,0
ADGRF5,0.08924151,False,0
ADM,0.022548351,False,0
ADNP,0.04110022,False,0
ADNP2,0.04110021,True,0
ADORA3,0.015294976,True,0
ADRA1A,0.02392409,False,0
ADTRP,0.051955633,False,1
AEBP1,0.015463516,False,0
AFF1,0.06903014,False,0
AFF4,0.038515784,False,0
AGAP2,0.009497455,True,0
AHCTF1,0.05471007,False,0
AHNAK,0.015462006,True,0
AHR,0.07516601,False,0
AKAP13,0.04154855,True,0
AKR1C3,0.0111431,True,0
ALCAM,0.04154855,False,0
ALDH1A2,0.051955633,False,0
ALDH1A3,0.017933378,False,0
ALDOC,0.05441899,False,0
ALOX15B,0.017242633,False,0
ALOX5,0.043527644,False,0
ALOX5AP,0.014540143,False,0
ALPK1,0.033797774,False,0
ANGPT1,0.019032983,False,0
ANHX,0.04154855,True,0
ANK1,0.04659771,False,0
ANKRD22,0.015295003,False,0
ANKRD30A,0.07752372,False,0
ANKRD30B,0.04154855,False,0
ANKRD30BL,0.07752372,True,0
ANLN,0.03891215,False,0
ANO10,0.049037736,False,0
ANO2,0.04701481,False,0
ANO3,0.15465774,False,1
ANO4,0.07571749,False,0
ANXA11,0.019014308,True,0
AOAH,0.0323151,False,0
AP1S1,0.0059491824,True,0
AP2M1,0.00011528616,False,0
APBB1IP,0.020458354,False,0
APBB2,0.038515784,False,0
APCDD1,0.038912162,False,0
APEX2,0.005949193,False,0
APLP1,0.00028339794,False,0
APOC2,0.035728246,True,0
APOD,0.00017823902,False,0
AQP4,0.022841072,True,0
ARC,0.0042592054,False,0
AREG,0.003670695,False,0
ARF1,0.000115286704,False,0
ARFGAP1,0.01619402,False,0
ARHGAP10,2.2818553e-05,False,0
ARHGAP12,0.049593672,False,0
ARHGAP15,0.015294976,False,0
ARHGAP20,0.051955618,False,0
ARHGAP22,0.04336038,True,0
ARHGAP24,0.022564735,True,0
ARHGAP25,0.021322843,False,0
ARHGAP26,0.04154855,False,0
ARHGAP29,0.04154855,True,0
ARHGAP31,0.028650355,False,0
ARHGAP42,0.03891215,False,0
ARHGDIA,0.00018032744,False,0
ARHGDIB,0.0097284615,False,0
ARHGDIG,0.00023239838,False,0
ARHGEF28,0.059260696,False,0
ARHGEF40,0.021322869,True,0
ARHGEF6,0.038515784,False,0
ARID3A,0.014085331,True,0
ARID3B,0.051955633,True,0
ARID5A,0.03758765,False,0
ARID5B,0.05337071,False,0
ARMC3,0.051955674,False,0
ARNT2,0.14012156,False,0
ARNTL,0.04110021,False,0
ARPC5L,0.0040507237,False,0
ARPP19,2.2818553e-05,False,0
ART3,0.02570675,False,0
ARX,0.024252018,False,0
ASAP1,0.14012207,True,0
ASAP2,0.04154856,False,1
ASCL4,0.051420767,False,0
ASH2L,0.029935258,False,0
ASIC2,0.04983867,True,0
ASPA,0.03891215,False,0
ASPSCR1,0.015270962,False,0
ASXL3,0.049037747,False,0
ATF2,0.05737361,False,0
ATF3,0.000899674,True,0
ATF5,0.00036412303,False,0
ATF6B,0.015270962,True,0
ATG10,0.038515784,False,0
ATOH7,0.00020328329,False,0
ATOH8,0.019014344,False,0
ATP10A,0.020014994,False,0
ATP1A1,0.0004013234,False,0
ATP1A3,0.0059490805,False,0
ATP1B2,0.012815698,False,0
ATP1B3,0.007202566,True,0
ATP6AP1,2.281853e-05,False,0
ATP6AP2,7.861566e-05,False,0
ATP6V0C,0.00028339928,False,0
ATP6V0E2,0.011143231,False,0
ATP8B4,0.051955648,False,0
ATRNL1,0.057334885,False,0
ATXN1,0.051511142,False,1
ATXN7L3B,0.00038342096,True,0
ATXN8OS,0.015838655,True,0
AUTS2,0.048925824,False,1
AXL,0.019962892,False,0
B4GAT1,2.2818575e-05,True,0
BACH1,0.038515784,False,0
BACH2,0.04110021,False,0
BANP,0.051955722,False,0
BATF,0.021322792,False,0
BATF3,0.051955648,True,0
BAZ1A,0.038515784,False,0
BBX,0.04110021,False,0
BCAS1,0.03891215,False,0
BCAS2,0.007952821,False,0
BCAT1,0.019014247,False,0
BCL11A,0.04154855,False,0
BCL11B,0.015838634,False,0
BCL3,2.2818553e-05,False,0
BCL6,0.007202498,False,0
BCL6B,0.04154855,False,0
BCLAF1,0.06903014,False,0
BCR,0.019014273,False,0
BDKRB1,0.0036707246,True,0
BEND4,0.04154855,True,0
BEND6,0.038515784,True,0
BEX1,0.00017240578,False,0
BEX2,0.00418259,False,0
BEX3,0.0060604084,True,0
BEX5,0.00033128844,False,0
BFSP2-AS1,0.033797186,False,0
BHLHE40,2.281853e-05,False,0
BMPER,0.04154855,False,0
BNC2,0.019659756,False,1
BRCA1,0.07870226,False,0
BRINP1,0.14012174,False,0
BRINP3,0.041030884,False,0
BTBD11,0.011802656,True,0
BTG4,0.038912162,False,0
BVES,0.07752372,True,0
C11orf44,0.032315027,True,0
C11orf96,0.0064699575,False,0
C14orf39,0.015838522,False,0
C19orf25,0.019014288,True,0
C1QC,0.045228582,False,0
C1QL2,2.2818595e-05,False,0
C1QTNF4,2.2818509e-05,False,0
C1orf115,0.008631463,False,0
C22orf34,0.015839064,False,0
C2orf27A,0.04154855,True,0
C3,0.029260922,False,0
C3orf67,0.038515784,True,0
C4orf48,0.000195228,False,0
C7,0.038912162,False,0
C9orf16,0.0001336199,False,0
CA3,0.04154856,True,0
CACHD1,0.038515784,True,0
CACNA1G,0.04154855,False,0
CACNG5,0.011802638,True,0
CADM1,0.06903014,False,0
CADPS2,0.04110021,False,0
CALM1,0.0009160592,False,0
CALM2,2.2818553e-05,False,0
CALN1,0.07752372,True,0
CALY,0.004182091,False,0
CAMK2D,0.04110022,False,0
CAMK2G,0.043360356,False,0
CAMK2N1,0.0006502889,False,0
CAMK2N2,0.004199513,False,0
CAPNS1,0.0059490697,False,0
CARD11,0.032314997,False,0
CARF,0.051955648,True,0
CARTPT,0.030692667,False,0
CASC15,0.11183409,False,0
CASC18,0.015371041,False,0
CASP4,0.015294976,False,0
CBLN2,0.06903014,False,0
CBLN4,2.281853e-05,False,0
CBX6,0.009497441,True,0
CBX7,0.011143063,True,0
CCBE1,0.051955618,False,0
CCDC160,0.08119282,False,0
CCDC26,0.030847343,False,0
CCDC60,0.022841131,False,0
CCDC91,0.05195566,False,0
CCK,0.00013362015,True,0
CCL3,0.021322932,False,0
CCL3L1,0.022946281,False,0
CCL4,0.032315005,False,0
CCND1,0.0004902623,False,0
CCNI,0.0067465105,True,0
CCR1,0.019461669,False,0
CCSER1,0.04110021,True,0
CD14,0.021322884,True,0
CD163,0.032315027,True,0
CD163L1,0.021322863,True,0
CD2,0.021322884,False,0
CD22,0.0615279,False,0
CD44,0.015461077,False,0
CD58,0.022407386,False,0
CD59,0.01114301,False,0
CD63,0.00034652336,False,0
CD74,0.015294976,False,0
CD81,0.000115286595,True,0
CD84,0.015294968,False,0
CD86,0.02926107,False,0
CDC14A,0.032315064,False,0
CDC14B,0.038515784,False,0
CDC42EP1,0.034644995,False,0
CDCA7L,0.040547546,False,0
CDH10,0.15464287,False,0
CDH11,0.05538103,False,0
CDH18,0.049913593,False,1
CDH19,0.038912162,False,0
CDH20,0.111834034,True,0
CDH4,0.022407407,False,0
CDH7,0.111834064,False,0
CDH8,0.06903014,False,0
CDK14,0.046834193,True,0
CDK2AP1,0.0002162486,False,0
CDK5R1,0.00020257726,False,0
CDKL5,0.04110021,False,0
CDKN2A,0.011143073,False,0
CDKN2B,0.035831332,False,0
CDKN2B-AS1,0.038515784,True,0
CDKN2D,0.00024079689,False,0
CDS1,0.04154855,False,0
CEBPA,0.00035121036,False,0
CEBPB,0.0006406405,True,0
CEBPG,0.050577458,False,0
CELF4,0.051955633,False,0
CELF6,0.029935306,True,0
CEND1,0.011143089,True,0
CEP112,0.04110021,False,0
CEP85L,0.038515784,True,0
CERCAM,0.0346434,False,0
CERS6,0.1401216,False,1
CFH,0.03231502,False,0
CFL1,0.000115286595,False,0
CGNL1,0.0191241,True,1
CHAMP1,0.040439483,False,0
CHD1,0.048925824,False,0
CHD2,0.04154855,False,0
CHD7,0.021633437,False,0
CHGA,8.306465e-05,False,0
CHGB,0.0032732517,False,0
CHI3L1,0.043360356,False,0
CHI3L2,0.13606377,False,0
CHODL,0.049593683,False,0
CHP1,0.019014241,False,0
CHRDL1,0.07752372,False,0
CHRM2,0.036417484,False,0
CHRNA7,0.051955648,False,0
CHST9,0.038515784,False,0
CHSY3,0.04154855,True,0
CIC,0.011143073,False,0
CKB,0.0002537506,False,0
CKS2,0.004947706,False,0
CLDN11,0.017053548,False,0
CLEC1A,0.034100596,False,0
CLIC4,0.038912218,False,0
CLMP,0.015838625,False,0
CLOCK,0.04110021,False,0
CLTCL1,0.043360356,False,0
CLU,0.00017149908,False,0
CMKLR1,0.019659752,False,0
CMTM5,0.03891215,False,0
CMTM8,0.020014979,False,0
CNFN,0.0008280559,False,0
CNIH2,2.2818509e-05,False,0
CNOT3,2.2818553e-05,True,0
CNOT4,0.048925824,False,0
CNR1,0.038515784,True,0
CNTN4,0.038515784,True,0
CNTNAP2,0.046834193,False,1
CNTNAP3,0.017248355,False,0
CNTNAP3B,0.04154856,False,0
COL11A1,0.045774918,True,0
COL12A1,0.045774657,True,0
COL18A1,0.04336037,False,0
COL19A1,0.06903014,False,0
COL1A2,0.03891217,True,1
COL21A1,0.01583861,False,0
COL24A1,0.07752372,False,0
COL3A1,0.0072028735,False,0
COL4A5,0.061527915,False,0
COL6A1,0.04336037,False,0
COL8A1,0.01901426,False,0
COL9A1,0.03891215,False,0
COPS9,2.281853e-05,False,0
