gene,score,validation,label
ABCA1,0.06601138,False,-1
ABCB1,1.39217e-08,False,-1
ABCB11,0.0004182445,False,-1
ABCC4,0.080719724,False,-1
ABCF2,0.26320174,False,-1
ABCG2,0.017087922,False,0
ABI3BP,0.04192201,False,-1
ABL1,0.011835892,False,-1
ABRA,0.1029829,False,-1
ACSBG1,0.11695648,False,-1
ACTB,0.2713111,False,-1
ACTG1,0.2633656,False,-1
ACVR1,0.15291113,False,-1
ACVR1C,0.11933266,False,-1
ADAD2,0.17766081,False,-1
ADAM28,1.4254936e-09,False,0
ADAMTS17,0.18369703,False,-1
ADAMTS3,0.15291125,False,-1
ADARB2,0.2133936,False,-1
ADCY2,0.26409397,True,1
ADCYAP1,0.07679831,False,-1
ADD3-AS1,0.15291114,False,-1
ADGRF5,0.0054013226,False,-1
ADM,3.5754855e-08,False,-1
ADNP,0.2906363,False,-1
ADNP2,0.2906363,False,-1
ADORA3,3.935955e-11,False,-1
ADRA1A,0.008151679,False,-1
ADTRP,0.011835892,False,-1
AEBP1,0.04192818,False,-1
AFF1,0.18133627,False,0
AFF4,0.31204006,False,-1
AGAP2,0.16445218,False,-1
AHCTF1,0.12616077,False,0
AHNAK,0.04192814,False,-1
AHR,0.14472656,False,-1
AKAP13,0.43406647,False,-1
AKR1C3,0.14720863,False,-1
ALCAM,0.43406647,False,-1
ALDH1A2,0.011835892,False,-1
ALDH1A3,0.13460496,False,-1
ALDOC,0.016130358,False,-1
ALOX15B,0.034961756,False,-1
ALOX5,4.4320775e-08,False,-1
ALOX5AP,9.475576e-09,False,-1
ALPK1,0.0038710767,False,-1
ANGPT1,0.005105214,False,-1
ANHX,0.43406647,False,-1
ANK1,0.014720243,False,-1
ANKRD22,3.9359627e-11,False,-1
ANKRD30A,0.1529112,False,0
ANKRD30B,0.43406647,False,-1
ANKRD30BL,0.15291111,False,-1
ANLN,0.20725186,False,-1
ANO10,0.23276721,False,-1
ANO2,0.0023193725,False,0
ANO3,0.017502194,False,-1
ANO4,0.004128979,False,-1
ANXA11,0.1776609,False,-1
AOAH,1.3921806e-08,False,-1
AP1S1,0.18330435,False,-1
AP2M1,0.26336557,False,-1
APBB1IP,7.4632425e-09,False,0
APBB2,0.31204006,False,-1
APCDD1,0.20725183,False,-1
APEX2,0.18330398,False,-1
APLP1,0.20923652,False,-1
APOC2,1.42050025e-08,False,-1
APOD,0.315877,False,-1
AQP4,0.0968644,False,-1
ARC,0.08765643,False,-1
AREG,0.08261453,False,-1
ARF1,0.26336557,False,-1
ARFGAP1,0.20171237,False,-1
ARHGAP10,0.38883802,False,-1
ARHGAP12,0.33989194,False,-1
ARHGAP15,3.9359627e-11,False,-1
ARHGAP20,0.011835892,False,-1
ARHGAP22,0.2632015,False,-1
ARHGAP24,1.4274307e-09,True,0
