gene,label,mean,std,score_0,score_1,score_2,score_3,score_4,validation_0,validation_1,validation_2,validation_3,validation_4
ABCA1,0,0.025845553799999997,0.0023490041160656146,0.023623746,0.02944712,0.02638113,0.023877323,0.02589845,True,False,False,False,False
ABCB1,0,0.0194512402,0.009189411060906526,0.010168462,0.024333315,0.03231502,0.011580484,0.01885892,True,False,False,False,False
ABCB11,0,0.041933286199999996,0.013281675954244525,0.024849366,0.04448281,0.05142274,0.05679423,0.032117285,False,False,False,False,True
ABCC4,0,0.01617249622,0.01026748590689475,0.0006877781,0.028801361,0.015270884,0.015354178,0.02074828,True,False,False,False,False
ABCF2,0,0.013330776696,0.017323411549784645,0.0031256834,0.00043087508,0.043360427,0.011299469,0.008437429,True,False,False,False,False
ABCG2,0,0.0221278522,0.006063545676613247,0.016456502,0.02516363,0.015838595,0.02296362,0.030216914,True,False,False,False,False
ABI3BP,0,0.0506106928,0.045448348598776216,0.040236272,0.034400973,0.015460359,0.03274033,0.13021553,False,False,False,False,True
ABL1,0,0.046774348599999994,0.005691607448966399,0.05086194,0.049593,0.051955648,0.042315535,0.03914562,True,False,False,False,False
ABRA,0,0.01051049456,0.006847084372813727,0.014463355,0.0050991043,0.0028589035,0.019679556,0.010451554,False,False,False,False,True
ACSBG1,0,0.0364298632,0.005540325364247635,0.03714905,0.037782088,0.031978607,0.030627305,0.044612266,False,True,False,False,False
ACTB,0,0.004965930152,0.0077072235774784704,0.018499788,0.00022465593,0.00017149973,0.0036672156,0.0022664915,False,True,False,False,False
ACTG1,0,0.0026850033672,0.003827733008303392,0.009320456,0.00017046335,0.000115286486,0.0023824107,0.0014364003,True,False,False,False,False
ACVR1,0,0.0632474834,0.011261890212106397,0.046491977,0.06108804,0.07752372,0.06365102,0.06748266,False,True,False,False,False
ACVR1C,0,0.0723853028,0.007303651457992036,0.06305902,0.07092339,0.08331952,0.073843434,0.07078115,False,False,True,False,False
ADAD2,0,0.0178111434,0.0035443263372732484,0.016757347,0.015428035,0.019014297,0.014482971,0.023373067,False,False,True,False,False
ADAM28,0,0.01101316842,0.0046278979287012675,0.0069635846,0.013185507,0.01761863,0.00644209,0.0108560305,False,True,False,False,False
ADAMTS17,0,0.01742814186,0.007968571265384755,0.024282696,0.0068189413,0.011802611,0.025185151,0.01905131,False,False,False,True,False
ADAMTS3,0,0.0632474856,0.011261886120640576,0.046491988,0.06108804,0.07752372,0.06365102,0.06748266,False,True,False,False,False
ADARB2,0,0.01123435684,0.008189894283366169,0.0068148547,0.0012420565,0.02304223,0.014283221,0.010789422,False,False,False,True,False
ADCY2,1,0.0440477642,0.005762577462112394,0.036763277,0.042401668,0.051869825,0.041840073,0.047363978,False,False,True,False,False
ADCYAP1,0,0.0239804192,0.013400535921608421,0.028314706,0.019098133,0.007202928,0.043690883,0.021595446,False,True,False,False,False
ADD3-AS1,0,0.0632474866,0.011261898931264294,0.046491977,0.06108803,0.077523746,0.06365102,0.06748266,False,False,False,True,False
ADGRF5,0,0.07977928399999999,0.022483039927091268,0.07650593,0.08446982,0.08924151,0.10467535,0.04400381,True,False,False,False,False
ADM,0,0.0162340974,0.004060366646108613,0.012091343,0.017294178,0.022548351,0.013485,0.015751615,False,False,False,False,True
ADNP,0,0.0334368582,0.005319602213516365,0.027235566,0.031836558,0.04110022,0.030913772,0.036098175,True,False,False,False,False
ADNP2,0,0.033436857800000004,0.005319598010383792,0.027235566,0.031836566,0.04110021,0.030913772,0.036098175,False,False,True,False,False
ADORA3,0,0.009225977500000001,0.004760970204199114,0.005019616,0.012381802,0.015294976,0.00411008,0.0093234135,False,False,True,False,False
ADRA1A,0,0.0238405332,0.005240478594968852,0.023056913,0.019681042,0.02392409,0.032599624,0.019940997,True,False,False,False,False
ADTRP,1,0.0467743442,0.005691605406146513,0.05086194,0.049593,0.051955633,0.042315528,0.03914562,False,True,False,False,False
AEBP1,0,0.0506104682,0.04544719539874882,0.04024228,0.03439983,0.015463516,0.032733425,0.13021329,False,False,False,False,True
