gene,score,validation,label
ABCC4,0.03107696,False,0
ABI3BP,0.059432536,False,0
ABL1,0.06901078,False,0
ABLIM1,0.06901078,False,1
ABTB2,0.035848923,True,0
ACO1,0.019185184,False,0
ACTA2,0.06901078,False,0
ACTB,0.018416857,False,0
ACTG1,0.026679773,False,0
ACVR1,0.04526707,False,0
ACVR1C,0.07789046,False,0
ADAM28,0.013557901,True,0
ADAMTS20,0.06901078,True,0
ADAMTS6,0.059432976,False,0
ADAMTS9,0.021567073,False,0
ADARB1,0.06901078,False,0
ADCY4,0.021420274,False,0
ADD3,0.04526707,False,1
ADD3-AS1,0.007974222,False,0
ADGRL3,0.04526707,True,0
ADNP,0.046078168,False,0
ADNP2,0.04526707,False,0
AFF4,0.04526707,False,0
AGR2,0.021567062,False,0
AGR3,0.021567067,False,0
AHCTF1,0.0563737,False,0
AHR,0.050641138,False,0
AIG1,0.06901078,False,0
AK5,0.052184705,True,0
ALDH1A2,0.06956205,False,0
ALOX5,0.021567067,False,0
ALOX5AP,0.014287505,False,0
ALPK1,0.01510231,False,0
ANKRD30B,0.060072456,True,0
ANKRD30BL,0.052009724,True,0
ANKRD44,0.06901078,False,0
ANKRD6,0.059124403,True,0
ANO10,0.04526707,False,0
ANO2,0.01510226,False,0
ANO6,0.06901078,False,0
ANOS1,0.03444356,False,0
ANXA11,0.025682097,True,0
ANXA4,0.06901078,False,0
AP1S1,0.016712679,False,0
AP2M1,0.034211073,False,0
APBB1IP,0.019578686,False,0
APCDD1,0.01797715,False,0
APLP1,0.016712679,False,0
APOC2,0.024696358,False,0
APOE,0.014653834,True,0
ARC,0.056487456,False,0
ARF1,0.016712679,True,0
ARHGAP10,0.04341772,False,0
ARHGAP20,0.06901078,True,0
ARHGAP24,0.06488408,False,0
ARHGAP26,0.06901078,False,0
ARHGAP31,0.01510231,False,0
ARHGAP42,0.014766187,False,0
ARHGAP6,0.014861541,False,0
ARHGDIG,0.016712679,False,0
ARHGEF10,0.06901078,False,0
ARHGEF26,0.06901078,False,0
ARHGEF28,0.058632344,False,0
ARHGEF40,0.026244344,True,0
ARID3A,0.023975851,False,0
ARL4C,0.019001596,False,0
ARNTL,0.04526707,False,0
ARNTL2,0.06901078,False,0
ARX,0.017763,False,0
ASAP1,0.06901078,False,0
ASAP2,0.06901078,False,1
ASB18,0.025851617,False,1
ASXL3,0.052009724,False,0
ATF2,0.04526707,False,0
ATF7,0.10177802,True,0
ATG10,0.04526707,True,0
ATP1B3,0.0563737,False,0
ATP6V0C,0.023229424,False,0
ATP6V0E2,0.016712679,False,0
ATP6V1C2,0.01919104,False,0
ATP8B1,0.04526707,False,0
ATRNL1,0.04526707,False,0
ATXN1,0.04526707,False,1
B4GAT1,0.016712679,False,0
BAALC,0.06901078,False,0
BACE2,0.06901078,False,0
BACH1,0.0563737,False,0
BACH2,0.053157777,False,0
BAG3,0.054384578,False,0
BAIAP3,0.016712679,False,0
BARD1,0.0563737,False,0
BAZ1A,0.052009724,False,0
BBX,0.04924327,False,0
BCAR3,0.0563737,False,0
BCL11A,0.06496811,False,0
BCL11B,0.023975834,False,0
BCL3,0.031076903,False,0
BCLAF1,0.04526707,False,0
BDNF,0.06112007,False,0
BEND6,0.04924327,True,0
BEX1,0.016712679,False,0
BEX2,0.016712679,False,0
BEX3,0.016712679,False,0
BEX4,0.016712679,True,0
BHLHE22,0.016712679,False,0
BHLHE41,0.018991632,False,0
BICC1,0.06901078,False,0
BICDL1,0.06901078,False,0
BIN2,0.031076938,False,0
BLNK,0.023562131,False,0
BMP6,0.013557901,True,0
BMPER,0.06901078,False,0
BNC2,0.012874477,False,1
BRF1,0.06901078,False,0
BRF2,0.06667756,False,0
BRINP3,0.04526707,False,0
BTBD11,0.01919109,False,0
BTK,0.02624441,False,0
BTNL9,0.031076737,False,0
BVES,0.06901078,False,0
C1GALT1,0.04526707,False,0
C1QB,0.025222125,False,0
C22orf34,0.021567073,False,0
C2orf88,0.046621073,False,0
C3,0.016150424,True,0
C3orf67,0.04526707,False,0
C4orf19,0.035848938,True,0
CA12,0.016712679,False,0
CA3,0.06901078,False,0
CACHD1,0.052009724,False,0
CACNA2D3,0.06901078,False,1
CADPS2,0.07558679,False,0
CALM1,0.019001601,True,0
CALM2,0.016712679,True,0
CALN1,0.04526707,False,0
CAMK2D,0.079205,False,0
CARD11,0.021054126,True,0
CASC15,0.043699328,False,0
CASC2,0.06901078,True,0
CASP5,0.031076945,False,0
CAV2,0.07689938,False,0
CCBE1,0.019190747,False,0
CCDC15,0.025681991,False,0
CCDC170,0.025682002,False,0
CCDC26,0.024851993,False,0
CCDC68,0.035848938,False,0
CCK,0.019001601,True,0
CCNG2,0.07789042,False,0
CCNI,0.059124403,False,0
CCNYL1,0.06901078,True,0
CCSER1,0.049243256,True,0
CD163L1,0.06901078,False,0
CD22,0.021420453,False,0
CD24,0.016712679,False,0
CD38,0.020310715,False,0
CD44,0.034443993,False,0
CD58,0.023975844,False,0
CD59,0.019974422,False,0
CD63,0.028635036,True,0
CD69,0.034443174,False,0
CD74,0.023562163,False,0
CD84,0.01465382,False,0
CD86,0.014356422,True,0
CDC14B,0.04526707,True,0
CDH10,0.06901078,False,0
CDH11,0.04924327,False,0
CDH20,0.07789045,False,0
CDH4,0.043413937,False,0
CDH7,0.052009724,False,0
CDH8,0.04526707,False,0
CDK2AP1,0.016712688,True,0
CDK6,0.04526707,False,0
CDR2,0.06901078,False,0
CDS1,0.04526707,False,0
CDYL,0.06901078,False,0
CDYL2,0.07551239,False,0
CEBPA,0.016712679,False,0
CEBPG,0.052184705,False,0
CEMIP,0.023975844,False,0
CERS5,0.025682097,False,0
CES4A,0.025681991,False,0
CFAP161,0.023975844,True,0
CFAP206,0.06901078,True,0
CFL1,0.034939453,False,0
CGNL1,0.02285588,False,1
CHAMP1,0.025682053,False,0
CHD1,0.04526707,False,0
CHD7,0.021911683,False,0
CHGB,0.024430558,False,0
