gene,score,validation,label
A1CF,0.005813155,False,0
AAMDC,0.002061346,True,0
ABCB1,0.013983269,False,0
ABCF2,0.013078205,False,0
ABCG2,0.034039162,False,0
ABHD3,0.048153687,False,0
ACSBG1,0.0038044471,False,0
ACTB,0.0042156954,False,0
ACTG1,0.0069196206,True,0
ACTN2,0.048153672,False,0
ACVR1,0.050065182,False,0
ADAMTS2,0.048153672,False,1
ADAP1,0.006208282,False,0
ADCY2,0.053240474,True,1
ADD3,0.0366119,False,1
ADGRG6,0.013066197,False,0
ADGRL2,0.05600659,False,0
ADGRV1,0.048153672,False,0
ADK,0.071838535,False,0
ADNP,0.043382492,False,0
ADNP2,0.050024737,False,0
ADRA1A,0.091770105,True,0
ADRM1,0.0069196564,False,0
ADTRP,0.048153687,False,1
AFF1,0.038919553,True,0
AFF4,0.042424724,False,0
AGAP2,0.011186077,False,0
AGGF1,0.04413731,True,0
AGO2,0.035362504,False,0
AHCTF1,0.043884207,False,0
AHR,0.04428742,True,0
AIMP2,0.014312504,False,0
AK5,0.057807986,True,0
AKAP13,0.065680556,False,0
AKR1E2,0.060291618,True,0
ALCAM,0.092354365,False,0
ALK,0.0020631882,False,0
ALX1,0.027199393,False,0
ALX4,0.027299888,False,0
AMOTL1,0.052390117,False,0
ANKRD30A,0.065680556,True,0
ANKRD30BL,0.038515005,False,0
ANKRD34B,0.065680556,True,0
ANKRD50,0.07997337,False,0
ANO10,0.047585376,False,0
ANO2,0.00675119,False,0
ANO6,0.092354365,False,0
ANOS1,0.048153672,False,0
ANXA11,0.056006607,True,0
ANXA3,0.047256682,False,0
ANXA4,0.049243316,False,0
AP1S1,0.0043553817,False,0
AP2M1,0.0030113468,False,0
APEX2,0.014312524,False,0
AR,0.036010996,False,0
ARAP2,0.043818556,True,0
ARC,0.0071916836,False,0
ARF3,0.0038044471,False,0
ARFGAP1,0.009779,False,0
ARHGAP10,0.012719702,False,0
ARHGAP12,0.051602393,True,0
ARHGAP20,0.012591487,False,0
ARHGAP24,0.018740317,True,0
ARHGAP26,0.092354365,False,0
ARHGAP42,0.07892383,False,0
ARHGDIA,0.0034201937,False,0
ARHGDIG,0.009779035,False,0
ARHGEF10,0.092354365,False,0
ARHGEF28,0.0549659,False,0
ARHGEF6,0.038556177,False,0
ARID2,0.041971058,False,0
ARID3A,0.047898494,False,0
ARID3C,0.00977903,False,0
ARID5A,0.011116409,False,0
ARID5B,0.051507194,False,0
ARL4A,0.03495526,False,0
ARL4D,0.01203763,False,0
ARL6IP1,0.0069196494,False,0
ARL6IP5,0.0038044436,True,0
ARMC3,0.048811782,False,0
ARMC4,0.0038044455,False,0
ARMCX4,0.01853747,False,0
ARNT2,0.09235439,True,0
ARNTL,0.048626404,False,0
ARPC5L,0.005089792,True,0
ARPP21,0.058176074,False,0
ASAP1,0.053002022,False,0
ASAP2,0.06703333,False,1
ASIC2,0.036011074,False,0
ASXL2,0.044260673,False,0
ATF2,0.047862034,False,0
ATF3,0.03601097,False,0
ATF4,0.011116409,True,0
ATF5,0.011116377,False,0
ATG10,0.04669415,False,0
ATP10A,0.047212355,True,0
ATP12A,0.005067609,False,0
ATP1A1,0.005756239,False,0
ATP1A2,0.018738734,True,0
ATP1A3,0.00977904,False,0
ATP1B1,0.0038044418,False,0
ATP2C2,0.048153687,False,0
ATP6V0C,0.0030113498,False,0
ATP8B1,0.057693444,True,0
ATR,0.048153687,False,0
ATRNL1,0.042424746,True,0
ATXN1,0.04361719,True,1
AVEN,0.05457499,False,0
AVPR1A,0.027199553,False,0
B3GNT5,0.034421165,False,0
B4GAT1,0.004601528,True,0
BAALC,0.048153687,False,0
BACH1,0.05628693,False,0
BACH2,0.045757115,False,0
BAIAP3,0.009779008,True,0
BANP,0.04413728,False,0
BATF,0.036011204,True,0
BAZ2B,0.058634613,False,0
BBX,0.04245112,True,0
BCAR3,0.044260673,True,0
BCL11A,0.022269772,False,0
BCL11B,0.04149789,False,0
BCL6,0.0074741077,False,0
BCLAF1,0.037970137,False,0
BEND6,0.039694894,False,0
BEND7,0.0069196397,False,0
BEST3,0.0031315817,False,0
BEX1,0.003265035,False,0
BEX3,0.0038044471,False,0
BHLHE22,0.011116383,True,0
BHLHE40,0.005047423,True,0
BHLHE41,0.010386266,True,0
BICC1,0.05600659,False,0
BIRC3,0.014672684,False,0
BMP2K,0.07183851,False,0
BMP5,0.019479552,True,0
BMPER,0.048059553,False,0
BMT2,0.044137243,False,0
BOLL,0.022269858,False,0
BRF1,0.065680556,False,0
BRINP1,0.092354365,False,0
BRINP3,0.051625524,False,0
BSX,0.0349541,False,0
BTBD11,0.0046197153,False,0
BTC,0.092354365,False,0
BUB1,0.011116388,True,0
BVES,0.020425271,False,0
C10orf90,0.00083098555,False,0
C16orf87,0.037970137,False,0
C17orf53,0.013315716,False,0
C18orf25,0.092354365,False,0
C19orf71,0.009779026,False,0
C1GALT1,0.04946346,True,0
